,s,t,o,h,l,c,v
0,ok,2009-02-18,98.16,102.98,93.35,96.05,261058
1,ok,2009-02-19,96.24,99.13,87.58,90.18,143706
2,ok,2009-02-23,89.98,89.98,75.07,80.17,56229
3,ok,2009-02-25,81.8,83.25,73.14,82.19,73967
4,ok,2009-02-26,79.01,81.61,74.15,75.6,1717
5,ok,2009-03-01,75.31,76.03,70.26,72.52,7684
6,ok,2009-03-02,70.26,72.18,68.33,69.49,11856
7,ok,2009-03-03,63.57,71.22,63.57,67.9,41645
8,ok,2009-03-04,58.75,70.21,58.75,67.37,17023
9,ok,2009-03-05,62.56,70.26,61.59,66.55,13507
10,ok,2009-03-08,67.37,67.37,62.56,65.35,8583
11,ok,2009-03-11,52.45,70.26,52.45,67.7,186838
12,ok,2009-03-12,76.03,79.88,66.41,78.87,53777
13,ok,2009-03-15,74.15,85.56,74.15,80.84,7197
14,ok,2009-03-16,77.23,84.02,76.99,83.01,15377
15,ok,2009-03-17,81.85,90.47,81.85,87.1,352307
16,ok,2009-03-18,83.25,91.43,76.99,87.48,16685
17,ok,2009-03-19,81.9,90.47,81.9,88.4,14469
18,ok,2009-03-22,83.92,97.2,83.92,96.43,16801
19,ok,2009-03-23,95.28,97.2,87.1,96.62,30419
20,ok,2009-03-24,90.47,100.09,90.47,98.02,61289
21,ok,2009-03-25,114.04,114.04,94.32,101.82,18531
22,ok,2009-03-26,96.24,108.75,96.24,105.62,17087
23,ok,2009-03-29,96.24,109.71,92.78,108.8,22585
24,ok,2009-03-30,105.86,115.49,102.98,112.41,8590
25,ok,2009-03-31,103.46,108.75,103.46,104.85,18553
26,ok,2009-04-01,105.86,108.75,100.57,107.45,4132
27,ok,2009-04-05,106.35,110.39,104.08,105.86,480
28,ok,2009-04-07,98.21,106.83,98.21,103.02,3736
29,ok,2009-04-08,103.94,109.71,98.41,98.89,2140
30,ok,2009-04-12,108.65,108.8,108.65,108.8,348
31,ok,2009-04-14,114.81,119.72,108.9,119.72,4634
32,ok,2009-04-15,128.0,130.89,107.79,107.79,3375
33,ok,2009-04-16,107.79,109.23,98.16,104.32,9365
34,ok,2009-04-19,101.05,105.67,99.99,100.72,1832
35,ok,2009-04-20,102.01,110.48,97.2,110.29,30716
36,ok,2009-04-21,110.68,121.36,106.92,113.13,3541
37,ok,2009-04-22,115.49,124.15,115.49,121.65,1643
38,ok,2009-04-23,116.45,129.73,115.49,125.02,18357
39,ok,2009-04-26,120.3,134.64,118.42,120.3,59237
40,ok,2009-04-27,116.55,123.91,110.77,116.84,15895
41,ok,2009-04-28,111.64,122.99,111.64,115.49,228
42,ok,2009-05-03,106.87,127.04,106.87,122.27,38943
43,ok,2009-05-04,125.11,133.29,121.31,126.84,1496
44,ok,2009-05-05,125.11,129.92,120.3,122.85,9802
45,ok,2009-05-06,125.11,128.0,123.19,127.37,473
46,ok,2009-05-07,128.0,129.92,116.45,125.55,22402
47,ok,2009-05-10,125.11,125.11,108.27,124.68,13911
48,ok,2009-05-11,120.3,129.92,116.55,128.1,13436
49,ok,2009-05-12,136.42,136.42,123.19,130.31,5657
50,ok,2009-05-13,131.85,136.81,117.61,122.71,926
51,ok,2009-05-14,143.93,143.93,123.33,131.18,157
52,ok,2009-05-17,157.35,157.35,157.35,157.35,52
53,ok,2009-05-18,185.74,185.74,139.55,163.7,22453
54,ok,2009-05-19,168.42,181.7,159.76,175.16,3141
