,s,t,o,h,l,c,v
0,ok,2018-07-01,815.0,833.7,786.65,822.8,5816448
1,ok,2018-07-02,828.9,858.8,805.0,821.75,1176283
2,ok,2018-07-03,818.0,829.9,810.1,818.75,219001
3,ok,2018-07-04,815.25,845.0,815.25,820.2,250488
4,ok,2018-07-05,817.0,834.4,795.65,807.05,153593
5,ok,2018-07-08,807.4,811.95,803.3,805.15,44413
6,ok,2018-07-09,805.0,818.0,802.95,807.9,65781
7,ok,2018-07-10,810.0,817.8,805.1,809.7,39424
8,ok,2018-07-11,814.8,824.0,806.55,819.65,83971
9,ok,2018-07-12,819.55,821.2,805.0,805.8,24129
10,ok,2018-07-15,804.0,809.0,775.0,790.45,51702
11,ok,2018-07-16,779.9,797.0,772.0,789.9,23591
12,ok,2018-07-17,790.0,794.0,780.0,780.4,39317
13,ok,2018-07-18,778.0,792.0,745.55,782.0,77643
14,ok,2018-07-19,772.0,782.05,745.6,751.55,13781
15,ok,2018-07-22,767.75,767.75,735.0,750.5,11241
16,ok,2018-07-23,736.6,785.0,736.6,770.8,16201
17,ok,2018-07-24,771.0,778.95,759.1,761.45,10209
18,ok,2018-07-25,775.0,787.0,762.05,784.95,16558
19,ok,2018-07-26,798.8,818.4,785.0,809.8,46360
20,ok,2018-07-29,810.0,833.85,810.0,825.0,55960
21,ok,2018-07-30,808.0,832.45,808.0,827.75,22306
22,ok,2018-07-31,831.0,832.8,802.0,804.25,10893
23,ok,2018-08-01,803.85,810.95,794.5,800.5,5597
24,ok,2018-08-02,800.0,800.0,792.5,794.7,16356
25,ok,2018-08-05,795.0,801.95,785.0,800.1,12710
26,ok,2018-08-06,791.6,812.0,791.6,808.0,11394
27,ok,2018-08-07,810.0,819.0,805.25,806.75,8374
28,ok,2018-08-08,812.0,813.0,800.0,800.8,8389
29,ok,2018-08-09,801.05,806.0,797.0,799.6,12724
30,ok,2018-08-12,807.0,808.0,791.0,793.95,11305
31,ok,2018-08-13,845.0,849.0,801.0,817.85,115333
32,ok,2018-08-15,803.1,832.05,803.1,829.8,51241
33,ok,2018-08-16,832.05,838.0,819.75,827.0,27566
34,ok,2018-08-19,850.0,850.0,832.0,840.85,23579
35,ok,2018-08-20,834.0,909.8,834.0,898.45,167508
36,ok,2018-08-22,881.0,989.8,881.0,975.3,221176
37,ok,2018-08-23,980.1,1020.0,947.0,974.6,172806
38,ok,2018-08-26,978.7,1000.0,965.0,969.55,61120
39,ok,2018-08-27,970.0,975.0,951.2,956.95,17039
40,ok,2018-08-28,953.0,1015.0,953.0,997.55,74188
41,ok,2018-08-29,998.0,1033.8,990.0,1004.15,68241
42,ok,2018-08-30,990.7,1056.7,986.0,1051.7,61319
43,ok,2018-09-02,1051.65,1244.0,1045.0,1114.0,442037
44,ok,2018-09-03,1125.0,1164.4,1065.0,1096.85,164094
45,ok,2018-09-04,1098.4,1147.8,1070.0,1140.15,127026
46,ok,2018-09-05,1147.9,1159.95,1121.1,1139.0,49712
47,ok,2018-09-06,1138.0,1163.7,1108.0,1125.65,45048
48,ok,2018-09-09,1120.0,1143.0,1100.7,1107.1,30039
49,ok,2018-09-10,1115.95,1152.0,1092.0,1097.95,53209
50,ok,2018-09-11,1101.2,1117.0,1071.85,1096.3,31368
51,ok,2018-09-13,1106.9,1140.0,1100.65,1133.25,21492
52,ok,2018-09-16,1133.0,1139.6,1102.5,1122.05,14389
53,ok,2018-09-17,1128.8,1137.9,1102.0,1109.65,8212
54,ok,2018-09-18,1110.0,1114.0,1022.0,1059.05,23785
55,ok,2018-09-20,1068.05,1196.25,1000.0,1099.85,55459
56,ok,2018-09-23,1130.05,1190.0,1102.0,1164.6,50494
57,ok,2018-09-24,1153.0,1189.5,1062.15,1118.25,40072
58,ok,2018-09-25,1121.0,1130.6,1080.0,1104.8,9673
59,ok,2018-09-26,1114.8,1115.0,1085.1,1097.9,5551
60,ok,2018-09-27,1086.0,1105.95,1055.0,1058.6,12587
61,ok,2018-09-30,1000.0,1076.0,998.0,1069.45,28722
62,ok,2018-10-02,1032.55,1072.75,1012.0,1028.85,6610
63,ok,2018-10-03,1020.0,1033.95,991.4,1021.75,10468
64,ok,2018-10-04,1010.05,1049.45,1005.0,1020.35,6455
65,ok,2018-10-07,1041.95,1062.0,1017.0,1039.5,8954
66,ok,2018-10-08,1033.75,1057.8,1020.0,1034.05,6116
67,ok,2018-10-09,1054.95,1138.95,1035.05,1113.6,18877
68,ok,2018-10-10,1080.0,1130.0,1046.05,1059.6,10806
69,ok,2018-10-11,1067.95,1107.0,1046.15,1099.65,9946
70,ok,2018-10-14,1110.55,1111.0,1086.8,1090.0,2174
71,ok,2018-10-15,1080.85,1180.0,1080.85,1116.5,149833
72,ok,2018-10-16,1136.0,1136.0,1090.05,1095.05,153603
73,ok,2018-10-18,1080.0,1110.0,1035.0,1056.55,9065
74,ok,2018-10-21,1051.0,1087.3,1025.75,1040.25,3838
75,ok,2018-10-22,1031.65,1069.95,1027.05,1042.95,7502
76,ok,2018-10-23,1057.0,1085.05,1026.0,1034.85,5328
77,ok,2018-10-24,1040.0,1046.0,1030.0,1039.7,5427
78,ok,2018-10-25,1053.6,1053.6,1017.0,1038.35,11847
79,ok,2018-10-28,1048.0,1097.0,1040.05,1094.3,13177
80,ok,2018-10-29,1102.0,1121.8,1070.2,1077.0,3638
81,ok,2018-10-30,1070.0,1141.0,1070.0,1128.5,20987
82,ok,2018-10-31,1126.0,1172.0,1117.25,1141.25,15301
83,ok,2018-11-01,1132.05,1175.0,1120.0,1127.3,10667
84,ok,2018-11-04,1080.0,1120.0,1068.0,1080.8,10042
85,ok,2018-11-05,1066.0,1118.95,1066.0,1100.75,8546
86,ok,2018-11-06,1113.0,1142.9,1113.0,1120.65,4271
87,ok,2018-11-08,1138.9,1138.9,1105.1,1120.35,3531
88,ok,2018-11-11,1100.65,1168.0,1100.65,1147.65,5473
89,ok,2018-11-12,1157.6,1234.0,1118.65,1216.35,46464
90,ok,2018-11-13,1210.1,1228.0,1160.0,1166.4,10520
91,ok,2018-11-14,1164.05,1190.0,1145.55,1170.2,5309
92,ok,2018-11-15,1199.0,1199.0,1140.1,1147.25,5969
93,ok,2018-11-18,1158.9,1170.1,1101.0,1122.9,60910
94,ok,2018-11-19,1125.0,1136.05,1105.6,1128.6,120860
95,ok,2018-11-20,1137.0,1150.0,1111.45,1120.45,109471
96,ok,2018-11-21,1130.0,1155.0,1122.8,1138.95,2470
97,ok,2018-11-25,1134.0,1175.0,1112.05,1129.9,8467
98,ok,2018-11-26,1132.0,1157.0,1130.0,1139.15,3056
99,ok,2018-11-27,1147.5,1149.95,1111.15,1120.05,2417
100,ok,2018-11-28,1115.75,1153.95,1114.0,1119.8,9981
101,ok,2018-11-29,1115.55,1133.0,1108.0,1117.9,4305
102,ok,2018-12-02,1146.0,1146.0,1120.15,1131.7,3712
103,ok,2018-12-03,1125.05,1142.0,1116.5,1126.75,3176
104,ok,2018-12-04,1123.95,1160.0,1121.2,1147.7,4882
105,ok,2018-12-05,1148.0,1152.85,1128.0,1136.7,36402
106,ok,2018-12-06,1144.95,1165.0,1140.9,1156.95,18136
107,ok,2018-12-09,1165.0,1165.0,1132.55,1140.4,3775
108,ok,2018-12-10,1130.0,1150.0,1121.7,1145.55,5464
