,s,t,o,h,l,c,v
0,ok,2021-11-11,544.35,582.95,511.05,543.9,10113420
1,ok,2021-11-14,543.9,548.8,513.3,515.75,831926
2,ok,2021-11-15,516.95,520.0,506.0,515.7,504339
3,ok,2021-11-16,517.0,527.0,507.0,510.05,312070
4,ok,2021-11-17,515.0,515.2,446.5,449.8,1086650
5,ok,2021-11-21,445.0,445.95,366.15,397.1,1841844
6,ok,2021-11-22,390.0,476.5,386.8,443.15,2446291
7,ok,2021-11-23,451.0,492.0,448.8,471.6,1041435
8,ok,2021-11-24,477.4,484.4,455.6,479.7,583124
9,ok,2021-11-25,470.0,470.15,440.0,446.85,498782
10,ok,2021-11-28,440.0,444.95,420.0,439.6,153702
11,ok,2021-11-29,439.0,453.8,438.5,447.0,118045
12,ok,2021-11-30,447.0,452.0,429.85,431.2,96465
13,ok,2021-12-01,432.0,439.0,423.0,425.8,115248
14,ok,2021-12-02,427.0,436.0,421.0,422.9,89200
15,ok,2021-12-05,425.6,429.9,398.1,399.95,254173
16,ok,2021-12-06,405.0,410.1,391.1,397.4,298219
17,ok,2021-12-07,404.8,408.8,388.8,391.9,241258
18,ok,2021-12-08,388.8,397.0,377.0,382.95,854246
19,ok,2021-12-09,391.8,408.0,391.05,400.65,578667
20,ok,2021-12-12,405.0,415.8,400.85,411.35,316252
21,ok,2021-12-13,412.9,412.9,395.1,399.85,265977
22,ok,2021-12-14,400.85,403.55,395.0,396.15,82346
23,ok,2021-12-15,398.6,404.75,394.1,402.8,163273
24,ok,2021-12-16,402.8,408.15,390.8,393.75,151246
25,ok,2021-12-19,390.3,392.9,380.0,382.9,122071
26,ok,2021-12-20,385.8,391.05,378.9,382.45,84637
27,ok,2021-12-21,380.5,397.75,380.5,392.75,125053
28,ok,2021-12-22,397.0,397.0,390.0,391.3,58962
29,ok,2021-12-23,391.95,397.5,384.0,391.3,108016
30,ok,2021-12-26,385.0,397.4,379.2,390.8,252737
31,ok,2021-12-27,394.9,401.1,387.0,389.55,143426
32,ok,2021-12-28,392.8,397.0,388.05,389.9,113857
33,ok,2021-12-29,392.9,394.45,366.55,375.5,194955
34,ok,2021-12-30,379.5,380.45,369.75,370.9,194704
35,ok,2022-01-02,372.4,395.0,372.4,381.5,302978
36,ok,2022-01-03,389.9,392.3,382.0,385.2,112518
37,ok,2022-01-04,388.95,423.4,382.65,412.1,601063
