,s,t,o,h,l,c,v
0,ok,2000-01-02,7.08,7.18,6.77,6.85,1035000
1,ok,2000-01-03,6.8,7.1,6.61,6.77,1172000
2,ok,2000-01-04,7.0,7.07,6.44,6.5,510500
3,ok,2000-01-05,6.45,6.72,6.4,6.51,604000
4,ok,2000-01-06,6.4,6.5,6.0,6.05,412500
5,ok,2000-01-09,6.38,6.54,6.36,6.54,638000
6,ok,2000-01-10,6.6,6.75,6.03,6.13,1035500
7,ok,2000-01-11,6.4,6.53,6.29,6.38,281000
8,ok,2000-01-12,6.42,6.52,6.16,6.25,216000
9,ok,2000-01-13,6.25,6.28,6.01,6.19,396500
10,ok,2000-01-16,6.06,6.18,5.9,5.94,310500
11,ok,2000-01-17,5.91,5.98,5.8,5.82,501500
12,ok,2000-01-18,5.96,6.14,5.94,6.0,420000
13,ok,2000-01-19,5.99,6.05,5.92,5.99,385500
14,ok,2000-01-20,6.03,6.37,5.97,6.3,649500
15,ok,2000-01-23,6.4,6.4,5.95,5.97,471000
16,ok,2000-01-24,5.99,5.99,5.77,5.84,680000
17,ok,2000-01-26,6.3,6.3,5.85,5.99,438000
18,ok,2000-01-27,5.85,6.15,5.78,6.02,289500
19,ok,2000-01-30,5.83,6.0,5.66,5.78,382500
20,ok,2000-01-31,5.77,5.9,5.73,5.82,506000
21,ok,2000-02-01,6.1,6.1,5.76,5.82,717000
22,ok,2000-02-02,5.9,5.94,5.76,5.83,359500
23,ok,2000-02-03,5.78,5.83,5.7,5.75,327500
24,ok,2000-02-06,5.9,5.96,5.6,5.66,395000
25,ok,2000-02-07,5.94,5.94,5.45,5.5,597500
26,ok,2000-02-08,5.7,5.8,5.5,5.53,525500
27,ok,2000-02-09,5.41,5.48,5.28,5.39,313500
28,ok,2000-02-10,5.3,5.43,5.22,5.29,244500
29,ok,2000-02-13,5.3,5.72,5.26,5.66,611500
30,ok,2000-02-14,5.75,6.12,5.7,6.12,1043000
31,ok,2000-02-15,6.61,6.61,6.3,6.61,795500
32,ok,2000-02-16,7.12,7.14,6.25,6.45,2070500
33,ok,2000-02-17,6.33,6.41,6.12,6.24,1309000
34,ok,2000-02-20,6.41,6.6,5.75,5.82,1097500
35,ok,2000-02-21,5.71,5.8,5.48,5.54,952500
36,ok,2000-02-22,5.68,5.76,5.25,5.42,425500
37,ok,2000-02-23,5.54,5.55,5.3,5.38,178000
38,ok,2000-02-24,5.17,5.44,5.14,5.3,162000
39,ok,2000-02-27,5.31,5.39,5.12,5.32,346500
40,ok,2000-02-28,5.25,5.55,5.21,5.26,490500
41,ok,2000-02-29,5.6,5.68,5.35,5.46,888500
