,s,t,o,h,l,c,v
0,ok,2019-10-15,750.0,750.0,712.5,714.0,56446
1,ok,2019-10-16,687.0,735.0,678.3,724.05,424931
2,ok,2019-10-17,710.35,748.95,690.0,719.4,82769
3,ok,2019-10-21,692.0,749.0,683.45,716.55,208878
4,ok,2019-10-22,698.0,731.75,691.25,698.8,5507
5,ok,2019-10-23,723.0,723.0,690.0,697.85,4170
6,ok,2019-10-24,670.0,700.0,670.0,688.7,5532
7,ok,2019-10-26,699.0,710.0,682.2,692.4,3720
8,ok,2019-10-28,685.0,719.1,675.05,707.65,9500
9,ok,2019-10-29,677.0,690.0,672.3,679.25,16606
10,ok,2019-10-30,673.1,705.3,653.0,661.45,39192
11,ok,2019-10-31,668.9,668.9,630.0,635.15,13350
12,ok,2019-11-03,635.15,650.0,624.95,640.55,20336
13,ok,2019-11-04,632.0,635.0,575.65,608.9,33701
14,ok,2019-11-05,625.0,640.0,584.4,619.55,40890
15,ok,2019-11-06,603.1,632.9,601.3,608.4,11792
16,ok,2019-11-07,602.0,634.0,595.0,616.9,21249
17,ok,2019-11-10,611.0,667.5,601.0,635.0,49732
18,ok,2019-11-12,625.1,631.3,598.0,610.75,47466
19,ok,2019-11-13,600.05,607.9,590.0,602.1,15435
20,ok,2019-11-14,592.3,597.0,539.05,545.25,55469
21,ok,2019-11-17,545.0,547.8,495.15,531.9,73289
22,ok,2019-11-18,512.0,548.45,512.0,524.25,40428
23,ok,2019-11-19,531.7,531.7,515.0,523.75,4277
24,ok,2019-11-20,510.35,530.35,510.3,522.5,5239
25,ok,2019-11-21,526.15,529.45,495.0,503.6,14079
26,ok,2019-11-24,524.0,524.0,488.3,494.25,14318
27,ok,2019-11-25,505.95,513.4,492.7,503.4,11635
28,ok,2019-11-26,506.0,506.0,476.6,483.45,14877
29,ok,2019-11-27,488.35,488.35,450.0,452.05,28906
30,ok,2019-11-28,455.05,465.95,425.65,433.55,22343
31,ok,2019-12-01,438.0,448.0,401.15,429.3,53607
32,ok,2019-12-02,439.15,459.0,430.0,452.15,25119
33,ok,2019-12-03,435.0,497.4,435.0,486.25,27246
34,ok,2019-12-04,486.0,508.05,470.0,492.25,85870
35,ok,2019-12-05,508.95,527.0,495.0,503.6,19931
36,ok,2019-12-08,501.95,525.9,488.4,516.8,14202
37,ok,2019-12-09,512.0,539.8,510.0,535.85,11380
38,ok,2019-12-10,533.0,550.0,512.15,541.15,24852
39,ok,2019-12-11,540.95,579.8,538.3,569.5,19070
40,ok,2019-12-12,579.95,590.0,558.05,584.45,11792
41,ok,2019-12-15,589.95,589.95,544.05,569.8,22445
42,ok,2019-12-16,570.05,594.0,564.0,582.65,21883
43,ok,2019-12-17,593.95,600.0,576.45,595.7,6327
44,ok,2019-12-18,599.0,607.05,585.0,600.9,24555
45,ok,2019-12-19,600.9,613.9,598.0,603.7,10034
46,ok,2019-12-22,592.2,604.95,583.5,603.7,13370
47,ok,2019-12-23,608.85,608.85,585.75,596.45,6714
48,ok,2019-12-25,595.1,610.9,591.1,601.0,17932
49,ok,2019-12-26,601.2,605.95,594.95,600.5,6647
50,ok,2019-12-29,600.0,620.0,599.95,614.35,12580
51,ok,2019-12-30,614.35,628.45,614.35,620.05,12217
52,ok,2019-12-31,616.55,620.0,564.2,606.05,5401
53,ok,2020-01-01,607.1,625.0,599.25,615.65,12065
54,ok,2020-01-02,624.95,624.95,605.0,611.85,17417
55,ok,2020-01-05,617.75,617.8,582.0,598.85,11430
56,ok,2020-01-06,586.0,601.0,586.0,598.0,4181
57,ok,2020-01-07,594.45,604.0,590.0,600.15,4134
58,ok,2020-01-08,600.0,604.0,594.5,599.3,5893
59,ok,2020-01-09,594.5,599.8,585.9,595.2,9127
60,ok,2020-01-12,598.75,598.75,586.15,589.35,4105
61,ok,2020-01-13,589.8,598.95,566.9,589.75,15381
62,ok,2020-01-14,571.55,594.0,571.55,584.15,35750
63,ok,2020-01-15,582.45,590.0,565.35,570.1,33490
64,ok,2020-01-16,571.5,592.05,570.2,574.3,73645
65,ok,2020-01-19,576.05,579.0,553.25,562.4,64316
66,ok,2020-01-20,565.0,565.0,543.0,548.1,50601
67,ok,2020-01-21,551.0,565.0,548.0,560.15,13960
68,ok,2020-01-22,568.3,574.95,552.35,567.15,4060
69,ok,2020-01-23,561.0,585.0,561.0,584.3,12991
70,ok,2020-01-26,580.0,602.0,576.85,597.0,17181
71,ok,2020-01-27,591.0,608.0,590.0,604.1,38857
72,ok,2020-01-28,608.0,613.0,591.3,610.15,20399
73,ok,2020-01-29,613.0,614.0,603.8,610.3,3667
74,ok,2020-01-30,599.0,615.0,599.0,611.6,8630
75,ok,2020-01-31,598.0,614.2,597.0,603.75,9372
76,ok,2020-02-02,602.0,602.0,581.2,588.85,4789
77,ok,2020-02-03,588.65,609.0,582.05,602.15,20675
78,ok,2020-02-04,609.95,609.95,575.0,604.65,35078
79,ok,2020-02-05,605.0,605.0,590.0,600.75,62504
80,ok,2020-02-06,588.05,603.9,583.6,601.3,2767
81,ok,2020-02-09,605.05,605.05,590.0,594.0,1226
82,ok,2020-02-10,598.0,605.0,579.95,587.75,12089
83,ok,2020-02-11,586.05,599.7,576.9,583.25,8425
84,ok,2020-02-12,589.95,590.0,562.25,565.95,12444
85,ok,2020-02-13,565.0,578.7,550.0,556.4,27524
86,ok,2020-02-16,559.8,569.7,544.95,548.2,25929
87,ok,2020-02-17,546.5,556.0,522.8,548.15,17936
88,ok,2020-02-18,550.0,559.0,546.15,552.6,5367
89,ok,2020-02-19,549.25,560.05,546.3,551.25,7649
90,ok,2020-02-23,547.9,560.95,540.25,555.15,6782
91,ok,2020-02-24,555.15,555.15,536.95,541.9,8179
92,ok,2020-02-25,552.95,552.95,538.0,540.2,2914
93,ok,2020-02-26,540.2,552.25,525.0,543.6,7694
94,ok,2020-02-27,516.45,527.05,496.0,504.0,12113
95,ok,2020-03-01,501.0,546.95,477.0,487.7,17587
96,ok,2020-03-02,484.8,494.95,466.75,490.35,18914
97,ok,2020-03-03,499.0,499.0,466.05,478.35,32528
98,ok,2020-03-04,470.0,495.0,470.0,490.0,15052
99,ok,2020-03-05,451.2,499.0,451.2,498.2,10526
100,ok,2020-03-08,513.0,513.0,449.2,460.7,20384
101,ok,2020-03-10,461.2,464.0,435.1,444.3,16216
102,ok,2020-03-11,435.0,435.0,355.45,402.65,61597
103,ok,2020-03-12,350.0,403.9,332.05,401.2,17476
104,ok,2020-03-15,363.35,389.8,358.2,364.65,55984
105,ok,2020-03-16,355.05,369.9,339.6,364.6,43366
106,ok,2020-03-17,362.05,362.05,305.0,328.6,22168
107,ok,2020-03-18,320.0,345.0,298.05,322.45,34039
108,ok,2020-03-19,325.05,351.0,317.65,331.5,14555
109,ok,2020-03-22,330.0,330.0,265.2,267.9,21333
110,ok,2020-03-23,292.0,292.0,241.15,241.45,19758
111,ok,2020-03-24,264.0,264.0,217.35,239.55,32285
112,ok,2020-03-25,242.0,263.5,235.0,262.2,19860
113,ok,2020-03-26,283.0,288.4,268.1,277.2,11550
114,ok,2020-03-29,293.0,297.05,251.1,273.3,5975
115,ok,2020-03-30,291.3,295.85,272.1,286.0,8464
116,ok,2020-03-31,300.0,303.95,281.1,289.55,3830
117,ok,2020-04-02,281.0,299.9,280.1,289.85,4761
118,ok,2020-04-06,302.0,302.0,285.3,298.35,4421
119,ok,2020-04-07,308.95,311.4,300.25,308.4,12236
120,ok,2020-04-08,318.85,323.8,311.4,322.75,6437
121,ok,2020-04-12,334.9,337.9,318.0,321.55,10705
122,ok,2020-04-14,321.0,336.7,314.2,326.25,6780
123,ok,2020-04-15,330.0,330.0,310.3,315.1,7897
124,ok,2020-04-16,329.9,329.9,310.2,313.65,9724
125,ok,2020-04-19,328.9,328.9,313.65,317.35,6487
126,ok,2020-04-20,328.0,328.0,302.6,312.4,11393
127,ok,2020-04-21,324.5,324.5,300.05,308.35,10464
128,ok,2020-04-22,311.85,323.0,306.1,317.75,8046
129,ok,2020-04-23,327.0,327.0,310.05,313.7,8166
130,ok,2020-04-26,326.0,326.0,302.0,315.4,5435
131,ok,2020-04-27,324.9,326.65,308.3,310.65,5160
132,ok,2020-04-28,321.0,321.0,301.1,304.05,6883
133,ok,2020-04-29,304.0,313.65,302.0,307.55,11304
134,ok,2020-05-03,307.2,309.0,295.0,301.15,6637
135,ok,2020-05-04,308.0,314.4,302.5,305.1,9479
136,ok,2020-05-05,311.95,311.95,292.0,303.75,5613
137,ok,2020-05-06,314.9,314.9,295.1,306.8,5152
138,ok,2020-05-07,318.7,318.7,308.2,309.7,28682
139,ok,2020-05-10,319.0,320.0,315.15,318.45,10430
140,ok,2020-05-11,321.9,321.9,307.0,312.2,7421
141,ok,2020-05-12,325.0,325.0,312.4,319.4,5880
142,ok,2020-05-13,319.4,319.4,307.0,312.7,4791
143,ok,2020-05-14,323.0,323.0,305.05,310.3,2392
144,ok,2020-05-17,295.1,318.5,295.0,296.15,26791
145,ok,2020-05-18,305.0,309.0,285.0,289.55,8900
146,ok,2020-05-19,302.1,302.1,287.0,289.95,3901
147,ok,2020-05-20,299.0,299.0,277.0,279.8,37958
148,ok,2020-05-21,287.0,292.75,268.0,288.3,4958
149,ok,2020-05-25,298.0,302.6,280.0,296.05,8626
150,ok,2020-05-26,304.9,305.0,287.95,296.6,13091
151,ok,2020-05-27,304.0,311.4,299.5,309.1,13263
152,ok,2020-05-28,317.8,323.0,293.65,293.9,71579
153,ok,2020-05-31,295.0,303.0,285.05,298.85,18111
154,ok,2020-06-01,306.6,307.95,291.0,299.65,132263
155,ok,2020-06-02,302.0,314.6,298.0,313.85,127376
156,ok,2020-06-03,324.0,329.0,315.0,324.55,20252
157,ok,2020-06-04,337.5,357.0,337.0,357.0,86069
158,ok,2020-06-07,380.0,392.7,373.95,392.7,61648
159,ok,2020-06-08,415.0,421.9,364.0,375.35,36448
160,ok,2020-06-09,382.5,384.9,360.0,379.5,12286
161,ok,2020-06-10,379.0,384.0,367.0,372.15,7802
162,ok,2020-06-11,348.0,371.9,348.0,360.05,26156
163,ok,2020-06-14,360.05,378.0,355.55,364.25,4842
164,ok,2020-06-15,380.0,389.95,359.45,361.65,7187
165,ok,2020-06-16,371.0,371.0,352.2,364.15,13151
166,ok,2020-06-17,372.0,372.0,352.0,367.4,4942
167,ok,2020-06-18,375.0,399.0,365.05,368.4,11534
168,ok,2020-06-21,379.0,394.9,371.5,376.85,14125
169,ok,2020-06-22,392.2,392.2,373.5,388.15,14671
170,ok,2020-06-23,393.0,414.5,388.1,399.45,171184
171,ok,2020-06-24,409.0,409.0,366.1,371.45,211429
172,ok,2020-06-25,374.95,384.45,374.95,375.65,31507
173,ok,2020-06-28,379.0,379.0,358.1,362.3,22926
174,ok,2020-06-29,376.0,376.0,354.55,356.9,12322
175,ok,2020-06-30,367.0,367.0,352.0,357.25,16845
176,ok,2020-07-01,362.0,362.0,352.1,356.75,8187
177,ok,2020-07-02,353.25,370.0,351.55,358.0,10615
178,ok,2020-07-05,375.0,375.0,353.25,358.25,12702
179,ok,2020-07-06,357.8,369.0,348.5,351.75,13952
180,ok,2020-07-07,358.4,362.0,351.25,353.55,25764
181,ok,2020-07-08,358.6,358.6,341.1,343.65,105875
182,ok,2020-07-09,345.95,348.45,340.55,343.0,10584
183,ok,2020-07-12,343.0,350.1,335.0,344.8,193927
184,ok,2020-07-13,346.6,375.8,344.75,366.15,452879
185,ok,2020-07-14,378.2,393.5,370.2,373.6,167100
186,ok,2020-07-15,378.0,395.0,367.05,391.45,68769
187,ok,2020-07-16,400.0,424.2,392.4,418.3,252854
188,ok,2020-07-19,422.45,455.0,420.0,446.8,152156
189,ok,2020-07-20,451.9,465.95,436.0,452.1,125441
