,s,t,o,h,l,c,v
0,ok,2000-01-02,30.21,34.28,30.16,33.6,4078
1,ok,2000-01-03,32.66,33.65,31.93,32.08,5046
2,ok,2000-01-04,31.39,32.37,31.0,31.68,2396
3,ok,2000-01-05,32.37,33.35,31.83,31.88,3670
4,ok,2000-01-06,31.44,32.37,31.14,31.83,5709
5,ok,2000-01-09,31.88,34.09,31.88,32.96,7340
6,ok,2000-01-10,32.37,33.2,31.88,32.22,10296
7,ok,2000-01-11,32.32,33.84,32.13,32.57,968
8,ok,2000-01-12,34.19,34.19,32.66,33.5,7595
9,ok,2000-01-13,33.35,35.02,33.35,33.84,3721
10,ok,2000-01-16,33.3,33.6,32.57,33.16,1172
11,ok,2000-01-17,31.93,33.84,31.93,32.27,9787
12,ok,2000-01-18,32.42,33.65,32.42,33.35,3772
13,ok,2000-01-19,33.6,33.6,31.59,31.59,6881
14,ok,2000-01-20,31.63,32.37,31.0,31.68,10908
15,ok,2000-01-23,30.51,31.88,30.51,31.83,5046
16,ok,2000-01-24,31.39,32.71,31.39,31.88,4689
17,ok,2000-01-26,32.96,32.96,30.95,32.37,3976
18,ok,2000-01-27,31.39,31.88,31.05,31.78,3670
19,ok,2000-01-30,32.81,33.35,30.9,31.14,4537
20,ok,2000-01-31,32.37,33.65,32.37,33.65,8156
21,ok,2000-02-01,36.34,36.34,36.34,36.34,1019
22,ok,2000-02-02,39.24,39.29,39.24,39.29,8920
23,ok,2000-02-03,42.33,42.33,37.27,39.43,35681
24,ok,2000-02-06,40.12,40.17,36.83,37.52,25639
25,ok,2000-02-07,37.47,37.47,35.41,35.95,20134
26,ok,2000-02-08,37.27,37.27,34.58,35.31,6372
27,ok,2000-02-09,37.47,37.57,34.43,35.12,5148
28,ok,2000-02-10,35.31,35.31,34.43,35.12,5964
29,ok,2000-02-13,33.5,36.15,32.37,32.86,2039
30,ok,2000-02-14,32.47,32.47,30.26,30.26,8207
31,ok,2000-02-15,30.41,32.22,29.23,29.43,20491
32,ok,2000-02-16,29.43,30.9,28.35,28.35,24416
33,ok,2000-02-17,29.48,29.48,26.09,26.09,38943
34,ok,2000-02-20,27.37,28.2,25.8,28.2,15700
35,ok,2000-02-21,29.28,29.33,27.47,28.15,18350
36,ok,2000-02-22,29.38,30.41,29.38,29.57,7493
37,ok,2000-02-23,29.43,30.16,29.18,29.57,4791
38,ok,2000-02-24,29.43,30.65,29.43,29.87,3517
39,ok,2000-02-27,29.92,30.41,28.64,29.77,3109
40,ok,2000-02-28,28.5,30.11,28.45,28.54,4689
41,ok,2000-02-29,28.84,29.18,28.45,28.94,2549
42,ok,2000-03-01,28.94,29.38,27.47,27.47,2141
43,ok,2000-03-02,27.47,27.61,25.8,27.02,4791
44,ok,2000-03-05,25.99,25.99,24.87,25.36,6270
45,ok,2000-03-06,25.5,25.99,24.03,25.01,8054
46,ok,2000-03-07,26.24,26.58,25.26,25.75,1376
47,ok,2000-03-08,27.56,27.56,25.5,25.5,2345
48,ok,2000-03-09,25.6,26.39,24.62,26.39,3160
49,ok,2000-03-12,26.24,26.24,24.28,24.52,2753
50,ok,2000-03-13,23.54,25.5,23.2,24.13,3364
51,ok,2000-03-14,25.36,25.36,24.62,24.72,1886
52,ok,2000-03-15,25.5,25.5,25.01,25.31,5148
53,ok,2000-03-20,25.55,25.6,24.52,24.52,7340
54,ok,2000-03-21,26.19,26.48,26.04,26.48,1019
55,ok,2000-03-22,25.5,26.24,25.5,26.24,816
56,ok,2000-03-23,25.26,26.29,25.26,26.19,1733
57,ok,2000-03-26,25.31,26.39,25.26,26.39,2396
58,ok,2000-03-27,28.2,28.35,24.62,26.19,1835
59,ok,2000-03-28,27.56,27.56,25.55,26.48,2192
60,ok,2000-03-29,24.38,25.5,24.38,25.26,1274
61,ok,2000-03-30,26.58,26.73,25.99,25.99,3262
62,ok,2000-04-02,25.75,27.47,25.75,26.48,4129
63,ok,2000-04-03,27.91,27.96,24.77,25.36,7952
64,ok,2000-04-04,26.78,26.78,25.01,25.45,1070
65,ok,2000-04-05,25.5,25.5,23.69,24.23,3874
66,ok,2000-04-06,24.52,25.6,24.52,25.36,4944
67,ok,2000-04-09,25.5,26.39,25.26,25.26,2702
68,ok,2000-04-11,26.88,28.35,26.39,27.61,6372
69,ok,2000-04-12,26.98,27.47,26.98,27.47,2447
70,ok,2000-04-16,25.5,27.32,25.5,27.07,17382
71,ok,2000-04-17,26.14,27.66,26.14,27.37,9379
72,ok,2000-04-18,26.93,26.93,26.93,26.93,2243
73,ok,2000-04-19,28.25,28.35,25.7,25.8,3415
74,ok,2000-04-23,25.5,26.39,25.5,25.5,1172
75,ok,2000-04-24,24.52,25.5,24.52,25.5,867
76,ok,2000-04-25,25.5,25.5,25.26,25.5,2803
77,ok,2000-04-26,25.01,25.01,24.52,25.01,4537
78,ok,2000-04-27,24.96,25.01,24.77,24.77,1223
79,ok,2000-05-01,24.52,25.5,24.52,25.21,1121
80,ok,2000-05-02,23.84,24.52,23.64,24.03,867
81,ok,2000-05-03,24.52,24.52,23.84,24.28,2549
82,ok,2000-05-04,24.62,24.77,24.03,24.28,1325
83,ok,2000-05-07,24.52,24.52,24.52,24.52,102
84,ok,2000-05-08,24.62,25.5,23.84,24.57,3058
85,ok,2000-05-09,24.18,24.52,24.13,24.52,6168
86,ok,2000-05-10,24.92,25.41,24.13,25.41,7850
87,ok,2000-05-11,25.01,25.5,24.52,25.31,18044
88,ok,2000-05-14,25.36,25.5,24.52,25.41,4129
89,ok,2000-05-15,25.41,26.93,24.67,25.6,5454
