,s,t,o,h,l,c,v
0,ok,2010-12-30,150.0,190.0,57.4,104.1,133879
1,ok,2011-01-02,108.0,109.35,98.9,98.9,18535
2,ok,2011-01-03,93.95,93.95,93.95,93.95,903
3,ok,2011-01-04,89.25,89.25,89.25,89.25,319
4,ok,2011-01-05,84.8,84.8,84.8,84.8,457
5,ok,2011-01-06,80.6,80.6,80.6,80.6,627
6,ok,2011-01-09,76.6,76.6,76.6,76.6,445
7,ok,2011-01-10,72.8,72.8,72.8,72.8,1698
8,ok,2011-01-11,69.2,69.2,69.2,69.2,1789
9,ok,2011-01-12,65.75,65.75,65.75,65.75,10045
10,ok,2011-01-13,59.2,59.2,59.2,59.2,16323
11,ok,2011-01-16,53.3,53.3,53.3,53.3,4844
12,ok,2011-01-17,48.0,53.0,48.0,48.0,780154
13,ok,2011-01-18,45.6,47.5,45.6,45.65,312247
14,ok,2011-01-19,43.4,47.95,43.4,47.9,151932
15,ok,2011-01-20,47.5,48.65,45.6,46.55,58134
16,ok,2011-01-23,45.5,48.9,45.5,48.9,64652
17,ok,2011-01-24,51.35,51.35,50.9,51.35,11328
18,ok,2011-01-26,53.95,53.95,53.95,53.95,12350
19,ok,2011-01-27,56.65,56.65,53.0,56.65,395110
20,ok,2011-01-30,57.15,59.5,56.1,59.5,55720
21,ok,2011-01-31,62.5,62.5,62.5,62.5,19559
22,ok,2011-02-01,65.65,65.65,61.0,65.65,160874
23,ok,2011-02-02,68.95,68.95,62.4,62.4,123212
24,ok,2011-02-03,59.3,62.95,59.3,59.3,127766
25,ok,2011-02-06,57.2,59.0,56.35,56.45,40471
26,ok,2011-02-07,56.5,56.5,53.65,53.65,21559
27,ok,2011-02-08,51.6,52.5,51.0,51.0,35336
28,ok,2011-02-09,48.5,50.8,48.45,48.45,14870
29,ok,2011-02-10,46.05,50.9,46.05,50.25,38775
30,ok,2011-02-13,52.0,52.8,49.5,50.35,50853
31,ok,2011-02-14,51.0,52.9,48.3,52.25,84710
32,ok,2011-02-15,53.9,53.9,50.2,51.85,113530
33,ok,2011-02-16,51.8,53.0,50.1,50.85,32640
34,ok,2011-02-17,50.85,51.8,49.15,49.85,12488
35,ok,2011-02-20,49.2,50.9,48.6,48.75,3237
36,ok,2011-02-21,47.55,51.2,47.05,48.5,5301
37,ok,2011-02-22,47.55,49.7,47.05,49.0,6213
38,ok,2011-02-23,48.05,49.5,47.8,48.05,26448
39,ok,2011-02-24,46.6,49.7,46.6,47.6,4277
40,ok,2011-02-27,47.25,48.8,45.3,46.25,27717
