,s,t,o,h,l,c,v
0,ok,2017-04-12,54.0,54.0,54.0,54.0,6000
1,ok,2017-04-16,64.8,64.8,64.8,64.8,12000
2,ok,2017-04-17,77.75,77.75,77.75,77.75,96000
3,ok,2017-04-18,85.4,85.5,78.75,85.5,447000
4,ok,2017-04-19,89.55,94.05,89.55,94.05,207000
5,ok,2017-04-20,102.4,103.45,101.8,103.45,51000
6,ok,2017-04-23,108.6,108.6,108.6,108.6,9000
7,ok,2017-04-24,114.0,114.0,114.0,114.0,9000
8,ok,2017-04-25,119.7,119.7,119.7,119.7,3000
9,ok,2017-04-26,125.65,125.65,125.65,125.65,3000
10,ok,2017-04-27,131.9,131.9,131.9,131.9,3000
11,ok,2017-05-01,138.45,138.45,125.35,138.45,219000
12,ok,2017-05-02,145.35,145.35,138.55,144.5,72000
13,ok,2017-05-03,139.0,142.8,137.3,137.3,27000
14,ok,2017-05-04,130.75,136.9,130.45,130.85,45000
15,ok,2017-05-07,134.9,137.25,126.05,136.9,18000
16,ok,2017-05-08,138.0,138.0,130.1,130.1,9000
17,ok,2017-05-09,133.8,133.9,123.6,123.6,36000
18,ok,2017-05-10,127.0,127.0,122.85,122.85,6000
19,ok,2017-05-11,126.9,126.9,126.9,126.9,3000
20,ok,2017-05-15,125.25,131.5,125.25,131.5,6000
21,ok,2017-05-16,125.5,128.15,125.0,126.75,24000
22,ok,2017-05-17,123.0,133.05,120.45,132.75,33000
23,ok,2017-05-18,127.0,133.95,127.0,133.95,9000
24,ok,2017-05-21,140.3,140.3,132.0,136.95,12000
25,ok,2017-05-22,139.0,141.85,138.0,138.25,12000
26,ok,2017-05-23,139.9,145.15,139.9,145.0,18000
27,ok,2017-05-24,149.0,152.0,143.1,148.05,48000
28,ok,2017-05-25,142.0,155.4,142.0,153.45,12000
29,ok,2017-05-28,160.0,161.1,160.0,161.0,42000
30,ok,2017-05-29,156.5,169.0,156.5,165.55,18000
31,ok,2017-05-30,172.0,172.0,172.0,172.0,3000
32,ok,2017-05-31,174.9,174.9,174.9,174.9,3000
33,ok,2017-06-01,166.5,181.2,166.2,177.1,30000
34,ok,2017-06-04,168.5,168.5,168.25,168.25,6000
35,ok,2017-06-05,159.85,159.85,159.85,159.85,3000
36,ok,2017-06-06,151.9,151.9,151.9,151.9,6000
37,ok,2017-06-07,145.25,145.25,144.35,144.35,24000
38,ok,2017-06-08,137.15,137.15,137.15,137.15,3000
39,ok,2017-06-11,130.35,130.55,130.3,130.3,15000
40,ok,2017-06-12,123.8,136.8,123.8,136.8,27000
41,ok,2017-06-13,143.6,143.6,143.6,143.6,30000
42,ok,2017-06-14,150.75,150.75,150.0,150.0,21000
43,ok,2017-06-15,157.45,157.5,157.45,157.5,9000
44,ok,2017-06-18,149.65,157.5,149.65,157.45,9000
45,ok,2017-06-19,149.6,154.95,149.6,153.15,12000
46,ok,2017-06-20,146.05,149.5,145.5,145.5,12000
47,ok,2017-06-21,138.25,139.0,138.25,138.25,12000
48,ok,2017-06-22,131.35,133.0,131.35,133.0,6000
49,ok,2017-06-26,132.1,136.0,132.1,136.0,6000
50,ok,2017-06-28,138.7,138.75,132.3,138.0,12000
51,ok,2017-07-03,140.0,140.0,140.0,140.0,3000
52,ok,2017-07-04,146.6,147.0,146.6,147.0,9000
53,ok,2017-07-05,154.35,154.35,152.2,154.3,66000
54,ok,2017-07-06,154.3,161.0,146.6,146.6,36000
55,ok,2017-07-10,153.9,153.9,153.75,153.75,6000
56,ok,2017-07-11,150.0,150.0,150.0,150.0,3000
57,ok,2017-07-12,142.55,142.55,142.5,142.5,12000
58,ok,2017-07-17,135.4,135.4,135.4,135.4,6000
59,ok,2017-07-18,129.0,129.0,128.65,128.65,15000
60,ok,2017-07-19,122.25,122.25,122.25,122.25,18000
61,ok,2017-07-20,116.15,116.15,116.15,116.15,3000
62,ok,2017-07-23,110.35,110.35,110.35,110.35,6000
63,ok,2017-07-24,104.85,104.85,104.85,104.85,12000
64,ok,2017-07-25,99.65,99.65,99.65,99.65,12000
65,ok,2017-07-26,94.7,104.6,94.7,104.6,48000
