,s,t,o,h,l,c,v
0,ok,2000-01-02,211.0,221.45,211.0,221.45,800
1,ok,2000-01-03,232.0,239.2,225.0,239.0,2300
2,ok,2000-01-04,240.0,245.0,232.0,232.5,3300
3,ok,2000-01-05,235.0,235.0,235.0,235.0,1500
4,ok,2000-01-06,230.0,230.0,230.0,230.0,400
5,ok,2000-01-09,226.0,228.0,225.0,225.1,500
6,ok,2000-01-10,230.0,230.0,225.0,225.0,1700
7,ok,2000-01-11,225.5,225.5,225.0,225.0,300
8,ok,2000-01-12,225.0,229.5,225.0,225.0,1200
9,ok,2000-01-13,225.0,225.0,225.0,225.0,1000
10,ok,2000-01-16,225.0,225.1,225.0,225.0,1300
11,ok,2000-01-17,226.0,226.0,225.0,225.0,1200
12,ok,2000-01-18,225.0,226.0,225.0,226.0,500
13,ok,2000-01-19,225.5,225.5,225.0,225.5,1200
14,ok,2000-01-20,225.0,225.0,225.0,225.0,200
15,ok,2000-01-23,225.0,238.95,225.0,226.0,7000
16,ok,2000-01-24,225.05,225.05,225.0,225.0,1500
17,ok,2000-01-26,226.0,229.0,225.0,225.0,500
18,ok,2000-01-27,225.0,225.25,225.0,225.0,700
19,ok,2000-01-30,225.0,225.0,220.0,220.0,1400
20,ok,2000-01-31,220.0,222.5,207.6,221.5,3100
21,ok,2000-02-01,210.0,213.0,204.0,204.5,1500
22,ok,2000-02-02,210.0,214.0,210.0,210.0,1600
23,ok,2000-02-03,210.0,210.0,205.0,205.0,500
24,ok,2000-02-06,202.0,202.0,202.0,202.0,100
25,ok,2000-02-07,192.2,192.2,192.2,192.2,100
26,ok,2000-02-08,200.0,200.0,200.0,200.0,100
27,ok,2000-02-09,210.0,210.0,210.0,210.0,600
28,ok,2000-02-10,214.0,226.0,210.0,226.0,1500
29,ok,2000-02-13,210.0,210.0,208.0,208.0,400
30,ok,2000-02-14,205.0,205.0,195.0,195.0,800
31,ok,2000-02-15,199.0,199.0,183.0,183.25,10700
32,ok,2000-02-16,183.1,191.75,175.0,176.0,14800
33,ok,2000-02-17,175.05,183.95,175.05,179.75,800
34,ok,2000-02-20,178.0,180.0,170.0,170.0,3100
35,ok,2000-02-21,170.0,177.9,161.0,165.4,24500
36,ok,2000-02-22,166.0,169.0,160.0,163.1,1800
37,ok,2000-02-23,165.0,169.0,164.0,165.0,2300
38,ok,2000-02-24,166.0,166.0,162.0,162.0,1100
