,s,t,o,h,l,c,v
0,ok,2000-01-02,3.75,3.75,3.7,3.7,5000
1,ok,2000-01-03,3.76,3.95,3.75,3.82,13000
2,ok,2000-01-04,3.9,3.9,3.63,3.7,11000
3,ok,2000-01-05,3.73,3.78,3.73,3.73,27000
4,ok,2000-01-06,3.75,3.75,3.75,3.75,1000
5,ok,2000-01-09,3.62,3.8,3.6,3.6,17000
6,ok,2000-01-10,3.6,3.74,3.57,3.65,13000
7,ok,2000-01-11,3.5,3.83,3.5,3.64,8000
8,ok,2000-01-12,3.4,3.74,3.4,3.58,14000
9,ok,2000-01-13,3.4,3.62,3.4,3.4,28000
10,ok,2000-01-16,3.45,3.45,3.38,3.38,5000
11,ok,2000-01-17,3.54,3.54,3.5,3.5,11000
12,ok,2000-01-18,3.53,3.53,3.4,3.51,15000
13,ok,2000-01-19,3.5,3.5,3.39,3.45,6000
14,ok,2000-01-20,3.45,3.51,3.35,3.38,19000
15,ok,2000-01-23,3.4,3.4,3.4,3.4,1000
16,ok,2000-01-24,3.23,3.33,3.14,3.14,56000
17,ok,2000-01-26,3.17,3.3,3.17,3.2,15000
18,ok,2000-01-27,3.1,3.1,2.95,2.95,23000
19,ok,2000-01-30,2.75,3.07,2.75,3.07,4000
20,ok,2000-01-31,2.91,3.0,2.83,2.83,11000
21,ok,2000-02-01,2.83,2.9,2.7,2.9,63000
22,ok,2000-02-02,2.9,2.9,2.78,2.85,20000
23,ok,2000-02-03,2.76,2.85,2.75,2.85,23000
24,ok,2000-02-06,2.9,2.9,2.78,2.8,32000
25,ok,2000-02-07,2.75,2.75,2.65,2.65,20000
26,ok,2000-02-08,2.75,2.85,2.55,2.81,43000
27,ok,2000-02-09,2.68,3.03,2.65,2.84,49000
28,ok,2000-02-10,2.9,3.06,2.8,3.06,104000
29,ok,2000-02-13,3.31,3.31,2.97,3.15,17000
30,ok,2000-02-14,3.0,3.19,3.0,3.1,22000
31,ok,2000-02-15,3.3,3.3,3.0,3.0,62000
32,ok,2000-02-16,3.1,3.1,2.91,2.91,17000
33,ok,2000-02-17,2.9,2.9,2.9,2.9,13000
34,ok,2000-02-20,2.75,2.9,2.75,2.85,9000
