,s,t,o,h,l,c,v
0,ok,2001-02-14,0.85,0.9,0.85,0.9,2900
1,ok,2001-02-15,0.89,0.89,0.7,0.74,5530
2,ok,2001-02-18,0.99,1.0,0.99,1.0,5000
3,ok,2001-02-19,0.93,0.94,0.9,0.91,6860
4,ok,2001-02-20,0.81,0.82,0.81,0.82,750
5,ok,2001-02-22,0.88,0.88,0.86,0.86,1500
6,ok,2001-02-25,0.51,0.51,0.51,0.51,1250
7,ok,2001-02-26,0.75,0.75,0.75,0.75,2250
8,ok,2001-03-04,0.46,0.46,0.46,0.46,2000
9,ok,2001-03-06,0.51,0.69,0.51,0.69,48470
10,ok,2001-03-07,0.47,0.9,0.47,0.9,10110
11,ok,2001-03-08,0.57,0.57,0.57,0.57,10
12,ok,2001-03-11,0.57,0.71,0.57,0.71,1050
13,ok,2001-03-12,0.89,0.89,0.7,0.7,4010
14,ok,2001-03-13,0.36,0.88,0.36,0.85,14150
15,ok,2001-03-14,0.71,0.85,0.44,0.64,62260
16,ok,2001-03-15,0.67,0.85,0.67,0.85,9000
17,ok,2001-03-18,0.57,0.62,0.57,0.62,2500
18,ok,2001-03-19,0.92,0.92,0.61,0.61,3750
19,ok,2001-03-20,0.51,0.51,0.51,0.51,1000
20,ok,2001-03-21,0.7,0.7,0.7,0.7,250
21,ok,2001-03-22,0.4,0.4,0.4,0.4,1000
22,ok,2001-03-25,0.52,0.52,0.52,0.52,2000
23,ok,2001-03-28,0.47,0.47,0.47,0.47,1200
24,ok,2001-04-02,0.53,0.7,0.53,0.7,1520
25,ok,2001-04-03,0.7,0.7,0.7,0.7,5000
26,ok,2001-04-08,0.72,0.72,0.71,0.71,14000
27,ok,2001-04-09,0.72,0.75,0.72,0.75,3000
28,ok,2001-04-10,0.74,0.75,0.74,0.75,1450
29,ok,2001-04-15,0.66,0.75,0.66,0.75,16120
30,ok,2001-04-16,0.76,0.81,0.76,0.8,10370
31,ok,2001-04-17,0.8,0.8,0.8,0.8,5000
32,ok,2001-04-18,0.75,0.75,0.75,0.75,500
33,ok,2001-04-19,0.46,0.85,0.46,0.85,2010
34,ok,2001-04-22,0.73,0.8,0.73,0.8,3510
35,ok,2001-04-23,0.81,0.81,0.81,0.81,500
36,ok,2001-04-24,0.8,0.83,0.8,0.83,17000
37,ok,2001-04-26,0.8,0.83,0.8,0.83,5300
38,ok,2001-04-29,0.8,0.8,0.8,0.8,2000
39,ok,2001-05-01,0.85,0.85,0.71,0.71,8050
40,ok,2001-05-02,0.74,0.78,0.74,0.78,1000
41,ok,2001-05-03,0.76,0.85,0.76,0.85,7500
42,ok,2001-05-06,0.51,0.75,0.51,0.75,860
43,ok,2001-05-07,0.75,0.83,0.75,0.83,4410
44,ok,2001-05-08,0.78,0.83,0.78,0.81,2400
45,ok,2001-05-09,0.8,0.8,0.8,0.8,800
46,ok,2001-05-10,0.81,0.81,0.81,0.81,250
47,ok,2001-05-13,0.81,0.85,0.81,0.85,8800
48,ok,2001-05-14,0.8,0.8,0.8,0.8,2790
49,ok,2001-05-15,0.56,0.85,0.56,0.84,5450
50,ok,2001-05-16,0.81,0.85,0.81,0.85,9950
51,ok,2001-05-17,0.85,0.85,0.85,0.85,2230
52,ok,2001-05-20,0.85,0.98,0.85,0.98,4960
53,ok,2001-05-21,0.86,0.9,0.85,0.85,2250
54,ok,2001-05-22,0.85,0.85,0.85,0.85,1000
55,ok,2001-05-23,0.86,0.86,0.85,0.85,4900
56,ok,2001-05-24,0.86,0.86,0.86,0.86,2090
57,ok,2001-05-27,0.8,0.85,0.8,0.85,3390
58,ok,2001-05-28,0.85,0.85,0.85,0.85,1400
59,ok,2001-05-29,0.85,0.85,0.85,0.85,250
60,ok,2001-05-30,0.85,0.85,0.85,0.85,120
61,ok,2001-05-31,0.85,0.89,0.85,0.89,3750
62,ok,2001-06-04,0.85,0.88,0.85,0.86,3650
63,ok,2001-06-05,0.85,0.85,0.85,0.85,4600
64,ok,2001-06-10,0.85,0.9,0.85,0.9,3300
65,ok,2001-06-11,0.98,0.98,0.98,0.98,5000
66,ok,2001-06-12,1.07,1.07,0.95,1.0,2150
67,ok,2001-06-13,1.0,1.05,1.0,1.0,11550
68,ok,2001-06-14,0.92,1.05,0.92,1.05,9110
69,ok,2001-06-17,0.9,1.05,0.9,1.05,14340
70,ok,2001-06-18,1.05,1.05,1.03,1.05,38410
71,ok,2001-06-19,1.14,1.24,1.05,1.05,2200
72,ok,2001-06-20,1.05,1.05,1.05,1.05,2350
73,ok,2001-06-21,1.05,1.05,1.05,1.05,1000
74,ok,2001-06-24,1.0,1.0,1.0,1.0,1200
75,ok,2001-06-25,1.0,1.05,1.0,1.05,10200
76,ok,2001-06-26,1.0,1.0,1.0,1.0,4700
77,ok,2001-06-28,1.0,1.0,1.0,1.0,1030
78,ok,2001-07-02,1.1,1.1,1.1,1.1,1500
79,ok,2001-07-03,1.1,1.1,1.1,1.1,10000
80,ok,2001-07-04,1.1,1.1,1.0,1.0,1300
81,ok,2001-07-05,1.1,1.1,1.0,1.0,1000
82,ok,2001-07-09,1.0,1.0,1.0,1.0,250
83,ok,2001-07-10,1.0,1.0,1.0,1.0,7000
84,ok,2001-07-12,1.1,1.1,1.0,1.0,17430
85,ok,2001-07-15,1.0,1.0,1.0,1.0,5650
86,ok,2001-07-17,1.05,1.05,1.05,1.05,1310
87,ok,2001-07-18,1.0,1.0,1.0,1.0,3250
88,ok,2001-07-19,1.0,1.05,1.0,1.05,6250
89,ok,2001-07-23,0.8,0.8,0.8,0.8,1200
90,ok,2001-07-26,1.0,1.0,1.0,1.0,12250
91,ok,2001-07-29,1.0,1.01,1.0,1.01,4960
92,ok,2001-07-30,1.07,1.07,1.0,1.05,40260
93,ok,2001-07-31,1.0,1.0,1.0,1.0,400
94,ok,2001-08-01,1.0,1.05,1.0,1.05,3250
95,ok,2001-08-02,1.04,1.04,1.04,1.04,1500
96,ok,2001-08-05,1.05,1.05,1.05,1.05,1250
97,ok,2001-08-06,1.0,1.0,1.0,1.0,2590
