,s,t,o,h,l,c,v
0,ok,2000-01-02,8.13,8.75,8.13,8.59,608436
1,ok,2000-01-03,8.73,9.11,8.25,8.29,784773
2,ok,2000-01-04,8.55,8.59,7.64,7.9,741519
3,ok,2000-01-05,8.1,8.38,7.88,8.12,1389231
4,ok,2000-01-06,8.24,8.24,7.75,7.83,692721
5,ok,2000-01-09,8.12,8.12,7.75,7.79,680832
6,ok,2000-01-10,7.75,7.8,7.38,7.48,776805
7,ok,2000-01-11,7.84,7.84,7.53,7.69,783792
8,ok,2000-01-12,7.79,7.81,7.66,7.73,225204
9,ok,2000-01-13,7.72,7.87,7.51,7.81,264996
10,ok,2000-01-16,7.94,8.06,7.75,7.98,657957
11,ok,2000-01-17,8.05,8.49,7.95,8.37,563877
12,ok,2000-01-18,8.75,8.75,8.13,8.23,954657
13,ok,2000-01-19,8.19,8.31,7.86,7.93,376704
14,ok,2000-01-20,7.79,8.0,7.75,7.79,459231
15,ok,2000-01-23,7.88,8.03,7.66,7.77,427488
16,ok,2000-01-24,7.66,7.81,7.52,7.57,655188
17,ok,2000-01-26,7.84,7.88,7.57,7.6,305760
18,ok,2000-01-27,7.66,7.66,7.5,7.61,141360
19,ok,2000-01-30,7.53,7.63,7.27,7.31,195843
20,ok,2000-01-31,7.38,7.48,7.29,7.33,278916
21,ok,2000-02-01,7.6,7.75,7.5,7.63,252000
22,ok,2000-02-02,7.58,7.81,7.58,7.62,1436004
23,ok,2000-02-03,7.69,7.69,7.38,7.49,336036
24,ok,2000-02-06,7.25,7.59,7.25,7.35,158676
25,ok,2000-02-07,7.31,7.41,7.03,7.12,347871
26,ok,2000-02-08,7.43,7.44,7.13,7.35,161184
27,ok,2000-02-09,7.48,7.75,7.41,7.69,820116
28,ok,2000-02-10,7.89,8.13,7.51,7.54,327957
29,ok,2000-02-13,7.63,7.74,7.13,7.15,309045
30,ok,2000-02-14,7.13,7.45,7.02,7.23,3661776
31,ok,2000-02-15,7.45,7.63,7.2,7.27,317568
32,ok,2000-02-16,7.45,7.85,7.45,7.85,1230945
