,s,t,o,h,l,c,v
0,ok,2006-04-03,12.0,14.75,10.0,14.35,41758918
1,ok,2006-04-04,14.5,17.25,14.05,17.25,5791771
2,ok,2006-04-06,19.5,20.7,17.5,18.8,9405656
3,ok,2006-04-09,20.35,21.35,18.7,19.8,7487580
4,ok,2006-04-11,20.0,20.25,17.6,18.1,4111461
5,ok,2006-04-12,18.15,18.6,16.1,17.15,2353144
6,ok,2006-04-16,17.0,18.45,16.8,16.95,1131568
7,ok,2006-04-17,17.8,17.8,16.0,16.1,1350963
8,ok,2006-04-18,16.15,17.75,15.05,16.55,3451635
9,ok,2006-04-19,16.65,17.0,15.7,15.8,825619
10,ok,2006-04-20,16.0,16.0,15.2,15.45,598944
11,ok,2006-04-23,15.5,18.55,15.0,18.55,2393946
12,ok,2006-04-24,20.0,20.0,17.0,17.3,2744021
13,ok,2006-04-25,17.5,18.5,17.5,17.8,1048249
14,ok,2006-04-26,17.9,18.2,17.25,17.5,644968
15,ok,2006-04-27,16.95,17.5,14.0,17.2,762168
16,ok,2006-04-28,17.45,18.5,17.4,17.6,469971
17,ok,2006-05-01,17.9,18.45,17.55,17.75,394046
18,ok,2006-05-02,17.9,19.3,16.9,18.0,2118328
19,ok,2006-05-03,17.9,18.45,17.5,17.7,671049
20,ok,2006-05-04,17.95,18.35,17.5,17.55,510263
21,ok,2006-05-07,18.3,18.3,17.2,17.4,356175
22,ok,2006-05-08,16.8,17.5,16.6,17.15,420962
23,ok,2006-05-09,17.4,17.75,17.15,17.25,528579
24,ok,2006-05-10,17.75,17.75,16.55,16.7,313614
25,ok,2006-05-11,16.0,17.6,15.5,16.65,550606
26,ok,2006-05-14,16.9,17.0,15.7,16.05,595786
27,ok,2006-05-15,16.05,16.25,15.0,15.55,432699
28,ok,2006-05-16,16.0,16.85,15.85,16.15,350327
29,ok,2006-05-17,16.05,16.05,14.5,14.9,317433
30,ok,2006-05-18,15.5,15.85,13.4,13.75,400213
31,ok,2006-05-21,13.75,16.4,11.0,12.15,478956
32,ok,2006-05-22,12.0,13.7,11.5,13.4,879432
33,ok,2006-05-23,13.7,14.45,13.4,13.7,456473
34,ok,2006-05-24,13.5,13.85,13.3,13.7,254095
35,ok,2006-05-25,13.95,14.45,13.65,13.75,409167
36,ok,2006-05-28,14.25,14.25,13.8,13.85,118489
37,ok,2006-05-29,13.6,14.15,13.6,13.85,174591
38,ok,2006-05-30,12.8,13.5,12.4,12.9,493287
39,ok,2006-05-31,13.25,13.45,12.55,12.55,154517
40,ok,2006-06-01,10.05,13.0,10.05,12.15,312975
41,ok,2006-06-04,12.55,12.55,12.1,12.2,75433
42,ok,2006-06-05,11.7,12.1,11.1,11.55,268828
43,ok,2006-06-06,11.55,11.85,10.0,10.3,248181
44,ok,2006-06-07,10.45,10.45,8.25,9.35,573865
45,ok,2006-06-08,9.35,10.3,9.05,10.2,251636
46,ok,2006-06-11,10.6,10.6,9.6,9.95,301503
47,ok,2006-06-12,9.5,9.95,8.95,9.2,264716
48,ok,2006-06-13,9.6,10.0,9.0,9.15,132599
49,ok,2006-06-14,9.65,9.7,9.05,9.6,115454
50,ok,2006-06-15,9.75,10.6,9.75,10.2,254658
