,s,t,o,h,l,c,v
0,ok,2015-03-08,158.9,174.0,154.0,166.05,19462
1,ok,2015-03-09,165.4,167.6,158.0,158.5,52898
2,ok,2015-03-10,160.0,160.6,156.0,157.75,32743
3,ok,2015-03-11,159.5,160.0,151.2,152.85,21658
4,ok,2015-03-12,160.7,180.0,144.0,149.95,37711
5,ok,2015-03-15,152.0,153.9,148.0,148.6,7309
6,ok,2015-03-16,147.1,153.1,147.0,151.25,18786
7,ok,2015-03-17,149.7,153.75,145.0,151.0,4096
8,ok,2015-03-18,151.0,153.95,148.55,151.95,8780
9,ok,2015-03-19,151.0,156.4,141.7,144.75,21697
10,ok,2015-03-22,146.0,146.0,140.0,142.95,2960
11,ok,2015-03-23,142.45,148.75,140.5,145.0,78214
12,ok,2015-03-24,141.2,145.1,140.5,141.5,3114
13,ok,2015-03-25,141.0,141.0,134.1,135.95,2864
14,ok,2015-03-26,135.0,143.9,132.0,136.8,28219
15,ok,2015-03-29,135.05,154.0,135.0,146.7,2511
16,ok,2015-03-30,145.0,153.0,143.25,145.15,7518
17,ok,2015-03-31,151.0,153.0,148.0,152.25,28140
18,ok,2015-04-05,151.0,157.0,149.0,153.0,749
19,ok,2015-04-06,153.0,153.0,143.0,147.65,1547
20,ok,2015-04-07,149.0,155.0,143.0,144.2,17020
21,ok,2015-04-08,143.55,144.35,139.0,139.2,12244
22,ok,2015-04-09,140.0,141.8,140.0,140.5,1506
23,ok,2015-04-12,140.5,144.0,140.0,140.45,3410
24,ok,2015-04-14,144.7,146.0,134.0,136.8,22231
25,ok,2015-04-15,139.7,154.7,139.7,145.55,157783
26,ok,2015-04-16,146.0,150.0,137.25,142.7,31986
27,ok,2015-04-19,145.0,149.8,141.1,144.0,1430153
28,ok,2015-04-20,151.7,152.0,142.55,144.5,154241
29,ok,2015-04-21,147.95,147.95,140.5,143.05,235158
30,ok,2015-04-22,145.75,162.85,141.6,159.7,174034
31,ok,2015-04-23,160.75,160.75,147.0,148.55,86894
32,ok,2015-04-26,151.3,151.35,141.2,143.6,39932
33,ok,2015-04-27,145.0,147.35,143.25,144.0,12921
34,ok,2015-04-28,144.0,160.9,144.0,158.95,439818
35,ok,2015-04-29,154.05,171.2,152.2,169.45,134843
36,ok,2015-05-03,175.8,178.9,165.05,167.45,45244
37,ok,2015-05-04,170.0,172.85,161.65,169.9,48523
38,ok,2015-05-05,169.8,169.8,157.95,158.95,25338
39,ok,2015-05-06,161.0,169.4,155.3,160.7,25852
