,s,t,o,h,l,c,v
0,ok,2000-01-02,16.25,16.6,15.3,16.45,31100
1,ok,2000-01-03,16.5,17.0,15.6,15.75,28700
2,ok,2000-01-04,15.0,15.5,13.5,14.95,17100
3,ok,2000-01-05,15.0,16.0,14.55,14.95,22800
4,ok,2000-01-06,14.5,15.0,14.0,14.25,7600
5,ok,2000-01-09,13.65,15.35,13.6,14.1,13000
6,ok,2000-01-10,14.15,14.2,13.5,13.65,17700
7,ok,2000-01-11,14.0,14.6,13.5,14.35,11600
8,ok,2000-01-12,12.0,14.5,12.0,14.0,10300
9,ok,2000-01-13,14.0,14.45,13.6,14.0,5400
10,ok,2000-01-16,14.5,15.4,13.7,14.6,36700
11,ok,2000-01-17,14.5,14.5,13.1,13.45,27800
12,ok,2000-01-18,13.7,14.0,12.9,13.4,59500
13,ok,2000-01-19,13.4,13.5,12.7,13.3,19900
14,ok,2000-01-20,13.95,14.3,13.05,13.6,15300
15,ok,2000-01-23,13.4,13.5,12.9,13.15,18300
16,ok,2000-01-24,12.9,13.0,12.6,12.7,21500
17,ok,2000-01-26,12.5,13.5,12.5,13.05,9600
18,ok,2000-01-27,13.0,13.0,12.45,12.55,12900
19,ok,2000-01-30,12.5,13.3,12.5,12.55,11400
20,ok,2000-01-31,12.25,13.1,12.15,13.0,10800
21,ok,2000-02-01,14.5,16.25,12.95,16.25,70500
22,ok,2000-02-02,18.4,19.8,16.5,17.95,155100
23,ok,2000-02-03,18.0,18.0,16.75,17.45,83900
24,ok,2000-02-06,18.0,18.5,16.0,16.1,59600
25,ok,2000-02-07,16.55,18.5,16.15,18.2,134300
26,ok,2000-02-08,18.75,19.0,17.0,17.25,61500
27,ok,2000-02-09,17.1,17.45,15.95,16.15,29600
28,ok,2000-02-10,15.35,16.0,15.0,15.95,21700
29,ok,2000-02-13,15.0,16.9,14.5,16.0,47600
30,ok,2000-02-14,15.25,16.45,14.8,15.4,60000
31,ok,2000-02-15,15.95,16.3,15.5,15.95,23800
32,ok,2000-02-16,15.1,16.25,15.1,15.6,17300
33,ok,2000-02-17,15.2,16.2,15.2,15.45,12100
34,ok,2000-02-20,15.55,19.35,15.5,19.25,116500
35,ok,2000-02-21,22.8,24.0,19.95,22.3,210300
36,ok,2000-02-22,23.5,24.1,20.55,21.35,205100
37,ok,2000-02-23,21.55,22.75,21.0,22.15,73300
38,ok,2000-02-24,23.5,23.5,20.4,20.55,36300
39,ok,2000-02-27,20.5,22.15,19.1,20.85,71800
40,ok,2000-02-28,21.5,21.5,19.2,19.2,64800
41,ok,2000-02-29,17.05,20.9,17.05,19.05,29800
42,ok,2000-03-01,19.5,19.8,17.0,17.15,34500
43,ok,2000-03-02,17.9,17.9,15.25,16.25,17400
44,ok,2000-03-05,16.1,17.35,16.05,16.5,35900
45,ok,2000-03-06,18.0,18.5,15.0,15.0,39500
46,ok,2000-03-07,17.5,17.9,14.4,15.95,39500
47,ok,2000-03-08,16.0,16.0,14.75,15.05,20600
48,ok,2000-03-09,14.65,15.55,12.0,13.6,60000
49,ok,2000-03-12,14.45,14.45,12.9,13.25,17500
50,ok,2000-03-13,13.85,13.85,12.6,12.8,26800
51,ok,2000-03-14,13.0,14.05,13.0,14.0,7300
52,ok,2000-03-15,14.3,15.85,13.9,14.5,14500
53,ok,2000-03-20,14.0,14.5,13.7,13.9,17200
54,ok,2000-03-21,14.6,15.35,14.6,15.0,8300
55,ok,2000-03-22,14.95,15.1,14.1,14.25,8800
56,ok,2000-03-23,13.6,13.6,13.1,13.5,5600
57,ok,2000-03-26,13.3,14.25,13.1,14.0,5700
58,ok,2000-03-27,13.0,14.25,13.0,13.9,13600
59,ok,2000-03-28,15.9,16.0,14.1,14.4,11700
60,ok,2000-03-29,14.0,14.7,13.95,14.05,7000
61,ok,2000-03-30,14.05,14.45,13.95,14.4,6500
62,ok,2000-04-02,15.0,15.2,13.75,14.0,6800
63,ok,2000-04-03,13.65,13.65,12.1,12.55,30500
64,ok,2000-04-04,13.5,13.65,13.1,13.4,4300
65,ok,2000-04-05,12.7,12.8,12.2,12.7,15400
66,ok,2000-04-06,12.9,13.4,12.4,13.25,46400
67,ok,2000-04-09,13.4,13.5,12.6,13.1,15800
68,ok,2000-04-11,12.55,13.5,12.5,12.65,7600
69,ok,2000-04-12,12.55,12.95,12.55,12.85,2800
70,ok,2000-04-16,12.1,12.5,11.8,12.25,10600
71,ok,2000-04-17,11.95,12.25,11.8,11.95,10300
72,ok,2000-04-18,12.3,12.3,11.6,11.8,6500
73,ok,2000-04-19,11.5,11.95,11.3,11.45,5600
74,ok,2000-04-23,12.75,12.95,11.0,11.4,6600
75,ok,2000-04-24,10.5,11.0,10.0,10.55,10700
76,ok,2000-04-25,11.0,11.45,10.5,11.15,7200
77,ok,2000-04-26,10.5,11.2,10.35,10.6,7300
78,ok,2000-04-27,11.0,11.0,10.25,10.5,7300
79,ok,2000-05-01,8.3,10.0,8.3,8.55,16900
80,ok,2000-05-02,10.5,10.5,9.75,10.35,11400
81,ok,2000-05-03,10.5,11.6,10.5,11.1,25500
82,ok,2000-05-04,11.5,11.8,11.3,11.5,31400
83,ok,2000-05-07,11.45,11.8,11.25,11.25,13100
84,ok,2000-05-08,11.45,11.45,10.45,10.9,28250
85,ok,2000-05-09,10.8,11.1,10.6,11.0,2600
86,ok,2000-05-10,10.65,10.75,10.55,10.7,3000
87,ok,2000-05-11,10.7,10.75,10.0,10.15,8000
88,ok,2000-05-14,9.5,10.5,9.5,10.1,3000
89,ok,2000-05-15,10.15,10.25,10.0,10.0,2700
90,ok,2000-05-16,10.4,10.5,10.2,10.5,3600
91,ok,2000-05-17,10.3,10.4,10.0,10.05,6100
92,ok,2000-05-18,10.25,10.25,10.05,10.05,2700
93,ok,2000-05-21,10.25,10.25,9.55,10.0,2800
94,ok,2000-05-22,9.9,9.9,9.55,9.7,4900
95,ok,2000-05-23,10.0,10.0,9.65,9.7,2300
96,ok,2000-05-24,10.0,10.25,9.85,10.1,6305
97,ok,2000-05-25,10.0,10.5,10.0,10.4,2900
98,ok,2000-05-28,10.0,10.45,10.0,10.35,5750
99,ok,2000-05-29,10.0,10.25,9.9,10.15,9600
100,ok,2000-05-30,10.9,11.0,10.55,11.0,800
