,s,t,o,h,l,c,v
0,ok,2007-03-18,226.68,230.68,225.34,225.41,4119
1,ok,2007-03-19,226.68,231.34,226.68,228.01,1387
2,ok,2007-03-21,226.68,239.21,226.68,236.68,5535
3,ok,2007-03-25,232.68,242.61,232.68,232.78,3945
4,ok,2007-03-27,226.68,226.68,226.68,226.68,15
5,ok,2007-03-29,216.68,236.68,215.34,228.04,3039
6,ok,2007-04-04,216.64,219.98,216.64,219.98,466
7,ok,2007-04-08,212.68,212.68,210.04,212.68,309
8,ok,2007-04-09,204.01,210.01,202.74,210.01,1702
9,ok,2007-04-10,207.34,207.34,206.68,206.68,366
10,ok,2007-04-11,201.34,201.34,200.68,200.94,97
11,ok,2007-04-12,206.68,206.68,194.68,194.68,990
12,ok,2007-04-15,196.68,196.68,188.01,193.34,37
13,ok,2007-04-16,187.34,199.34,187.34,189.98,1161
14,ok,2007-04-17,198.68,199.34,189.01,196.94,1230
15,ok,2007-04-18,202.51,202.51,196.68,196.68,849
16,ok,2007-04-19,200.01,206.51,196.68,206.51,1218
17,ok,2007-04-22,198.24,202.01,198.21,200.01,1809
18,ok,2007-04-23,203.34,210.01,203.34,210.01,7867
19,ok,2007-04-24,216.61,220.51,216.51,220.51,5640
20,ok,2007-04-25,230.48,231.34,209.68,212.38,4624
21,ok,2007-04-26,222.68,222.68,202.01,206.64,867
22,ok,2007-04-29,210.01,210.01,196.68,201.34,343
23,ok,2007-05-02,206.74,211.34,206.74,207.34,60
24,ok,2007-05-03,206.68,212.58,206.68,210.24,136
25,ok,2007-05-06,220.68,220.68,200.04,200.04,177
26,ok,2007-05-07,200.34,200.34,200.34,200.34,150
27,ok,2007-05-08,200.01,206.68,200.01,204.24,883
28,ok,2007-05-09,206.01,206.71,206.01,206.68,6931
29,ok,2007-05-10,200.01,208.01,196.68,206.68,6150
30,ok,2007-05-13,208.01,210.01,207.34,208.34,1485
31,ok,2007-05-14,210.01,210.01,207.34,208.34,7315
32,ok,2007-05-15,204.68,213.34,204.68,210.01,414
33,ok,2007-05-16,212.68,220.01,212.68,217.01,2017
34,ok,2007-05-17,206.74,238.68,206.74,233.24,23378
35,ok,2007-05-20,256.01,256.01,232.68,234.35,6169
36,ok,2007-05-21,242.01,257.65,227.41,228.21,8419
37,ok,2007-05-22,226.68,230.68,217.68,220.01,3259
38,ok,2007-05-23,220.34,227.31,200.04,215.38,8473
39,ok,2007-05-24,210.24,220.01,210.01,216.51,8905
40,ok,2007-05-27,220.68,235.01,219.34,231.61,281485
41,ok,2007-05-28,236.61,240.01,228.04,228.44,6297
42,ok,2007-05-29,228.68,230.01,222.68,229.54,3597
43,ok,2007-05-30,226.78,251.35,226.68,235.21,5703
44,ok,2007-05-31,239.95,255.35,234.68,248.31,11072
45,ok,2007-06-03,250.01,258.01,240.01,253.11,56912
46,ok,2007-06-04,253.35,255.98,250.01,250.05,10549
47,ok,2007-06-05,248.68,252.68,242.08,248.38,4504
48,ok,2007-06-06,244.31,262.48,244.31,255.71,6619
49,ok,2007-06-07,258.68,271.08,246.68,265.05,15583
50,ok,2007-06-10,271.01,271.01,260.01,260.18,8554
51,ok,2007-06-11,260.01,264.01,260.01,260.05,10202
52,ok,2007-06-12,262.35,279.95,260.01,271.15,11326
53,ok,2007-06-13,274.55,274.55,263.88,266.38,1672
54,ok,2007-06-14,274.01,274.01,267.35,267.35,915
55,ok,2007-06-17,279.88,280.01,265.68,268.51,1686
56,ok,2007-06-18,269.01,283.35,269.01,277.21,3094
57,ok,2007-06-19,280.01,288.01,271.05,283.08,9309
58,ok,2007-06-20,273.35,286.55,273.35,286.18,3463
59,ok,2007-06-21,283.35,286.68,283.01,286.48,2815
