,s,t,o,h,l,c,v
0,ok,2018-07-24,1.65,1.65,1.61,1.61,320000
1,ok,2018-07-26,1.58,1.58,1.58,1.58,80000
2,ok,2018-07-30,1.5,1.61,1.5,1.6,320000
3,ok,2018-08-02,1.46,1.5,1.46,1.5,160000
4,ok,2018-08-05,1.46,1.58,1.46,1.56,240000
5,ok,2018-08-08,1.58,1.58,1.58,1.58,80000
6,ok,2018-08-09,1.44,1.88,1.44,1.61,560000
7,ok,2018-08-23,1.54,1.54,1.54,1.54,80000
8,ok,2018-08-27,1.58,1.63,1.58,1.59,320000
9,ok,2018-08-30,1.5,1.5,1.5,1.5,80000
10,ok,2018-09-02,1.5,1.58,1.5,1.58,160000
11,ok,2018-09-03,1.65,1.65,1.58,1.58,240000
12,ok,2018-09-10,1.5,1.5,1.5,1.5,80000
13,ok,2018-09-18,1.43,1.45,1.43,1.45,160000
14,ok,2018-09-23,1.44,1.44,1.44,1.44,80000
15,ok,2018-10-02,1.43,1.69,1.43,1.57,720000
16,ok,2018-10-03,1.5,1.61,1.5,1.61,160000
17,ok,2018-10-07,1.5,1.5,1.5,1.5,80000
18,ok,2018-10-09,1.43,1.43,1.43,1.43,80000
19,ok,2018-10-11,1.46,1.46,1.46,1.46,320000
20,ok,2018-10-14,1.46,1.5,1.46,1.49,240000
21,ok,2018-10-15,1.52,1.58,1.52,1.55,320000
22,ok,2018-10-16,1.5,1.5,1.43,1.43,160000
23,ok,2018-10-18,1.43,1.57,1.43,1.57,240000
24,ok,2018-10-21,1.59,1.61,1.59,1.61,160000
25,ok,2018-10-22,1.63,1.63,1.49,1.62,560000
26,ok,2018-10-23,1.62,1.62,1.62,1.62,160000
27,ok,2018-10-24,1.61,1.62,1.48,1.62,880000
28,ok,2018-10-25,1.47,1.52,1.47,1.51,320000
29,ok,2018-10-28,1.52,1.53,1.52,1.53,160000
30,ok,2018-10-30,1.44,1.53,1.43,1.53,400000
31,ok,2018-11-04,1.54,1.65,1.54,1.58,560000
32,ok,2018-11-05,1.65,1.69,1.65,1.69,160000
33,ok,2018-11-11,1.73,1.73,1.73,1.73,80000
34,ok,2018-11-12,1.72,1.72,1.72,1.72,80000
35,ok,2018-11-15,1.74,1.78,1.74,1.78,240000
36,ok,2018-11-18,1.77,1.78,1.77,1.78,160000
37,ok,2018-11-19,1.79,1.82,1.79,1.82,240000
38,ok,2018-11-20,1.79,1.84,1.79,1.84,160000
39,ok,2018-11-25,1.88,1.88,1.88,1.88,80000
40,ok,2018-11-26,1.91,1.91,1.91,1.91,80000
41,ok,2018-12-02,1.88,1.92,1.88,1.92,160000
42,ok,2018-12-03,1.74,1.74,1.74,1.74,80000
43,ok,2018-12-05,1.8,1.8,1.75,1.75,160000
44,ok,2018-12-06,1.8,1.8,1.8,1.8,80000
45,ok,2018-12-09,1.82,1.82,1.82,1.82,160000
46,ok,2018-12-10,1.83,1.83,1.83,1.83,160000
47,ok,2018-12-11,1.84,1.84,1.84,1.84,80000
48,ok,2018-12-13,1.84,1.84,1.84,1.84,240000
49,ok,2018-12-16,1.84,1.84,1.69,1.69,480000
50,ok,2018-12-17,1.8,1.8,1.8,1.8,240000
51,ok,2018-12-19,1.82,1.82,1.82,1.82,160000
52,ok,2018-12-20,1.84,1.88,1.84,1.88,160000
53,ok,2018-12-23,1.91,1.92,1.91,1.92,160000
54,ok,2018-12-26,1.93,1.93,1.93,1.93,80000
55,ok,2018-12-27,1.95,1.95,1.95,1.95,80000
56,ok,2018-12-31,1.93,1.93,1.93,1.93,80000
57,ok,2019-01-01,1.78,1.78,1.78,1.78,80000
58,ok,2019-01-02,1.82,1.82,1.82,1.82,80000
59,ok,2019-01-03,1.82,1.82,1.82,1.82,80000
60,ok,2019-01-07,1.82,1.82,1.82,1.82,80000
61,ok,2019-01-09,1.82,1.82,1.82,1.82,160000
62,ok,2019-01-14,1.82,1.82,1.82,1.82,80000
63,ok,2019-01-17,1.82,1.82,1.82,1.82,80000
64,ok,2019-01-21,1.82,1.82,1.82,1.82,80000
65,ok,2019-01-22,1.65,1.68,1.65,1.68,160000
66,ok,2019-01-23,1.69,1.69,1.69,1.69,80000
67,ok,2019-01-24,1.58,1.58,1.58,1.58,80000
68,ok,2019-01-27,1.65,1.65,1.65,1.65,80000
69,ok,2019-01-30,1.69,1.69,1.69,1.69,80000
70,ok,2019-01-31,1.69,1.69,1.68,1.69,320000
71,ok,2019-02-03,1.69,1.72,1.69,1.72,480000
72,ok,2019-02-13,1.71,1.71,1.71,1.71,80000
73,ok,2019-02-14,1.71,1.71,1.71,1.71,160000
74,ok,2019-02-17,1.69,1.71,1.69,1.71,160000
75,ok,2019-02-25,1.58,1.58,1.58,1.58,80000
76,ok,2019-03-14,1.58,1.59,1.49,1.59,800000
77,ok,2019-03-17,1.59,1.6,1.59,1.6,400000
78,ok,2019-03-18,1.61,1.62,1.49,1.62,960000
79,ok,2019-03-19,1.62,1.62,1.62,1.62,160000
80,ok,2019-03-21,1.62,1.62,1.62,1.62,160000
81,ok,2019-03-24,1.61,1.62,1.61,1.62,240000
82,ok,2019-03-25,1.61,1.62,1.61,1.62,240000
