,s,t,o,h,l,c,v
0,ok,2005-04-07,118.66,123.47,115.11,121.63,7429996
1,ok,2005-04-10,121.48,125.9,115.84,117.39,6569612
2,ok,2005-04-11,116.81,120.85,113.8,114.72,2110660
3,ok,2005-04-12,115.74,117.98,112.24,113.07,1778077
4,ok,2005-04-14,113.07,113.07,105.29,108.35,1698827
5,ok,2005-04-17,108.2,118.37,97.46,116.76,5101912
6,ok,2005-04-18,117.2,122.99,115.25,118.66,4993482
7,ok,2005-04-19,118.46,119.44,114.28,118.27,1584297
8,ok,2005-04-20,115.74,122.35,115.74,121.53,1751995
9,ok,2005-04-21,123.52,129.65,122.21,123.33,3160458
10,ok,2005-04-24,124.2,131.16,122.55,129.6,3365315
11,ok,2005-04-25,132.28,155.52,132.28,150.22,10938246
12,ok,2005-04-26,151.05,158.54,140.64,142.78,10265557
13,ok,2005-04-27,143.95,147.35,134.51,140.45,5098412
14,ok,2005-04-28,142.0,148.13,138.5,143.7,5768323
15,ok,2005-05-01,143.7,148.52,142.29,144.58,5680172
16,ok,2005-05-02,143.95,151.48,143.61,149.44,5263438
17,ok,2005-05-03,148.81,165.2,148.81,159.75,12100924
18,ok,2005-05-04,160.48,166.9,156.64,158.34,6401186
19,ok,2005-05-05,159.51,164.13,158.24,161.11,4909511
20,ok,2005-05-08,162.43,165.34,160.53,161.36,2296773
21,ok,2005-05-09,161.65,163.64,153.87,157.03,2897641
22,ok,2005-05-10,158.0,160.38,155.96,157.13,1521286
23,ok,2005-05-11,157.95,159.75,155.47,156.49,1008415
24,ok,2005-05-12,157.08,158.78,153.92,155.08,1123738
25,ok,2005-05-15,157.08,157.08,150.95,151.73,683708
26,ok,2005-05-16,152.7,161.84,150.75,157.22,3769608
27,ok,2005-05-17,155.42,156.79,149.44,150.56,1298665
28,ok,2005-05-18,151.73,154.16,147.4,148.57,1215804
29,ok,2005-05-19,148.37,150.95,147.4,148.71,1063279
30,ok,2005-05-22,149.3,152.41,146.96,147.74,806633
31,ok,2005-05-23,149.3,149.69,145.02,145.75,837559
32,ok,2005-05-24,146.57,147.11,143.51,144.34,624601
33,ok,2005-05-25,144.82,152.99,144.34,148.03,2293373
34,ok,2005-05-26,148.81,150.17,143.07,144.63,739861
35,ok,2005-05-29,144.19,146.33,143.46,144.24,546388
36,ok,2005-05-30,144.43,145.41,140.69,141.71,556699
37,ok,2005-05-31,141.95,142.29,138.74,140.2,615904
38,ok,2005-06-01,140.93,145.79,139.23,143.75,1159318
39,ok,2005-06-02,143.51,144.63,140.59,141.71,342711
40,ok,2005-06-03,141.17,142.24,140.15,140.93,134072
41,ok,2005-06-05,141.03,141.9,140.06,140.25,233325
42,ok,2005-06-06,140.74,146.48,140.3,144.72,772808
43,ok,2005-06-07,145.31,150.51,145.31,148.13,1426387
44,ok,2005-06-08,148.91,149.93,146.09,147.3,470539
45,ok,2005-06-09,148.23,152.12,144.53,146.48,703471
46,ok,2005-06-12,146.48,146.62,139.57,140.35,414824
47,ok,2005-06-13,140.45,142.0,136.41,137.92,384511
48,ok,2005-06-14,138.65,141.03,138.16,139.28,353267
49,ok,2005-06-15,139.13,140.64,134.27,137.82,295097
50,ok,2005-06-16,136.7,141.9,135.29,138.45,494859
51,ok,2005-06-19,134.76,139.38,134.22,135.14,224822
52,ok,2005-06-20,135.83,146.38,134.42,143.85,659539
53,ok,2005-06-21,143.95,147.16,141.03,142.44,486320
54,ok,2005-06-22,142.49,144.82,139.72,141.56,408063
55,ok,2005-06-23,138.69,141.03,135.19,136.6,248106
56,ok,2005-06-26,136.17,139.81,135.78,136.51,289832
57,ok,2005-06-27,132.81,137.53,132.76,134.37,223277
58,ok,2005-06-28,134.85,136.85,133.93,136.02,164059
59,ok,2005-06-29,136.6,139.67,129.45,131.79,537912
60,ok,2005-06-30,128.92,134.12,128.92,131.01,202883
61,ok,2005-07-03,129.89,134.03,129.89,131.5,275318
62,ok,2005-07-04,132.28,142.49,131.3,138.79,1014833
63,ok,2005-07-05,140.06,145.02,140.06,142.1,1024099
64,ok,2005-07-06,143.46,143.85,135.19,137.09,239525
65,ok,2005-07-07,138.84,145.41,137.62,144.04,284778
66,ok,2005-07-10,145.36,172.88,145.36,169.67,4151111
67,ok,2005-07-11,168.26,172.06,156.59,163.93,2368029
68,ok,2005-07-12,165.34,175.46,159.75,162.72,2350659
69,ok,2005-07-13,164.37,165.98,160.48,163.64,1078797
70,ok,2005-07-14,164.37,170.21,160.68,161.75,554037
71,ok,2005-07-17,161.45,168.16,161.45,163.2,471353
72,ok,2005-07-18,160.04,169.23,160.04,163.25,1097429
73,ok,2005-07-19,163.4,171.57,156.2,158.0,1952176
74,ok,2005-07-20,160.48,179.84,160.48,172.69,8874530
75,ok,2005-07-21,172.15,182.71,170.74,173.51,3296615
76,ok,2005-07-24,170.74,174.58,169.28,169.77,1096132
77,ok,2005-07-25,168.31,170.99,165.54,167.19,481619
78,ok,2005-07-26,163.93,176.43,163.93,174.63,1235121
79,ok,2005-07-28,174.63,179.74,166.8,169.28,1398168
80,ok,2005-07-31,165.34,170.99,165.34,168.51,406235
81,ok,2005-08-01,165.49,174.49,165.49,169.62,679060
82,ok,2005-08-02,170.5,172.44,166.41,167.05,502302
83,ok,2005-08-03,167.05,168.7,164.91,165.3,605226
84,ok,2005-08-04,165.64,170.21,165.34,167.09,523412
85,ok,2005-08-07,168.55,183.63,161.99,177.11,5272782
86,ok,2005-08-08,177.89,186.11,174.58,177.45,3397143
87,ok,2005-08-09,178.96,189.42,178.96,184.55,3528323
88,ok,2005-08-10,185.77,203.86,185.43,197.98,5794689
89,ok,2005-08-11,199.39,202.11,193.7,196.86,1483621
90,ok,2005-08-15,200.89,200.89,190.0,192.77,983120
91,ok,2005-08-16,192.77,194.52,190.15,193.16,602064
92,ok,2005-08-17,193.84,204.25,189.95,191.7,2088297
93,ok,2005-08-18,193.99,197.44,191.6,192.63,655141
94,ok,2005-08-21,194.08,199.39,191.6,193.99,1010827
95,ok,2005-08-22,195.64,199.14,188.78,190.19,1252239
96,ok,2005-08-23,190.92,191.41,183.05,186.84,748064
97,ok,2005-08-24,188.69,192.48,187.71,189.56,532245
98,ok,2005-08-25,189.56,197.63,189.56,194.23,761028
99,ok,2005-08-28,201.33,201.33,191.22,193.36,782824
100,ok,2005-08-29,193.55,202.3,193.55,200.7,1943546
101,ok,2005-08-30,203.18,210.08,201.33,202.64,2141067
102,ok,2005-08-31,204.05,208.14,203.47,204.83,942378
103,ok,2005-09-01,204.83,206.58,200.6,201.23,444921
104,ok,2005-09-04,203.28,207.75,202.3,205.12,723278
105,ok,2005-09-05,205.22,208.19,200.89,202.45,457202
106,ok,2005-09-07,203.28,206.68,202.3,205.27,480943
107,ok,2005-09-08,205.27,206.0,199.39,200.41,291984
108,ok,2005-09-11,201.33,208.63,200.16,206.92,827795
109,ok,2005-09-12,182.51,207.85,182.51,203.37,254055
110,ok,2005-09-13,205.03,205.03,195.59,198.95,330821
111,ok,2005-09-14,198.41,201.09,195.74,197.88,288227
112,ok,2005-09-15,199.39,202.3,196.95,200.02,295626
113,ok,2005-09-18,204.25,239.89,204.25,209.35,1611584
114,ok,2005-09-19,210.47,216.89,204.25,209.99,1688588
115,ok,2005-09-20,211.06,214.95,193.06,205.56,1517051
116,ok,2005-09-21,206.19,206.19,179.93,185.19,814729
117,ok,2005-09-22,191.02,201.23,183.82,195.54,872774
118,ok,2005-09-25,197.0,209.01,194.52,206.1,790951
119,ok,2005-09-26,206.87,209.11,202.3,203.81,538714
120,ok,2005-09-27,203.96,207.17,201.82,205.9,386329
121,ok,2005-09-28,204.25,206.68,199.87,201.77,215588
122,ok,2005-09-29,200.84,213.0,192.67,209.55,723669
123,ok,2005-10-02,212.03,223.21,210.08,218.74,2500629
124,ok,2005-10-03,218.84,220.49,214.95,215.73,663499
125,ok,2005-10-04,215.73,215.73,208.67,209.7,498509
126,ok,2005-10-05,210.18,215.39,196.47,206.15,982956
127,ok,2005-10-06,209.01,213.0,205.71,207.94,467153
128,ok,2005-10-09,204.25,209.99,202.94,204.35,220559
129,ok,2005-10-10,205.95,212.81,199.48,210.91,531453
130,ok,2005-10-12,213.0,216.75,205.9,207.65,750258
131,ok,2005-10-13,209.11,212.03,199.05,204.93,1258035
132,ok,2005-10-16,209.11,214.8,204.54,212.95,1698117
133,ok,2005-10-17,214.95,223.12,214.95,221.61,2154778
134,ok,2005-10-18,200.36,221.56,200.36,218.69,870603
135,ok,2005-10-19,222.14,228.47,211.06,214.41,1455353
136,ok,2005-10-20,213.68,220.0,209.11,218.94,979074
137,ok,2005-10-23,219.32,220.49,214.07,215.68,503813
138,ok,2005-10-24,215.92,218.84,210.96,215.63,353406
139,ok,2005-10-25,212.03,218.74,212.03,214.07,132000
140,ok,2005-10-26,211.15,218.84,211.15,215.34,159450
141,ok,2005-10-27,213.0,215.92,211.54,212.56,264606
142,ok,2005-10-30,210.08,225.01,210.08,223.21,421331
143,ok,2005-10-31,228.56,232.41,219.91,223.31,172920
144,ok,2005-11-01,223.7,246.46,220.2,239.07,829496
145,ok,2005-11-06,286.82,286.82,240.28,250.79,4365520
146,ok,2005-11-07,251.91,259.69,249.28,251.08,1427102
