,s,t,o,h,l,c,v
0,ok,2006-10-03,83.5,95.4,83.5,93.85,17056537
1,ok,2006-10-04,94.0,100.35,94.0,96.35,8033885
2,ok,2006-10-05,96.5,96.5,91.25,92.0,1153463
3,ok,2006-10-08,91.0,95.95,90.0,93.8,1638718
4,ok,2006-10-09,95.0,99.25,94.2,95.3,2111810
5,ok,2006-10-10,95.95,97.8,92.1,92.85,1205015
6,ok,2006-10-11,93.35,94.6,92.3,93.95,701580
7,ok,2006-10-12,95.05,112.25,94.3,107.95,10472049
8,ok,2006-10-15,108.25,112.2,102.15,104.0,4700799
9,ok,2006-10-16,104.8,109.25,101.7,103.95,3537711
10,ok,2006-10-17,103.0,107.9,102.65,105.55,2062424
11,ok,2006-10-18,107.0,107.0,100.8,101.7,737173
12,ok,2006-10-19,102.8,105.75,101.65,102.35,773881
13,ok,2006-10-20,102.9,103.2,101.1,102.0,179371
14,ok,2006-10-22,102.5,104.9,101.6,102.45,684671
15,ok,2006-10-25,103.0,103.75,99.5,99.8,503848
16,ok,2006-10-26,100.8,102.9,98.1,98.4,468004
17,ok,2006-10-29,98.8,99.35,92.7,93.1,557665
18,ok,2006-10-30,94.0,94.2,87.25,87.95,519501
19,ok,2006-10-31,88.4,93.8,88.2,92.5,736489
20,ok,2006-11-01,92.7,93.7,90.5,90.95,417095
21,ok,2006-11-02,91.4,92.3,89.0,90.25,537699
22,ok,2006-11-05,92.9,92.9,89.85,90.7,378503
23,ok,2006-11-06,91.25,91.6,88.05,88.3,237072
24,ok,2006-11-07,88.5,91.45,86.15,87.3,300471
25,ok,2006-11-08,87.5,88.85,87.0,87.65,133662
26,ok,2006-11-09,88.5,89.45,87.05,87.55,217669
27,ok,2006-11-12,85.45,88.55,85.45,86.7,145020
28,ok,2006-11-13,87.45,87.8,84.05,84.8,154293
29,ok,2006-11-14,85.75,93.5,83.6,91.15,1631886
30,ok,2006-11-15,92.0,95.8,90.1,90.8,1081364
31,ok,2006-11-16,91.65,91.7,86.0,87.05,318319
32,ok,2006-11-19,86.5,86.65,82.0,83.95,281050
33,ok,2006-11-20,85.35,88.2,84.25,85.7,268992
34,ok,2006-11-21,86.35,87.7,84.5,84.95,165475
35,ok,2006-11-22,85.0,93.6,83.55,90.6,1121611
36,ok,2006-11-23,91.4,94.0,90.0,91.4,648339
37,ok,2006-11-26,92.0,92.8,87.9,88.3,223049
38,ok,2006-11-27,87.4,90.4,84.5,87.3,289204
39,ok,2006-11-28,88.9,92.0,87.1,88.05,279762
40,ok,2006-11-29,89.0,89.1,85.1,85.6,164036
41,ok,2006-11-30,86.5,89.8,85.1,86.4,273741
42,ok,2006-12-03,87.6,88.6,86.0,86.65,177816
43,ok,2006-12-04,87.65,92.6,86.65,90.2,777761
44,ok,2006-12-05,92.05,96.8,89.5,95.4,2218356
45,ok,2006-12-06,96.45,101.25,96.0,96.95,3117658
46,ok,2006-12-07,97.4,97.85,90.5,91.15,1363527
47,ok,2006-12-10,91.25,91.65,85.5,86.45,766387
48,ok,2006-12-11,86.4,89.75,80.0,81.55,740231
49,ok,2006-12-12,82.5,84.4,79.0,83.2,371869
50,ok,2006-12-13,85.0,86.55,83.8,85.45,261735
51,ok,2006-12-14,87.0,87.8,84.7,85.15,231077
52,ok,2006-12-17,86.0,86.85,83.15,85.3,242804
53,ok,2006-12-18,85.0,86.3,82.6,83.05,169281
54,ok,2006-12-19,86.0,86.0,82.0,82.25,77272
55,ok,2006-12-20,82.85,83.9,81.3,81.85,81403
56,ok,2006-12-21,83.0,88.0,82.5,85.9,565935
57,ok,2006-12-25,86.0,86.0,83.5,84.25,156941
58,ok,2006-12-26,84.6,87.2,83.55,84.65,171175
59,ok,2006-12-27,85.85,86.6,83.65,84.15,137975
60,ok,2006-12-28,84.35,85.5,83.15,83.5,65316
61,ok,2007-01-01,83.9,87.4,83.9,85.9,226940
62,ok,2007-01-02,85.6,86.7,83.5,83.95,215428
63,ok,2007-01-03,84.95,87.2,83.65,86.05,290116
64,ok,2007-01-04,86.5,89.4,85.55,86.2,242193
65,ok,2007-01-07,86.8,87.0,84.25,85.3,121907
66,ok,2007-01-08,85.6,87.4,84.0,84.5,140725
67,ok,2007-01-09,83.5,86.2,82.1,82.95,81948
68,ok,2007-01-10,84.4,84.65,83.1,83.55,94603
69,ok,2007-01-11,84.55,85.2,82.8,83.3,67521
70,ok,2007-01-14,84.25,87.8,83.85,86.1,278921
71,ok,2007-01-15,86.4,86.4,84.0,84.25,101521
72,ok,2007-01-16,84.5,87.7,84.0,85.35,188842
73,ok,2007-01-17,85.5,87.2,84.1,84.85,143605
74,ok,2007-01-18,84.7,85.75,82.8,83.2,87630
75,ok,2007-01-21,84.15,84.75,82.5,82.9,105142
76,ok,2007-01-22,83.3,85.1,82.65,83.05,137901
77,ok,2007-01-23,84.0,84.45,81.7,82.15,91175
78,ok,2007-01-24,82.4,83.5,81.75,82.25,78581
79,ok,2007-01-28,83.4,83.4,80.65,81.2,82286
80,ok,2007-01-30,81.5,82.0,76.25,76.9,125024
81,ok,2007-01-31,77.65,79.5,76.1,76.75,83962
82,ok,2007-02-01,77.0,80.85,76.5,78.75,154856
83,ok,2007-02-04,78.05,82.4,78.05,80.05,133568
84,ok,2007-02-05,80.5,85.4,80.5,83.0,355368
85,ok,2007-02-06,83.1,83.5,80.4,80.75,63046
86,ok,2007-02-07,81.25,81.6,78.5,79.1,77309
87,ok,2007-02-08,79.95,80.75,76.3,76.6,60019
88,ok,2007-02-11,76.3,76.3,71.25,72.2,71205
89,ok,2007-02-12,72.0,73.7,69.2,69.9,65899
90,ok,2007-02-13,70.0,70.0,66.7,67.8,79647
91,ok,2007-02-14,67.1,71.9,66.05,70.95,72514
92,ok,2007-02-18,71.9,72.85,71.0,71.4,56036
93,ok,2007-02-19,73.5,73.5,68.5,68.85,21554
94,ok,2007-02-20,69.8,71.25,68.0,68.35,37807
95,ok,2007-02-21,72.7,72.7,67.15,67.5,16660
96,ok,2007-02-22,67.0,67.55,61.25,61.8,70797
97,ok,2007-02-25,61.5,64.6,58.3,59.45,75832
98,ok,2007-02-26,62.9,63.0,58.7,61.05,56779
99,ok,2007-02-27,58.5,59.5,52.0,58.25,55477
100,ok,2007-02-28,59.8,60.9,56.3,56.85,34142
101,ok,2007-03-01,56.0,59.3,53.5,55.1,70813
102,ok,2007-03-04,53.1,53.5,48.6,49.6,69097
103,ok,2007-03-05,52.0,58.7,50.75,57.3,141491
104,ok,2007-03-06,56.0,58.8,50.5,51.55,92283
105,ok,2007-03-07,51.9,54.25,51.25,53.65,62423
106,ok,2007-03-08,53.0,56.0,51.7,54.45,48222
107,ok,2007-03-11,54.8,57.5,54.55,56.9,42195
108,ok,2007-03-12,56.75,58.25,56.05,57.3,41833
109,ok,2007-03-13,52.4,55.95,52.4,54.35,37012
110,ok,2007-03-14,54.0,57.6,54.0,55.95,40364
111,ok,2007-03-15,57.45,57.5,53.0,53.5,30963
112,ok,2007-03-18,55.0,55.0,52.5,54.0,44022
113,ok,2007-03-19,54.95,56.8,53.5,54.4,62900
114,ok,2007-03-20,54.5,55.15,53.0,54.0,27236
115,ok,2007-03-21,54.5,56.2,54.5,55.1,29597
116,ok,2007-03-22,55.5,57.0,54.3,56.55,45516
117,ok,2007-03-25,57.3,59.7,57.0,57.75,105645
118,ok,2007-03-27,57.85,59.0,55.2,56.05,360123
119,ok,2007-03-28,57.0,57.0,54.9,56.05,24618
120,ok,2007-03-29,56.1,57.7,56.1,56.55,36019
121,ok,2007-04-01,55.6,65.3,54.5,55.3,29816
122,ok,2007-04-02,55.5,56.3,55.0,55.35,11009
123,ok,2007-04-03,55.5,56.2,54.8,55.2,6141
124,ok,2007-04-04,55.5,57.75,54.4,56.85,37415
125,ok,2007-04-08,58.5,65.4,56.0,63.35,108803
126,ok,2007-04-09,64.2,66.0,60.55,60.9,65255
127,ok,2007-04-10,60.5,63.0,60.45,62.3,60300
128,ok,2007-04-11,59.0,61.6,59.0,59.7,29127
129,ok,2007-04-12,59.5,61.8,59.0,59.45,18611
130,ok,2007-04-15,60.8,65.5,60.0,63.7,89030
131,ok,2007-04-16,64.7,67.3,62.75,63.95,112828
132,ok,2007-04-17,64.5,65.4,62.85,63.25,28187
133,ok,2007-04-18,62.0,65.0,60.05,64.0,29883
134,ok,2007-04-19,63.0,65.45,62.0,63.7,22141
135,ok,2007-04-22,64.35,66.1,63.55,64.1,27088
136,ok,2007-04-23,64.0,64.0,61.75,62.25,17138
137,ok,2007-04-24,62.1,63.05,61.7,62.0,9055
138,ok,2007-04-25,62.75,63.0,61.0,61.2,12757
139,ok,2007-04-26,61.2,61.7,60.7,60.9,14716
140,ok,2007-04-29,61.75,61.75,48.85,59.6,12411
141,ok,2007-05-02,63.0,63.0,60.3,60.3,9784
142,ok,2007-05-03,59.0,61.9,59.0,59.95,12849
143,ok,2007-05-06,60.0,61.3,58.5,59.1,22293
144,ok,2007-05-07,59.0,60.1,59.0,59.5,13212
145,ok,2007-05-08,59.0,59.1,57.0,57.65,13737
146,ok,2007-05-09,58.0,61.5,58.0,58.5,49327
147,ok,2007-05-10,57.5,58.75,57.25,57.85,9552
148,ok,2007-05-13,58.1,59.5,58.0,58.3,11515
149,ok,2007-05-14,58.5,61.45,58.2,60.1,25931
150,ok,2007-05-15,60.5,64.9,60.5,62.95,95514
151,ok,2007-05-16,64.5,65.4,62.1,62.65,19195
152,ok,2007-05-17,61.55,62.95,60.15,60.35,48733
153,ok,2007-05-20,62.8,65.3,60.0,64.2,147290
154,ok,2007-05-21,65.9,67.95,64.5,64.9,172765
155,ok,2007-05-22,65.8,67.8,61.2,62.05,121022
156,ok,2007-05-23,63.0,63.8,61.0,61.45,24465
157,ok,2007-05-24,63.45,63.45,60.9,61.65,13704
158,ok,2007-05-27,61.05,62.8,61.05,61.55,18389
159,ok,2007-05-28,61.2,66.6,60.5,63.15,84880
160,ok,2007-05-29,63.45,65.1,62.1,62.6,37955
161,ok,2007-05-30,62.7,65.2,62.5,63.25,28928
162,ok,2007-05-31,63.2,64.85,63.2,64.1,25734
163,ok,2007-06-03,63.55,65.85,63.55,63.95,44202
164,ok,2007-06-04,64.0,65.0,63.0,64.0,26986
165,ok,2007-06-05,64.7,64.7,62.1,62.5,16081
166,ok,2007-06-06,64.0,64.2,61.05,61.4,14896
167,ok,2007-06-07,61.0,62.5,60.0,60.5,17501
168,ok,2007-06-10,61.5,62.8,58.25,59.0,15938
169,ok,2007-06-11,59.4,59.45,57.5,57.85,12733
170,ok,2007-06-12,59.3,59.3,57.5,58.3,5739
171,ok,2007-06-13,59.1,61.1,58.3,59.4,30133
172,ok,2007-06-14,60.5,61.25,59.65,60.2,26632
173,ok,2007-06-17,61.0,61.0,57.6,58.25,12728
174,ok,2007-06-18,58.0,59.3,57.8,58.35,7017
175,ok,2007-06-19,58.5,59.5,57.75,58.6,11090
176,ok,2007-06-20,58.5,61.0,57.0,58.8,24756
177,ok,2007-06-21,58.2,59.15,57.15,57.75,7811
178,ok,2007-06-24,58.05,58.45,57.35,57.7,7644
179,ok,2007-06-25,58.05,58.35,57.3,57.55,5910
180,ok,2007-06-26,57.5,57.95,56.35,56.6,7400
181,ok,2007-06-27,55.25,57.9,55.25,56.7,16751
182,ok,2007-06-28,56.5,57.85,56.1,57.15,20171
183,ok,2007-07-01,56.0,59.9,56.0,58.7,24970
184,ok,2007-07-02,58.55,62.5,58.55,59.65,34469
185,ok,2007-07-03,59.5,60.25,57.6,58.95,11179
186,ok,2007-07-04,59.0,59.5,58.1,59.15,13511
187,ok,2007-07-05,59.0,59.3,57.55,58.05,12213
188,ok,2007-07-08,59.8,62.55,58.3,60.45,50935
189,ok,2007-07-09,60.25,64.2,60.25,61.8,91717
190,ok,2007-07-10,60.05,69.4,60.05,66.5,252101
191,ok,2007-07-11,65.2,68.85,65.0,65.75,80714
192,ok,2007-07-12,65.75,66.45,62.5,63.35,33870
