,s,t,o,h,l,c,v
0,ok,2021-02-15,55.0,60.0,55.0,56.45,10764
1,ok,2021-02-16,57.0,57.25,53.0,55.8,53698
2,ok,2021-02-17,56.5,64.7,54.05,57.5,16385
3,ok,2021-02-18,57.5,58.4,56.05,56.7,4032
4,ok,2021-02-21,56.35,57.95,50.4,53.85,12378
5,ok,2021-02-22,53.0,62.0,52.85,57.2,68013
6,ok,2021-02-23,57.2,58.55,51.25,56.85,8271
7,ok,2021-02-24,56.95,58.0,55.4,56.65,12690
8,ok,2021-02-25,57.0,58.9,54.2,54.6,6492
9,ok,2021-02-28,55.5,57.4,54.35,56.5,10219
10,ok,2021-03-01,58.0,60.9,54.5,59.15,14274
11,ok,2021-03-02,59.15,62.75,54.2,56.7,16437
12,ok,2021-03-03,59.9,68.0,59.9,62.45,196300
13,ok,2021-03-04,62.0,62.95,55.45,56.8,56351
14,ok,2021-03-07,56.85,59.15,55.5,56.4,15105
15,ok,2021-03-08,56.45,57.5,53.3,54.3,29014
16,ok,2021-03-09,54.5,54.7,53.7,54.25,20767
17,ok,2021-03-11,55.55,55.6,53.1,53.55,27055
18,ok,2021-03-14,54.2,54.4,51.55,52.65,26171
19,ok,2021-03-15,53.05,53.05,52.0,52.05,17975
20,ok,2021-03-16,52.15,52.9,47.4,50.25,31777
21,ok,2021-03-17,50.25,52.45,48.1,49.85,85962
22,ok,2021-03-18,50.4,51.25,46.3,48.6,27850
23,ok,2021-03-21,49.95,50.1,46.2,47.45,11905
24,ok,2021-03-22,48.3,48.95,44.6,46.0,5778
25,ok,2021-03-23,47.9,47.9,46.6,46.95,794
26,ok,2021-03-24,47.0,47.95,43.55,44.3,10068
27,ok,2021-03-25,46.4,47.1,44.35,46.2,4258
28,ok,2021-03-29,46.05,47.5,45.0,46.0,3255
29,ok,2021-03-30,46.05,48.5,43.55,44.0,1670
30,ok,2021-03-31,45.45,47.7,44.55,45.25,2562
31,ok,2021-04-04,46.65,48.2,45.0,47.05,730
32,ok,2021-04-05,46.0,48.05,46.0,46.85,1057
33,ok,2021-04-06,47.05,47.6,45.05,45.8,885
34,ok,2021-04-07,47.7,48.8,45.25,47.85,2303
35,ok,2021-04-08,48.1,48.3,46.6,47.6,836
36,ok,2021-04-11,45.95,46.6,43.05,43.95,7516
37,ok,2021-04-12,44.0,46.0,43.5,44.9,6271
38,ok,2021-04-14,45.5,47.4,43.3,44.1,5529
39,ok,2021-04-15,44.5,45.55,42.25,42.6,7552
40,ok,2021-04-18,42.6,44.65,41.6,44.0,5535
41,ok,2021-04-19,44.45,44.65,42.0,42.6,3792
42,ok,2021-04-21,43.65,43.9,42.35,42.95,6191
43,ok,2021-04-22,44.9,44.9,41.95,43.1,4412
44,ok,2021-04-25,45.9,45.9,42.1,42.95,4050
45,ok,2021-04-26,43.05,44.0,42.45,43.7,812
46,ok,2021-04-27,43.75,44.25,42.55,44.2,836
47,ok,2021-04-28,45.0,45.0,43.8,44.0,606
48,ok,2021-04-29,44.05,45.75,41.1,44.05,796
49,ok,2021-05-02,44.7,44.7,42.3,42.35,1379
50,ok,2021-05-03,43.65,44.75,42.6,43.35,2857
51,ok,2021-05-04,44.05,44.5,42.05,42.7,3802
52,ok,2021-05-05,45.7,49.7,43.15,45.1,8990
53,ok,2021-05-06,46.45,47.2,43.25,45.05,1888
54,ok,2021-05-09,45.65,47.4,43.9,44.2,6992
55,ok,2021-05-10,44.5,46.25,43.25,44.75,4734
56,ok,2021-05-11,46.65,46.9,42.9,43.7,16942
57,ok,2021-05-13,44.55,44.7,42.0,43.85,5511
58,ok,2021-05-16,45.0,46.25,44.6,45.2,27137
59,ok,2021-05-17,45.5,46.3,45.05,45.55,2479
60,ok,2021-05-18,45.8,45.95,43.1,45.15,5026
