,s,t,o,h,l,c,v
0,ok,2015-02-15,4.8,5.25,4.8,4.8,10132
1,ok,2015-02-17,4.6,4.6,4.6,4.6,6865
2,ok,2015-02-18,4.4,4.4,4.4,4.4,1000
3,ok,2015-02-19,4.2,4.2,4.2,4.2,6848
4,ok,2015-02-22,4.0,4.0,4.0,4.0,2462
5,ok,2015-02-23,3.8,3.8,3.8,3.8,1133
6,ok,2015-02-24,3.65,3.65,3.65,3.65,202
7,ok,2015-02-25,3.5,3.5,3.5,3.5,3122
8,ok,2015-02-26,3.35,3.35,3.35,3.35,1608
9,ok,2015-02-27,3.2,3.2,3.2,3.2,8612
10,ok,2015-03-01,2.95,3.05,2.9,2.9,76518
11,ok,2015-03-02,2.9,2.9,2.65,2.75,35922
12,ok,2015-03-03,2.5,3.0,2.5,2.9,33933
13,ok,2015-03-04,2.8,2.95,2.8,2.9,15647
14,ok,2015-03-08,3.0,3.0,2.8,2.8,6556
15,ok,2015-03-09,2.9,2.9,2.7,2.7,12746
16,ok,2015-03-10,2.7,2.75,2.6,2.7,10371
17,ok,2015-03-11,2.8,2.8,2.65,2.75,7282
18,ok,2015-03-12,2.65,2.85,2.65,2.7,42478
19,ok,2015-03-15,2.8,2.8,2.6,2.8,23606
20,ok,2015-03-16,2.75,2.9,2.7,2.7,47455
21,ok,2015-03-17,2.6,2.75,2.6,2.6,1742552
22,ok,2015-03-18,2.55,2.7,2.5,2.6,23445
23,ok,2015-03-19,2.7,2.7,2.5,2.55,19926
24,ok,2015-03-22,2.45,2.5,2.45,2.45,14549
25,ok,2015-03-23,2.45,2.5,2.45,2.45,16059
26,ok,2015-03-24,2.5,2.5,2.35,2.35,4001
27,ok,2015-03-25,2.35,2.35,2.25,2.25,2793
28,ok,2015-03-26,2.15,2.15,2.15,2.15,1616744
29,ok,2015-03-29,2.05,2.05,2.05,2.05,21942
30,ok,2015-03-30,1.95,2.05,1.95,1.95,41205
31,ok,2015-03-31,1.9,2.0,1.9,2.0,118367
32,ok,2015-04-05,2.1,2.1,1.9,1.9,19791
33,ok,2015-04-06,1.95,1.95,1.85,1.85,46214
34,ok,2015-04-07,1.9,1.9,1.8,1.85,55435
35,ok,2015-04-08,1.85,1.85,1.8,1.8,27551
36,ok,2015-04-09,1.8,1.8,1.75,1.75,215293
37,ok,2015-04-12,1.75,1.8,1.7,1.8,142579
38,ok,2015-04-14,1.8,1.8,1.75,1.75,119407
39,ok,2015-04-15,1.75,1.8,1.7,1.75,95859
40,ok,2015-04-16,1.7,1.75,1.7,1.75,55303
41,ok,2015-04-19,1.75,1.75,1.7,1.75,56604
42,ok,2015-04-20,1.8,1.8,1.7,1.7,86162
43,ok,2015-04-21,1.65,1.65,1.65,1.65,35575
44,ok,2015-04-22,1.65,1.7,1.65,1.7,7132
45,ok,2015-04-23,1.75,1.75,1.65,1.7,31410
46,ok,2015-04-26,1.75,1.75,1.65,1.7,34050
47,ok,2015-04-27,1.65,1.75,1.65,1.65,11875
48,ok,2015-04-28,1.7,1.7,1.7,1.7,49102
49,ok,2015-04-29,1.75,1.75,1.7,1.7,11606
50,ok,2015-05-03,1.7,1.85,1.7,1.85,43401
51,ok,2015-05-04,1.75,2.0,1.75,2.0,55824
52,ok,2015-05-05,2.1,2.2,1.85,2.0,63850
53,ok,2015-05-06,2.0,2.0,1.9,2.0,41346
54,ok,2015-05-07,2.0,2.0,1.95,2.0,46296
55,ok,2015-05-10,1.95,2.0,1.9,2.0,17250
56,ok,2015-05-11,1.95,2.05,1.95,2.05,50489
57,ok,2015-05-12,2.0,2.0,1.95,1.95,6063
58,ok,2015-05-13,2.05,2.1,1.95,2.0,47653
59,ok,2015-05-14,1.95,2.0,1.95,1.95,6942
60,ok,2015-05-17,2.1,2.1,1.9,2.0,12040
61,ok,2015-05-18,1.95,2.1,1.9,2.0,8733
62,ok,2015-05-19,2.0,2.2,2.0,2.2,39439
63,ok,2015-05-20,2.05,2.4,2.0,2.0,149358
64,ok,2015-05-21,2.0,2.15,1.95,2.0,7266
65,ok,2015-05-24,2.0,2.0,2.0,2.0,10000
66,ok,2015-05-25,2.0,2.15,2.0,2.1,7051
67,ok,2015-05-26,2.2,2.2,1.9,1.9,43895
68,ok,2015-05-27,1.9,2.0,1.85,1.9,66475
69,ok,2015-05-28,1.95,2.05,1.95,2.0,6812
70,ok,2015-05-31,1.85,1.9,1.85,1.9,1356
71,ok,2015-06-01,2.0,2.0,1.9,1.9,6208
72,ok,2015-06-02,1.85,1.85,1.75,1.75,65376
73,ok,2015-06-03,1.8,1.8,1.8,1.8,100
74,ok,2015-06-04,1.8,2.15,1.7,2.05,20546
75,ok,2015-06-07,1.8,2.1,1.8,2.1,5436
76,ok,2015-06-08,1.9,2.1,1.85,1.9,64303
77,ok,2015-06-09,1.7,2.0,1.7,1.85,20538
78,ok,2015-06-10,2.0,2.0,1.8,1.85,10329
79,ok,2015-06-11,1.9,2.2,1.85,2.0,96590
80,ok,2015-06-14,2.0,2.05,1.9,1.9,1493
81,ok,2015-06-15,1.95,2.1,1.65,1.95,18002
82,ok,2015-06-16,1.95,2.05,1.7,1.95,22421
83,ok,2015-06-17,1.9,2.2,1.85,1.9,10662
84,ok,2015-06-18,1.85,2.2,1.8,2.15,35914
85,ok,2015-06-21,2.45,2.45,2.15,2.35,20869
86,ok,2015-06-22,2.35,2.6,2.3,2.5,7032
87,ok,2015-06-23,2.4,2.45,2.15,2.35,25847
88,ok,2015-06-24,2.2,2.5,2.2,2.45,12650
89,ok,2015-06-25,2.45,2.55,2.3,2.35,5488
90,ok,2015-06-28,2.5,2.8,2.35,2.7,48358
91,ok,2015-06-29,2.75,3.2,2.75,3.2,282946
92,ok,2015-06-30,3.45,3.5,3.45,3.5,45315
93,ok,2015-07-01,3.85,3.85,3.7,3.75,402405
94,ok,2015-07-02,3.9,4.0,3.4,3.85,254246
95,ok,2015-07-05,3.9,4.0,3.65,4.0,81701
96,ok,2015-07-06,4.1,4.4,3.9,4.4,253732
97,ok,2015-07-07,4.5,4.6,4.35,4.6,248935
98,ok,2015-07-08,4.8,4.8,4.75,4.8,82896
99,ok,2015-07-09,5.0,5.0,5.0,5.0,181888
100,ok,2015-07-12,5.25,5.25,5.0,5.25,137568
101,ok,2015-07-13,5.5,5.5,5.5,5.5,73284
102,ok,2015-07-14,5.75,5.75,5.75,5.75,115305
103,ok,2015-07-15,6.0,6.0,5.5,5.5,723383
104,ok,2015-07-16,5.25,5.25,5.25,5.25,17545
105,ok,2015-07-19,5.0,5.5,5.0,5.0,241964
106,ok,2015-07-20,4.75,4.75,4.75,4.75,37851
107,ok,2015-07-21,4.55,4.55,4.55,4.55,47820
108,ok,2015-07-22,4.35,4.35,4.35,4.35,32386
109,ok,2015-07-23,4.15,4.45,4.15,4.15,85287
110,ok,2015-07-26,4.0,4.35,4.0,4.35,89228
111,ok,2015-07-27,4.55,4.55,4.4,4.55,112355
112,ok,2015-07-28,4.75,4.75,4.65,4.75,94007
113,ok,2015-07-29,4.95,4.95,4.8,4.95,208089
114,ok,2015-07-30,5.0,5.15,4.75,4.75,192115
115,ok,2015-08-02,4.6,4.95,4.55,4.8,134057
116,ok,2015-08-03,4.8,5.0,4.7,4.85,121893
117,ok,2015-08-04,4.8,5.0,4.65,4.7,85064
118,ok,2015-08-05,4.5,4.9,4.5,4.55,51272
119,ok,2015-08-06,4.5,4.75,4.5,4.6,24263
120,ok,2015-08-09,4.95,5.05,4.35,5.05,179822
121,ok,2015-08-10,5.4,5.4,4.75,4.9,65829
122,ok,2015-08-11,4.55,4.95,4.5,4.6,71099
123,ok,2015-08-12,4.8,5.0,4.15,4.3,182608
124,ok,2015-08-13,4.55,4.55,4.0,4.2,90622
125,ok,2015-08-16,4.1,4.25,3.9,4.1,135964
126,ok,2015-08-17,4.0,4.2,3.95,4.0,36968
127,ok,2015-08-18,4.4,4.4,4.0,4.2,74956
128,ok,2015-08-19,4.2,4.45,4.1,4.15,17761
129,ok,2015-08-20,4.2,4.25,4.05,4.1,23126
130,ok,2015-08-23,3.9,4.0,3.75,3.75,96576
131,ok,2015-08-24,3.8,3.9,3.4,3.4,149518
132,ok,2015-08-25,3.15,3.5,3.15,3.35,137079
133,ok,2015-08-26,3.3,3.6,3.05,3.05,208300
134,ok,2015-08-27,3.2,3.2,2.9,3.0,171178
135,ok,2015-08-30,2.85,3.15,2.85,3.15,108338
136,ok,2015-08-31,3.15,3.3,3.1,3.3,113657
137,ok,2015-09-01,3.25,3.45,3.25,3.45,65825
138,ok,2015-09-02,3.6,3.6,3.45,3.6,64451
139,ok,2015-09-03,3.75,3.75,3.45,3.5,84825
140,ok,2015-09-06,3.45,3.5,3.35,3.35,27275
