,s,t,o,h,l,c,v
0,ok,2005-07-12,12.0,12.1,11.0,11.24,701880
1,ok,2005-07-13,11.3,11.5,11.03,11.4,211200
2,ok,2005-07-14,12.0,12.0,11.15,11.61,214860
3,ok,2005-07-17,12.1,12.1,11.6,11.74,253620
4,ok,2005-07-18,12.0,12.1,11.61,11.69,196990
5,ok,2005-07-19,11.94,12.09,11.41,11.82,602000
6,ok,2005-07-20,11.98,11.98,11.6,11.7,428150
7,ok,2005-07-21,11.9,12.22,11.6,12.03,480310
8,ok,2005-07-24,12.1,12.29,11.73,12.05,357860
9,ok,2005-07-25,12.25,12.5,12.0,12.18,791250
10,ok,2005-07-26,12.35,12.7,12.01,12.26,1929840
11,ok,2005-07-28,12.38,12.38,11.11,11.72,823200
12,ok,2005-07-31,11.94,11.94,11.41,11.61,350930
13,ok,2005-08-01,11.56,12.1,11.56,12.0,274890
14,ok,2005-08-02,12.1,12.3,11.72,11.86,383640
15,ok,2005-08-03,11.92,11.99,11.7,11.75,124030
16,ok,2005-08-04,11.9,11.9,11.7,11.75,97240
17,ok,2005-08-07,12.0,12.13,11.6,11.66,221590
18,ok,2005-08-08,11.89,11.9,11.57,11.78,75370
19,ok,2005-08-09,12.0,12.09,11.87,12.05,289670
20,ok,2005-08-10,12.29,12.3,12.08,12.23,275050
21,ok,2005-08-11,12.25,12.25,11.92,12.07,88820
22,ok,2005-08-15,12.2,12.2,12.0,12.08,178670
23,ok,2005-08-16,12.2,12.2,12.0,12.04,230000
24,ok,2005-08-17,12.0,12.5,12.0,12.12,189890
25,ok,2005-08-18,11.8,12.28,11.8,12.0,210150
26,ok,2005-08-21,12.3,12.3,11.8,11.99,336150
27,ok,2005-08-22,12.3,12.3,11.71,11.75,181690
28,ok,2005-08-23,11.8,11.97,11.6,11.78,171850
29,ok,2005-08-24,11.75,12.96,11.6,12.96,2055390
30,ok,2005-08-25,14.0,14.26,13.7,14.26,3527840
31,ok,2005-08-28,14.8,15.62,14.05,15.28,3445820
32,ok,2005-08-29,15.4,16.04,14.9,16.04,1337600
33,ok,2005-08-30,16.0,16.48,15.5,15.97,1328200
