,s,t,o,h,l,c,v
0,ok,2005-07-12,9.27,9.27,9.05,9.14,174710
1,ok,2005-07-13,9.21,9.36,9.0,9.04,215940
2,ok,2005-07-14,9.45,9.45,9.04,9.1,215980
3,ok,2005-07-17,9.19,9.23,9.12,9.14,206490
4,ok,2005-07-18,9.2,9.2,9.0,9.04,210820
5,ok,2005-07-19,9.1,9.39,9.1,9.3,363110
6,ok,2005-07-20,9.35,9.38,9.05,9.12,295580
7,ok,2005-07-21,9.19,10.6,9.15,10.07,3787360
8,ok,2005-07-24,10.15,10.28,9.7,9.81,796930
9,ok,2005-07-25,9.98,9.98,9.32,9.42,327260
10,ok,2005-07-26,9.45,9.73,9.41,9.56,253120
11,ok,2005-07-28,9.58,9.99,9.4,9.54,441760
12,ok,2005-07-31,10.0,10.1,9.31,9.46,377070
13,ok,2005-08-01,9.8,9.9,9.6,9.66,421500
14,ok,2005-08-02,9.9,9.99,9.51,9.61,417360
15,ok,2005-08-03,9.7,9.7,9.35,9.39,516220
16,ok,2005-08-04,9.6,10.45,9.51,9.93,2012180
17,ok,2005-08-07,10.0,10.19,9.55,9.65,729370
18,ok,2005-08-08,9.7,10.04,9.54,9.68,989300
19,ok,2005-08-09,9.7,9.9,9.66,9.71,453060
20,ok,2005-08-10,9.79,9.85,9.66,9.72,278990
21,ok,2005-08-11,9.78,10.05,9.68,9.92,345030
22,ok,2005-08-15,10.0,10.88,9.9,10.61,2606110
23,ok,2005-08-16,10.75,11.9,10.6,11.38,4084570
24,ok,2005-08-17,13.3,13.65,12.0,13.65,4803060
25,ok,2005-08-18,14.5,15.99,14.4,15.05,17219150
26,ok,2005-08-21,14.96,15.08,13.55,13.57,4735650
27,ok,2005-08-22,13.95,14.84,13.31,13.53,4858940
28,ok,2005-08-23,13.94,13.94,12.33,12.96,3049320
29,ok,2005-08-24,13.0,14.26,12.9,14.26,3884390
30,ok,2005-08-25,14.65,15.1,14.03,14.23,5246210
31,ok,2005-08-28,14.25,14.25,13.55,13.75,1346140
32,ok,2005-08-29,13.96,14.4,13.61,14.2,2311630
33,ok,2005-08-30,14.15,14.39,13.7,13.79,775730
34,ok,2005-08-31,13.7,14.03,13.54,13.68,599020
