,s,t,o,h,l,c,v
0,ok,2000-01-02,20.95,22.4,20.35,22.0,626970
1,ok,2000-01-03,22.3,22.3,20.85,21.0,373870
2,ok,2000-01-04,20.6,21.3,20.15,20.55,238299
3,ok,2000-01-05,20.25,21.85,20.25,20.85,440078
4,ok,2000-01-06,20.55,21.0,20.15,20.3,340025
5,ok,2000-01-09,20.8,21.95,20.25,21.95,609659
6,ok,2000-01-10,23.0,23.25,21.05,21.45,824072
7,ok,2000-01-11,22.95,23.0,21.5,21.75,509809
8,ok,2000-01-12,22.0,22.0,21.15,21.25,263058
9,ok,2000-01-13,21.7,21.7,20.0,20.1,685311
10,ok,2000-01-16,19.7,20.95,19.7,20.3,419898
11,ok,2000-01-17,20.1,20.55,19.85,20.05,630518
12,ok,2000-01-18,20.7,21.65,20.2,21.65,708844
13,ok,2000-01-19,22.45,22.9,20.4,20.5,826896
14,ok,2000-01-20,20.25,20.75,19.75,20.2,553651
15,ok,2000-01-23,20.1,20.3,19.5,19.65,391396
16,ok,2000-01-24,19.5,19.5,19.0,19.1,557559
17,ok,2000-01-26,19.8,20.5,18.95,19.0,319130
18,ok,2000-01-27,19.05,19.1,18.7,18.95,280229
19,ok,2000-01-30,18.6,18.8,18.25,18.4,194707
20,ok,2000-01-31,18.3,18.45,18.0,18.1,343676
21,ok,2000-02-01,18.7,19.1,18.3,18.45,293414
22,ok,2000-02-02,18.75,18.75,18.15,18.35,150588
23,ok,2000-02-03,18.5,18.5,17.9,18.0,265769
24,ok,2000-02-06,18.25,18.25,17.5,17.55,305002
25,ok,2000-02-07,17.75,17.85,17.1,17.3,330520
26,ok,2000-02-08,18.5,18.8,17.75,18.0,374867
27,ok,2000-02-09,18.05,18.25,17.5,17.6,279044
28,ok,2000-02-10,17.95,18.15,17.65,17.75,241869
29,ok,2000-02-13,17.75,17.85,17.3,17.45,176411
30,ok,2000-02-14,17.4,17.65,16.55,16.85,383284
31,ok,2000-02-15,17.0,17.5,17.0,17.25,326589
32,ok,2000-02-16,18.4,21.0,17.3,20.1,1094821
33,ok,2000-02-17,20.2,20.75,18.75,19.85,550483
34,ok,2000-02-20,20.2,20.5,18.0,19.45,495343
35,ok,2000-02-21,19.5,19.75,18.5,18.6,552256
36,ok,2000-02-22,20.5,21.0,18.7,18.8,448946
37,ok,2000-02-23,18.9,19.25,17.35,17.7,307270
38,ok,2000-02-24,17.8,17.8,17.0,17.15,353083
39,ok,2000-02-27,18.0,18.0,16.55,17.05,434475
40,ok,2000-02-28,17.25,19.5,17.15,17.75,1552764
41,ok,2000-04-12,17.7,17.7,16.05,16.1,31687
42,ok,2000-04-16,15.6,16.45,15.5,16.35,90012
43,ok,2000-04-17,16.0,17.1,16.0,16.15,201337
44,ok,2000-04-18,16.5,16.65,16.15,16.25,158300
45,ok,2000-04-19,16.25,16.4,15.7,16.2,234336
46,ok,2000-04-23,16.2,16.65,15.75,15.8,316805
47,ok,2000-04-24,15.7,16.2,15.55,16.05,596653
48,ok,2000-04-25,14.7,14.7,14.0,14.5,210139
49,ok,2000-04-26,14.7,14.75,14.35,14.55,132775
50,ok,2000-04-27,14.45,14.65,14.35,14.45,141824
51,ok,2000-05-01,14.3,14.7,14.1,14.4,101872
52,ok,2000-05-02,14.35,14.5,13.8,14.3,101659
53,ok,2000-05-03,14.4,14.4,13.9,13.95,64706
54,ok,2000-05-04,14.1,14.5,13.6,14.5,161392
55,ok,2000-05-07,14.2,14.6,14.2,14.5,137093
56,ok,2000-05-08,14.6,14.6,14.1,14.45,228045
57,ok,2000-05-09,14.3,14.55,14.0,14.5,156795
58,ok,2000-05-10,14.4,14.8,14.15,14.75,137511
59,ok,2000-05-11,14.6,14.9,14.5,14.65,258665
60,ok,2000-05-14,14.5,15.0,13.7,14.75,326029
61,ok,2000-05-15,14.5,15.15,14.45,14.75,462470
62,ok,2000-05-16,14.8,15.0,14.7,14.9,190031
63,ok,2000-05-17,14.65,15.05,14.65,14.9,165032
64,ok,2000-05-18,14.8,14.95,14.4,14.8,407850
65,ok,2000-05-21,14.8,14.85,14.5,14.55,111697
66,ok,2000-05-22,14.1,15.0,14.1,14.85,236922
67,ok,2000-05-23,14.65,14.9,14.55,14.65,85969
68,ok,2000-05-24,14.7,15.05,14.65,14.75,70442
69,ok,2000-05-25,15.05,15.1,14.6,15.0,82942
70,ok,2000-05-28,14.65,15.1,14.65,14.8,90357
71,ok,2000-05-29,14.85,15.1,14.8,15.05,197818
72,ok,2000-05-30,15.25,15.45,14.95,14.95,114659
73,ok,2000-05-31,14.9,15.1,14.8,14.85,70026
74,ok,2000-06-01,15.0,15.05,15.0,15.0,82855
75,ok,2000-06-04,15.05,15.25,14.9,15.0,207721
76,ok,2000-06-05,15.0,15.25,14.8,15.0,111139
77,ok,2000-06-06,15.25,15.25,15.0,15.1,56833
78,ok,2000-06-07,15.0,15.1,14.9,15.0,37862
79,ok,2000-06-08,14.9,15.05,14.5,15.0,151871
80,ok,2000-06-11,15.1,15.65,15.0,15.0,81933
81,ok,2000-06-12,15.3,15.3,14.7,14.85,164648
82,ok,2000-06-13,15.0,15.0,14.8,14.85,150270
83,ok,2000-06-14,14.9,14.9,14.65,14.75,46077
84,ok,2000-06-15,14.7,15.0,14.6,14.9,259275
85,ok,2000-06-18,14.95,15.2,14.7,15.1,108709
86,ok,2000-06-19,14.8,15.1,14.8,15.0,207398
87,ok,2000-06-20,15.1,15.1,14.95,15.0,172887
88,ok,2000-06-21,14.95,15.1,14.8,15.1,242525
89,ok,2000-06-22,14.85,15.0,14.55,14.9,233060
90,ok,2000-06-25,14.6,15.05,14.4,15.0,208511
91,ok,2000-06-26,14.85,15.05,14.7,15.0,193331
92,ok,2000-06-27,14.8,15.1,14.8,15.0,95649
93,ok,2000-06-28,15.0,16.0,15.0,15.4,219323
94,ok,2000-06-29,15.4,15.6,15.0,15.4,170579
95,ok,2000-07-02,15.2,16.0,15.2,15.9,345193
96,ok,2000-07-03,16.1,16.1,15.7,15.85,199932
97,ok,2000-07-04,16.0,16.2,15.8,16.05,280789
98,ok,2000-07-05,16.15,16.75,16.0,16.65,403652
99,ok,2000-07-06,16.95,17.65,16.75,16.95,422442
100,ok,2000-07-09,17.6,18.4,17.4,17.65,523703
101,ok,2000-07-10,17.45,18.35,17.45,18.15,1205646
102,ok,2000-07-11,18.9,19.35,18.35,19.25,587681
103,ok,2000-07-12,19.5,19.75,18.4,18.45,416181
104,ok,2000-07-13,18.5,18.75,17.9,18.15,311908
105,ok,2000-07-16,18.5,18.5,18.0,18.15,175803
106,ok,2000-07-17,18.05,18.3,17.65,17.8,418612
107,ok,2000-07-18,18.0,18.0,17.55,17.65,128645
108,ok,2000-07-19,17.5,17.6,17.2,17.4,65230
109,ok,2000-07-20,19.0,19.0,17.1,17.3,78353
110,ok,2000-07-23,17.2,17.8,17.0,17.25,121070
111,ok,2000-07-24,17.05,17.9,16.55,17.75,217572
112,ok,2000-07-25,18.0,18.15,17.15,17.2,168124
113,ok,2000-07-26,17.05,17.4,17.0,17.35,149113
114,ok,2000-07-27,17.3,17.45,17.15,17.3,74279
115,ok,2000-07-30,17.05,17.65,17.05,17.5,89858
116,ok,2000-07-31,17.3,17.6,17.25,17.4,143919
117,ok,2000-08-01,17.45,17.6,17.25,17.5,130778
118,ok,2000-08-02,17.7,17.9,17.5,17.85,82900
119,ok,2000-08-03,17.85,18.0,17.7,17.85,94330
120,ok,2000-08-06,17.8,18.9,17.8,18.35,224810
121,ok,2000-08-07,18.6,21.25,18.6,20.15,1037062
122,ok,2000-08-08,21.0,21.8,20.3,21.65,1275060
123,ok,2000-08-09,21.95,23.4,20.6,23.4,2646542
124,ok,2000-08-10,23.9,24.75,22.1,22.45,1329511
125,ok,2000-08-13,22.5,22.65,21.5,21.85,827246
126,ok,2000-08-15,22.0,23.6,21.7,22.7,580106
127,ok,2000-08-16,22.2,22.85,22.2,22.5,213157
128,ok,2000-08-17,22.3,23.15,22.25,22.9,1450101
129,ok,2000-08-20,22.7,23.2,22.65,22.95,357779
130,ok,2000-08-21,22.8,24.8,22.8,24.8,870026
131,ok,2000-08-22,25.0,26.5,25.0,25.8,1149265
132,ok,2000-08-23,26.45,27.5,24.8,27.05,1426455
133,ok,2000-08-24,27.4,27.5,26.3,26.9,799500
134,ok,2000-08-27,26.9,27.45,25.9,26.6,830086
135,ok,2000-08-28,26.9,26.9,25.65,25.9,729431
136,ok,2000-08-29,26.05,26.25,25.05,25.2,429900
137,ok,2000-08-30,25.1,25.6,23.6,24.7,564229
138,ok,2000-09-03,24.35,26.5,23.8,25.6,1283384
139,ok,2000-09-04,25.05,26.1,24.75,25.35,665066
140,ok,2000-09-05,26.0,27.0,25.8,25.95,489796
141,ok,2000-09-06,26.0,26.25,25.5,25.7,202225
142,ok,2000-09-07,26.0,26.1,25.25,25.45,124536
143,ok,2000-09-10,25.8,25.8,24.05,24.35,422538
144,ok,2000-09-11,24.15,24.75,23.8,24.1,251899
145,ok,2000-09-12,24.15,24.7,24.0,24.25,242319
146,ok,2000-09-13,24.4,26.2,24.0,25.65,356004
147,ok,2000-09-14,25.35,26.75,25.0,25.1,481179
148,ok,2000-09-17,24.25,25.0,23.3,23.55,861770
149,ok,2000-09-18,23.5,24.0,22.8,22.9,775107
150,ok,2000-09-19,23.8,23.85,22.65,23.5,307891
151,ok,2000-09-20,23.6,23.8,22.8,23.3,81330
152,ok,2000-09-21,22.9,23.0,22.2,22.4,199559
153,ok,2000-09-24,23.0,23.2,22.2,23.0,210198
154,ok,2000-09-25,23.2,23.5,22.7,22.9,429093
155,ok,2000-09-26,23.0,24.75,22.7,24.75,295281
156,ok,2000-09-27,25.0,26.75,24.7,25.9,787410
157,ok,2000-09-28,26.2,26.25,25.25,25.4,235132
158,ok,2000-10-02,25.4,26.4,24.9,25.3,315317
159,ok,2000-10-03,25.95,26.05,25.35,25.8,123119
160,ok,2000-10-04,25.75,26.0,25.25,25.3,88679
161,ok,2000-10-05,25.65,25.65,24.5,24.8,158073
162,ok,2000-10-08,25.3,25.35,23.9,24.1,101824
163,ok,2000-10-09,24.0,26.05,24.0,25.95,478619
164,ok,2000-10-10,27.0,27.0,24.2,25.5,352820
165,ok,2000-10-11,25.4,27.15,25.05,26.6,641602
166,ok,2000-10-12,25.8,27.8,25.5,27.05,946364
167,ok,2000-10-15,27.95,29.25,27.8,28.9,1815925
168,ok,2000-10-16,30.95,30.95,28.35,28.75,907079
169,ok,2000-10-17,28.8,29.0,27.5,27.95,680644
170,ok,2000-10-18,28.8,30.2,27.95,30.2,1290858
171,ok,2000-10-19,31.8,32.65,31.8,32.65,443199
172,ok,2000-10-22,35.0,35.3,30.05,30.65,2053818
173,ok,2000-10-23,31.0,33.1,29.55,32.85,1788900
174,ok,2000-10-24,32.9,34.25,32.6,33.6,1636774
175,ok,2000-10-25,33.6,34.4,33.6,33.85,662816
176,ok,2000-10-26,34.0,34.25,32.5,33.05,979186
177,ok,2000-10-29,33.4,33.5,32.25,32.7,617219
178,ok,2000-10-30,32.95,33.55,30.65,32.05,1061515
179,ok,2000-10-31,34.4,34.4,31.0,32.7,958835
180,ok,2000-11-01,32.85,32.85,31.0,31.5,504917
181,ok,2000-11-02,32.0,33.05,31.7,32.4,806530
182,ok,2000-11-05,32.9,33.75,32.45,33.05,1252913
183,ok,2000-11-06,32.25,33.7,32.25,33.55,749536
184,ok,2000-11-07,33.95,34.5,33.55,33.75,745761
185,ok,2000-11-08,33.3,33.8,33.1,33.5,166262
186,ok,2000-11-09,33.15,33.7,33.05,33.35,443304
187,ok,2000-11-12,33.2,33.4,32.5,33.2,255968
188,ok,2000-11-13,33.1,33.5,33.1,33.3,818519
189,ok,2000-11-14,33.4,34.3,33.25,33.65,258311
190,ok,2000-11-15,33.9,34.5,33.45,33.5,277210
191,ok,2000-11-16,33.5,34.0,33.35,33.9,149582
192,ok,2000-11-19,34.5,35.0,34.05,34.4,470733
193,ok,2000-11-20,35.25,36.4,34.0,36.05,934494
194,ok,2000-11-21,36.05,36.7,35.0,35.25,778958
195,ok,2000-11-22,35.1,35.15,34.5,34.75,398451
196,ok,2000-11-23,34.55,35.05,34.3,34.85,479494
197,ok,2000-11-26,34.55,35.0,34.0,34.55,150490
198,ok,2000-11-27,34.85,34.85,33.05,33.5,447811
199,ok,2000-11-28,33.5,36.0,33.5,35.1,1097918
200,ok,2000-11-29,35.85,35.85,34.7,35.4,542544
201,ok,2000-11-30,34.55,36.25,34.55,35.45,931964
202,ok,2000-12-03,35.95,36.0,35.15,35.3,278559
203,ok,2000-12-04,35.45,35.75,35.05,35.5,1360968
204,ok,2000-12-05,33.5,35.8,33.5,35.05,127315
205,ok,2000-12-06,34.9,35.8,34.65,35.5,346262
206,ok,2000-12-07,35.85,36.0,35.0,35.85,506802
207,ok,2000-12-10,35.95,36.35,35.3,35.55,260617
