,s,t,o,h,l,c,v
0,ok,2000-01-02,14.9,14.9,14.25,14.55,5700
1,ok,2000-01-03,14.35,15.0,14.25,14.7,10800
2,ok,2000-01-04,13.6,14.55,13.6,14.35,2800
3,ok,2000-01-05,14.05,14.5,14.0,14.1,5900
4,ok,2000-01-06,14.25,14.5,13.8,13.85,4700
5,ok,2000-01-09,13.35,14.3,13.35,13.8,3500
6,ok,2000-01-10,13.5,13.95,13.4,13.75,12300
7,ok,2000-01-11,13.5,13.8,13.45,13.8,2900
8,ok,2000-01-12,13.95,13.95,13.5,13.8,2700
9,ok,2000-01-13,13.05,13.85,13.05,13.65,3400
10,ok,2000-01-16,13.4,13.4,13.0,13.0,25300
11,ok,2000-01-17,13.3,13.4,13.0,13.1,16500
12,ok,2000-01-18,13.0,13.7,13.0,13.5,5000
13,ok,2000-01-19,13.45,13.45,12.8,12.95,16100
14,ok,2000-01-20,13.2,13.2,12.9,13.0,17100
15,ok,2000-01-23,13.15,13.3,12.65,12.7,12400
16,ok,2000-01-24,12.5,12.95,12.25,12.4,19700
17,ok,2000-01-26,13.35,13.35,12.5,12.95,32000
18,ok,2000-01-27,13.0,13.25,12.5,12.6,18100
19,ok,2000-01-30,12.25,12.5,11.0,12.35,12300
20,ok,2000-01-31,12.25,12.5,12.0,12.4,22800
21,ok,2000-02-01,12.5,12.85,12.1,12.75,9700
22,ok,2000-02-02,12.05,12.5,12.05,12.5,8000
23,ok,2000-02-03,12.25,12.25,12.05,12.25,5400
24,ok,2000-02-06,12.4,12.5,12.0,12.2,11100
25,ok,2000-02-07,12.5,12.5,11.8,11.8,15000
26,ok,2000-02-08,12.0,12.2,11.85,12.1,10600
27,ok,2000-02-09,11.5,12.0,11.5,11.9,9000
28,ok,2000-02-10,12.0,12.0,11.05,11.75,16100
29,ok,2000-02-13,12.0,12.0,11.55,11.7,2300
30,ok,2000-02-14,11.75,12.25,11.55,12.2,7400
31,ok,2000-02-15,12.0,12.0,11.4,11.4,8600
32,ok,2000-02-16,11.65,11.95,11.45,11.9,7300
33,ok,2000-02-17,11.6,12.0,11.35,11.5,8800
34,ok,2000-02-20,11.5,11.8,11.2,11.8,15500
35,ok,2000-02-21,10.55,11.95,10.55,11.3,15300
36,ok,2000-02-22,12.4,12.4,11.5,11.6,21500
37,ok,2000-02-23,11.5,14.5,11.5,13.9,63900
38,ok,2000-02-24,14.7,17.0,14.55,16.15,121600
39,ok,2000-02-27,16.25,16.5,14.1,14.95,84200
40,ok,2000-02-28,15.5,15.9,12.0,12.5,130400
41,ok,2000-02-29,12.85,13.0,12.1,12.75,13800
42,ok,2000-03-01,12.6,12.6,11.05,11.85,11800
43,ok,2000-03-02,11.0,11.65,11.0,11.3,21000
44,ok,2000-03-05,11.2,11.65,11.0,11.3,5600
45,ok,2000-03-06,11.0,11.55,10.9,11.15,17500
46,ok,2000-03-07,11.55,11.55,11.3,11.4,5700
47,ok,2000-03-08,10.55,11.25,10.55,11.0,6900
48,ok,2000-03-09,11.0,11.25,11.0,11.1,5600
49,ok,2000-03-12,10.7,11.0,10.6,10.85,7100
50,ok,2000-03-13,10.7,11.35,10.7,11.25,12400
51,ok,2000-03-14,11.25,11.6,11.25,11.55,5100
52,ok,2000-03-15,11.5,11.65,11.1,11.3,8400
53,ok,2000-03-20,11.05,11.3,10.6,10.7,11800
54,ok,2000-03-21,10.75,10.85,10.75,10.85,300
55,ok,2000-03-22,10.75,11.25,10.5,11.0,15100
56,ok,2000-03-23,10.4,10.95,10.4,10.9,10600
57,ok,2000-03-26,11.0,11.0,9.75,10.85,89500
58,ok,2000-03-27,10.95,11.2,10.5,11.1,7000
59,ok,2000-03-28,10.55,11.0,10.55,10.75,2100
60,ok,2000-03-29,10.7,10.7,9.6,10.1,10500
61,ok,2000-03-30,10.15,11.0,10.15,10.7,10800
62,ok,2000-04-02,11.7,11.7,10.5,10.7,2000
63,ok,2000-04-03,10.9,10.95,10.35,10.45,8600
64,ok,2000-04-04,10.8,10.9,10.4,10.9,1600
65,ok,2000-04-05,11.25,11.25,10.15,10.4,3500
66,ok,2000-04-06,10.65,11.5,10.65,11.4,9800
67,ok,2000-04-09,11.4,11.4,11.05,11.2,3400
68,ok,2000-04-11,11.0,11.0,10.5,10.5,11200
69,ok,2000-04-12,10.6,10.85,10.4,10.75,4300
70,ok,2000-04-16,10.25,10.5,9.85,9.95,15100
71,ok,2000-04-17,10.0,10.0,9.85,9.95,3900
72,ok,2000-04-18,10.0,10.45,10.0,10.1,10500
73,ok,2000-04-19,10.0,10.0,9.8,10.0,12700
74,ok,2000-04-23,9.75,10.0,9.75,10.0,20500
75,ok,2000-04-24,10.0,10.0,9.4,9.6,5300
76,ok,2000-04-25,9.8,10.1,9.5,10.1,3300
77,ok,2000-04-26,10.15,10.15,9.6,9.6,1000
78,ok,2000-04-27,9.1,9.8,9.0,9.65,1900
79,ok,2000-05-01,9.6,9.9,9.25,9.25,10000
80,ok,2000-05-02,8.3,9.5,8.3,9.3,1900
81,ok,2000-05-03,9.15,9.4,9.15,9.4,300
82,ok,2000-05-04,9.9,10.0,9.75,9.9,7300
83,ok,2000-05-07,10.0,10.0,9.7,10.0,4600
84,ok,2000-05-08,10.0,10.0,9.5,9.7,2000
85,ok,2000-05-09,9.6,9.65,9.6,9.65,600
86,ok,2000-05-10,9.5,9.6,9.25,9.6,1500
87,ok,2000-05-11,9.35,9.55,9.3,9.55,900
88,ok,2000-05-14,9.75,9.75,9.5,9.5,600
89,ok,2000-05-15,9.1,9.75,9.1,9.7,2900
90,ok,2000-05-16,10.35,10.35,9.3,9.5,1800
91,ok,2000-05-17,8.85,9.15,8.85,9.15,300
92,ok,2000-05-18,8.65,9.9,8.65,9.2,800
93,ok,2000-05-21,9.15,10.0,9.15,10.0,2900
94,ok,2000-05-22,9.35,9.85,9.35,9.6,5200
95,ok,2000-05-23,9.1,9.8,9.1,9.8,3300
96,ok,2000-05-24,9.9,9.9,9.7,9.8,4000
97,ok,2000-05-25,10.25,10.35,9.75,10.0,2800
98,ok,2000-05-28,9.8,10.05,9.8,10.05,3300
99,ok,2000-05-29,9.85,10.0,9.85,9.85,4100
100,ok,2000-05-30,10.0,10.0,10.0,10.0,14800
101,ok,2000-05-31,10.05,10.25,10.05,10.05,5600
102,ok,2000-06-01,10.0,10.0,9.85,9.85,2500
103,ok,2000-06-04,9.9,10.2,9.85,9.85,3300
