,s,t,o,h,l,c,v
0,ok,2009-12-13,94.07,97.49,92.73,93.06,35942
1,ok,2009-12-14,94.07,102.18,94.07,96.35,223375
2,ok,2009-12-15,97.02,98.96,92.13,93.3,28082
3,ok,2009-12-16,96.01,99.7,94.07,96.82,95788
4,ok,2009-12-17,96.45,99.16,93.13,93.7,25393
5,ok,2009-12-20,95.01,96.48,92.02,94.2,21406
6,ok,2009-12-21,93.97,95.31,92.06,92.96,3251
7,ok,2009-12-22,91.12,94.81,90.52,93.0,4446
8,ok,2009-12-23,95.68,100.77,95.68,97.35,123133
9,ok,2009-12-28,99.16,101.77,97.15,97.69,39422
10,ok,2009-12-29,99.76,105.53,97.25,102.58,212355
11,ok,2009-12-30,103.31,105.53,100.97,101.61,45507
12,ok,2010-01-03,103.82,107.03,101.91,104.99,61524
13,ok,2010-01-04,105.86,112.69,104.35,108.27,381896
14,ok,2010-01-05,110.15,111.49,107.9,110.38,124573
15,ok,2010-01-06,111.45,113.16,109.88,110.95,69591
16,ok,2010-01-07,111.86,112.56,106.53,108.04,32491
17,ok,2010-01-10,108.54,117.12,107.23,112.49,158416
18,ok,2010-01-11,113.16,118.52,111.25,112.12,118116
19,ok,2010-01-12,110.08,115.11,110.08,113.83,27707
20,ok,2010-01-13,113.23,115.91,112.66,113.0,35636
21,ok,2010-01-14,113.9,116.51,112.56,113.33,49115
22,ok,2010-01-17,115.81,115.91,111.56,112.49,34406
23,ok,2010-01-18,111.89,113.9,107.54,108.41,32142
24,ok,2010-01-19,108.54,111.52,106.26,108.1,17990
25,ok,2010-01-20,109.48,109.48,104.52,105.22,13782
26,ok,2010-01-21,101.17,103.85,101.17,102.18,22246
27,ok,2010-01-24,100.9,102.18,97.12,97.52,21842
28,ok,2010-01-26,98.49,99.03,91.12,92.13,18113
29,ok,2010-01-27,95.74,98.49,91.52,93.0,8585
30,ok,2010-01-28,90.45,96.82,87.1,93.47,25566
31,ok,2010-01-31,95.17,104.12,95.14,103.38,54703
32,ok,2010-02-01,105.66,111.76,104.92,105.79,81200
33,ok,2010-02-02,106.8,109.85,105.86,106.83,13437
34,ok,2010-02-03,106.06,109.88,104.25,105.93,25642
35,ok,2010-02-04,102.38,103.85,99.16,100.5,22445
36,ok,2010-02-05,99.56,103.18,99.56,102.54,4161
37,ok,2010-02-07,104.19,104.22,99.23,100.4,16685
38,ok,2010-02-08,100.53,101.51,97.28,99.06,6388
39,ok,2010-02-09,99.5,101.17,97.22,98.46,30755
40,ok,2010-02-10,98.59,113.16,98.59,102.71,55213
41,ok,2010-02-14,103.85,104.79,100.57,100.9,13712
42,ok,2010-02-15,99.33,104.52,99.33,102.31,16670
43,ok,2010-02-16,102.41,104.52,101.27,101.74,10964
44,ok,2010-02-17,102.51,105.66,101.51,102.54,49600
45,ok,2010-02-18,101.84,102.95,98.62,100.1,13209
46,ok,2010-02-21,101.17,104.82,96.25,97.38,15745
47,ok,2010-02-22,97.82,98.16,94.84,95.34,5509
48,ok,2010-02-23,95.34,95.34,92.53,93.23,13927
49,ok,2010-02-24,94.47,94.74,93.16,93.36,8552
50,ok,2010-02-25,93.36,97.82,92.76,96.25,16278
51,ok,2010-03-01,97.82,97.82,95.48,96.25,5276
52,ok,2010-03-02,108.81,109.88,97.92,101.37,155310
53,ok,2010-03-03,104.12,104.12,101.34,101.54,16876
54,ok,2010-03-04,102.18,103.98,102.18,102.85,21545
55,ok,2010-03-07,103.18,105.79,102.85,103.05,21757
56,ok,2010-03-08,102.24,103.08,100.53,101.2,13678
57,ok,2010-03-09,100.67,103.52,100.5,101.74,12355
58,ok,2010-03-10,102.18,103.18,95.88,101.0,11360
59,ok,2010-03-11,100.37,103.11,99.5,99.73,19022
60,ok,2010-03-14,100.37,100.43,96.08,97.79,17736
61,ok,2010-03-15,99.16,100.53,97.15,99.56,16964
62,ok,2010-03-16,99.29,101.1,97.28,98.02,84300
63,ok,2010-03-17,102.51,102.51,97.65,98.29,5852
64,ok,2010-03-18,98.19,99.8,98.19,99.03,7218
65,ok,2010-03-21,97.82,99.16,96.65,97.49,9976
66,ok,2010-03-22,97.32,98.39,93.8,95.84,22275
67,ok,2010-03-24,95.14,101.51,93.87,98.46,36073
68,ok,2010-03-25,97.59,101.07,96.88,97.42,8397
