,s,t,o,h,l,c,v
0,ok,2000-01-02,44.0,44.05,41.0,42.8,66700
1,ok,2000-01-03,42.0,42.0,39.5,40.0,58800
2,ok,2000-01-04,40.0,40.0,38.2,38.55,33400
3,ok,2000-01-05,38.05,41.0,38.0,39.7,48800
4,ok,2000-01-06,40.75,42.0,39.15,40.2,39000
5,ok,2000-01-09,39.25,40.0,37.5,37.85,26100
6,ok,2000-01-10,37.2,38.0,35.5,36.1,46800
7,ok,2000-01-11,38.0,39.0,37.9,38.95,32600
8,ok,2000-01-12,39.7,39.75,37.25,37.6,17500
9,ok,2000-01-13,37.05,37.05,36.55,36.85,11100
10,ok,2000-01-16,37.05,37.95,36.5,36.95,12000
11,ok,2000-01-17,36.05,36.9,36.05,36.5,17000
12,ok,2000-01-18,38.0,38.0,35.7,36.1,30200
13,ok,2000-01-19,34.2,36.4,34.2,35.5,19900
14,ok,2000-01-20,35.75,36.0,34.8,35.85,29900
15,ok,2000-01-23,35.0,36.0,34.0,34.55,26800
16,ok,2000-01-24,34.8,35.5,34.5,34.85,57000
17,ok,2000-01-26,35.5,36.0,34.85,34.85,28900
18,ok,2000-01-27,35.45,35.5,34.55,35.1,13000
19,ok,2000-01-30,33.55,34.5,33.25,34.3,13600
20,ok,2000-01-31,33.95,34.95,31.6,32.15,101900
21,ok,2000-02-01,32.85,34.0,32.45,33.45,29000
22,ok,2000-02-02,34.5,34.5,33.05,33.75,15800
23,ok,2000-02-03,33.9,34.25,33.1,34.1,22200
24,ok,2000-02-06,33.1,34.2,33.1,33.8,20300
25,ok,2000-02-07,34.1,34.1,31.1,31.2,94900
26,ok,2000-02-08,32.5,33.7,32.05,33.15,37100
27,ok,2000-02-09,32.3,33.5,32.3,33.15,21000
28,ok,2000-02-10,33.15,33.5,32.6,33.0,31000
29,ok,2000-02-13,33.35,33.5,32.05,32.4,16600
30,ok,2000-02-14,32.55,32.55,30.75,31.25,28000
31,ok,2000-02-15,31.75,32.35,31.0,31.4,14800
32,ok,2000-02-16,31.8,32.35,30.0,30.9,38100
33,ok,2000-02-17,30.05,31.6,29.5,31.25,30300
34,ok,2000-02-20,31.0,32.0,30.0,31.7,30500
35,ok,2000-02-21,31.5,31.5,30.25,30.85,18800
36,ok,2000-02-22,30.55,31.75,30.0,30.5,21900
37,ok,2000-02-23,29.2,30.9,29.1,29.7,12100
38,ok,2000-02-24,29.25,30.0,28.0,29.35,25900
39,ok,2000-02-27,29.9,31.7,28.6,31.55,54200
40,ok,2000-02-28,32.0,34.1,31.2,31.5,78900
41,ok,2000-02-29,33.25,34.05,33.0,34.05,10900
42,ok,2000-03-01,35.0,36.8,35.0,35.55,100000
43,ok,2000-03-02,38.0,38.0,33.15,34.0,39600
44,ok,2000-03-05,34.75,35.35,33.0,33.75,33200
45,ok,2000-03-06,34.0,34.0,31.9,32.15,47500
46,ok,2000-03-07,33.5,34.0,30.7,31.0,17300
47,ok,2000-03-08,31.0,31.0,29.25,29.9,15700
48,ok,2000-03-09,29.9,30.65,28.75,29.85,11100
49,ok,2000-03-12,29.85,29.85,28.0,28.05,15600
50,ok,2000-03-13,28.75,28.75,27.1,27.9,38400
51,ok,2000-03-14,29.35,30.15,29.35,30.15,10200
52,ok,2000-03-15,29.9,32.0,29.05,29.75,12600
53,ok,2000-03-20,30.0,30.0,28.0,28.4,24400
54,ok,2000-03-21,30.0,30.6,28.5,29.15,19400
55,ok,2000-03-22,29.0,29.05,28.0,28.6,8500
56,ok,2000-03-23,28.0,28.8,27.5,28.5,9100
57,ok,2000-03-26,29.1,29.1,27.75,28.5,5500
58,ok,2000-03-27,27.5,29.5,27.2,27.5,18300
59,ok,2000-03-28,28.9,28.9,27.55,28.0,8500
60,ok,2000-03-29,27.75,28.0,27.1,27.45,9600
61,ok,2000-03-30,27.15,28.2,27.15,28.05,14700
62,ok,2000-04-02,27.8,28.5,27.25,27.35,11100
63,ok,2000-04-03,27.0,27.0,25.2,25.25,69400
64,ok,2000-04-04,25.95,27.3,25.95,27.1,16500
65,ok,2000-04-05,27.5,27.5,25.75,26.5,12300
66,ok,2000-04-06,28.5,28.5,27.1,27.95,9900
67,ok,2000-04-09,28.0,28.0,27.0,27.65,13700
68,ok,2000-04-11,26.0,27.2,26.0,26.8,1900
69,ok,2000-04-12,25.0,27.3,25.0,27.15,5400
70,ok,2000-04-16,25.5,26.45,25.5,25.95,9800
71,ok,2000-04-17,26.0,26.25,25.0,25.75,14700
72,ok,2000-04-18,27.05,27.05,25.3,25.4,4400
73,ok,2000-04-19,25.0,25.65,25.0,25.5,6000
74,ok,2000-04-23,25.45,25.7,24.5,24.85,11600
75,ok,2000-04-24,23.5,25.45,23.5,24.65,17600
76,ok,2000-04-25,25.0,25.85,24.75,24.95,9000
77,ok,2000-04-26,25.0,25.5,24.6,24.6,7100
78,ok,2000-04-27,25.7,25.7,24.6,24.9,2800
79,ok,2000-05-01,24.7,25.5,23.0,23.5,16800
80,ok,2000-05-02,23.5,24.65,23.5,24.0,7200
81,ok,2000-05-03,24.05,25.0,24.05,24.4,6900
82,ok,2000-05-04,24.75,24.75,23.85,24.3,7500
83,ok,2000-05-07,24.2,24.2,23.3,23.6,7700
84,ok,2000-05-08,23.5,23.95,23.3,23.65,8800
85,ok,2000-05-09,23.8,24.25,23.4,24.0,6200
86,ok,2000-05-10,23.4,24.3,23.4,23.45,51700
87,ok,2000-05-11,23.35,23.75,22.95,23.3,13900
88,ok,2000-05-14,22.0,23.3,22.0,23.1,6000
89,ok,2000-05-15,23.55,23.6,22.05,22.8,24700
90,ok,2000-05-16,23.4,23.4,22.4,22.55,15300
91,ok,2000-05-17,22.8,22.8,22.2,22.45,11200
92,ok,2000-05-18,22.5,22.5,22.05,22.3,7700
93,ok,2000-05-21,22.7,22.7,21.8,22.0,18500
94,ok,2000-05-22,21.0,22.0,21.0,21.5,58900
95,ok,2000-05-23,22.0,22.25,21.05,21.6,49800
96,ok,2000-05-24,22.1,22.45,21.5,21.55,30400
97,ok,2000-05-25,22.0,22.0,21.25,21.5,41000
98,ok,2000-05-28,22.0,22.0,20.1,21.8,20500
