,s,t,o,h,l,c,v
0,ok,2020-11-19,1710.0,1850.0,1700.0,1819.55,11310647
1,ok,2020-11-22,1844.0,2183.45,1840.0,2089.05,3893237
2,ok,2020-11-23,2110.0,2174.8,1960.2,2048.5,1961368
3,ok,2020-11-24,2077.0,2222.0,2036.1,2053.0,2771893
4,ok,2020-11-25,2074.4,2155.9,2070.0,2106.7,1211725
5,ok,2020-11-26,2125.0,2151.0,2092.0,2113.0,780377
6,ok,2020-11-30,2120.0,2220.0,2110.0,2191.05,990336
7,ok,2020-12-01,2205.0,2212.9,2141.1,2184.75,649329
8,ok,2020-12-02,2198.0,2239.0,2174.0,2202.4,399313
9,ok,2020-12-03,2212.0,2220.0,2169.0,2178.45,409649
10,ok,2020-12-06,2179.0,2438.85,2164.0,2352.8,967392
11,ok,2020-12-07,2368.0,2396.85,2292.0,2305.5,317512
12,ok,2020-12-08,2320.0,2349.95,2275.0,2279.5,192250
13,ok,2020-12-09,2278.0,2278.45,2205.0,2250.05,255923
14,ok,2020-12-10,2258.0,2274.6,2227.85,2241.6,177900
15,ok,2020-12-13,2245.0,2273.0,2221.0,2224.4,167368
16,ok,2020-12-14,2228.0,2230.0,2178.0,2197.15,246370
17,ok,2020-12-15,2199.0,2252.2,2190.0,2196.2,411542
18,ok,2020-12-16,2199.0,2203.95,2115.5,2178.3,1643980
19,ok,2020-12-17,2180.0,2255.0,2164.0,2226.5,885005
20,ok,2020-12-20,2244.95,2440.0,2152.15,2319.75,1464484
21,ok,2020-12-21,2341.2,2395.0,2240.0,2328.25,435493
22,ok,2020-12-22,2350.0,2396.8,2330.0,2353.05,512028
23,ok,2020-12-23,2360.0,2429.0,2339.0,2408.35,575779
24,ok,2020-12-27,2439.0,2508.55,2380.0,2393.65,448777
25,ok,2020-12-28,2409.0,2425.0,2335.0,2348.6,400122
26,ok,2020-12-29,2355.8,2363.7,2296.0,2351.0,243725
27,ok,2020-12-30,2356.0,2404.0,2326.0,2339.75,362391
28,ok,2020-12-31,2344.9,2388.0,2344.9,2369.7,92306
29,ok,2021-01-03,2390.05,2488.4,2375.0,2447.7,629065
30,ok,2021-01-04,2444.0,2482.4,2422.95,2468.55,335971
31,ok,2021-01-05,2480.0,2486.95,2400.15,2408.45,238280
32,ok,2021-01-06,2429.95,2447.0,2390.05,2401.1,137885
33,ok,2021-01-07,2408.95,2417.4,2350.1,2368.1,194282
34,ok,2021-01-10,2384.95,2385.0,2310.05,2328.7,200693
35,ok,2021-01-11,2330.05,2338.6,2240.0,2248.35,267814
36,ok,2021-01-12,2250.0,2275.0,2175.0,2201.0,342069
37,ok,2021-01-13,2209.0,2280.0,2205.25,2259.95,156659
38,ok,2021-01-14,2263.0,2401.95,2260.35,2366.2,503248
39,ok,2021-01-17,2390.0,2394.0,2320.0,2335.55,150380
40,ok,2021-01-18,2343.25,2365.0,2251.4,2290.1,123343
41,ok,2021-01-19,2295.0,2318.7,2257.0,2274.55,186031
42,ok,2021-01-20,2287.95,2304.7,2197.0,2204.6,197792
43,ok,2021-01-21,2220.0,2324.0,2184.9,2284.5,613805
44,ok,2021-01-24,2295.0,2295.0,2191.6,2251.0,342532
45,ok,2021-01-26,2253.0,2253.95,2166.1,2184.9,290741
46,ok,2021-01-27,2155.0,2200.0,2122.1,2143.15,185270
47,ok,2021-01-28,2160.0,2164.3,2101.0,2116.3,143246
48,ok,2021-01-31,2120.0,2140.0,2071.0,2078.1,127319
49,ok,2021-02-01,2095.0,2142.95,2080.0,2099.4,249607
50,ok,2021-02-02,2116.7,2155.0,2103.5,2132.1,141163
51,ok,2021-02-03,2130.0,2185.9,2080.95,2136.85,293240
52,ok,2021-02-04,2152.7,2312.0,2127.0,2293.7,389302
53,ok,2021-02-07,2314.0,2338.35,2258.0,2322.55,180259
54,ok,2021-02-08,2312.0,2345.2,2252.0,2268.3,287768
55,ok,2021-02-09,2274.0,2325.0,2253.0,2297.95,324925
56,ok,2021-02-10,2300.0,2323.75,2262.0,2283.85,53077
57,ok,2021-02-11,2285.7,2285.7,2179.55,2188.0,151350
58,ok,2021-02-14,2200.0,2230.0,2161.1,2167.95,132676
59,ok,2021-02-15,2178.7,2235.2,2157.25,2205.85,214876
60,ok,2021-02-16,2204.9,2374.8,2201.95,2359.0,469084
61,ok,2021-02-17,2372.0,2492.0,2300.0,2451.85,684961
62,ok,2021-02-18,2474.0,2487.95,2375.0,2419.05,346130
63,ok,2021-02-21,2418.0,2483.95,2350.0,2389.55,215914
64,ok,2021-02-22,2385.0,2428.9,2351.25,2381.0,175596
65,ok,2021-02-23,2398.95,2404.95,2325.05,2375.15,58313
66,ok,2021-02-24,2390.05,2420.0,2341.55,2411.6,157769
67,ok,2021-02-25,2389.85,2445.0,2360.0,2401.65,189954
68,ok,2021-02-28,2425.0,2467.7,2350.0,2358.7,120452
69,ok,2021-03-01,2361.0,2390.9,2308.55,2349.85,107872
70,ok,2021-03-02,2360.0,2450.0,2356.1,2436.75,152524
71,ok,2021-03-03,2423.9,2693.0,2405.8,2669.8,845383
72,ok,2021-03-04,2629.75,2630.0,2515.65,2549.6,215299
73,ok,2021-03-07,2569.95,2600.0,2550.0,2564.55,166349
74,ok,2021-03-08,2562.2,2575.0,2500.0,2505.05,134636
75,ok,2021-03-09,2509.0,2558.8,2475.05,2490.9,96338
76,ok,2021-03-11,2513.35,2513.35,2461.05,2473.0,177470
77,ok,2021-03-14,2456.05,2550.0,2414.1,2541.9,153235
78,ok,2021-03-15,2545.0,2783.85,2532.2,2717.0,800623
79,ok,2021-03-16,2670.05,2679.2,2512.15,2532.9,423662
80,ok,2021-03-17,2555.0,2570.85,2430.05,2467.1,204798
81,ok,2021-03-18,2450.0,2565.0,2416.0,2554.35,232581
82,ok,2021-03-21,2556.5,2556.5,2473.55,2487.0,125514
83,ok,2021-03-22,2489.0,2519.4,2480.0,2493.65,81879
84,ok,2021-03-23,2470.0,2510.0,2460.95,2487.85,114839
85,ok,2021-03-24,2489.0,2505.25,2365.0,2450.6,166985
86,ok,2021-03-25,2475.0,2483.45,2405.1,2412.65,54723
87,ok,2021-03-29,2425.0,2514.9,2425.0,2497.4,183863
88,ok,2021-03-30,2494.0,2512.0,2451.7,2478.3,92845
89,ok,2021-03-31,2499.2,2507.8,2441.0,2467.9,168497
90,ok,2021-04-04,2470.0,2548.6,2400.0,2501.5,135477
91,ok,2021-04-05,2501.0,2515.0,2470.0,2478.2,62286
92,ok,2021-04-06,2499.95,2524.9,2485.2,2504.1,127266
93,ok,2021-04-07,2514.0,2545.4,2498.55,2510.75,71530
94,ok,2021-04-08,2520.0,2571.0,2495.2,2530.55,202465
95,ok,2021-04-11,2518.0,2655.0,2446.15,2582.1,677157
96,ok,2021-04-12,2664.8,2710.0,2521.0,2532.85,633131
97,ok,2021-04-14,2544.0,2544.0,2473.0,2480.85,235371
98,ok,2021-04-15,2489.0,2660.0,2464.0,2627.2,403929
99,ok,2021-04-18,2601.0,2804.0,2560.45,2760.15,832665
100,ok,2021-04-19,2825.0,2873.0,2620.0,2643.25,669317
101,ok,2021-04-21,2616.85,2718.95,2607.05,2660.55,616141
102,ok,2021-04-22,2700.0,2739.95,2642.4,2658.25,325225
103,ok,2021-04-25,2674.0,2699.0,2645.0,2651.3,202832
104,ok,2021-04-26,2664.9,2672.85,2637.15,2650.05,185405
105,ok,2021-04-27,2663.0,2685.0,2605.0,2669.6,215493
106,ok,2021-04-28,2678.95,2682.85,2645.2,2651.05,103622
107,ok,2021-04-29,2651.0,2818.3,2629.0,2781.55,512911
108,ok,2021-05-02,2805.15,2836.0,2720.0,2743.7,148728
109,ok,2021-05-03,2765.0,2778.0,2632.3,2648.45,181889
110,ok,2021-05-04,2679.8,2684.55,2595.0,2609.3,372851
111,ok,2021-05-05,2650.0,2719.45,2616.2,2634.25,288778
112,ok,2021-05-06,2685.0,2688.0,2640.3,2647.05,247203
113,ok,2021-05-09,2675.0,2865.9,2641.15,2790.05,843513
114,ok,2021-05-10,2788.0,2885.0,2757.8,2867.35,336850
115,ok,2021-05-11,2895.0,2983.0,2833.0,2860.4,359962
116,ok,2021-05-13,2875.0,2928.0,2750.0,2865.2,225403
117,ok,2021-05-16,2948.0,2950.0,2770.0,2793.2,185252
118,ok,2021-05-17,2910.0,3136.45,2860.2,3062.55,1563292
119,ok,2021-05-18,3050.0,3514.85,3013.1,3341.45,1570144
120,ok,2021-05-19,3303.0,3460.9,3132.25,3159.3,1014564
121,ok,2021-05-20,3190.0,3297.0,3146.05,3169.2,400361
122,ok,2021-05-23,3208.0,3230.0,3102.0,3135.1,287502
123,ok,2021-05-24,3150.0,3290.0,3115.0,3274.65,551124
124,ok,2021-05-25,3303.0,3363.0,3240.0,3258.6,283373
125,ok,2021-05-26,3260.0,3298.7,3191.35,3282.7,254290
126,ok,2021-05-27,3288.0,3298.8,3150.0,3224.35,522591
127,ok,2021-05-30,3200.0,3211.75,3136.0,3153.85,296581
128,ok,2021-05-31,3155.0,3198.15,3031.0,3080.25,374190
129,ok,2021-06-01,3079.75,3173.75,3078.0,3160.1,193259
130,ok,2021-06-02,3188.55,3201.45,3169.0,3180.55,124328
131,ok,2021-06-03,3196.5,3196.5,3112.85,3134.15,134920
132,ok,2021-06-06,3132.0,3190.0,3113.0,3118.6,120754
133,ok,2021-06-07,3119.95,3183.1,3080.2,3126.5,175524
134,ok,2021-06-08,3147.0,3163.0,3091.35,3105.1,107431
135,ok,2021-06-09,3117.15,3165.0,3094.7,3154.25,133571
136,ok,2021-06-10,3164.9,3164.9,3113.3,3147.95,110521
137,ok,2021-06-13,3147.95,3189.75,3113.3,3159.2,220080
138,ok,2021-06-14,3150.0,3161.9,3131.4,3146.45,101956
139,ok,2021-06-15,3150.0,3164.6,3124.0,3141.8,159991
140,ok,2021-06-16,3149.95,3238.35,3075.0,3099.05,551490
141,ok,2021-06-17,3113.0,3168.8,3021.9,3073.55,303950
