,s,t,o,h,l,c,v
0,ok,2017-03-01,21.95,21.95,21.95,21.95,229600
1,ok,2017-03-02,26.33,26.34,22.32,25.28,6412400
2,ok,2017-03-05,25.25,27.93,25.25,27.67,885600
3,ok,2017-03-06,28.04,28.66,28.02,28.05,328000
4,ok,2017-03-07,27.73,28.3,26.24,26.54,180400
5,ok,2017-03-08,26.95,26.95,25.0,25.25,262400
6,ok,2017-03-09,24.77,25.0,24.38,24.43,172200
7,ok,2017-03-13,25.17,25.37,23.92,23.97,114800
8,ok,2017-03-14,24.39,24.51,23.84,23.92,106600
9,ok,2017-03-15,23.81,24.64,23.81,24.27,123000
10,ok,2017-03-16,24.15,24.51,23.19,23.46,139400
11,ok,2017-03-19,23.9,24.15,23.54,23.83,57400
12,ok,2017-03-20,23.97,23.97,23.78,23.96,41000
13,ok,2017-03-21,23.96,23.96,23.42,23.48,90200
14,ok,2017-03-22,23.45,24.39,23.28,24.3,229600
15,ok,2017-03-23,23.81,23.9,23.81,23.9,49200
16,ok,2017-03-26,24.27,24.87,24.12,24.12,57400
17,ok,2017-03-27,24.87,24.87,24.76,24.76,16400
18,ok,2017-03-28,25.0,29.14,25.0,28.76,360800
19,ok,2017-03-29,29.75,29.75,28.54,28.66,49200
20,ok,2017-03-30,28.67,28.67,27.32,27.32,41000
21,ok,2017-04-02,28.14,29.27,28.14,28.97,172200
22,ok,2017-04-04,29.76,30.97,29.76,30.52,196800
23,ok,2017-04-05,31.1,31.59,30.86,31.09,131200
24,ok,2017-04-06,31.51,34.03,31.34,33.66,319800
25,ok,2017-04-09,35.25,38.54,35.25,37.57,360800
26,ok,2017-04-10,37.81,37.81,35.61,36.25,106600
27,ok,2017-04-11,35.37,35.49,35.07,35.49,41000
28,ok,2017-04-16,37.56,39.04,37.44,39.04,114800
29,ok,2017-04-17,41.34,42.38,40.38,40.38,180400
30,ok,2017-04-18,41.83,41.83,41.22,41.22,41000
31,ok,2017-04-19,40.86,40.86,40.25,40.61,57400
32,ok,2017-04-20,39.76,39.76,36.77,37.8,106600
33,ok,2017-04-23,37.81,37.81,37.44,37.44,24600
34,ok,2017-04-24,34.76,38.42,34.76,37.05,82000
35,ok,2017-04-25,37.2,37.2,37.2,37.2,8200
36,ok,2017-04-26,37.32,37.32,37.32,37.32,8200
37,ok,2017-04-27,37.7,38.42,37.62,38.42,24600
38,ok,2017-05-01,37.2,37.2,35.01,36.13,49200
39,ok,2017-05-02,36.22,36.47,36.22,36.47,16400
40,ok,2017-05-03,35.98,35.98,35.25,35.26,24600
41,ok,2017-05-04,35.36,35.49,34.82,35.0,73800
42,ok,2017-05-07,35.25,35.25,35.0,35.12,24600
43,ok,2017-05-08,34.51,34.51,34.27,34.27,16400
44,ok,2017-05-09,34.16,35.12,33.54,33.78,123000
45,ok,2017-05-10,34.88,35.0,33.78,34.51,65600
46,ok,2017-05-11,35.0,35.21,35.0,35.21,16400
47,ok,2017-05-14,34.39,34.75,34.39,34.51,147600
48,ok,2017-05-15,35.22,35.25,34.27,34.27,49200
49,ok,2017-05-16,35.12,35.25,35.12,35.25,16400
50,ok,2017-05-17,35.25,35.25,35.25,35.25,8200
51,ok,2017-05-18,35.49,35.49,35.49,35.49,8200
52,ok,2017-05-21,35.25,35.25,34.64,34.64,16400
53,ok,2017-05-22,34.15,34.88,34.15,34.75,82000
54,ok,2017-05-23,34.76,34.76,34.76,34.76,8200
55,ok,2017-05-24,33.24,33.42,32.2,32.71,131200
56,ok,2017-05-25,32.69,32.69,32.2,32.2,16400
57,ok,2017-05-28,32.2,33.03,31.98,33.03,41000
58,ok,2017-05-29,32.08,32.08,32.08,32.08,8200
59,ok,2017-05-30,32.56,33.54,32.56,33.54,16400
60,ok,2017-05-31,35.0,35.0,34.15,34.15,16400
61,ok,2017-06-01,33.58,33.58,32.32,32.33,65600
62,ok,2017-06-05,33.76,33.76,32.56,33.27,24600
