,s,t,o,h,l,c,v
0,ok,2000-01-02,5.5,5.5,5.12,5.12,1368
1,ok,2000-01-03,5.12,5.12,4.86,4.86,1173
2,ok,2000-01-04,4.74,4.86,4.61,4.61,1758
3,ok,2000-01-05,4.22,4.22,4.22,4.22,195
4,ok,2000-01-06,4.58,4.61,4.58,4.61,1368
5,ok,2000-01-09,4.61,4.61,4.22,4.22,4688
6,ok,2000-01-11,3.79,3.79,3.79,3.79,7226
7,ok,2000-01-12,3.48,3.58,3.46,3.46,4298
8,ok,2000-01-17,4.5,4.5,3.58,3.84,976
9,ok,2000-01-19,4.1,4.1,4.1,4.1,195
10,ok,2000-01-20,3.84,3.84,3.84,3.84,391
11,ok,2000-01-23,3.82,3.84,3.82,3.84,391
12,ok,2000-01-24,4.3,4.3,4.3,4.3,391
13,ok,2000-01-30,3.07,3.2,3.07,3.2,1173
14,ok,2000-01-31,3.07,3.07,3.07,3.07,195
15,ok,2000-02-03,3.84,3.84,3.71,3.84,2539
16,ok,2000-02-06,3.15,3.18,3.15,3.18,1368
17,ok,2000-02-07,3.33,3.33,3.33,3.33,195
18,ok,2000-02-09,3.71,3.71,3.71,3.71,976
19,ok,2000-02-10,3.58,3.58,3.58,3.58,976
20,ok,2000-02-13,2.97,3.58,2.97,3.07,1173
21,ok,2000-02-14,3.56,3.58,3.56,3.58,391
22,ok,2000-02-15,2.97,3.07,2.97,3.07,1173
23,ok,2000-02-16,3.33,3.33,3.33,3.33,781
24,ok,2000-02-17,3.3,3.3,3.3,3.3,195
25,ok,2000-02-20,3.05,3.07,3.05,3.07,2930
26,ok,2000-02-21,2.71,3.07,2.71,3.07,781
27,ok,2000-02-24,3.07,3.07,3.07,3.07,195
28,ok,2000-02-28,3.07,3.07,3.05,3.05,781
29,ok,2000-03-02,2.56,2.56,2.56,2.56,2149
30,ok,2000-03-05,2.54,2.54,2.54,2.54,195
31,ok,2000-03-06,3.58,3.79,3.58,3.79,976
32,ok,2000-03-07,3.56,3.56,3.46,3.46,2344
33,ok,2000-03-09,3.48,3.48,2.82,2.82,1954
34,ok,2000-03-13,2.05,2.05,2.05,2.05,391
35,ok,2000-03-20,2.56,3.02,2.56,3.02,3320
36,ok,2000-03-27,2.51,2.82,2.2,2.82,7226
37,ok,2000-03-28,3.58,4.07,3.33,3.33,8594
38,ok,2000-03-29,3.28,3.28,3.12,3.12,5274
39,ok,2000-03-30,3.58,3.58,2.82,3.54,1954
40,ok,2000-04-02,3.07,3.07,3.07,3.07,195
41,ok,2000-04-03,2.58,2.58,2.58,2.58,391
42,ok,2000-04-06,2.61,3.05,2.35,3.02,2344
43,ok,2000-04-09,2.84,2.84,2.84,2.84,391
44,ok,2000-04-11,2.69,2.69,2.69,2.69,781
45,ok,2000-04-16,2.18,2.69,2.18,2.69,781
46,ok,2000-04-17,2.56,3.07,2.56,3.07,3125
47,ok,2000-04-19,2.82,2.82,2.82,2.82,195
48,ok,2000-05-01,3.02,3.02,3.02,3.02,195
49,ok,2000-05-02,3.07,3.07,3.07,3.07,391
50,ok,2000-05-14,3.02,3.02,3.02,3.02,195
51,ok,2000-05-15,3.02,4.35,3.02,3.92,1954
52,ok,2000-05-18,5.84,5.84,5.84,5.84,195
53,ok,2000-05-21,4.61,5.33,4.61,5.33,1954
54,ok,2000-05-22,3.99,4.97,3.99,4.97,1368
55,ok,2000-05-23,4.43,4.53,4.43,4.53,3906
56,ok,2000-05-24,4.22,4.35,4.22,4.35,391
57,ok,2000-05-29,4.46,4.46,4.46,4.46,391
58,ok,2000-05-30,5.58,5.58,5.58,5.58,976
