,s,t,o,h,l,c,v
0,ok,2018-04-10,244.43,248.0,243.33,247.45,4701
1,ok,2018-04-11,247.45,247.45,238.37,241.7,9624
2,ok,2018-04-12,239.33,244.0,239.33,243.07,3234
3,ok,2018-04-15,243.0,245.0,238.35,239.6,24699
4,ok,2018-04-16,238.67,249.98,237.65,248.87,8958
5,ok,2018-04-17,250.65,251.0,246.0,248.38,9078
6,ok,2018-04-18,248.33,251.67,236.67,243.3,25158
7,ok,2018-04-19,251.33,251.33,242.0,245.02,1785
8,ok,2018-04-22,246.33,259.33,246.33,255.77,21831
9,ok,2018-04-23,256.67,265.28,256.67,260.0,26694
10,ok,2018-04-24,260.0,260.0,252.33,253.25,11757
11,ok,2018-04-25,253.25,253.25,245.83,246.27,12450
12,ok,2018-04-26,248.2,256.62,246.67,250.58,7713
13,ok,2018-04-29,252.33,263.0,252.33,260.45,28965
14,ok,2018-05-01,264.88,267.0,258.33,259.72,19992
15,ok,2018-05-02,260.0,260.63,255.68,259.77,5799
16,ok,2018-05-03,256.68,271.67,256.68,265.63,15762
17,ok,2018-05-06,260.68,270.0,260.68,268.95,13410
18,ok,2018-05-07,268.0,286.33,267.67,278.57,54573
19,ok,2018-05-08,276.67,281.65,273.33,273.97,9603
20,ok,2018-05-09,269.42,278.0,269.42,273.37,17319
21,ok,2018-05-10,274.0,277.05,262.43,276.68,7914
22,ok,2018-05-13,275.0,278.33,271.7,273.4,11805
23,ok,2018-05-14,276.67,282.0,275.02,277.63,8379
24,ok,2018-05-15,276.67,282.97,276.67,281.52,17385
25,ok,2018-05-16,286.67,296.33,278.93,292.67,79191
26,ok,2018-05-17,291.33,293.33,278.83,283.72,60150
27,ok,2018-05-20,281.67,282.5,271.67,274.25,9654
28,ok,2018-05-21,275.0,276.67,264.35,273.03,30609
29,ok,2018-05-22,267.57,278.0,267.17,272.83,10845
30,ok,2018-05-23,270.02,273.33,267.68,269.67,6705
31,ok,2018-05-24,269.67,296.67,265.02,291.98,38910
32,ok,2018-05-27,290.0,313.0,290.0,310.63,83646
33,ok,2018-05-28,313.32,313.32,300.33,302.63,10353
34,ok,2018-05-29,302.33,302.33,296.67,297.33,5316
35,ok,2018-05-30,298.67,301.68,285.33,287.02,6906
36,ok,2018-05-31,295.0,295.0,271.67,275.02,15552
37,ok,2018-06-03,281.33,281.98,263.33,266.65,18393
38,ok,2018-06-04,264.03,266.67,255.33,256.55,12639
39,ok,2018-06-05,256.67,273.33,251.0,272.37,14451
40,ok,2018-06-06,272.97,280.0,271.67,273.25,9309
41,ok,2018-06-07,273.6,275.98,269.52,270.27,6801
42,ok,2018-06-10,270.77,286.5,270.33,280.42,15927
43,ok,2018-06-11,281.38,282.08,278.97,281.1,2772
44,ok,2018-06-12,281.73,283.13,281.33,281.67,1749
45,ok,2018-06-13,281.97,289.33,281.32,283.92,13515
46,ok,2018-06-14,284.97,296.73,284.97,293.33,15786
47,ok,2018-06-17,294.45,294.45,285.0,286.32,4509
48,ok,2018-06-18,286.58,286.58,276.0,277.35,2955
49,ok,2018-06-19,277.92,285.0,275.0,280.53,7143
50,ok,2018-06-20,280.23,280.23,272.52,278.85,3345
51,ok,2018-06-21,278.3,280.0,275.0,279.77,1737
52,ok,2018-06-24,279.07,284.18,275.33,278.08,2055
53,ok,2018-06-25,277.88,280.65,273.02,276.58,12126
54,ok,2018-06-26,275.83,282.33,262.67,268.57,12558
55,ok,2018-06-27,270.43,270.67,256.68,260.22,14340
56,ok,2018-06-28,261.17,267.67,261.17,265.82,8436
57,ok,2018-07-01,265.83,266.67,258.33,261.78,7743
58,ok,2018-07-02,262.67,267.67,261.67,264.63,2793
59,ok,2018-07-03,265.0,268.33,264.67,266.85,3948
60,ok,2018-07-04,268.33,273.0,265.0,266.8,3867
61,ok,2018-07-05,268.53,271.0,266.02,267.68,2847
62,ok,2018-07-08,266.67,280.0,266.67,278.02,10023
63,ok,2018-07-09,272.47,280.0,270.4,276.23,17022
64,ok,2018-07-10,279.77,279.77,273.33,276.0,7824
65,ok,2018-07-11,277.23,280.33,271.03,275.87,11808
66,ok,2018-07-12,279.33,279.33,273.68,276.75,5361
67,ok,2018-07-15,274.0,275.0,266.67,270.0,7710
68,ok,2018-07-16,270.0,274.98,267.28,274.25,13725
69,ok,2018-07-17,275.0,275.67,272.67,273.33,4971
70,ok,2018-07-18,277.98,277.98,270.02,272.27,6879
71,ok,2018-07-19,271.68,275.33,270.02,273.43,7101
72,ok,2018-07-22,280.0,280.0,271.7,276.33,2517
73,ok,2018-07-23,276.65,315.0,276.65,305.83,123417
74,ok,2018-07-24,307.9,310.3,297.73,301.8,19263
75,ok,2018-07-25,303.0,308.33,299.98,304.33,15342
76,ok,2018-07-26,304.33,307.42,301.32,305.4,9693
77,ok,2018-07-29,304.0,305.4,300.55,302.2,8406
78,ok,2018-07-30,302.22,308.3,300.93,306.37,3756
79,ok,2018-07-31,306.82,308.33,303.33,306.32,7401
80,ok,2018-08-01,306.33,307.98,303.33,303.47,7440
81,ok,2018-08-02,303.37,323.3,301.0,309.28,17496
