,s,t,o,h,l,c,v
0,ok,2007-11-15,298.95,324.0,289.0,307.6,81090
1,ok,2007-11-18,324.0,336.0,315.0,324.5,81457
2,ok,2007-11-19,324.5,349.7,324.5,334.95,65118
3,ok,2007-11-20,345.0,345.0,306.0,311.35,47563
4,ok,2007-11-21,310.0,312.0,290.0,296.2,13402
5,ok,2007-11-22,313.5,318.95,295.05,305.45,23418
6,ok,2007-11-25,319.9,325.65,312.2,319.0,37126
7,ok,2007-11-26,324.0,324.0,304.0,306.55,12279
8,ok,2007-11-27,315.0,324.0,301.25,304.85,21669
9,ok,2007-11-28,310.0,311.9,295.15,297.6,22654
10,ok,2007-11-29,308.0,308.95,301.0,305.4,8888
11,ok,2007-12-02,309.0,315.0,294.0,308.45,14281
12,ok,2007-12-03,310.0,310.0,298.0,300.35,12444
13,ok,2007-12-04,301.1,311.0,298.0,302.55,13191
14,ok,2007-12-05,305.0,315.0,303.1,309.7,19465
15,ok,2007-12-06,311.8,311.95,291.0,295.75,17208
16,ok,2007-12-09,300.1,304.3,295.05,297.15,13572
17,ok,2007-12-10,301.0,305.85,295.2,300.35,21999
18,ok,2007-12-11,299.9,305.0,293.6,297.45,21882
19,ok,2007-12-12,300.0,303.65,294.6,297.15,15807
20,ok,2007-12-13,305.0,305.0,293.0,293.55,23358
21,ok,2007-12-16,298.8,298.8,270.0,278.35,25135
22,ok,2007-12-17,284.95,284.95,264.0,274.85,19161
23,ok,2007-12-18,280.0,289.0,271.1,274.15,30380
24,ok,2007-12-19,272.15,284.5,272.15,274.25,22712
25,ok,2007-12-23,277.1,284.0,272.25,277.2,10640
26,ok,2007-12-25,282.0,286.95,273.0,285.1,15717
27,ok,2007-12-26,306.0,306.0,290.0,292.0,19643
28,ok,2007-12-27,276.0,350.4,276.0,338.15,271784
29,ok,2007-12-30,347.5,362.8,339.15,356.3,277606
30,ok,2007-12-31,380.0,392.0,354.0,356.5,107475
31,ok,2008-01-01,363.0,390.0,363.0,374.45,235891
32,ok,2008-01-02,374.0,374.0,356.0,360.1,92492
33,ok,2008-01-03,361.2,372.9,340.0,347.3,69883
34,ok,2008-01-06,344.55,347.8,330.0,333.45,55188
35,ok,2008-01-07,345.0,345.0,315.9,320.6,54099
36,ok,2008-01-08,316.0,335.0,315.0,321.9,83073
37,ok,2008-01-09,323.0,328.0,293.0,300.5,35694
38,ok,2008-01-10,295.0,304.95,290.0,294.35,48189
39,ok,2008-01-13,303.65,319.55,291.0,296.8,99747
40,ok,2008-01-14,304.85,304.85,282.2,288.8,81694
41,ok,2008-01-15,286.0,299.0,280.0,284.8,54670
42,ok,2008-01-16,282.8,289.7,281.15,283.35,43376
43,ok,2008-01-17,287.0,287.0,265.0,267.35,25790
44,ok,2008-01-20,252.0,295.0,214.0,216.0,46271
45,ok,2008-01-21,174.25,209.95,172.8,172.85,45567
46,ok,2008-01-22,159.25,190.1,159.0,188.0,125204
47,ok,2008-01-23,200.0,206.8,178.5,187.35,470650
48,ok,2008-01-24,195.0,206.1,184.0,204.3,60840
49,ok,2008-01-27,194.5,212.0,188.1,207.8,14214
50,ok,2008-01-28,215.0,219.0,203.0,207.45,22391
51,ok,2008-01-29,217.95,217.95,203.1,206.4,375680
52,ok,2008-01-30,214.95,214.95,193.0,198.15,14881
53,ok,2008-01-31,202.0,204.9,196.0,199.8,20960
54,ok,2008-02-03,203.0,209.9,200.05,204.9,15639
55,ok,2008-02-04,203.5,208.0,202.05,205.85,11947
56,ok,2008-02-05,202.0,203.6,194.1,197.5,373155
57,ok,2008-02-06,197.25,214.0,197.25,200.7,53696
58,ok,2008-02-07,200.0,203.0,185.0,187.0,369294
59,ok,2008-02-10,185.0,185.1,168.3,169.2,28680
60,ok,2008-02-11,178.0,178.0,152.7,153.9,84682
61,ok,2008-02-12,157.1,161.6,155.0,155.5,19223
62,ok,2008-02-13,161.0,163.3,160.3,163.3,19560
63,ok,2008-02-14,164.1,171.5,164.0,171.5,13195
64,ok,2008-02-17,179.0,180.1,177.0,178.9,20562
65,ok,2008-02-18,182.0,185.4,175.4,176.95,14898
66,ok,2008-02-19,180.0,180.0,170.1,174.7,7785
67,ok,2008-02-20,179.0,179.0,171.0,172.45,10239
68,ok,2008-02-21,170.0,177.0,165.6,168.65,17299
69,ok,2008-02-24,169.8,169.8,161.1,165.05,37875
70,ok,2008-02-25,165.0,171.9,156.8,159.1,45474
71,ok,2008-02-26,166.45,167.1,163.5,166.45,37645
72,ok,2008-02-27,170.0,174.0,166.0,170.2,23164
73,ok,2008-02-28,165.5,172.0,162.25,164.85,22616
74,ok,2008-03-02,160.0,162.5,157.0,157.45,13510
75,ok,2008-03-03,155.0,157.95,149.6,150.25,27129
76,ok,2008-03-04,144.1,149.5,142.75,143.75,40955
77,ok,2008-03-06,141.0,143.95,136.6,137.5,45951
78,ok,2008-03-09,138.5,140.95,129.0,137.2,22628
79,ok,2008-03-10,143.0,150.9,133.0,148.4,23395
80,ok,2008-03-11,153.5,158.95,135.0,137.1,41330
81,ok,2008-03-12,132.1,139.75,127.1,128.9,21301
82,ok,2008-03-13,130.0,135.8,128.5,134.0,48298
83,ok,2008-03-16,123.1,129.0,120.6,120.6,55217
84,ok,2008-03-17,111.0,115.0,108.55,108.55,89999
85,ok,2008-03-18,112.0,113.0,103.15,103.55,26766
86,ok,2008-03-23,101.1,102.95,98.4,98.4,15695
87,ok,2008-03-24,100.0,100.5,93.5,93.85,440902
88,ok,2008-03-25,95.85,98.55,94.25,98.55,9961
89,ok,2008-03-26,100.0,103.4,96.2,98.4,92037
90,ok,2008-03-27,102.7,103.35,99.0,103.35,78172
91,ok,2008-03-30,107.6,108.5,98.7,99.1,75568
92,ok,2008-03-31,101.0,102.0,95.6,96.4,31776
93,ok,2008-04-01,99.5,101.0,97.0,99.3,22585
94,ok,2008-04-02,100.15,100.5,96.3,97.3,39579
95,ok,2008-04-03,96.5,98.25,92.5,93.05,25220
96,ok,2008-04-06,94.45,94.5,90.05,93.0,38409
97,ok,2008-04-07,93.15,95.5,92.0,93.65,47304
98,ok,2008-04-08,92.5,98.35,89.0,98.35,66349
99,ok,2008-04-09,100.05,103.3,100.05,103.3,55693
100,ok,2008-04-10,107.5,108.5,106.5,108.5,147748
101,ok,2008-04-14,112.4,113.95,110.0,113.95,26469
102,ok,2008-04-15,119.65,119.65,119.65,119.65,18259
103,ok,2008-04-16,125.65,125.65,119.65,122.2,239783
104,ok,2008-04-20,127.0,128.35,120.25,128.35,274707
105,ok,2008-04-21,132.0,133.8,126.0,131.2,98035
106,ok,2008-04-22,133.0,133.95,126.0,129.5,76272
107,ok,2008-04-23,133.0,133.0,128.25,130.65,35094
108,ok,2008-04-24,131.0,131.75,125.05,127.05,32009
109,ok,2008-04-27,129.0,129.9,124.9,125.95,19593
110,ok,2008-04-28,125.2,129.1,124.0,128.4,32699
111,ok,2008-04-29,127.65,134.85,127.25,129.7,70945
112,ok,2008-05-01,132.95,132.95,128.25,131.6,139526
113,ok,2008-05-04,131.1,134.0,130.95,131.9,27866
114,ok,2008-05-05,131.95,138.5,131.6,134.4,167812
115,ok,2008-05-06,136.0,140.9,132.1,138.7,149921
116,ok,2008-05-07,138.1,138.1,132.5,133.8,25951
117,ok,2008-05-08,132.0,135.0,127.25,128.6,27167
118,ok,2008-05-11,127.9,127.9,122.2,122.85,25881
119,ok,2008-05-12,124.0,127.5,119.25,120.4,29028
120,ok,2008-05-13,122.0,123.85,119.0,120.35,16541
121,ok,2008-05-14,121.1,123.75,121.0,121.75,10882
122,ok,2008-05-15,121.0,127.85,121.0,127.3,42569
123,ok,2008-05-19,132.85,133.6,124.3,128.35,40502
124,ok,2008-05-20,128.0,134.8,128.0,133.6,30964
125,ok,2008-05-21,135.9,138.0,132.0,133.25,44365
126,ok,2008-05-22,136.7,137.8,128.1,130.0,39076
127,ok,2008-05-25,133.15,133.15,126.25,127.45,19932
128,ok,2008-05-26,127.45,130.75,121.15,121.65,24169
129,ok,2008-05-27,123.7,125.0,118.1,121.9,14099
130,ok,2008-05-28,121.0,123.5,116.1,117.4,25449
131,ok,2008-05-29,120.7,120.85,111.7,114.2,18473
132,ok,2008-06-01,117.9,119.95,117.9,119.95,12913
