,s,t,o,h,l,c,v
0,ok,2021-12-02,1245.0,1259.8,1213.0,1247.75,1102664
1,ok,2021-12-05,1245.0,1289.4,1224.35,1266.85,1040038
2,ok,2021-12-06,1274.25,1285.0,1190.0,1207.95,470861
3,ok,2021-12-07,1203.0,1205.0,1170.0,1177.85,293638
4,ok,2021-12-08,1189.0,1200.0,1163.15,1168.05,222500
5,ok,2021-12-09,1182.0,1226.0,1182.0,1210.35,445833
6,ok,2021-12-12,1210.35,1211.05,1182.25,1187.3,109302
7,ok,2021-12-13,1175.1,1183.9,1157.9,1166.05,73723
8,ok,2021-12-14,1157.0,1165.1,1136.5,1148.1,309623
9,ok,2021-12-15,1148.45,1164.75,1140.75,1147.6,107907
10,ok,2021-12-16,1135.0,1192.0,1050.0,1154.0,323030
11,ok,2021-12-19,1096.0,1118.45,968.85,991.05,326632
12,ok,2021-12-20,993.0,1025.0,960.55,971.45,173082
13,ok,2021-12-21,973.0,1133.9,973.0,1101.3,568077
14,ok,2021-12-22,1082.2,1149.5,1056.0,1132.55,411846
15,ok,2021-12-23,1115.0,1156.35,1074.75,1132.9,414992
16,ok,2021-12-26,1095.0,1098.85,1006.3,1060.9,508903
17,ok,2021-12-27,1064.25,1098.4,1058.55,1062.25,199285
18,ok,2021-12-28,1062.25,1123.0,1052.0,1102.3,522796
19,ok,2021-12-29,1095.0,1104.7,1042.05,1052.2,169353
20,ok,2021-12-30,1057.75,1082.0,1057.7,1070.0,114343
21,ok,2022-01-02,1050.0,1085.0,1050.0,1070.1,351370
22,ok,2022-01-03,1075.0,1079.9,1040.05,1046.7,88962
23,ok,2022-01-04,1065.0,1070.95,1042.65,1049.0,163029
24,ok,2022-01-05,1045.0,1063.15,1028.3,1047.35,140945
25,ok,2022-01-06,1048.0,1060.0,1033.75,1047.25,138227
26,ok,2022-01-09,1047.0,1074.9,1039.15,1048.85,210109
27,ok,2022-01-10,1049.3,1052.95,1022.55,1035.1,279278
28,ok,2022-01-11,1045.0,1045.0,1024.0,1029.35,150631
29,ok,2022-01-12,1030.5,1048.0,1020.1,1032.5,140553
30,ok,2022-01-13,1032.5,1068.0,1032.5,1063.9,90275
31,ok,2022-01-16,1063.15,1117.7,1049.4,1103.2,171049
32,ok,2022-01-17,1103.0,1133.7,1069.0,1085.5,114144
33,ok,2022-01-18,1085.0,1089.0,1045.6,1062.95,67792
34,ok,2022-01-19,1058.0,1084.45,1054.85,1078.85,50984
35,ok,2022-01-20,1075.0,1108.0,1071.5,1074.25,107467
36,ok,2022-01-23,1075.0,1085.0,970.0,982.75,344366
37,ok,2022-01-24,979.55,992.55,912.95,962.55,211255
38,ok,2022-01-26,956.8,964.15,917.65,948.85,91066
39,ok,2022-01-27,950.2,979.0,943.3,967.6,163625
40,ok,2022-01-30,970.0,998.65,948.0,953.55,209650
41,ok,2022-01-31,959.95,1020.45,933.95,984.0,134985
42,ok,2022-02-01,984.0,1060.0,973.6,1029.35,267712
43,ok,2022-02-02,1021.0,1023.6,1010.2,1017.55,39655
44,ok,2022-02-03,1019.0,1024.15,991.0,1015.65,107319
45,ok,2022-02-06,1026.05,1085.0,990.35,1054.2,315136
46,ok,2022-02-07,1042.0,1061.85,994.45,1030.15,123915
47,ok,2022-02-08,1033.0,1038.65,1011.0,1019.75,69922
48,ok,2022-02-09,1015.0,1017.0,1001.0,1008.65,61652
49,ok,2022-02-10,1000.0,1002.85,970.1,988.95,69886
50,ok,2022-02-13,970.15,970.2,948.0,958.35,81057
51,ok,2022-02-14,955.0,975.0,932.05,965.85,77086
52,ok,2022-02-15,968.0,976.5,958.0,965.75,86751
