,s,t,o,h,l,c,v
0,ok,2017-10-15,615.6,630.0,563.4,595.65,24000049
1,ok,2017-10-16,596.2,599.95,582.8,587.8,2285512
2,ok,2017-10-17,584.5,605.8,580.0,600.15,2299835
3,ok,2017-10-18,600.0,601.7,588.1,592.6,321920
4,ok,2017-10-22,594.35,596.9,580.0,581.75,504465
5,ok,2017-10-23,581.2,587.0,575.0,577.6,443099
6,ok,2017-10-24,577.8,582.0,555.0,558.15,688096
7,ok,2017-10-25,562.95,562.95,542.9,545.25,466716
8,ok,2017-10-26,548.0,572.0,548.0,560.35,554111
9,ok,2017-10-29,566.8,575.0,561.25,571.3,407389
10,ok,2017-10-30,572.9,582.0,571.0,575.2,249070
11,ok,2017-10-31,576.05,582.8,571.05,572.95,306144
12,ok,2017-11-01,572.95,578.0,562.75,567.55,251514
13,ok,2017-11-02,570.0,575.8,565.4,569.45,235204
14,ok,2017-11-05,546.0,560.0,546.0,549.1,438116
15,ok,2017-11-06,551.0,555.0,541.0,545.1,280595
16,ok,2017-11-07,545.9,554.8,538.1,547.5,254410
17,ok,2017-11-08,550.0,554.0,542.4,545.95,128730
18,ok,2017-11-09,543.0,552.0,542.0,548.75,179443
19,ok,2017-11-12,549.95,550.0,535.0,538.45,409381
20,ok,2017-11-13,536.5,540.95,522.15,528.8,461424
21,ok,2017-11-14,530.8,535.0,527.15,529.65,192711
22,ok,2017-11-15,530.0,535.0,522.35,531.65,131780
23,ok,2017-11-16,534.9,540.0,530.2,538.4,270076
24,ok,2017-11-19,542.0,550.6,538.1,546.0,374190
25,ok,2017-11-20,550.7,565.0,550.7,558.1,205973
26,ok,2017-11-21,562.25,565.0,554.45,556.7,136575
27,ok,2017-11-22,563.6,563.6,547.6,548.9,73355
28,ok,2017-11-23,549.0,553.4,545.05,549.7,70294
29,ok,2017-11-26,551.0,551.5,542.0,544.05,124151
30,ok,2017-11-27,546.0,546.0,540.0,542.55,151912
31,ok,2017-11-28,544.0,544.85,537.5,538.4,68265
32,ok,2017-11-29,537.8,564.5,535.25,552.8,249099
