,s,t,o,h,l,c,v
0,ok,2010-01-04,237.62,272.86,233.5,249.82,18725766
1,ok,2010-01-05,249.71,254.17,243.92,245.15,2516818
2,ok,2010-01-06,245.99,252.92,244.59,249.66,1770800
3,ok,2010-01-07,247.85,250.29,240.48,241.94,506496
4,ok,2010-01-10,244.99,246.2,237.15,241.94,582074
5,ok,2010-01-11,242.04,243.87,236.78,237.64,381946
6,ok,2010-01-12,237.64,243.87,233.67,240.71,460446
7,ok,2010-01-13,242.73,243.52,237.15,238.87,153886
8,ok,2010-01-14,238.08,240.41,237.01,237.25,162912
9,ok,2010-01-17,237.25,239.85,235.29,237.29,116396
10,ok,2010-01-18,234.83,245.71,234.83,238.29,258962
11,ok,2010-01-19,239.22,242.73,237.15,238.06,159732
12,ok,2010-01-20,237.15,239.45,232.27,232.92,185974
13,ok,2010-01-21,227.85,242.71,227.85,229.69,257330
14,ok,2010-01-24,230.18,234.83,226.92,227.62,280692
15,ok,2010-01-26,226.62,231.57,209.42,223.64,142216
16,ok,2010-01-27,225.53,228.78,224.11,225.25,146604
17,ok,2010-01-28,225.25,225.25,214.55,221.32,67050
18,ok,2010-01-31,222.27,227.39,221.32,225.74,60788
19,ok,2010-02-01,227.85,230.18,223.2,223.25,36826
20,ok,2010-02-02,226.39,226.46,221.48,223.39,32510
21,ok,2010-02-03,223.25,225.76,221.37,222.51,28314
22,ok,2010-02-04,219.48,220.88,206.46,217.72,49482
23,ok,2010-02-05,218.55,220.88,214.53,217.95,5510
24,ok,2010-02-07,220.88,226.92,218.09,220.2,33454
25,ok,2010-02-08,226.69,226.92,216.23,218.3,17108
26,ok,2010-02-09,210.42,222.74,210.42,218.97,25716
27,ok,2010-02-10,218.58,224.13,218.58,221.85,29602
28,ok,2010-02-14,223.2,227.81,218.65,222.51,41640
29,ok,2010-02-15,225.53,225.53,218.69,219.48,22564
30,ok,2010-02-16,220.88,226.46,220.88,222.41,25312
31,ok,2010-02-17,221.81,225.5,218.6,222.78,55206
32,ok,2010-02-18,219.51,222.25,219.51,220.92,15288
33,ok,2010-02-21,225.53,225.53,218.6,219.67,21236
34,ok,2010-02-22,211.58,223.18,211.58,218.51,27564
35,ok,2010-02-23,218.51,218.51,216.23,216.53,10966
36,ok,2010-02-24,217.62,223.16,215.81,221.44,27346
37,ok,2010-02-25,222.27,225.53,218.92,220.46,41290
38,ok,2010-03-01,222.97,227.81,219.81,225.32,27714
39,ok,2010-03-02,225.99,245.06,223.67,240.04,428410
40,ok,2010-03-03,236.66,242.22,235.53,240.85,100380
41,ok,2010-03-04,241.34,241.8,236.22,237.32,35350
42,ok,2010-03-07,237.62,241.71,232.08,233.04,30622
43,ok,2010-03-08,233.43,236.08,228.78,232.6,16458
44,ok,2010-03-09,223.2,236.59,223.2,233.13,80920
45,ok,2010-03-10,226.92,237.01,226.48,227.53,48062
46,ok,2010-03-11,227.39,232.04,224.13,228.02,17906
47,ok,2010-03-14,225.53,230.9,225.06,226.13,14684
48,ok,2010-03-15,229.71,231.11,226.46,229.5,20462
49,ok,2010-03-16,231.11,234.6,226.92,230.22,37658
50,ok,2010-03-17,231.57,234.83,231.57,232.6,65944
