,s,t,o,h,l,c,v
0,ok,2000-01-02,17.25,18.7,15.3,18.35,88900
1,ok,2000-01-03,18.0,19.0,16.05,16.55,39900
2,ok,2000-01-04,14.5,17.5,14.5,17.05,14100
3,ok,2000-01-05,17.15,17.6,15.75,15.75,11750
4,ok,2000-01-06,15.0,15.75,15.0,15.75,2500
5,ok,2000-01-09,15.25,15.3,14.7,15.0,3750
6,ok,2000-01-10,15.2,15.25,13.45,13.65,15750
7,ok,2000-01-11,14.05,14.15,14.0,14.15,2750
8,ok,2000-01-12,13.35,14.8,13.35,14.05,11450
9,ok,2000-01-13,12.15,13.5,12.05,13.5,2100
10,ok,2000-01-16,12.45,13.8,12.45,13.75,4200
11,ok,2000-01-17,13.4,13.9,11.5,12.3,26950
12,ok,2000-01-18,13.0,13.2,11.95,12.0,36300
13,ok,2000-01-19,12.5,12.6,12.0,12.4,9850
14,ok,2000-01-20,12.45,12.5,12.1,12.4,4900
15,ok,2000-01-23,12.45,12.45,11.35,11.6,2400
16,ok,2000-01-24,11.15,11.4,10.5,10.85,8000
17,ok,2000-01-26,12.0,12.0,11.4,11.8,3800
18,ok,2000-01-27,12.05,12.25,11.55,11.75,3700
19,ok,2000-01-30,12.45,12.45,11.5,11.6,5250
20,ok,2000-01-31,11.85,11.85,11.25,11.45,6150
21,ok,2000-02-01,11.9,12.75,11.8,12.7,13450
22,ok,2000-02-02,11.85,12.45,11.75,11.8,2950
23,ok,2000-02-03,11.85,12.5,11.8,11.8,2050
24,ok,2000-02-06,11.3,12.25,10.2,11.15,10950
25,ok,2000-02-07,12.0,12.0,10.75,11.0,11700
26,ok,2000-02-08,11.15,12.5,11.15,12.4,8900
27,ok,2000-02-09,12.1,12.5,11.55,11.65,6550
28,ok,2000-02-10,12.0,12.0,11.0,11.2,1950
29,ok,2000-02-13,9.0,12.35,9.0,11.5,2200
30,ok,2000-02-14,10.55,10.65,10.05,10.45,5250
31,ok,2000-02-15,10.35,10.85,10.35,10.55,4700
32,ok,2000-02-16,10.5,10.5,10.0,10.15,18800
33,ok,2000-02-17,10.45,10.45,9.85,10.25,2150
34,ok,2000-02-20,9.8,10.0,9.2,9.65,6550
35,ok,2000-02-21,8.6,10.0,8.6,9.9,7300
36,ok,2000-02-22,9.0,10.4,8.0,8.15,91650
37,ok,2000-02-23,8.45,9.9,8.1,8.9,23300
38,ok,2000-02-24,9.1,9.1,8.3,8.5,15500
39,ok,2000-02-27,8.75,8.75,8.25,8.5,9500
40,ok,2000-02-28,8.5,12.0,8.5,8.95,68750
41,ok,2000-02-29,9.65,9.9,9.0,9.8,6550
42,ok,2000-03-01,9.8,9.85,9.4,9.4,6100
43,ok,2000-03-02,8.65,8.95,8.55,8.55,7150
44,ok,2000-03-05,9.0,10.15,8.5,10.0,18150
45,ok,2000-03-06,9.95,10.0,8.6,8.95,33750
46,ok,2000-03-07,10.9,10.9,9.05,9.05,6150
47,ok,2000-03-08,8.85,9.2,8.8,9.0,7300
48,ok,2000-03-09,8.25,8.9,8.25,8.55,2250
49,ok,2000-03-12,8.5,8.95,8.2,8.2,9200
50,ok,2000-03-13,7.6,8.5,7.5,8.2,15450
51,ok,2000-03-14,9.0,9.2,8.45,8.8,3100
52,ok,2000-03-15,8.35,8.85,8.3,8.85,1700
53,ok,2000-03-20,9.15,9.15,8.0,8.05,11400
54,ok,2000-03-21,8.15,8.55,8.1,8.55,2100
