,s,t,o,h,l,c,v
0,ok,2015-01-08,73.0,75.45,72.1,73.35,205660
1,ok,2015-01-11,73.5,75.15,73.1,73.85,167195
2,ok,2015-01-12,73.75,74.05,71.95,72.0,117611
3,ok,2015-01-13,73.0,73.15,70.0,70.95,130115
4,ok,2015-01-14,71.5,73.5,69.95,70.75,122187
5,ok,2015-01-15,71.0,71.0,68.85,69.8,155675
6,ok,2015-01-18,70.95,80.0,70.0,76.5,583853
7,ok,2015-01-19,79.0,81.5,77.5,78.7,382469
8,ok,2015-01-20,80.35,83.45,78.15,78.95,1204677
9,ok,2015-01-21,79.5,81.25,77.7,78.15,370297
10,ok,2015-01-22,79.7,80.0,76.2,76.9,228679
11,ok,2015-01-26,77.2,78.8,74.35,75.1,240700
12,ok,2015-01-27,75.0,75.4,73.05,73.45,198390
13,ok,2015-01-28,73.55,77.0,73.1,73.95,225314
14,ok,2015-01-29,74.25,74.9,72.2,72.7,187137
15,ok,2015-02-01,73.0,76.6,72.65,74.9,258842
16,ok,2015-02-02,75.65,77.9,74.15,75.0,231752
17,ok,2015-02-03,75.55,78.3,74.95,76.8,301283
18,ok,2015-02-04,76.8,80.0,75.9,76.7,292386
19,ok,2015-02-05,77.4,77.5,73.9,74.75,158906
20,ok,2015-02-08,74.9,77.0,74.3,74.6,143511
21,ok,2015-02-09,75.7,76.3,73.9,75.05,148028
22,ok,2015-02-10,75.2,75.65,74.45,74.65,134108
23,ok,2015-02-11,75.0,76.05,74.2,75.2,142945
24,ok,2015-02-12,75.25,76.8,74.8,75.25,184733
25,ok,2015-02-15,76.3,76.3,74.4,74.9,130203
26,ok,2015-02-17,75.05,75.4,69.0,74.0,136625
27,ok,2015-02-18,74.15,75.2,73.35,73.9,138044
28,ok,2015-02-19,74.55,75.4,74.0,74.65,129529
29,ok,2015-02-22,79.75,80.9,77.0,78.2,254805
30,ok,2015-02-23,78.9,79.5,75.25,75.85,153774
31,ok,2015-02-24,76.1,86.5,76.0,82.7,1018657
32,ok,2015-02-25,83.6,85.35,81.5,82.2,339378
33,ok,2015-02-26,83.5,84.95,82.1,83.6,213072
34,ok,2015-02-27,84.05,84.05,80.2,81.55,165356
35,ok,2015-03-01,82.0,82.95,77.15,80.65,237005
36,ok,2015-03-02,80.55,82.0,78.85,80.25,200105
37,ok,2015-03-03,79.9,82.65,79.0,79.45,160378
38,ok,2015-03-04,80.5,82.5,79.15,81.85,188179
39,ok,2015-03-08,84.0,85.45,81.7,82.5,466967
40,ok,2015-03-09,83.9,83.9,80.3,80.9,170824
41,ok,2015-03-10,80.9,82.5,79.3,79.7,164391
42,ok,2015-03-11,81.5,81.5,79.7,80.7,154492
43,ok,2015-03-12,80.8,83.0,79.4,79.8,207045
44,ok,2015-03-15,81.6,81.6,78.0,78.15,146860
45,ok,2015-03-16,79.3,80.9,78.2,80.05,206591
46,ok,2015-03-17,80.2,80.9,78.5,78.65,147765
47,ok,2015-03-18,78.75,80.3,78.1,78.4,137638
48,ok,2015-03-19,78.5,79.0,75.2,75.55,151268
49,ok,2015-03-22,75.65,76.75,70.25,70.95,152526
50,ok,2015-03-23,74.0,78.1,74.0,76.75,405509
51,ok,2015-03-24,77.7,77.8,75.05,75.4,161816
52,ok,2015-03-25,75.4,76.8,74.0,75.15,148200
53,ok,2015-03-26,74.45,76.45,73.25,74.5,146071
54,ok,2015-03-29,76.7,77.0,74.5,76.35,135031
55,ok,2015-03-30,77.7,81.6,77.7,78.85,235276
56,ok,2015-03-31,79.55,81.9,78.05,80.4,184467
57,ok,2015-04-05,81.3,83.5,80.25,81.3,213262
58,ok,2015-04-06,81.95,83.0,79.05,81.1,159570
59,ok,2015-04-07,82.0,82.5,81.0,82.0,163358
60,ok,2015-04-08,82.3,82.55,81.0,81.75,135316
61,ok,2015-04-09,82.0,89.4,81.6,85.6,579849
62,ok,2015-04-12,86.75,89.5,86.65,86.9,304884
63,ok,2015-04-14,87.5,89.55,86.1,86.85,208020
64,ok,2015-04-15,87.0,91.0,86.75,87.1,296605
65,ok,2015-04-16,87.85,88.85,85.65,86.2,146770
66,ok,2015-04-19,86.45,86.75,83.15,83.9,138612
67,ok,2015-04-20,84.0,85.0,81.5,82.05,127451
68,ok,2015-04-21,82.9,97.4,82.05,84.15,177067
69,ok,2015-04-22,84.9,90.0,84.65,87.75,369763
70,ok,2015-04-23,88.5,90.7,85.0,85.95,239646
71,ok,2015-04-26,87.4,89.5,82.25,83.45,176754
72,ok,2015-04-27,84.85,89.2,84.15,87.0,482745
73,ok,2015-04-28,87.2,89.35,85.0,86.15,186101
74,ok,2015-04-29,86.25,86.9,84.3,85.4,106436
75,ok,2015-05-03,86.0,87.7,84.8,86.35,115678
76,ok,2015-05-04,88.85,94.9,88.5,93.1,627324
77,ok,2015-05-05,92.65,96.0,90.15,93.45,496792
78,ok,2015-05-06,93.5,100.0,92.2,97.55,628002
79,ok,2015-05-07,99.4,104.95,99.4,100.85,427624
80,ok,2015-05-10,102.5,103.95,101.0,101.65,179791
81,ok,2015-05-11,102.0,102.6,97.0,97.85,145386
82,ok,2015-05-12,98.6,102.0,97.85,99.7,122932
83,ok,2015-05-13,99.6,99.6,97.6,98.35,85579
84,ok,2015-05-14,98.9,102.35,98.5,99.95,116161
85,ok,2015-05-17,100.25,100.8,99.0,100.0,109133
86,ok,2015-05-18,99.65,101.85,99.1,99.75,111931
87,ok,2015-05-19,99.95,100.6,98.5,99.05,77093
88,ok,2015-05-20,99.4,99.7,97.5,97.9,64336
89,ok,2015-05-21,98.0,99.7,97.9,98.35,97321
90,ok,2015-05-24,98.4,99.15,96.55,97.05,117729
91,ok,2015-05-25,97.2,98.4,93.0,93.7,129543
92,ok,2015-05-26,93.65,93.65,90.05,91.45,104234
93,ok,2015-05-27,92.0,94.15,90.95,91.75,100068
94,ok,2015-05-28,92.45,95.4,92.05,93.55,96379
95,ok,2015-05-31,93.85,93.85,90.75,91.7,89479
96,ok,2015-06-01,91.75,92.35,90.1,90.8,80560
97,ok,2015-06-02,90.9,91.0,84.0,87.45,106989
98,ok,2015-06-03,87.9,88.3,85.0,85.75,58254
99,ok,2015-06-04,85.7,88.15,85.65,86.3,62228
100,ok,2015-06-07,86.9,87.1,81.3,82.0,84820
101,ok,2015-06-08,82.1,82.8,79.8,80.8,65142
102,ok,2015-06-09,83.95,94.8,83.85,91.1,429152
103,ok,2015-06-10,91.8,93.0,86.0,87.05,132446
104,ok,2015-06-11,87.0,88.9,84.7,86.45,67047
105,ok,2015-06-14,86.5,88.8,86.2,87.35,94865
106,ok,2015-06-15,87.9,88.1,83.0,86.15,55067
107,ok,2015-06-16,86.4,91.5,86.4,90.1,104207
108,ok,2015-06-17,90.5,93.0,90.0,90.25,79803
109,ok,2015-06-18,91.5,92.2,88.15,88.85,74528
110,ok,2015-06-21,89.4,90.85,88.6,89.0,64835
111,ok,2015-06-22,90.0,90.0,88.0,88.25,81556
112,ok,2015-06-23,88.4,88.45,86.8,87.5,56369
113,ok,2015-06-24,87.65,88.25,86.35,87.2,80581
114,ok,2015-06-25,87.5,88.0,86.4,86.65,49761
115,ok,2015-06-28,86.6,86.6,80.0,84.05,97371
116,ok,2015-06-29,84.1,86.4,83.6,85.9,63599
117,ok,2015-06-30,86.0,87.7,85.1,86.8,66757
118,ok,2015-07-01,86.95,90.15,86.95,89.1,117937
119,ok,2015-07-02,90.4,91.25,88.2,88.75,53970
120,ok,2015-07-05,88.0,92.0,87.0,90.05,84313
121,ok,2015-07-06,90.9,93.9,89.6,90.05,72439
122,ok,2015-07-07,89.6,89.6,87.0,87.8,49558
123,ok,2015-07-08,88.0,92.5,87.15,90.7,58359
124,ok,2015-07-09,91.15,102.8,91.1,100.15,480168
125,ok,2015-07-12,100.0,113.0,100.0,110.5,1089449
126,ok,2015-07-13,110.85,110.85,105.35,109.0,222166
127,ok,2015-07-14,106.8,117.9,106.8,109.8,568437
128,ok,2015-07-15,109.9,115.0,109.9,112.05,260919
129,ok,2015-07-16,112.85,114.6,103.05,104.25,653520
130,ok,2015-07-19,103.4,103.95,97.65,100.2,216360
131,ok,2015-07-20,99.9,100.0,91.4,93.1,126186
132,ok,2015-07-21,93.0,98.35,90.55,96.15,122483
133,ok,2015-07-22,95.95,98.0,94.15,96.55,78374
134,ok,2015-07-23,96.9,100.85,95.4,96.15,65703
135,ok,2015-07-26,95.0,96.9,93.2,94.1,41295
136,ok,2015-07-27,94.1,98.0,93.4,95.15,54670
137,ok,2015-07-28,94.8,98.0,94.15,96.9,46608
138,ok,2015-07-29,97.0,100.0,97.0,97.3,46644
139,ok,2015-07-30,97.9,98.9,95.55,96.05,33092
140,ok,2015-08-02,94.0,97.65,94.0,96.85,47181
141,ok,2015-08-03,96.9,109.5,95.55,106.7,528195
142,ok,2015-08-04,111.0,116.85,106.75,108.5,621962
143,ok,2015-08-05,109.8,114.0,109.55,110.8,174442
144,ok,2015-08-06,110.9,113.0,109.0,111.05,108731
145,ok,2015-08-09,112.3,113.2,107.8,108.65,107831
146,ok,2015-08-10,108.9,110.9,101.7,104.95,67564
147,ok,2015-08-11,104.9,107.95,100.0,100.85,92673
148,ok,2015-08-12,101.0,105.0,99.1,100.05,54521
149,ok,2015-08-13,102.0,102.0,96.3,101.1,68648
150,ok,2015-08-16,101.1,104.45,99.45,102.3,36581
151,ok,2015-08-17,102.9,106.5,101.9,102.35,44430
152,ok,2015-08-18,102.35,103.75,101.5,102.4,47769
153,ok,2015-08-19,101.7,103.75,99.0,99.55,39680
154,ok,2015-08-20,98.5,98.55,95.25,97.45,66201
155,ok,2015-08-23,94.65,94.65,82.35,84.6,110904
156,ok,2015-08-24,86.9,96.0,80.0,89.75,183821
157,ok,2015-08-25,89.9,93.0,88.3,89.4,48614
158,ok,2015-08-26,91.15,93.6,91.0,91.5,48303
159,ok,2015-08-27,91.8,95.0,90.0,90.9,41913
160,ok,2015-08-30,90.85,94.0,88.25,92.2,30739
161,ok,2015-08-31,91.5,91.5,89.1,89.8,35361
162,ok,2015-09-01,89.8,90.8,86.1,86.65,32781
163,ok,2015-09-02,86.7,89.0,86.7,87.65,29630
164,ok,2015-09-03,87.0,87.35,82.0,84.3,50548
165,ok,2015-09-06,83.5,84.7,80.0,80.4,30437
166,ok,2015-09-07,81.9,83.95,80.05,82.45,33618
167,ok,2015-09-08,84.05,86.0,83.25,84.85,30159
168,ok,2015-09-09,83.5,83.95,82.1,83.15,14998
169,ok,2015-09-10,83.8,86.0,82.9,84.9,19083
170,ok,2015-09-13,85.0,85.9,84.1,84.8,19521
171,ok,2015-09-14,84.6,85.5,84.0,84.7,13958
172,ok,2015-09-15,85.0,85.25,82.55,84.3,16307
173,ok,2015-09-17,85.5,86.95,84.1,85.3,31292
174,ok,2015-09-20,85.4,87.0,84.2,86.65,25249
175,ok,2015-09-21,86.1,89.0,85.1,85.85,28172
176,ok,2015-09-22,84.5,85.85,83.35,84.7,19073
177,ok,2015-09-23,84.5,86.35,83.4,84.5,13434
178,ok,2015-09-27,84.6,85.25,83.1,83.75,13209
