,s,t,o,h,l,c,v
0,ok,2000-01-02,125.0,126.0,116.25,124.5,1300
1,ok,2000-01-03,115.25,123.9,115.25,119.15,2400
2,ok,2000-01-04,119.5,120.0,118.5,119.35,4600
3,ok,2000-01-05,119.95,121.0,117.25,121.0,1700
4,ok,2000-01-06,121.9,126.0,120.0,125.05,1600
5,ok,2000-01-09,122.0,124.0,121.7,122.0,1500
6,ok,2000-01-10,122.0,122.0,118.1,118.1,1700
7,ok,2000-01-11,118.0,118.0,116.25,116.25,500
8,ok,2000-01-12,117.15,120.0,117.15,120.0,900
9,ok,2000-01-13,121.5,125.0,120.05,120.05,2900
10,ok,2000-01-16,127.0,129.0,122.0,129.0,1300
11,ok,2000-01-17,120.1,127.0,120.1,123.85,1100
12,ok,2000-01-18,130.6,131.0,125.0,125.0,4500
13,ok,2000-01-19,125.0,127.0,122.0,125.1,600
14,ok,2000-01-20,122.0,129.75,122.0,129.75,2800
15,ok,2000-01-23,130.0,130.0,126.5,126.5,1600
16,ok,2000-01-24,127.0,128.0,125.0,125.5,3200
17,ok,2000-01-26,128.95,129.95,119.35,119.35,6500
18,ok,2000-01-27,119.0,124.0,119.0,119.5,400
19,ok,2000-01-30,116.6,120.0,116.6,116.75,1500
20,ok,2000-01-31,120.0,120.0,115.5,115.6,300
21,ok,2000-02-02,119.85,119.85,117.5,117.5,200
22,ok,2000-02-06,115.0,115.0,112.0,112.0,600
23,ok,2000-02-07,112.0,112.0,111.1,111.1,300
24,ok,2000-02-08,111.0,111.0,110.0,110.0,300
25,ok,2000-02-09,105.05,113.0,105.0,105.5,1900
26,ok,2000-02-10,101.25,102.1,101.25,102.05,1100
27,ok,2000-02-13,95.1,103.0,95.0,100.0,1800
28,ok,2000-02-14,96.1,96.1,95.0,95.15,4200
29,ok,2000-02-15,95.0,95.0,90.25,91.25,3900
30,ok,2000-02-16,90.75,93.0,90.75,93.0,1200
31,ok,2000-02-17,92.5,93.0,90.5,92.05,900
32,ok,2000-02-20,90.5,91.0,86.0,90.0,4800
33,ok,2000-02-21,90.0,92.0,85.3,85.95,1400
34,ok,2000-02-22,86.3,89.8,86.3,89.8,1000
35,ok,2000-02-24,90.9,90.9,90.9,90.9,100
36,ok,2000-02-27,88.8,91.0,88.8,91.0,400
37,ok,2000-02-28,90.05,90.05,84.0,85.0,900
38,ok,2000-02-29,83.0,90.0,83.0,90.0,600
39,ok,2000-03-01,90.0,90.0,87.0,87.0,200
40,ok,2000-03-02,80.25,80.3,80.25,80.25,700
41,ok,2000-03-05,82.0,82.75,74.0,74.0,9500
42,ok,2000-03-06,68.5,69.75,68.1,68.1,34100
43,ok,2000-03-07,72.0,72.0,62.65,62.65,15000
44,ok,2000-03-08,64.0,64.0,57.7,59.15,9600
45,ok,2000-03-09,57.0,62.5,54.45,57.0,34400
46,ok,2000-03-12,61.5,61.5,60.0,61.5,3700
47,ok,2000-03-13,63.0,64.5,61.5,64.1,9100
48,ok,2000-03-14,65.0,69.0,65.0,68.85,1000
49,ok,2000-03-15,65.0,66.0,63.5,63.5,1700
50,ok,2000-03-20,66.0,66.0,63.05,65.1,500
51,ok,2000-03-21,69.0,69.85,67.5,69.05,800
52,ok,2000-03-22,72.25,72.25,64.0,64.0,6000
53,ok,2000-03-23,63.95,64.9,61.0,64.9,13600
54,ok,2000-03-26,64.0,66.45,60.0,63.85,9700
55,ok,2000-03-27,64.0,65.0,60.0,62.9,8800
56,ok,2000-03-28,66.85,66.85,65.0,65.0,300
57,ok,2000-03-29,65.0,65.0,60.1,62.25,4900
58,ok,2000-03-30,64.0,67.0,61.55,67.0,9200
59,ok,2000-04-02,69.8,69.95,66.1,67.5,2400
60,ok,2000-04-03,66.0,66.5,62.15,63.0,6800
61,ok,2000-04-04,66.9,67.0,58.0,58.3,9500
62,ok,2000-04-05,55.25,56.5,53.65,54.05,16300
63,ok,2000-04-06,57.9,58.4,56.1,58.4,5400
64,ok,2000-04-09,62.7,62.75,58.2,59.1,13100
65,ok,2000-04-11,59.95,59.95,59.95,59.95,2500
66,ok,2000-04-12,63.9,64.75,63.0,63.2,3400
67,ok,2000-04-16,63.8,63.8,60.0,60.0,1200
68,ok,2000-04-17,63.0,64.5,62.0,62.0,2800
69,ok,2000-04-18,65.0,65.0,60.5,63.0,1500
70,ok,2000-04-19,61.5,62.0,61.0,61.0,4100
71,ok,2000-04-23,61.0,61.55,60.0,60.0,500
72,ok,2000-04-24,60.0,61.0,60.0,60.5,1200
73,ok,2000-04-25,61.0,63.6,61.0,63.6,1100
74,ok,2000-04-26,61.5,61.5,61.5,61.5,100
75,ok,2000-04-27,60.0,62.5,60.0,61.8,700
