,s,t,o,h,l,c,v
0,ok,2022-11-03,144.8,148.6,126.3,143.05,26500
1,ok,2022-11-06,145.95,157.35,145.95,157.35,38179
2,ok,2022-11-08,168.7,172.9,157.0,158.95,67375
3,ok,2022-11-09,158.95,163.75,156.0,157.2,48985
4,ok,2022-11-10,164.95,165.95,151.05,158.35,33131
5,ok,2022-11-13,166.95,166.95,151.55,153.9,31121
6,ok,2022-11-14,159.0,159.0,140.05,151.5,38986
7,ok,2022-11-15,158.8,160.0,145.55,156.15,33283
8,ok,2022-11-16,160.05,160.05,154.0,158.2,26745
9,ok,2022-11-17,156.95,164.0,156.05,159.5,29379
10,ok,2022-11-20,162.0,165.0,157.0,160.1,27603
11,ok,2022-11-21,153.15,163.95,148.6,154.65,33936
12,ok,2022-11-22,152.0,167.9,151.05,155.8,32426
13,ok,2022-11-23,158.0,159.9,153.45,154.9,25898
14,ok,2022-11-24,151.05,156.25,151.05,154.4,31716
15,ok,2022-11-27,155.0,163.5,155.0,155.05,27788
16,ok,2022-11-28,156.5,159.95,142.15,153.95,48321
17,ok,2022-11-29,169.0,169.0,155.0,159.5,33464
18,ok,2022-11-30,155.05,160.0,150.65,155.2,28073
19,ok,2022-12-01,155.0,158.55,153.65,155.8,27136
20,ok,2022-12-04,157.0,160.0,150.1,154.55,26775
21,ok,2022-12-05,157.4,158.45,155.0,155.3,29245
22,ok,2022-12-06,156.0,159.3,155.0,157.95,27118
23,ok,2022-12-07,156.55,170.0,156.55,160.7,33671
24,ok,2022-12-08,165.55,168.45,160.0,165.75,40407
25,ok,2022-12-11,170.0,182.3,165.05,174.15,54792
26,ok,2022-12-12,174.15,179.9,166.4,170.8,58086
27,ok,2022-12-13,174.7,174.7,167.05,170.35,32586
28,ok,2022-12-14,171.9,181.95,166.0,173.35,34216
29,ok,2022-12-15,184.0,184.0,162.25,171.8,29323
30,ok,2022-12-18,174.8,179.25,168.0,170.55,29948
31,ok,2022-12-19,170.55,185.25,164.1,174.8,34948
32,ok,2022-12-20,172.05,178.0,165.1,174.5,32412
33,ok,2022-12-21,169.65,172.15,163.3,165.05,31448
34,ok,2022-12-22,166.15,166.15,152.0,161.0,35172
35,ok,2022-12-25,164.2,168.0,158.6,161.9,26899
36,ok,2022-12-26,170.0,176.1,155.1,168.95,29955
37,ok,2022-12-27,170.3,175.0,163.15,168.4,25911
38,ok,2022-12-28,168.95,185.2,168.95,185.2,34767
39,ok,2022-12-29,191.0,203.7,180.0,191.1,82155
40,ok,2023-01-01,193.9,200.0,182.2,192.15,70758
41,ok,2023-01-02,198.9,201.0,185.75,195.2,81777
42,ok,2023-01-03,195.2,201.9,190.6,193.45,34615
43,ok,2023-01-04,197.95,198.95,191.5,194.4,70459
44,ok,2023-01-05,199.4,210.0,191.5,194.85,82290
45,ok,2023-01-08,201.4,201.4,194.55,196.85,34786
46,ok,2023-01-09,197.5,199.8,195.5,198.95,27791
47,ok,2023-01-10,202.4,203.0,195.25,201.55,242078
48,ok,2023-01-11,206.0,206.0,195.05,197.7,47905
49,ok,2023-01-12,197.75,197.95,190.25,194.95,111128
50,ok,2023-01-15,199.8,199.8,191.0,194.5,33967
51,ok,2023-01-16,199.5,199.5,182.55,193.05,108987
52,ok,2023-01-17,195.0,195.75,190.65,191.3,54815
