,s,t,o,h,l,c,v
0,ok,2000-01-02,85.98,87.66,85.0,87.66,507890
1,ok,2000-01-03,87.5,88.0,84.01,87.43,630585
2,ok,2000-01-04,84.02,89.58,82.4,87.92,819385
3,ok,2000-01-05,89.98,94.96,89.98,94.96,221240
4,ok,2000-01-06,94.4,102.56,94.4,102.56,942820
5,ok,2000-01-09,110.76,110.77,95.0,100.39,1842165
6,ok,2000-01-10,99.4,99.4,92.4,94.86,980885
7,ok,2000-01-11,93.0,94.4,87.4,91.69,342105
8,ok,2000-01-12,92.0,95.0,88.4,90.47,518600
9,ok,2000-01-13,92.0,92.0,83.24,86.99,468870
10,ok,2000-01-16,86.8,90.7,86.8,90.18,614505
11,ok,2000-01-17,90.2,91.44,85.2,86.26,429555
12,ok,2000-01-18,89.0,90.0,82.0,83.79,1545030
13,ok,2000-01-19,85.6,87.0,84.4,85.11,1079190
14,ok,2000-01-20,85.0,85.0,81.1,81.89,537385
15,ok,2000-01-23,82.4,84.58,82.4,83.03,593060
16,ok,2000-01-24,81.0,83.2,76.39,77.94,1126280
17,ok,2000-01-26,79.38,82.96,77.6,79.53,1665745
18,ok,2000-01-27,80.0,82.0,76.6,77.08,1943545
19,ok,2000-01-30,77.6,78.0,74.0,76.9,1434335
20,ok,2000-01-31,76.2,76.2,73.0,73.15,1748845
21,ok,2000-02-01,75.4,75.97,73.3,73.82,1294885
22,ok,2000-02-02,75.8,75.8,73.8,75.11,637565
23,ok,2000-02-03,76.0,76.0,74.39,74.71,475035
24,ok,2000-02-06,75.4,75.4,73.3,74.66,747985
25,ok,2000-02-07,75.6,80.64,74.6,80.39,1742960
26,ok,2000-02-08,84.97,86.82,80.8,81.48,1862275
27,ok,2000-02-09,80.8,83.0,79.4,80.22,924155
28,ok,2000-02-10,79.0,80.1,75.0,77.21,1160715
29,ok,2000-02-13,78.0,79.6,72.72,73.76,738175
30,ok,2000-02-14,72.03,73.58,69.24,71.14,1368035
31,ok,2000-02-15,73.0,74.0,72.0,73.1,570260
32,ok,2000-02-16,72.4,73.76,70.4,71.48,406630
33,ok,2000-02-17,70.6,72.74,65.8,69.14,1696620
34,ok,2000-02-20,67.8,69.0,63.61,63.61,468995
35,ok,2000-02-21,61.61,62.38,58.53,58.55,1525435
36,ok,2000-02-22,60.59,60.59,56.2,57.02,1462600
37,ok,2000-02-23,57.98,58.6,55.61,56.81,1012575
38,ok,2000-02-24,56.98,61.36,56.8,60.87,1502500
39,ok,2000-02-27,62.4,65.74,62.4,65.74,523850
40,ok,2000-02-28,68.0,71.0,61.8,64.76,2590645
41,ok,2000-02-29,63.4,66.0,61.0,64.3,326035
