,s,t,o,h,l,c,v
0,ok,2006-02-15,46.5,50.0,39.25,40.45,61092971
1,ok,2006-02-16,40.25,40.9,38.25,38.5,14132580
2,ok,2006-02-19,36.05,38.85,35.2,37.3,8796589
3,ok,2006-02-20,37.95,39.4,37.25,38.35,6577035
4,ok,2006-02-21,38.6,38.6,36.45,36.55,3577446
5,ok,2006-02-22,36.75,36.9,35.15,35.35,3376832
6,ok,2006-02-23,35.8,37.1,34.9,36.75,4389130
7,ok,2006-02-26,37.15,37.45,36.6,37.0,3162185
8,ok,2006-02-27,37.25,37.7,36.1,36.95,3302391
9,ok,2006-02-28,36.95,37.0,36.35,36.6,1858423
10,ok,2006-03-01,37.0,37.0,35.95,36.2,1295061
11,ok,2006-03-02,36.1,36.35,35.1,35.25,1217414
12,ok,2006-03-05,35.6,35.8,34.9,35.45,1314546
13,ok,2006-03-06,35.7,36.35,35.05,35.9,1075536
14,ok,2006-03-07,35.5,36.95,35.0,35.45,1483316
15,ok,2006-03-08,35.05,36.25,34.95,35.3,1209443
16,ok,2006-03-09,35.1,36.45,35.1,36.1,1765793
17,ok,2006-03-12,37.0,37.95,35.95,36.95,3737300
18,ok,2006-03-13,37.5,39.7,37.25,38.15,8074123
19,ok,2006-03-15,39.0,40.5,38.3,38.55,2291254
20,ok,2006-03-16,38.2,39.15,37.1,37.2,1245340
21,ok,2006-03-19,37.2,37.7,36.4,36.5,977626
22,ok,2006-03-20,36.6,36.8,36.0,36.05,681345
23,ok,2006-03-21,37.5,38.4,37.1,37.85,3387115
24,ok,2006-03-22,38.25,38.25,37.2,37.8,910006
25,ok,2006-03-23,38.0,38.15,37.35,37.5,669950
26,ok,2006-03-26,38.3,38.3,37.1,37.45,629452
27,ok,2006-03-27,37.85,37.85,36.0,36.35,779607
28,ok,2006-03-28,36.95,37.3,36.0,36.1,677172
29,ok,2006-03-29,35.8,37.0,35.5,36.85,833175
30,ok,2006-03-30,36.5,37.25,36.3,36.75,618880
31,ok,2006-04-02,36.75,37.7,36.5,37.05,687203
32,ok,2006-04-03,37.1,37.3,36.6,36.95,662059
33,ok,2006-04-04,37.2,39.95,36.85,38.25,2798809
34,ok,2006-04-06,38.95,39.0,36.9,37.05,1068723
35,ok,2006-04-09,37.35,37.35,36.5,36.95,561037
36,ok,2006-04-11,36.9,37.0,36.25,36.4,1610218
37,ok,2006-04-12,36.5,36.75,35.5,35.9,663643
38,ok,2006-04-16,36.0,36.5,35.7,36.05,389237
39,ok,2006-04-17,36.45,36.55,35.8,36.1,582358
40,ok,2006-04-18,35.15,36.3,35.15,35.4,648656
41,ok,2006-04-19,35.05,37.0,35.05,36.45,1135312
42,ok,2006-04-20,36.75,36.75,35.8,36.3,730787
43,ok,2006-04-23,36.0,36.55,35.8,36.4,694217
44,ok,2006-04-24,36.4,36.5,35.4,35.55,910553
45,ok,2006-04-25,35.95,36.5,35.2,36.2,750514
46,ok,2006-04-26,36.25,36.5,36.0,36.2,1144661
47,ok,2006-04-27,32.2,37.35,32.1,36.65,2009992
48,ok,2006-04-28,37.3,37.9,37.0,37.05,418871
49,ok,2006-05-01,38.0,38.15,37.05,37.25,774329
50,ok,2006-05-02,37.8,37.8,36.8,37.05,372747
51,ok,2006-05-03,37.9,37.9,36.5,36.9,774624
52,ok,2006-05-04,37.55,38.7,36.9,38.0,2661728
53,ok,2006-05-07,38.5,39.5,37.5,39.0,2613637
54,ok,2006-05-08,39.1,40.45,38.75,39.15,2125057
55,ok,2006-05-09,39.6,39.9,38.8,39.05,787036
56,ok,2006-05-10,39.0,39.6,38.0,38.75,861251
57,ok,2006-05-11,38.05,39.6,37.4,39.0,845512
58,ok,2006-05-14,39.0,39.85,37.6,38.9,1354996
59,ok,2006-05-15,38.55,39.2,37.2,38.55,1016437
60,ok,2006-05-16,38.85,43.75,38.65,43.0,4229847
61,ok,2006-05-17,41.0,43.5,39.05,39.4,3107683
62,ok,2006-05-18,40.9,41.5,37.5,39.0,1400723
63,ok,2006-05-21,39.2,39.5,34.25,35.8,1404750
64,ok,2006-05-22,35.25,38.55,34.7,38.1,665963
65,ok,2006-05-23,38.5,38.75,35.4,36.2,1697598
66,ok,2006-05-24,36.0,36.8,34.6,34.75,1168458
67,ok,2006-05-25,35.6,37.65,35.6,36.55,847232
68,ok,2006-05-28,37.0,37.3,35.55,36.55,333641
69,ok,2006-05-29,36.75,36.75,35.55,35.75,346024
70,ok,2006-05-30,35.5,35.95,34.8,34.95,633034
71,ok,2006-05-31,35.65,36.0,34.1,34.5,512396
72,ok,2006-06-01,35.0,35.0,32.0,33.85,601621
73,ok,2006-06-04,35.25,35.7,34.0,35.15,423138
74,ok,2006-06-05,33.15,34.6,32.3,32.65,530302
75,ok,2006-06-06,32.4,32.8,29.0,29.65,646894
76,ok,2006-06-07,32.55,32.55,27.0,27.9,848920
77,ok,2006-06-08,28.0,30.95,27.25,30.25,665782
78,ok,2006-06-11,30.0,30.9,28.85,30.1,306792
79,ok,2006-06-12,28.0,29.05,27.75,28.55,308834
80,ok,2006-06-13,28.5,29.9,26.5,27.45,892654
81,ok,2006-06-14,28.1,29.45,27.55,28.8,275815
82,ok,2006-06-15,29.35,30.9,29.3,29.7,440314
