,s,t,o,h,l,c,v
0,ok,2006-11-09,44.0,44.0,39.1,39.95,5066705
1,ok,2006-11-12,39.85,47.2,39.1,46.4,12412992
2,ok,2006-11-13,47.0,48.3,44.0,44.55,7960683
3,ok,2006-11-14,44.7,45.4,41.25,41.55,2392489
4,ok,2006-11-15,42.4,44.55,41.5,42.65,3971324
5,ok,2006-11-16,43.0,43.05,39.8,40.65,1962316
6,ok,2006-11-19,40.7,40.7,38.5,39.6,1412646
7,ok,2006-11-20,39.6,43.3,39.6,42.4,2563673
8,ok,2006-11-21,43.0,43.1,41.0,41.3,1217516
9,ok,2006-11-22,41.7,43.1,40.25,41.55,1965136
10,ok,2006-11-23,41.6,42.5,41.15,41.5,888835
11,ok,2006-11-26,41.5,42.05,40.5,40.9,490071
12,ok,2006-11-27,40.4,40.65,39.5,39.65,608588
13,ok,2006-11-28,38.0,41.5,38.0,40.0,543678
14,ok,2006-11-29,40.0,40.7,38.0,38.95,686654
15,ok,2006-11-30,39.4,39.95,38.1,38.35,470910
16,ok,2006-12-03,39.5,39.5,36.9,37.75,758245
17,ok,2006-12-04,38.9,42.75,37.55,41.9,3522850
18,ok,2006-12-05,42.0,42.75,39.65,40.05,1636298
19,ok,2006-12-06,40.7,41.55,39.3,39.8,799620
20,ok,2006-12-07,40.0,40.6,39.0,39.2,507072
21,ok,2006-12-10,39.8,39.8,37.2,37.85,626360
22,ok,2006-12-11,36.25,38.4,35.0,36.3,728966
23,ok,2006-12-12,36.5,38.7,35.1,37.7,544817
24,ok,2006-12-13,39.35,39.7,38.05,39.3,461785
25,ok,2006-12-14,40.0,40.0,38.5,39.1,459116
26,ok,2006-12-17,39.15,39.9,38.15,39.25,240477
27,ok,2006-12-18,39.3,41.8,38.5,40.0,966059
28,ok,2006-12-19,40.8,41.75,39.15,40.05,524447
29,ok,2006-12-20,40.35,40.5,39.3,40.15,351907
30,ok,2006-12-21,41.0,41.5,40.2,41.05,489694
