,s,t,o,h,l,c,v
0,ok,2017-07-03,170.0,175.0,162.0,171.65,14138363
1,ok,2017-07-04,170.2,172.3,167.3,169.9,779615
2,ok,2017-07-05,171.0,176.0,168.35,171.75,1181250
3,ok,2017-07-06,172.0,183.25,168.0,179.2,3137606
4,ok,2017-07-09,180.0,198.1,175.0,183.2,607766
5,ok,2017-07-10,183.5,190.45,176.3,177.35,1780195
6,ok,2017-07-11,179.15,183.9,178.0,180.75,838264
7,ok,2017-07-12,182.4,185.5,178.5,180.1,907601
8,ok,2017-07-13,181.0,184.9,164.05,170.8,1203937
9,ok,2017-07-16,171.1,174.0,169.1,170.0,302605
10,ok,2017-07-17,169.1,171.95,166.2,167.15,188357
11,ok,2017-07-18,168.15,170.0,167.2,168.05,114062
12,ok,2017-07-19,169.4,169.8,165.05,166.6,194347
13,ok,2017-07-20,165.2,168.95,163.0,163.4,298067
14,ok,2017-07-23,163.3,164.45,155.65,156.8,203695
15,ok,2017-07-24,155.65,161.0,150.0,155.0,422546
16,ok,2017-07-25,155.7,158.0,155.7,156.4,197420
17,ok,2017-07-26,156.9,161.8,155.6,156.8,173457
18,ok,2017-07-27,154.15,159.4,154.15,156.6,129568
19,ok,2017-07-30,156.0,158.95,156.0,157.55,130338
20,ok,2017-07-31,157.55,157.65,147.75,151.75,97587
21,ok,2017-08-01,152.0,155.0,150.2,151.8,110713
22,ok,2017-08-02,151.1,153.0,145.0,147.35,96801
23,ok,2017-08-03,148.65,148.65,141.25,142.45,266775
24,ok,2017-08-06,142.2,148.5,142.2,146.15,205690
25,ok,2017-08-07,148.2,150.0,142.6,143.85,109122
26,ok,2017-08-08,147.0,150.0,141.1,144.2,490616
27,ok,2017-08-09,144.75,149.3,142.6,147.45,160537
28,ok,2017-08-10,144.0,146.0,141.0,141.95,69578
29,ok,2017-08-13,143.05,143.5,139.0,141.25,80830
30,ok,2017-08-15,141.05,150.65,141.05,146.2,273610
31,ok,2017-08-16,146.0,146.6,141.0,141.8,87350
32,ok,2017-08-17,141.2,142.9,141.0,141.9,75974
33,ok,2017-08-20,142.5,142.8,135.0,137.15,503003
34,ok,2017-08-21,136.55,138.35,130.25,131.9,116382
35,ok,2017-08-22,133.75,133.75,127.0,127.95,127098
36,ok,2017-08-23,126.25,133.2,126.25,131.9,187918
37,ok,2017-08-27,132.1,136.6,132.1,134.65,88637
38,ok,2017-08-28,134.0,134.0,129.75,130.85,54591
39,ok,2017-08-29,131.15,134.0,131.15,133.55,30318
40,ok,2017-08-30,134.9,135.6,132.35,133.4,43825
41,ok,2017-08-31,134.35,135.45,130.2,132.1,91325
42,ok,2017-09-03,138.0,138.0,131.25,131.95,221566
43,ok,2017-09-04,134.0,134.4,132.0,132.15,89755
44,ok,2017-09-05,132.15,132.95,129.5,129.85,36316
45,ok,2017-09-06,130.95,131.95,128.0,128.75,164925
46,ok,2017-09-07,133.95,137.5,130.55,134.4,373428
47,ok,2017-09-10,134.4,138.5,134.0,135.3,188494
48,ok,2017-09-11,134.9,138.75,134.55,137.85,159233
49,ok,2017-09-12,138.45,140.5,136.95,138.85,131705
50,ok,2017-09-13,136.1,149.5,136.1,148.85,346103
51,ok,2017-09-14,147.0,159.0,144.0,154.7,519871
52,ok,2017-09-17,153.0,157.3,147.0,153.4,144462
53,ok,2017-09-18,153.0,155.7,148.5,149.55,89355
54,ok,2017-09-19,150.0,150.15,147.5,147.9,130258
55,ok,2017-09-20,148.0,149.95,146.0,146.4,76755
56,ok,2017-09-21,145.0,145.95,138.6,139.5,47285
57,ok,2017-09-24,137.6,139.95,130.0,130.65,129607
58,ok,2017-09-25,131.9,133.2,130.0,130.7,55280
59,ok,2017-09-26,133.65,134.3,130.0,131.45,94778
60,ok,2017-09-27,131.45,132.4,129.1,130.05,35183
61,ok,2017-09-28,129.85,140.9,129.85,137.55,72472
62,ok,2017-10-02,140.4,140.75,136.4,137.9,38248
63,ok,2017-10-03,139.65,143.4,136.5,140.7,113221
64,ok,2017-10-04,139.25,144.0,139.05,143.05,39497
65,ok,2017-10-05,140.2,147.7,139.95,146.3,83064
