,s,t,o,h,l,c,v
0,ok,2004-11-01,44.0,44.7,38.1,38.6,309773
1,ok,2004-11-02,39.9,46.35,39.5,42.3,432492
2,ok,2004-11-03,44.9,44.9,41.1,41.8,186129
3,ok,2004-11-04,42.4,42.4,39.65,40.15,100204
4,ok,2004-11-07,40.3,41.0,39.15,39.45,52473
5,ok,2004-11-08,39.9,40.45,37.75,38.05,20950
6,ok,2004-11-09,38.8,43.85,38.2,40.2,236647
7,ok,2004-11-10,40.5,40.7,39.1,39.35,58747
8,ok,2004-11-11,40.0,40.55,39.2,39.4,27443
9,ok,2004-11-15,39.8,39.8,38.15,38.55,21738
10,ok,2004-11-16,39.5,40.4,37.0,37.6,28896
11,ok,2004-11-17,39.0,39.9,37.15,37.6,27017
12,ok,2004-11-18,39.0,39.0,35.6,36.05,24186
13,ok,2004-11-21,37.7,38.8,35.75,37.65,47592
14,ok,2004-11-22,38.9,38.9,36.1,37.1,28505
15,ok,2004-11-23,38.3,38.3,36.45,36.9,19497
16,ok,2004-11-24,37.6,38.5,36.55,36.95,41994
17,ok,2004-11-28,37.5,40.0,37.1,37.7,35462
18,ok,2004-11-29,38.8,38.8,35.55,36.2,16591
19,ok,2004-11-30,41.0,41.0,34.55,35.55,35646
20,ok,2004-12-01,40.0,40.0,35.3,35.65,7061
21,ok,2004-12-02,40.0,40.0,32.9,34.2,23135
22,ok,2004-12-05,35.9,35.9,33.1,34.15,8647
23,ok,2004-12-06,39.85,39.85,33.5,35.45,23606
24,ok,2004-12-07,36.25,37.5,34.6,35.0,10751
25,ok,2004-12-08,35.5,35.5,34.0,34.75,9201
26,ok,2004-12-09,35.0,35.2,33.75,34.1,9149
27,ok,2004-12-12,32.05,40.05,32.05,36.8,256075
28,ok,2004-12-13,37.4,40.2,35.65,36.05,699946
29,ok,2004-12-14,36.8,37.9,35.7,36.15,177484
30,ok,2004-12-15,36.75,36.75,35.75,36.25,111088
31,ok,2004-12-16,36.85,37.85,35.6,36.25,110723
32,ok,2004-12-19,36.55,38.5,36.2,37.3,291566
33,ok,2004-12-20,39.5,39.5,35.65,36.0,494119
34,ok,2004-12-21,37.3,37.3,35.2,35.75,142355
35,ok,2004-12-22,36.25,37.2,35.5,36.25,150575
36,ok,2004-12-23,37.5,37.75,36.0,36.35,200558
37,ok,2004-12-26,36.5,36.85,35.25,36.0,182844
38,ok,2004-12-27,36.65,37.8,36.0,36.5,218310
39,ok,2004-12-28,36.65,38.0,36.45,36.55,140453
40,ok,2004-12-29,37.15,37.15,35.6,35.85,127100
41,ok,2004-12-30,36.45,36.9,35.55,36.1,147839
42,ok,2005-01-02,37.0,37.0,35.95,36.2,143120
43,ok,2005-01-03,36.5,36.8,35.9,36.1,236024
44,ok,2005-01-04,36.45,38.3,34.1,36.1,448114
45,ok,2005-01-05,36.55,36.95,34.7,35.1,115510
46,ok,2005-01-06,35.85,38.4,34.55,37.35,267960
47,ok,2005-01-09,38.0,39.0,36.5,36.8,302085
48,ok,2005-01-10,36.5,37.4,34.85,35.15,145599
49,ok,2005-01-11,35.65,35.65,31.7,32.25,108439
50,ok,2005-01-12,33.4,34.5,32.55,33.6,100394
51,ok,2005-01-13,34.8,34.8,32.25,33.4,95787
52,ok,2005-01-16,33.0,34.0,32.7,33.55,93867
53,ok,2005-01-17,34.75,34.95,33.3,33.65,112084
54,ok,2005-01-18,33.7,33.85,33.0,33.15,68539
55,ok,2005-01-19,32.65,33.8,31.65,33.45,49958
56,ok,2005-01-23,34.4,34.4,32.5,32.65,12224
57,ok,2005-01-24,34.6,36.5,33.25,33.7,121281
58,ok,2005-01-26,36.4,36.4,34.0,34.3,101270
59,ok,2005-01-27,33.95,34.45,33.1,33.65,74734
60,ok,2005-01-30,34.4,34.4,32.6,33.05,22334
61,ok,2005-01-31,33.05,34.0,32.4,32.55,21169
62,ok,2005-02-01,32.65,34.25,32.65,33.6,150055
63,ok,2005-02-02,34.5,34.5,32.9,33.0,125222
64,ok,2005-02-03,33.35,33.55,32.5,32.65,70371
65,ok,2005-02-06,33.0,33.7,32.2,32.4,18026
66,ok,2005-02-07,32.55,33.25,31.75,32.1,44114
67,ok,2005-02-08,34.0,34.0,32.35,32.6,35363
68,ok,2005-02-09,33.4,34.2,32.3,32.5,105801
69,ok,2005-02-10,33.8,36.0,32.7,33.0,378507
70,ok,2005-02-13,33.2,33.6,32.5,32.65,219641
71,ok,2005-02-14,32.65,32.85,31.8,32.0,141247
72,ok,2005-02-15,32.05,32.5,31.2,31.5,129534
73,ok,2005-02-16,30.6,31.75,30.6,31.15,119484
74,ok,2005-02-17,31.9,31.9,30.95,31.0,127109
75,ok,2005-02-20,31.05,31.6,30.4,30.5,112987
76,ok,2005-02-21,28.5,31.15,28.5,30.35,140609
77,ok,2005-02-22,29.0,30.65,29.0,30.05,46812
78,ok,2005-02-23,32.75,32.75,29.9,30.05,43953
79,ok,2005-02-24,30.4,30.5,29.5,29.75,46874
80,ok,2005-02-27,28.55,31.4,28.55,29.9,59923
81,ok,2005-02-28,34.0,34.0,28.1,28.85,53684
82,ok,2005-03-01,29.4,29.5,27.1,28.6,96563
83,ok,2005-03-02,28.9,30.25,28.45,29.25,83734
84,ok,2005-03-03,29.2,33.5,29.2,31.8,454793
85,ok,2005-03-06,32.55,33.95,31.8,32.45,438643
86,ok,2005-03-07,32.9,33.0,30.9,31.05,101228
87,ok,2005-03-08,31.6,31.6,29.5,29.75,36823
88,ok,2005-03-09,29.05,30.8,29.05,29.85,23581
89,ok,2005-03-10,32.0,34.85,30.0,30.1,327157
90,ok,2005-03-13,30.4,31.5,29.85,31.1,339339
91,ok,2005-03-14,31.45,32.0,30.0,30.05,125894
92,ok,2005-03-15,30.5,31.2,29.7,29.95,172287
93,ok,2005-03-16,30.3,30.45,29.6,29.85,65489
94,ok,2005-03-17,30.2,30.2,28.25,28.75,155596
95,ok,2005-03-20,29.4,29.45,28.05,28.3,50171
96,ok,2005-03-21,26.7,29.5,26.7,27.0,76394
97,ok,2005-03-22,27.0,27.9,26.05,26.3,57845
98,ok,2005-03-23,25.6,26.5,25.05,26.15,28949
99,ok,2005-03-27,26.0,26.8,25.5,25.85,19867
100,ok,2005-03-28,26.4,26.45,23.85,24.25,20781
101,ok,2005-03-29,25.2,26.0,23.55,25.45,21856
102,ok,2005-03-30,25.2,27.0,25.2,26.35,27715
103,ok,2005-03-31,26.3,28.5,26.3,27.75,160531
104,ok,2005-04-03,28.0,28.9,27.35,27.95,124036
105,ok,2005-04-04,28.0,28.2,27.0,27.4,15331
106,ok,2005-04-05,27.35,27.8,27.2,27.45,10516
107,ok,2005-04-06,27.35,27.9,27.0,27.1,14415
108,ok,2005-04-07,28.0,28.0,26.0,26.6,9680
109,ok,2005-04-10,26.1,26.6,25.1,25.4,21357
110,ok,2005-04-11,26.2,26.2,25.3,25.55,11693
111,ok,2005-04-12,25.7,26.25,25.25,25.4,34573
112,ok,2005-04-14,24.0,26.95,24.0,25.65,30133
113,ok,2005-04-17,24.4,25.85,24.4,25.15,11643
114,ok,2005-04-18,25.05,25.85,24.5,24.7,29280
115,ok,2005-04-19,25.5,25.6,24.5,24.95,12591
116,ok,2005-04-20,24.9,25.1,24.2,25.0,7014
117,ok,2005-04-21,25.05,25.2,24.8,24.8,46383
