,s,t,o,h,l,c,v
0,ok,2014-07-31,255.0,263.45,250.0,263.45,183076
1,ok,2014-08-03,273.7,276.6,255.0,268.65,214985
2,ok,2014-08-04,269.7,272.0,255.25,265.15,116355
3,ok,2014-08-05,264.85,276.0,260.5,266.75,492769
4,ok,2014-08-06,266.0,268.95,261.0,264.0,205650
5,ok,2014-08-07,261.0,261.0,250.8,253.9,569447
6,ok,2014-08-10,261.95,263.85,256.95,258.45,296412
7,ok,2014-08-11,258.5,260.0,250.6,254.55,413139
8,ok,2014-08-12,253.05,267.25,251.5,266.3,402711
9,ok,2014-08-13,268.0,275.0,266.0,270.35,313901
10,ok,2014-08-17,274.9,287.0,267.0,279.0,335554
11,ok,2014-08-18,280.0,299.75,275.0,293.7,596621
12,ok,2014-08-19,294.5,297.0,284.25,290.6,350867
13,ok,2014-08-20,293.0,297.3,285.0,287.25,147218
14,ok,2014-08-21,287.55,288.45,271.15,276.95,43768
15,ok,2014-08-24,279.65,284.0,276.0,276.9,59621
16,ok,2014-08-25,272.05,279.8,261.6,267.2,42963
17,ok,2014-08-26,267.0,282.0,266.3,278.55,87679
18,ok,2014-08-27,286.95,293.0,280.0,288.45,93125
19,ok,2014-08-31,290.95,293.0,280.1,283.65,39508
20,ok,2014-09-01,284.0,294.0,280.2,286.1,133047
21,ok,2014-09-02,289.35,329.0,288.4,313.8,843741
22,ok,2014-09-03,315.0,316.4,301.15,308.0,202371
23,ok,2014-09-04,310.3,314.0,302.8,308.75,124175
24,ok,2014-09-07,310.85,320.0,308.0,312.15,116929
25,ok,2014-09-08,310.75,314.55,304.25,307.95,67364
26,ok,2014-09-09,307.1,316.5,305.1,309.25,54186
27,ok,2014-09-10,311.7,315.9,308.0,308.95,53296
28,ok,2014-09-11,308.5,318.0,307.25,315.1,105913
29,ok,2014-09-14,310.05,338.0,310.05,331.9,229196
30,ok,2014-09-15,333.45,341.4,309.0,311.0,170685
31,ok,2014-09-16,311.5,319.0,305.1,308.05,68476
32,ok,2014-09-17,309.0,319.2,308.55,312.1,56803
33,ok,2014-09-18,316.0,326.0,313.3,317.4,91810
34,ok,2014-09-21,317.0,321.4,310.2,316.95,22167
35,ok,2014-09-22,319.1,324.05,291.1,307.1,157678
36,ok,2014-09-23,306.5,306.5,291.1,296.75,93744
37,ok,2014-09-24,300.0,308.0,290.1,292.8,77090
38,ok,2014-09-25,291.0,296.0,284.5,293.05,33439
39,ok,2014-09-28,296.85,297.0,287.8,295.0,34071
40,ok,2014-09-29,292.1,303.3,292.1,297.4,38218
41,ok,2014-09-30,295.0,303.75,295.0,296.25,23312
42,ok,2014-10-06,300.0,303.0,291.1,293.3,20975
43,ok,2014-10-07,294.0,300.0,294.0,298.8,19024
44,ok,2014-10-08,300.0,312.75,296.5,309.9,66961
45,ok,2014-10-09,309.9,333.3,303.05,319.45,127717
46,ok,2014-10-12,315.0,322.95,311.1,314.2,26488
