,s,t,o,h,l,c,v
0,ok,2004-09-23,12.38,12.38,9.28,9.48,8373760
1,ok,2004-09-26,9.66,9.66,8.75,8.95,2376598
2,ok,2004-09-27,8.72,8.89,8.5,8.52,1218073
3,ok,2004-09-28,8.61,8.72,8.51,8.59,591907
4,ok,2004-09-29,8.66,8.87,8.62,8.73,585462
5,ok,2004-09-30,8.75,8.8,8.44,8.52,350787
6,ok,2004-10-03,8.52,8.72,8.45,8.5,543282
7,ok,2004-10-04,8.46,8.62,8.25,8.37,617427
8,ok,2004-10-05,8.44,9.54,8.17,9.11,3261640
9,ok,2004-10-06,9.14,9.36,9.01,9.11,806364
10,ok,2004-10-07,9.23,9.24,8.86,8.96,391027
11,ok,2004-10-08,9.0,9.0,8.87,8.95,170529
12,ok,2004-10-10,8.96,9.07,8.75,8.8,258933
13,ok,2004-10-11,8.83,8.83,8.52,8.56,283311
14,ok,2004-10-13,8.62,8.65,8.41,8.42,388173
15,ok,2004-10-14,8.44,8.52,8.3,8.37,405889
16,ok,2004-10-17,8.41,8.54,8.25,8.3,160502
17,ok,2004-10-18,8.4,8.4,8.17,8.31,282458
18,ok,2004-10-19,8.44,8.82,8.44,8.52,672440
19,ok,2004-10-20,8.58,8.59,8.3,8.35,285884
20,ok,2004-10-24,8.42,8.42,8.21,8.24,140404
21,ok,2004-10-25,8.23,8.34,7.82,7.88,525924
22,ok,2004-10-26,8.13,8.23,7.96,8.03,369569
23,ok,2004-10-27,8.16,8.23,7.96,8.0,267022
24,ok,2004-10-28,8.14,8.16,7.97,8.01,185462
25,ok,2004-10-31,8.16,8.24,8.0,8.01,253447
26,ok,2004-11-01,8.13,8.16,8.01,8.05,189256
27,ok,2004-11-02,8.07,8.1,7.9,7.95,255122
28,ok,2004-11-03,7.93,8.03,7.86,7.89,367373
29,ok,2004-11-04,8.07,8.14,7.66,7.72,517373
30,ok,2004-11-07,7.85,7.88,7.61,7.65,412189
31,ok,2004-11-08,7.74,7.85,7.6,7.62,283818
32,ok,2004-11-09,7.6,7.76,7.54,7.68,534158
33,ok,2004-11-10,7.69,7.76,7.45,7.51,529736
34,ok,2004-11-11,7.45,7.71,7.43,7.5,165018
35,ok,2004-11-15,7.51,8.25,7.38,8.09,1957276
36,ok,2004-11-16,8.19,9.11,8.13,8.69,3792893
37,ok,2004-11-17,8.8,8.83,8.38,8.5,913664
38,ok,2004-11-18,8.46,8.64,8.23,8.3,550387
39,ok,2004-11-21,8.2,8.3,7.9,8.25,253862
40,ok,2004-11-22,8.19,8.66,8.19,8.52,985151
41,ok,2004-11-23,8.5,8.55,8.24,8.31,269767
42,ok,2004-11-24,8.3,8.46,8.2,8.25,382164
43,ok,2004-11-28,8.24,8.55,8.19,8.42,492131
44,ok,2004-11-29,8.44,8.44,8.09,8.16,322531
45,ok,2004-11-30,8.85,8.85,8.03,8.24,253551
46,ok,2004-12-01,8.38,8.48,8.16,8.25,406058
47,ok,2004-12-02,8.37,8.42,8.09,8.1,498120
48,ok,2004-12-05,9.36,9.36,7.96,8.17,281398
49,ok,2004-12-06,8.16,8.16,7.92,7.95,192458
50,ok,2004-12-07,8.07,8.14,7.99,8.05,181204
51,ok,2004-12-08,8.03,8.11,7.96,8.0,129542
52,ok,2004-12-09,8.1,8.1,7.9,7.99,162396
53,ok,2004-12-12,7.88,8.35,7.88,8.27,404029
54,ok,2004-12-13,8.51,8.72,8.19,8.68,1323569
55,ok,2004-12-14,8.85,8.85,8.25,8.3,436938
56,ok,2004-12-15,8.19,8.38,8.16,8.24,260147
57,ok,2004-12-16,8.24,8.42,8.11,8.25,243307
58,ok,2004-12-19,8.16,8.28,8.13,8.17,143004
59,ok,2004-12-20,8.4,8.83,8.19,8.4,1277764
60,ok,2004-12-21,8.44,8.55,8.19,8.3,323676
61,ok,2004-12-22,8.16,8.37,8.1,8.19,282731
62,ok,2004-12-23,8.3,8.37,8.11,8.17,309896
63,ok,2004-12-26,8.01,8.37,7.92,8.17,553144
64,ok,2004-12-27,8.33,8.4,8.16,8.34,694116
65,ok,2004-12-28,8.86,8.86,8.23,8.3,717671
66,ok,2004-12-29,8.35,8.62,8.23,8.28,707018
67,ok,2004-12-30,8.23,8.66,8.23,8.51,842607
68,ok,2005-01-02,8.83,8.95,8.5,8.83,2396184
69,ok,2005-01-03,8.97,9.0,8.68,8.83,1852580
70,ok,2005-01-04,8.75,9.14,7.99,8.2,1904156
71,ok,2005-01-05,8.2,8.4,8.05,8.2,487382
72,ok,2005-01-06,8.37,8.44,8.21,8.33,348164
73,ok,2005-01-09,8.38,8.65,8.34,8.4,521298
74,ok,2005-01-10,8.83,8.86,8.1,8.17,264931
75,ok,2005-01-11,8.4,8.4,7.51,7.66,384931
76,ok,2005-01-12,8.41,8.41,7.74,7.8,250404
77,ok,2005-01-13,7.99,8.01,7.68,7.72,185482
78,ok,2005-01-16,7.99,7.99,7.43,7.55,219942
79,ok,2005-01-17,7.83,7.83,7.44,7.64,65898
80,ok,2005-01-18,7.65,7.69,7.54,7.62,115400
81,ok,2005-01-19,7.6,7.66,7.43,7.45,125849
82,ok,2005-01-23,7.6,7.6,7.37,7.41,123716
83,ok,2005-01-24,7.45,7.54,7.37,7.47,80580
84,ok,2005-01-26,7.71,7.71,7.51,7.56,110316
85,ok,2005-01-27,7.68,7.68,7.45,7.5,149347
86,ok,2005-01-30,7.68,8.24,7.58,7.65,224982
87,ok,2005-01-31,7.62,7.66,7.38,7.44,263662
88,ok,2005-02-01,7.58,7.58,7.47,7.52,252918
89,ok,2005-02-02,7.6,7.69,7.55,7.62,268402
90,ok,2005-02-03,7.68,7.74,7.48,7.66,265144
91,ok,2005-02-06,7.69,7.74,7.54,7.56,179562
92,ok,2005-02-07,7.66,7.66,7.45,7.48,160520
