,s,t,o,h,l,c,v
0,ok,2006-02-26,37.6,38.8,30.53,31.59,164371740
1,ok,2006-02-27,31.3,32.35,30.93,31.19,50853340
2,ok,2006-02-28,31.25,31.58,29.82,30.21,17418730
3,ok,2006-03-01,30.19,32.3,29.5,30.57,24812340
4,ok,2006-03-02,30.6,31.2,29.9,30.29,10571670
5,ok,2006-03-05,30.54,31.59,30.25,30.8,9494930
6,ok,2006-03-06,30.85,31.5,30.32,30.56,6153910
7,ok,2006-03-07,30.51,31.07,29.72,29.87,4214770
8,ok,2006-03-08,30.0,30.35,29.03,29.25,4005120
9,ok,2006-03-09,29.39,30.1,29.1,29.18,3334110
10,ok,2006-03-12,29.48,29.5,28.87,29.02,3133450
11,ok,2006-03-13,28.87,29.18,28.2,28.31,1702440
12,ok,2006-03-15,28.32,28.54,26.62,26.86,3087780
13,ok,2006-03-16,27.15,27.15,26.13,26.29,1741600
14,ok,2006-03-19,26.4,27.54,26.1,26.58,2850150
15,ok,2006-03-20,26.64,28.5,26.6,27.01,6339230
16,ok,2006-03-21,27.29,27.29,26.15,26.29,2357930
17,ok,2006-03-22,26.89,26.89,25.46,25.58,2314440
18,ok,2006-03-23,25.6,26.5,25.51,25.83,1911670
19,ok,2006-03-26,26.04,26.2,25.23,25.33,1737740
20,ok,2006-03-27,25.55,25.59,24.0,24.11,2826020
21,ok,2006-03-28,24.21,25.5,24.2,24.77,4002090
22,ok,2006-03-29,25.0,25.38,24.3,24.48,3108550
23,ok,2006-03-30,24.7,25.99,24.4,25.05,3947480
24,ok,2006-04-02,25.39,26.2,25.1,26.01,3163850
25,ok,2006-04-03,26.6,28.46,26.34,28.06,10845400
26,ok,2006-04-04,28.3,29.0,28.21,28.41,4707530
27,ok,2006-04-06,28.5,28.79,26.92,27.06,2667450
28,ok,2006-04-09,25.5,27.22,25.5,25.83,2179460
29,ok,2006-04-11,26.0,26.5,25.42,25.53,1794740
30,ok,2006-04-12,25.75,25.8,24.86,25.09,1250470
31,ok,2006-04-16,25.4,25.85,25.21,25.47,619410
32,ok,2006-04-17,25.6,26.0,25.36,25.54,886290
33,ok,2006-04-18,25.49,28.5,25.49,28.17,8099650
34,ok,2006-04-19,28.6,29.29,28.26,28.59,7042450
35,ok,2006-04-20,28.5,28.85,27.25,27.81,2257900
36,ok,2006-04-23,28.17,28.5,27.78,27.91,1409430
37,ok,2006-04-24,28.15,30.3,28.0,28.83,11770100
38,ok,2006-04-25,29.2,29.38,28.29,28.39,2420330
39,ok,2006-04-26,28.6,30.24,28.32,29.13,4972870
40,ok,2006-04-27,28.5,28.6,26.51,27.92,2563210
41,ok,2006-04-28,28.21,28.9,28.0,28.67,990460
42,ok,2006-05-01,29.0,29.38,28.23,28.37,1621620
