,s,t,o,h,l,c,v
0,ok,2018-03-27,1152.0,1184.95,1121.0,1132.85,1692143
1,ok,2018-04-01,1127.7,1155.0,1118.0,1149.25,176365
2,ok,2018-04-02,1141.0,1147.0,1126.35,1128.6,57565
3,ok,2018-04-03,1130.0,1140.0,1115.0,1115.9,81682
4,ok,2018-04-04,1122.0,1131.25,1109.5,1113.95,74994
5,ok,2018-04-05,1103.5,1118.85,1100.05,1102.85,73013
6,ok,2018-04-08,1100.5,1112.0,1100.5,1104.45,59514
7,ok,2018-04-09,1109.8,1110.0,1092.05,1102.3,53653
8,ok,2018-04-10,1102.0,1106.0,1095.0,1097.3,39956
9,ok,2018-04-11,1096.0,1098.05,1080.1,1086.15,54719
10,ok,2018-04-12,1115.0,1150.0,1105.1,1123.05,144882
11,ok,2018-04-15,1125.0,1159.9,1124.0,1147.9,135266
12,ok,2018-04-16,1157.0,1164.0,1142.0,1146.4,61793
13,ok,2018-04-17,1154.0,1155.0,1125.0,1130.0,41959
14,ok,2018-04-18,1138.0,1153.4,1129.1,1141.05,50624
15,ok,2018-04-19,1141.2,1145.9,1118.0,1125.55,34939
16,ok,2018-04-22,1132.0,1149.0,1122.35,1131.3,39907
17,ok,2018-04-23,1137.95,1144.5,1130.0,1130.8,30039
18,ok,2018-04-24,1131.0,1145.9,1122.85,1125.45,34914
19,ok,2018-04-25,1127.0,1138.0,1125.0,1130.45,16390
20,ok,2018-04-26,1132.65,1134.95,1122.0,1125.8,16572
21,ok,2018-04-29,1134.4,1134.4,1119.0,1124.35,18615
22,ok,2018-05-01,1119.0,1131.95,1111.25,1114.25,18861
23,ok,2018-05-02,1114.05,1115.0,1089.2,1095.0,19044
24,ok,2018-05-03,1105.0,1105.0,1090.0,1093.55,12282
25,ok,2018-05-06,1090.5,1122.05,1082.05,1108.15,21116
26,ok,2018-05-07,1105.2,1118.9,1099.0,1104.35,12620
27,ok,2018-05-08,1100.0,1103.95,1090.0,1093.45,9761
28,ok,2018-05-09,1090.0,1091.85,1084.0,1085.55,12712
29,ok,2018-05-10,1087.5,1091.0,1071.15,1083.2,16119
30,ok,2018-05-13,1082.0,1087.95,1064.0,1066.45,17672
31,ok,2018-05-14,1075.0,1083.65,1051.5,1055.35,15397
32,ok,2018-05-15,1054.5,1057.9,1043.0,1044.3,103139
33,ok,2018-05-16,1046.0,1050.65,1032.95,1039.75,9501
34,ok,2018-05-17,1044.0,1044.0,1030.05,1032.85,11552
35,ok,2018-05-20,1031.95,1031.95,1009.0,1021.35,25664
36,ok,2018-05-21,1025.0,1029.0,1011.25,1021.95,10808
37,ok,2018-05-22,1020.0,1024.0,1006.0,1015.65,11985
38,ok,2018-05-23,1015.0,1015.15,1005.05,1008.75,10278
39,ok,2018-05-24,1008.0,1025.0,1005.55,1022.75,13915
40,ok,2018-05-27,1020.0,1055.0,1020.0,1042.35,22850
41,ok,2018-05-28,1035.0,1051.0,1035.0,1048.7,8519
42,ok,2018-05-29,1043.0,1098.0,1011.0,1081.35,84558
43,ok,2018-05-30,1085.0,1098.95,1046.5,1057.1,342352
44,ok,2018-05-31,1050.0,1050.05,1027.55,1029.85,15574
45,ok,2018-06-03,1040.0,1040.05,1015.0,1018.55,10423
46,ok,2018-06-04,1019.0,1019.05,989.95,993.75,21152
47,ok,2018-06-05,990.0,1004.35,989.0,996.9,9344
48,ok,2018-06-06,996.0,1010.0,996.0,999.55,10757
49,ok,2018-06-07,995.55,998.95,987.5,990.45,13521
50,ok,2018-06-10,990.55,994.7,984.0,987.1,14867
51,ok,2018-06-11,987.5,992.0,968.7,973.75,23112
52,ok,2018-06-12,968.0,979.95,963.5,964.45,19326
53,ok,2018-06-13,960.0,1008.0,949.05,973.1,206279
54,ok,2018-06-14,970.05,975.0,960.0,968.5,13532
55,ok,2018-06-17,966.0,968.5,945.65,948.85,16102
56,ok,2018-06-18,947.05,950.95,928.85,930.2,17843
57,ok,2018-06-19,931.0,935.95,923.0,925.1,15275
58,ok,2018-06-20,925.1,927.0,911.0,912.0,17703
59,ok,2018-06-21,911.1,920.95,896.0,914.4,27953
60,ok,2018-06-24,910.0,913.95,898.0,901.0,10004
61,ok,2018-06-25,896.0,897.0,885.05,887.05,18084
62,ok,2018-06-26,880.0,885.4,860.0,865.3,27245
63,ok,2018-06-27,860.05,860.05,840.0,843.9,22852
64,ok,2018-06-28,843.95,850.0,843.0,844.4,13304
65,ok,2018-07-01,844.2,878.95,833.15,858.5,19490
66,ok,2018-07-02,857.0,858.5,842.05,844.35,9325
