,s,t,o,h,l,c,v
0,ok,2022-04-11,80.0,80.0,80.0,80.0,900
1,ok,2022-04-12,88.0,88.0,82.4,88.0,20480
2,ok,2022-04-17,96.8,96.8,96.8,96.8,3752
3,ok,2022-04-18,101.63,101.63,101.63,101.63,4665
4,ok,2022-04-19,106.7,106.7,97.0,106.7,110474
5,ok,2022-04-20,112.03,112.03,112.03,112.03,3875
6,ok,2022-04-21,117.63,117.63,113.13,117.63,60929
7,ok,2022-04-24,123.5,123.5,116.6,123.5,49386
8,ok,2022-04-25,129.67,129.67,129.67,129.67,9546
9,ok,2022-04-26,136.13,136.13,123.2,133.2,224955
10,ok,2022-04-27,135.33,139.83,127.03,139.83,69105
11,ok,2022-04-28,145.2,146.8,143.33,146.8,30384
12,ok,2022-05-01,152.93,154.13,152.93,154.13,9474
13,ok,2022-05-03,161.83,161.83,161.83,161.83,5481
14,ok,2022-05-04,169.9,169.9,154.1,165.73,104816
15,ok,2022-05-05,157.47,157.47,157.47,157.47,5846
16,ok,2022-05-08,149.6,157.33,149.6,149.6,33440
17,ok,2022-05-09,142.13,142.13,142.13,142.13,3882
18,ok,2022-05-10,135.03,149.23,135.03,149.23,23700
19,ok,2022-05-11,155.67,156.67,152.4,156.67,15692
20,ok,2022-05-12,164.3,164.5,153.33,164.5,16139
21,ok,2022-05-15,172.33,172.7,156.3,166.7,10569
22,ok,2022-05-16,170.0,170.0,158.37,160.07,4650
23,ok,2022-05-17,163.0,168.07,153.4,166.33,13349
24,ok,2022-05-18,158.03,165.3,158.03,158.83,9281
25,ok,2022-05-19,158.33,159.97,150.9,153.43,6881
26,ok,2022-05-22,148.0,158.0,145.77,155.33,6597
27,ok,2022-05-23,149.4,158.4,148.67,155.13,2766
28,ok,2022-05-24,148.67,159.97,147.47,148.0,10362
29,ok,2022-05-25,147.93,150.0,140.6,146.37,7773
30,ok,2022-05-26,142.0,150.0,141.33,145.67,2468
31,ok,2022-05-29,152.87,152.87,141.33,142.93,3273
32,ok,2022-05-30,143.3,150.07,136.03,149.6,147500
33,ok,2022-05-31,155.33,155.33,143.33,150.2,3836
34,ok,2022-06-01,150.2,157.33,146.83,153.4,4413
35,ok,2022-06-02,156.67,161.07,148.17,161.07,8513
36,ok,2022-06-05,166.67,166.67,161.47,165.2,1334
37,ok,2022-06-06,166.67,166.67,157.67,164.9,7203
38,ok,2022-06-07,169.97,173.07,156.67,172.1,184523
39,ok,2022-06-08,179.33,180.7,163.5,163.5,52847
40,ok,2022-06-09,155.37,163.33,155.33,155.33,11586
41,ok,2022-06-12,155.33,155.33,148.17,149.33,6461
42,ok,2022-06-13,146.6,149.33,141.87,145.67,6456
43,ok,2022-06-14,146.0,152.93,140.0,142.8,14076
44,ok,2022-06-15,146.63,149.93,136.33,149.93,212481
45,ok,2022-06-16,149.93,157.4,148.7,157.4,5265
46,ok,2022-06-19,160.0,165.27,155.83,158.47,8099
47,ok,2022-06-20,163.33,166.0,152.67,156.77,3935
48,ok,2022-06-21,153.63,159.33,149.07,157.07,23859
49,ok,2022-06-22,162.67,162.67,155.3,156.7,3678
50,ok,2022-06-23,156.0,160.97,150.9,153.47,4854
51,ok,2022-06-26,160.6,160.6,150.67,153.33,6078
52,ok,2022-06-27,154.6,161.0,150.33,160.9,7998
53,ok,2022-06-28,166.57,166.6,154.67,157.07,3996
54,ok,2022-06-29,157.07,159.37,149.33,150.23,6981
55,ok,2022-06-30,150.2,151.43,147.3,149.5,7271
56,ok,2022-07-03,145.33,156.4,143.03,148.37,8288
57,ok,2022-07-04,154.63,154.63,143.5,147.23,2054
58,ok,2022-07-05,144.3,150.67,142.13,149.1,6536
59,ok,2022-07-06,156.33,156.33,149.87,153.27,12114
60,ok,2022-07-07,159.13,159.13,154.27,156.83,6422
61,ok,2022-07-10,162.5,164.67,156.83,164.43,261629
62,ok,2022-07-11,167.33,172.63,167.33,172.63,10427
63,ok,2022-07-12,181.23,181.23,174.0,180.87,113969
64,ok,2022-07-13,185.3,185.3,171.83,177.53,48107
65,ok,2022-07-14,172.17,178.43,168.67,168.87,26016
66,ok,2022-07-17,173.33,173.33,163.43,168.93,14370
67,ok,2022-07-18,170.0,174.13,168.0,172.13,17342
68,ok,2022-07-19,175.33,176.67,171.07,172.37,15536
69,ok,2022-07-20,175.6,175.6,171.0,173.3,8796
70,ok,2022-07-21,179.13,181.93,172.03,181.93,41795
71,ok,2022-07-24,191.0,191.0,189.0,191.0,9430
72,ok,2022-07-25,200.55,200.55,200.55,200.55,4133
73,ok,2022-07-26,205.95,205.95,190.55,190.55,18272
74,ok,2022-07-27,181.25,200.05,181.05,200.05,57848
75,ok,2022-07-28,204.95,208.95,191.05,204.3,34830
76,ok,2022-07-31,203.2,207.2,194.2,197.3,8229
77,ok,2022-08-01,198.45,207.15,195.05,207.15,153287
78,ok,2022-08-02,217.0,217.0,206.85,208.0,12943
79,ok,2022-08-03,205.0,211.75,197.6,198.2,11472
80,ok,2022-08-04,194.2,208.0,192.0,200.3,16944
81,ok,2022-08-07,195.1,198.0,190.3,191.25,75952
82,ok,2022-08-09,194.9,196.0,184.05,193.2,98769
83,ok,2022-08-10,194.5,198.0,185.0,188.85,11243
84,ok,2022-08-11,194.7,194.7,179.45,190.05,7091
85,ok,2022-08-15,185.85,195.0,181.1,189.55,16301
86,ok,2022-08-16,188.0,188.9,185.15,186.6,4462
87,ok,2022-08-17,185.1,193.0,182.0,190.05,11730
88,ok,2022-08-18,190.05,190.05,185.1,186.2,7361
89,ok,2022-08-21,186.0,195.5,186.0,195.5,221323
90,ok,2022-08-22,198.0,205.25,198.0,205.25,38837
91,ok,2022-08-23,211.9,215.5,202.05,215.5,60564
92,ok,2022-08-24,226.25,226.25,221.0,226.25,13969
93,ok,2022-08-25,237.5,237.55,220.05,224.55,38376
94,ok,2022-08-28,222.8,229.0,213.35,226.5,32519
95,ok,2022-08-29,233.8,233.8,220.1,226.75,7357
96,ok,2022-08-31,231.95,236.9,223.0,229.5,10516
97,ok,2022-09-01,229.0,235.0,225.0,227.05,4596
98,ok,2022-09-04,233.95,233.95,217.25,225.25,6798
99,ok,2022-09-05,220.1,236.5,216.15,235.95,36461
100,ok,2022-09-06,242.55,247.5,232.05,245.35,12485
101,ok,2022-09-07,250.0,254.9,240.0,248.5,9404
102,ok,2022-09-08,248.5,260.9,240.0,252.9,63431
103,ok,2022-09-11,258.8,259.5,244.2,249.75,14667
104,ok,2022-09-12,245.0,252.95,237.3,248.15,32975
105,ok,2022-09-13,242.0,260.55,242.0,260.55,13182
106,ok,2022-09-14,264.9,269.95,260.55,263.15,7378
107,ok,2022-09-15,264.95,276.3,255.05,269.25,40533
