,s,t,o,h,l,c,v
0,ok,2022-04-12,220.0,231.0,215.2,231.0,3807527
1,ok,2022-04-17,242.55,242.55,235.65,242.55,2037740
2,ok,2022-04-18,244.9,245.0,230.45,230.45,389707
3,ok,2022-04-19,218.95,218.95,218.95,218.95,35723
4,ok,2022-04-20,208.05,229.0,208.05,221.7,1628271
5,ok,2022-04-21,210.65,216.95,210.65,211.35,765352
6,ok,2022-04-24,203.0,211.25,200.8,207.0,618582
7,ok,2022-04-25,203.55,206.95,197.0,200.55,361715
8,ok,2022-04-26,194.5,210.55,193.05,210.55,266365
9,ok,2022-04-27,221.05,221.05,221.05,221.05,79480
10,ok,2022-04-28,229.9,231.0,206.25,219.6,1527428
11,ok,2022-05-01,214.05,230.8,210.0,221.9,613993
12,ok,2022-05-03,225.0,228.45,210.0,212.25,421447
13,ok,2022-05-04,219.0,222.55,214.5,216.45,330999
14,ok,2022-05-05,212.0,215.2,206.95,214.15,339976
15,ok,2022-05-08,217.5,223.75,210.65,214.2,663517
16,ok,2022-05-09,212.6,220.95,193.3,199.25,637407
17,ok,2022-05-10,202.0,203.0,169.1,194.8,949146
18,ok,2022-05-11,195.0,197.95,186.35,192.35,307116
19,ok,2022-05-12,199.0,201.6,190.0,193.1,232807
20,ok,2022-05-15,196.45,210.7,193.35,205.55,531720
21,ok,2022-05-16,209.7,210.0,204.35,209.25,250992
22,ok,2022-05-17,210.0,218.8,205.65,208.3,464261
23,ok,2022-05-18,195.0,207.3,195.0,203.0,232555
24,ok,2022-05-19,205.05,227.8,204.2,214.2,910709
25,ok,2022-05-22,219.9,223.5,212.0,214.7,375559
26,ok,2022-05-23,220.0,224.8,211.15,214.5,417561
27,ok,2022-05-24,218.0,221.2,198.55,200.25,361409
28,ok,2022-05-25,202.15,213.0,192.0,202.8,295042
29,ok,2022-05-26,206.0,211.3,203.2,208.5,260935
30,ok,2022-05-29,211.9,219.9,209.5,211.55,377398
31,ok,2022-05-30,212.35,213.5,191.4,202.0,191177
32,ok,2022-05-31,206.05,209.95,201.4,203.5,137768
33,ok,2022-06-01,204.95,216.55,201.5,209.25,489618
34,ok,2022-06-02,211.9,213.3,205.0,206.35,149495
35,ok,2022-06-05,206.1,209.05,202.35,205.95,95498
36,ok,2022-06-06,206.0,209.1,201.7,202.85,196198
37,ok,2022-06-07,203.95,205.6,200.85,201.8,110734
38,ok,2022-06-08,202.0,203.55,199.1,201.45,124070
39,ok,2022-06-09,201.45,202.4,198.0,199.1,70604
40,ok,2022-06-12,191.0,199.3,190.0,191.35,189686
41,ok,2022-06-13,191.5,198.7,191.4,194.75,156378
42,ok,2022-06-14,197.0,198.0,190.25,193.4,73588
43,ok,2022-06-15,196.0,198.2,187.45,189.65,216869
44,ok,2022-06-16,189.0,192.0,185.0,185.6,106874
45,ok,2022-06-19,187.0,188.95,180.0,181.9,314828
46,ok,2022-06-20,180.5,190.0,180.5,188.45,105215
47,ok,2022-06-21,189.0,189.0,183.6,186.15,57703
48,ok,2022-06-22,184.0,194.0,184.0,188.3,83541
49,ok,2022-06-23,188.9,194.7,187.05,191.55,249897
50,ok,2022-06-26,190.6,198.6,190.6,195.7,94061
51,ok,2022-06-27,192.05,199.0,192.05,197.35,94564
52,ok,2022-06-28,196.5,198.4,190.0,191.2,84890
53,ok,2022-06-29,191.2,194.75,190.2,191.45,48445
54,ok,2022-06-30,190.0,193.75,187.95,192.8,68687
55,ok,2022-07-03,194.8,200.65,192.05,194.35,119163
56,ok,2022-07-04,200.0,206.0,194.4,198.0,268075
57,ok,2022-07-05,197.0,200.9,194.55,196.45,119403
58,ok,2022-07-06,196.5,203.05,196.5,199.8,103287
59,ok,2022-07-07,201.0,203.35,198.0,198.55,61995
60,ok,2022-07-10,200.0,203.5,197.1,200.2,152086
61,ok,2022-07-11,199.9,216.75,199.15,207.7,478588
62,ok,2022-07-12,208.25,214.0,206.25,208.0,164761
63,ok,2022-07-13,208.0,210.95,199.1,203.9,152049
64,ok,2022-07-14,207.0,212.0,201.8,209.15,160444
65,ok,2022-07-17,210.95,212.55,207.3,210.1,117824
66,ok,2022-07-18,211.0,211.0,206.0,208.6,84780
67,ok,2022-07-19,210.9,216.0,206.5,207.7,123324
68,ok,2022-07-20,208.0,219.0,207.2,217.2,257097
69,ok,2022-07-21,218.2,218.8,212.05,213.65,131728
70,ok,2022-07-24,211.0,217.65,205.45,213.35,147760
71,ok,2022-07-25,211.1,222.7,210.0,215.25,300420
72,ok,2022-07-26,219.9,220.05,212.0,215.65,156508
73,ok,2022-07-27,215.3,223.95,211.1,213.9,149368
74,ok,2022-07-28,213.9,226.0,213.6,223.25,611801
75,ok,2022-07-31,224.9,226.3,217.45,219.55,217945
76,ok,2022-08-01,221.6,221.75,215.0,216.1,123779
77,ok,2022-08-02,217.95,217.95,209.1,210.65,261194
78,ok,2022-08-03,213.0,214.45,206.5,211.65,127179
79,ok,2022-08-04,214.8,217.5,210.2,211.4,122114
80,ok,2022-08-07,210.0,216.85,209.9,215.1,125880
81,ok,2022-08-09,219.0,224.0,211.3,221.65,250327
82,ok,2022-08-10,216.0,239.0,213.0,229.5,965432
83,ok,2022-08-11,232.0,252.5,230.0,249.55,1021381
84,ok,2022-08-15,256.0,275.0,252.0,257.15,1474282
85,ok,2022-08-16,257.15,265.0,253.5,261.9,415585
86,ok,2022-08-17,260.0,262.7,254.0,260.6,282616
87,ok,2022-08-18,258.5,281.0,256.8,267.65,970046
88,ok,2022-08-21,267.5,267.5,258.8,261.65,202840
89,ok,2022-08-22,258.85,283.0,258.85,277.2,467480
90,ok,2022-08-23,277.1,287.9,275.0,277.4,474103
91,ok,2022-08-24,281.6,286.8,272.1,273.55,238188
92,ok,2022-08-25,274.95,278.0,263.8,269.2,157115
93,ok,2022-08-28,257.0,282.0,257.0,277.25,308264
94,ok,2022-08-29,280.0,284.0,272.0,273.9,224831
95,ok,2022-08-31,276.0,277.45,268.0,269.2,153463
96,ok,2022-09-01,270.05,279.15,269.8,273.75,158069
97,ok,2022-09-04,275.25,277.85,269.0,272.65,186647
98,ok,2022-09-05,275.0,286.4,271.05,274.95,257276
99,ok,2022-09-06,275.0,283.6,271.0,279.95,157906
100,ok,2022-09-07,283.1,296.05,278.2,292.25,602676
101,ok,2022-09-08,295.0,305.5,285.85,289.35,524584
102,ok,2022-09-11,289.8,291.9,280.95,282.5,221755
103,ok,2022-09-12,285.05,292.0,280.0,281.45,182410
104,ok,2022-09-13,279.45,281.85,273.5,275.15,141041
105,ok,2022-09-14,279.5,284.5,278.0,282.15,204149
106,ok,2022-09-15,281.9,283.0,258.05,266.7,379314
107,ok,2022-09-18,268.8,273.7,260.6,267.3,180344
108,ok,2022-09-19,270.05,278.0,270.05,276.4,111339
109,ok,2022-09-20,275.9,282.35,265.8,267.5,164456
110,ok,2022-09-21,269.0,274.35,256.9,263.1,208945
111,ok,2022-09-22,261.1,267.65,250.65,253.95,182875
112,ok,2022-09-25,252.4,262.0,247.05,258.1,293632
113,ok,2022-09-26,263.9,263.95,249.2,252.85,163843
114,ok,2022-09-27,255.85,257.6,250.55,254.1,90522
115,ok,2022-09-28,258.35,262.9,249.6,256.65,112193
116,ok,2022-09-29,256.65,260.0,251.5,257.3,91679
117,ok,2022-10-02,258.0,259.85,248.25,250.65,131080
118,ok,2022-10-03,254.0,270.0,254.0,264.75,232128
119,ok,2022-10-05,266.65,283.3,266.65,280.2,352203
120,ok,2022-10-06,280.45,288.8,276.35,283.9,241089
121,ok,2022-10-09,280.0,287.0,276.0,282.1,120070
122,ok,2022-10-10,282.0,284.0,273.15,277.5,137809
123,ok,2022-10-11,279.6,279.6,269.0,272.4,108574
124,ok,2022-10-12,274.9,277.0,265.0,266.65,72156
125,ok,2022-10-13,272.75,274.9,260.0,260.9,80866
126,ok,2022-10-16,260.9,276.0,256.3,273.35,143833
127,ok,2022-10-17,276.0,282.0,274.1,275.4,97615
128,ok,2022-10-18,277.35,281.0,271.35,274.15,66797
129,ok,2022-10-19,272.7,288.6,269.4,286.55,151395
130,ok,2022-10-20,288.7,297.0,282.1,285.2,380580
131,ok,2022-10-23,289.9,298.2,289.85,293.6,132025
132,ok,2022-10-24,295.8,295.8,281.2,284.25,97185
133,ok,2022-10-26,284.25,291.65,282.55,284.6,92590
134,ok,2022-10-27,288.0,288.5,274.0,276.2,72806
135,ok,2022-10-30,278.3,282.0,275.0,278.55,81363
136,ok,2022-10-31,280.5,281.65,272.0,273.65,81900
137,ok,2022-11-01,275.2,275.65,268.0,269.55,78151
138,ok,2022-11-02,269.55,275.65,268.4,271.75,117070
139,ok,2022-11-03,274.1,280.5,271.4,276.3,58474
140,ok,2022-11-06,278.65,279.7,269.2,271.7,98151
141,ok,2022-11-08,273.7,279.55,271.6,274.95,67193
142,ok,2022-11-09,273.6,301.0,270.0,293.95,350216
143,ok,2022-11-10,304.95,309.0,290.1,293.2,429924
144,ok,2022-11-13,293.2,302.7,275.1,277.1,231534
145,ok,2022-11-14,278.9,282.1,268.15,271.1,158841
146,ok,2022-11-15,273.0,273.0,263.05,264.35,190249
147,ok,2022-11-16,264.95,286.8,260.0,283.75,271101
148,ok,2022-11-17,285.5,285.5,273.35,278.65,78882
