,s,t,o,h,l,c,v
0,ok,2010-02-24,50.0,50.0,40.9,41.53,37219230
1,ok,2010-02-25,42.0,42.7,37.84,40.11,22626865
2,ok,2010-03-01,40.5,41.2,38.93,40.23,5066365
3,ok,2010-03-02,40.4,40.7,39.62,40.03,1104795
4,ok,2010-03-03,40.4,43.5,39.82,42.7,8896670
5,ok,2010-03-04,43.02,43.38,41.45,42.92,1803490
6,ok,2010-03-07,43.4,44.96,42.53,44.64,3922555
7,ok,2010-03-08,44.2,44.78,43.2,43.56,778210
8,ok,2010-03-09,43.58,44.4,43.02,43.69,549470
9,ok,2010-03-10,43.32,43.85,43.0,43.17,181790
10,ok,2010-03-11,43.4,43.6,41.46,42.0,194175
11,ok,2010-03-14,41.9,42.37,41.0,41.65,279850
12,ok,2010-03-15,42.09,42.65,41.03,41.56,312390
13,ok,2010-03-16,41.4,42.7,41.4,41.76,200900
14,ok,2010-03-17,42.17,42.4,41.6,42.12,176815
15,ok,2010-03-18,41.74,42.2,40.22,41.61,398860
16,ok,2010-03-21,40.4,43.39,40.4,40.93,411735
17,ok,2010-03-22,41.78,41.78,40.65,41.02,227380
18,ok,2010-03-24,41.38,41.98,40.44,40.63,59730
19,ok,2010-03-25,41.2,42.29,40.8,41.03,376135
20,ok,2010-03-28,40.7,41.4,40.11,40.61,371460
21,ok,2010-03-29,40.55,41.7,40.42,41.26,183130
22,ok,2010-03-30,40.86,42.17,40.4,41.5,173385
23,ok,2010-03-31,41.5,42.8,41.5,42.04,234625
24,ok,2010-04-04,42.79,43.34,41.61,41.93,311520
25,ok,2010-04-05,42.8,42.95,41.25,41.55,49950
26,ok,2010-04-06,41.4,42.2,41.4,41.88,77065
27,ok,2010-04-07,42.2,42.56,41.0,41.65,2487640
28,ok,2010-04-08,41.7,42.8,40.8,41.35,256115
29,ok,2010-04-11,41.45,41.8,41.12,41.58,48150
30,ok,2010-04-12,41.2,41.75,40.98,41.03,48510
31,ok,2010-04-14,41.14,42.37,41.12,42.04,203365
32,ok,2010-04-15,41.9,43.86,41.8,43.4,503605
33,ok,2010-04-18,42.04,44.98,42.04,43.95,708085
34,ok,2010-04-19,44.2,45.96,43.68,44.98,1040600
35,ok,2010-04-20,45.2,45.2,42.92,43.93,343895
36,ok,2010-04-21,44.8,44.8,42.8,43.04,107555
37,ok,2010-04-22,43.58,44.5,42.6,43.08,116785
38,ok,2010-04-25,43.44,43.98,42.6,42.66,1214105
39,ok,2010-04-26,44.0,44.0,42.85,43.62,123580
40,ok,2010-04-27,43.58,43.58,41.8,41.88,86635
41,ok,2010-04-28,42.59,42.98,41.8,42.22,608960
42,ok,2010-04-29,42.73,42.9,41.8,41.96,36130
43,ok,2010-05-02,41.6,42.0,41.4,41.59,34755
44,ok,2010-05-03,41.99,43.2,40.8,42.34,141495
45,ok,2010-05-04,40.9,42.6,40.9,42.12,168740
46,ok,2010-05-05,42.0,43.0,41.41,42.35,87365
47,ok,2010-05-06,41.4,41.77,40.2,40.57,52975
48,ok,2010-05-09,41.15,41.58,40.83,41.18,33095
49,ok,2010-05-10,41.2,41.96,40.95,41.09,44780
50,ok,2010-05-11,41.79,41.95,40.6,41.31,703220
51,ok,2010-05-12,41.05,43.13,41.05,41.76,1498270
52,ok,2010-05-13,42.19,42.19,40.62,40.87,562815
53,ok,2010-05-16,40.4,40.87,39.11,40.48,238505
54,ok,2010-05-17,40.98,41.56,39.7,39.96,132745
55,ok,2010-05-18,41.0,41.0,37.9,38.57,2153590
56,ok,2010-05-19,38.2,40.62,38.2,40.05,424310
57,ok,2010-05-20,39.0,40.55,38.22,39.4,2596235
58,ok,2010-05-23,39.66,40.09,38.82,39.12,1028855
59,ok,2010-05-24,38.96,38.96,37.02,37.34,1474670
60,ok,2010-05-25,37.85,38.2,36.11,37.03,685245
61,ok,2010-05-26,37.57,38.95,37.45,37.75,858455
62,ok,2010-05-27,38.99,38.99,37.8,38.12,24140
63,ok,2010-05-30,38.22,38.8,36.9,37.32,23160
64,ok,2010-05-31,37.8,37.8,36.41,36.58,800050
65,ok,2010-06-01,36.75,37.2,36.7,36.84,20260
66,ok,2010-06-02,37.05,38.0,36.9,37.06,20145
67,ok,2010-06-03,36.85,39.15,36.51,37.25,216615
68,ok,2010-06-06,43.0,43.0,36.4,37.19,204305
69,ok,2010-06-07,37.02,38.18,37.02,37.77,109500
70,ok,2010-06-08,38.52,38.6,37.2,37.41,37130
71,ok,2010-06-09,37.34,37.95,37.14,37.73,107605
72,ok,2010-06-10,37.8,38.38,36.8,37.24,14265
73,ok,2010-06-13,37.51,37.8,37.0,37.17,31680
74,ok,2010-06-14,37.17,37.55,36.6,36.64,568000
75,ok,2010-06-15,36.92,37.5,36.21,36.86,112605
76,ok,2010-06-16,36.9,37.16,36.21,36.68,21450
77,ok,2010-06-17,36.36,36.78,35.6,35.92,75585
78,ok,2010-06-20,36.0,36.56,35.6,36.21,31850
79,ok,2010-06-21,35.7,36.7,35.7,36.35,16760
80,ok,2010-06-22,36.0,37.58,35.2,36.53,54170
81,ok,2010-06-23,36.8,38.18,36.4,37.22,75800
82,ok,2010-06-24,37.69,37.69,36.7,36.73,52545
83,ok,2010-06-27,37.15,38.4,36.25,38.05,3580240
84,ok,2010-06-28,38.8,39.8,35.0,35.1,26720580
85,ok,2010-06-29,35.4,37.36,35.26,36.65,8701125
86,ok,2010-06-30,36.68,36.9,36.1,36.48,1429680
87,ok,2010-07-01,36.6,36.74,35.3,35.43,493535
88,ok,2010-07-04,35.85,36.08,34.41,34.58,325965
89,ok,2010-07-05,34.81,35.27,34.5,34.78,568360
90,ok,2010-07-06,34.8,35.2,34.05,34.24,205220
91,ok,2010-07-07,34.7,35.94,34.05,35.2,2212700
