,s,t,o,h,l,c,v
0,ok,2014-06-25,141.08,141.08,132.09,141.02,1957
1,ok,2014-06-26,141.02,145.31,140.02,140.28,993
2,ok,2014-06-29,137.64,145.28,134.78,142.69,3491
3,ok,2014-06-30,145.83,147.95,143.19,147.92,4456
4,ok,2014-07-01,147.92,149.36,138.44,146.57,1289
5,ok,2014-07-02,146.36,149.85,143.19,143.69,25165
6,ok,2014-07-03,147.95,150.59,143.88,148.19,25168
7,ok,2014-07-06,147.95,152.17,147.41,147.97,1787
8,ok,2014-07-07,147.95,147.95,144.01,144.01,2928
9,ok,2014-07-08,142.72,144.77,142.64,142.72,4748
10,ok,2014-07-09,141.29,147.95,141.29,143.58,6215
11,ok,2014-07-10,149.32,149.32,143.03,143.45,1244
12,ok,2014-07-13,143.45,147.68,142.66,143.16,3080
13,ok,2014-07-14,144.25,148.47,143.19,147.95,41768
14,ok,2014-07-15,147.95,158.51,145.31,149.27,31516
15,ok,2014-07-16,153.23,153.23,145.36,149.13,6140
16,ok,2014-07-17,148.5,150.03,146.41,148.69,5996
17,ok,2014-07-20,154.81,154.81,145.31,146.09,3127
18,ok,2014-07-21,154.81,154.81,145.31,148.97,889
19,ok,2014-07-22,145.31,145.83,143.72,143.75,2627
20,ok,2014-07-23,142.77,147.92,142.77,142.92,1111
21,ok,2014-07-24,138.96,147.95,138.96,147.28,427
22,ok,2014-07-27,143.19,146.84,142.77,145.31,923
23,ok,2014-07-29,144.77,146.89,143.33,143.48,1377
24,ok,2014-07-30,146.33,147.95,142.95,145.31,9543
25,ok,2014-07-31,142.92,149.0,142.92,147.76,19645
26,ok,2014-08-03,147.76,153.23,146.94,152.06,26499
27,ok,2014-08-04,151.64,154.81,151.64,153.23,16141
28,ok,2014-08-05,153.23,153.75,150.64,150.95,2188
29,ok,2014-08-06,173.83,173.83,147.95,149.11,6109
30,ok,2014-08-07,147.95,150.59,147.92,147.97,2279
31,ok,2014-08-10,145.49,152.69,145.46,148.94,43
32,ok,2014-08-11,149.55,152.69,144.08,151.91,7524
33,ok,2014-08-12,149.8,155.29,147.95,152.62,4391
34,ok,2014-08-13,152.62,152.69,146.44,151.43,1547
35,ok,2014-08-17,149.0,151.11,147.95,149.34,909
36,ok,2014-08-18,150.56,150.56,145.85,149.95,2037
37,ok,2014-08-19,148.5,150.05,145.46,146.17,644
38,ok,2014-08-20,147.97,148.02,145.85,147.02,3059
39,ok,2014-08-21,147.14,147.41,144.25,144.3,1036
40,ok,2014-08-24,145.31,147.95,143.72,147.81,10515
41,ok,2014-08-25,150.32,150.56,145.31,147.95,3961
42,ok,2014-08-26,151.88,151.88,145.83,147.2,1775
43,ok,2014-08-27,147.95,150.08,143.75,146.17,2409
44,ok,2014-08-31,149.48,149.48,143.85,148.61,6623
45,ok,2014-09-01,147.95,149.48,146.49,148.02,1475
46,ok,2014-09-02,150.59,152.02,147.97,149.98,592
47,ok,2014-09-03,150.64,150.64,148.07,150.0,1959
48,ok,2014-09-04,152.17,152.17,147.95,147.95,888
49,ok,2014-09-07,149.53,149.92,146.89,147.89,5491
50,ok,2014-09-08,149.16,150.05,147.95,148.07,4829
51,ok,2014-09-09,150.88,150.88,148.74,150.45,5843
52,ok,2014-09-10,146.36,157.4,146.36,156.14,12809
53,ok,2014-09-11,149.08,155.87,147.95,152.49,7004
54,ok,2014-09-14,169.0,169.0,152.17,158.66,32449
55,ok,2014-09-15,159.57,161.63,154.44,155.92,17207
56,ok,2014-09-16,162.74,163.27,153.23,161.07,46089
57,ok,2014-09-17,166.33,184.88,163.85,181.49,94429
58,ok,2014-09-18,187.04,200.72,187.04,193.99,132375
59,ok,2014-09-21,198.67,198.67,191.98,193.36,47200
60,ok,2014-09-22,194.45,195.5,174.49,176.24,50744
61,ok,2014-09-23,186.93,189.1,169.98,173.91,22240
62,ok,2014-09-24,173.81,179.43,170.13,172.43,12692
63,ok,2014-09-25,170.13,176.98,168.02,173.81,16889
64,ok,2014-09-28,173.3,175.95,168.55,171.08,8515
65,ok,2014-09-29,170.13,174.36,169.61,170.16,12901
66,ok,2014-09-30,168.55,172.19,166.57,169.88,4063
67,ok,2014-10-06,174.31,174.31,162.21,163.85,26323
68,ok,2014-10-07,162.21,166.38,159.57,160.55,10680
69,ok,2014-10-08,161.15,164.61,159.07,163.4,4096
70,ok,2014-10-09,159.11,162.11,157.58,159.86,5717
71,ok,2014-10-12,160.1,161.71,155.87,156.69,5117
72,ok,2014-10-13,161.63,161.69,158.51,160.63,4933
73,ok,2014-10-15,159.04,162.74,157.46,158.93,5392
74,ok,2014-10-16,158.93,159.17,157.72,158.17,9035
75,ok,2014-10-19,156.66,161.05,156.66,159.52,3756
76,ok,2014-10-20,158.06,160.1,154.81,159.49,4709
77,ok,2014-10-21,156.05,159.62,156.05,158.69,1557
78,ok,2014-10-22,163.79,163.79,158.78,158.99,2123
79,ok,2014-10-26,161.15,163.74,160.63,161.44,5079
80,ok,2014-10-27,163.24,176.15,163.24,169.24,20957
