,s,t,o,h,l,c,v
0,ok,2000-01-02,148.69,149.47,148.69,149.47,122753
1,ok,2000-01-03,157.43,161.43,155.1,161.43,2086853
2,ok,2000-01-04,150.48,162.37,148.59,150.54,7342897
3,ok,2000-01-05,154.45,155.64,142.2,149.74,5690832
4,ok,2000-01-06,144.62,145.52,137.77,137.77,1466119
5,ok,2000-01-09,137.77,148.69,137.67,141.08,2126461
6,ok,2000-01-10,142.93,145.91,129.79,130.4,3788530
7,ok,2000-01-11,130.43,135.39,128.36,131.71,1611928
8,ok,2000-01-12,132.77,137.38,128.84,130.53,2395673
9,ok,2000-01-13,131.92,132.02,121.1,124.49,1671036
10,ok,2000-01-16,128.84,131.02,126.06,126.81,1661838
11,ok,2000-01-17,127.05,128.05,121.35,123.73,1823484
12,ok,2000-01-18,127.03,133.63,125.46,133.63,2477504
13,ok,2000-01-19,140.55,144.32,133.82,135.1,4323302
14,ok,2000-01-20,135.99,136.76,130.65,134.8,2521640
15,ok,2000-01-23,135.99,137.97,132.12,132.66,2522315
16,ok,2000-01-24,130.63,132.61,125.27,129.82,3071152
17,ok,2000-01-26,132.81,135.19,130.04,131.6,1782455
18,ok,2000-01-27,132.21,140.93,131.62,139.03,6615066
19,ok,2000-01-30,139.36,148.49,134.2,139.26,8658009
20,ok,2000-01-31,141.35,150.41,141.06,150.41,5717812
21,ok,2000-02-01,158.62,161.2,155.04,156.52,6962074
22,ok,2000-02-02,158.32,169.05,155.84,167.73,9330007
23,ok,2000-02-03,176.48,179.66,155.04,175.09,9685684
24,ok,2000-02-06,174.9,189.11,165.76,188.08,11070421
25,ok,2000-02-07,188.99,196.53,180.08,183.81,6747632
26,ok,2000-02-08,197.33,197.33,181.05,188.71,7885533
27,ok,2000-02-09,186.61,191.14,184.94,189.44,4638933
28,ok,2000-02-10,188.18,192.17,181.7,184.19,4110211
29,ok,2000-02-13,184.61,184.61,169.46,169.46,4661243
30,ok,2000-02-14,157.03,169.73,157.03,160.04,5956438
31,ok,2000-02-15,168.74,172.84,163.78,172.84,4419459
32,ok,2000-02-16,175.14,186.67,175.14,184.86,6888314
33,ok,2000-02-17,186.67,197.53,177.13,178.86,4923841
34,ok,2000-02-20,181.05,189.17,172.91,184.22,6234833
35,ok,2000-02-21,186.58,188.4,175.92,178.8,4906543
36,ok,2000-02-22,192.54,192.54,164.49,168.03,4199068
37,ok,2000-02-23,170.73,176.42,159.01,166.97,3160397
38,ok,2000-02-24,170.69,173.71,155.84,156.76,2572209
39,ok,2000-02-27,159.01,169.31,145.32,167.67,5311243
40,ok,2000-02-28,172.19,180.85,154.26,155.76,7465485
41,ok,2000-02-29,159.61,168.23,158.82,168.23,2590157
42,ok,2000-03-01,178.27,181.69,173.71,181.69,5040248
43,ok,2000-03-02,177.68,178.66,167.15,167.17,4039376
44,ok,2000-03-05,168.44,178.47,167.19,172.35,4931322
45,ok,2000-03-06,169.93,177.28,161.0,163.3,4759047
46,ok,2000-03-07,168.74,171.92,156.43,157.93,4572965
47,ok,2000-03-08,161.79,162.19,145.91,149.11,2359813
48,ok,2000-03-09,151.86,153.79,137.19,137.19,1744101
49,ok,2000-03-12,136.98,138.95,126.22,126.22,1225690
50,ok,2000-03-13,126.22,126.22,116.12,116.12,2244555
51,ok,2000-03-14,113.16,125.42,106.83,124.05,4675358
52,ok,2000-03-15,119.11,128.64,114.17,115.45,6091583
53,ok,2000-03-20,113.16,124.69,107.42,124.16,6017630
54,ok,2000-03-21,130.03,133.21,125.28,128.14,4011616
55,ok,2000-03-22,128.81,134.0,118.12,119.94,2816190
56,ok,2000-03-23,115.34,125.07,115.34,122.86,3098569
57,ok,2000-03-26,123.08,130.03,117.72,127.96,3624270
58,ok,2000-03-27,124.77,130.03,123.13,127.79,2983830
