,s,t,o,h,l,c,v
0,ok,2007-07-23,418.91,447.96,416.11,435.05,36759608
1,ok,2007-07-24,427.31,456.87,424.12,451.19,10995742
2,ok,2007-07-25,455.47,493.34,455.47,483.31,11733116
3,ok,2007-07-26,467.87,474.37,431.67,450.96,10796072
4,ok,2007-07-29,453.44,470.17,443.33,447.88,6878754
5,ok,2007-07-30,453.44,457.96,432.25,445.71,4718393
6,ok,2007-07-31,443.33,443.33,393.63,400.71,5846282
7,ok,2007-08-01,398.22,425.21,397.64,409.89,6292650
8,ok,2007-08-02,414.71,426.14,405.42,411.33,3003825
9,ok,2007-08-05,402.89,402.89,380.61,388.62,3799398
10,ok,2007-08-06,394.33,415.18,393.56,408.76,5667322
11,ok,2007-08-07,411.21,416.81,406.86,408.88,2236436
12,ok,2007-08-08,413.0,420.51,394.41,396.59,1979077
13,ok,2007-08-09,385.0,402.66,373.37,399.47,2012525
14,ok,2007-08-12,402.89,408.18,395.89,404.79,1361579
15,ok,2007-08-13,406.08,429.18,403.78,424.04,3344512
16,ok,2007-08-15,420.0,420.0,391.03,394.18,2237392
17,ok,2007-08-16,466.67,466.67,373.33,389.63,2646534
18,ok,2007-08-19,402.89,415.18,396.67,404.56,2557337
19,ok,2007-08-20,412.22,412.22,372.63,381.31,2142428
20,ok,2007-08-21,390.44,392.54,371.39,383.33,2896748
21,ok,2007-08-22,390.44,401.33,375.39,378.97,2014155
22,ok,2007-08-23,408.33,408.33,382.78,393.59,1143123
23,ok,2007-08-26,404.06,420.0,396.78,415.92,1784483
24,ok,2007-08-27,413.78,430.27,409.34,421.98,2460302
25,ok,2007-08-28,413.78,427.62,406.86,420.58,2355081
26,ok,2007-08-29,458.89,458.89,405.3,418.33,15615850
27,ok,2007-08-30,416.89,424.2,409.34,417.2,3429599
28,ok,2007-09-02,427.97,427.97,415.72,418.17,1553660
29,ok,2007-09-03,427.62,427.62,417.24,419.42,1878942
30,ok,2007-09-04,420.86,422.96,413.04,415.22,803690
31,ok,2007-09-05,437.11,437.11,411.52,421.21,1389954
32,ok,2007-09-06,413.82,423.89,413.39,414.59,736221
33,ok,2007-09-09,419.84,423.93,408.33,421.36,1251554
34,ok,2007-09-10,422.33,439.99,422.33,437.77,2688108
35,ok,2007-09-11,440.22,451.77,437.89,445.9,3655463
36,ok,2007-09-12,474.44,474.44,445.74,451.77,1943128
37,ok,2007-09-13,455.0,474.44,453.64,461.53,3825351
38,ok,2007-09-16,464.02,476.7,459.9,474.44,3755358
39,ok,2007-09-17,468.11,490.78,451.11,487.2,2615134
40,ok,2007-09-18,493.89,519.56,493.89,502.13,3794082
41,ok,2007-09-19,504.0,518.78,466.67,503.73,2355025
42,ok,2007-09-20,502.83,509.99,486.15,492.18,1068391
43,ok,2007-09-23,497.0,509.48,487.67,494.51,656978
44,ok,2007-09-24,495.44,497.7,466.71,474.21,1367410
45,ok,2007-09-25,475.3,489.14,475.3,480.12,1191419
46,ok,2007-09-26,481.44,488.44,469.0,471.26,2533568
47,ok,2007-09-27,474.44,492.26,470.87,488.25,1270414
48,ok,2007-09-30,497.78,505.48,485.41,496.38,1353507
49,ok,2007-10-02,507.03,521.03,480.67,516.83,2458421
50,ok,2007-10-03,514.19,563.42,502.44,550.01,5107928
51,ok,2007-10-04,560.0,577.11,552.22,561.71,3252644
52,ok,2007-10-07,567.0,573.57,509.44,538.53,3732693
53,ok,2007-10-08,543.67,607.41,532.78,592.98,5608934
54,ok,2007-10-09,598.89,607.52,581.78,587.73,2526592
55,ok,2007-10-10,588.0,618.33,587.22,608.61,1381560
56,ok,2007-10-11,608.61,614.37,571.82,579.37,1306017
57,ok,2007-10-14,580.49,602.31,580.49,594.88,1943799
58,ok,2007-10-15,603.56,641.67,571.67,589.17,4647680
59,ok,2007-10-16,475.46,574.78,452.16,544.25,2150877
60,ok,2007-10-17,556.11,581.78,499.45,523.87,2228864
61,ok,2007-10-18,523.87,536.59,470.56,481.33,2462898
62,ok,2007-10-21,474.44,495.29,458.89,486.62,879168
63,ok,2007-10-22,497.78,518.12,497.74,515.24,2087104
64,ok,2007-10-23,521.11,535.73,514.27,526.13,1709254
65,ok,2007-10-24,532.78,538.92,504.12,511.97,4290647
66,ok,2007-10-25,525.0,538.77,509.06,517.57,3362768
67,ok,2007-10-28,535.73,535.73,522.01,525.89,956093
68,ok,2007-10-29,528.11,528.89,505.87,510.53,987147
69,ok,2007-10-30,505.56,537.44,505.56,522.47,1562565
70,ok,2007-10-31,528.89,552.22,517.22,523.91,2303569
71,ok,2007-11-01,520.33,538.22,505.56,529.28,1299434
72,ok,2007-11-04,528.11,556.85,525.0,547.83,2669787
73,ok,2007-11-05,549.89,560.66,536.71,539.51,1285048
74,ok,2007-11-06,546.0,552.22,528.89,539.97,767160
75,ok,2007-11-07,529.67,539.7,521.97,527.57,653089
76,ok,2007-11-08,548.33,548.33,526.56,531.03,86037
77,ok,2007-11-11,511.19,528.89,511.19,522.74,571703
78,ok,2007-11-12,525.0,533.56,521.11,527.37,560276
79,ok,2007-11-13,536.86,548.26,533.71,537.99,1185305
80,ok,2007-11-14,547.56,563.11,540.71,555.72,1360547
81,ok,2007-11-15,557.67,565.21,546.78,551.52,571896
82,ok,2007-11-18,564.67,567.0,554.56,561.05,1003415
83,ok,2007-11-19,560.0,578.67,557.08,564.04,1111724
84,ok,2007-11-20,571.67,587.22,546.0,555.88,1010616
85,ok,2007-11-21,562.33,567.31,522.74,555.49,1056367
86,ok,2007-11-22,567.78,583.33,558.06,566.96,1363056
87,ok,2007-11-25,570.11,583.33,561.21,566.61,503823
88,ok,2007-11-26,578.67,590.96,566.61,584.97,1254218
89,ok,2007-11-27,591.11,602.39,582.98,587.77,1724669
90,ok,2007-11-28,595.0,640.89,583.33,616.51,3038607
91,ok,2007-11-29,626.89,644.31,626.11,639.64,1296001
92,ok,2007-12-02,646.02,647.89,626.34,633.07,508175
93,ok,2007-12-03,637.78,652.09,630.93,640.58,1061599
94,ok,2007-12-04,641.67,648.43,632.06,639.18,334072
95,ok,2007-12-05,650.07,650.07,627.67,635.44,601528
96,ok,2007-12-06,644.0,654.07,626.97,642.21,698273
97,ok,2007-12-09,637.78,644.7,622.22,630.86,449128
98,ok,2007-12-10,644.0,675.07,635.44,667.99,1498954
99,ok,2007-12-11,666.56,777.0,661.11,760.67,4665842
100,ok,2007-12-12,775.76,795.67,732.74,746.24,1765886
101,ok,2007-12-13,738.11,808.77,738.11,789.09,3366460
102,ok,2007-12-16,792.28,806.56,733.68,751.22,1752560
103,ok,2007-12-17,771.17,771.56,717.93,741.49,1470735
104,ok,2007-12-18,754.44,768.44,723.61,739.04,712057
105,ok,2007-12-19,745.77,770.04,742.78,752.46,1031835
106,ok,2007-12-23,777.78,780.89,752.93,755.49,1802439
107,ok,2007-12-25,775.6,777.78,754.44,762.73,381483
108,ok,2007-12-26,777.0,793.33,757.56,765.92,1335794
109,ok,2007-12-27,736.24,822.66,736.24,816.24,1206410
110,ok,2007-12-30,815.11,859.44,814.72,837.32,1253182
111,ok,2007-12-31,843.89,907.67,837.67,889.78,1205749
112,ok,2008-01-01,894.44,934.89,894.44,901.79,1987681
