,s,t,o,h,l,c,v
0,ok,2016-12-13,213.4,224.05,213.4,224.05,267510
1,ok,2016-12-14,235.25,235.25,235.25,235.25,180613
2,ok,2016-12-15,247.0,247.0,223.5,223.5,458987
3,ok,2016-12-18,214.0,216.95,212.35,212.35,48372
4,ok,2016-12-19,201.75,201.75,201.75,201.75,32587
5,ok,2016-12-20,191.7,201.75,191.7,191.7,180437
6,ok,2016-12-21,188.1,189.0,182.15,182.15,67852
7,ok,2016-12-22,173.05,189.9,173.05,180.9,203756
8,ok,2016-12-25,174.1,177.9,171.9,171.9,81324
9,ok,2016-12-26,166.0,180.45,165.25,180.35,139260
10,ok,2016-12-27,185.0,216.4,184.95,214.65,959981
11,ok,2016-12-28,219.0,222.0,196.0,197.65,502457
12,ok,2016-12-29,197.0,206.85,191.75,195.65,290910
13,ok,2017-01-01,201.7,201.9,193.95,195.15,98967
14,ok,2017-01-02,195.5,197.35,186.1,187.25,135278
15,ok,2017-01-03,186.8,192.4,185.9,188.55,80954
16,ok,2017-01-04,188.1,194.0,187.3,190.55,135960
17,ok,2017-01-05,191.1,199.9,190.4,192.95,114422
18,ok,2017-01-08,194.0,194.85,189.0,190.9,61521
19,ok,2017-01-09,190.0,194.5,190.0,191.75,30735
20,ok,2017-01-10,193.95,194.3,191.05,191.8,44827
21,ok,2017-01-11,192.8,193.05,191.0,191.75,27886
22,ok,2017-01-12,191.95,208.0,191.5,199.05,256687
23,ok,2017-01-15,199.95,206.0,195.95,201.85,74705
24,ok,2017-01-16,204.0,205.5,199.0,201.2,54795
25,ok,2017-01-17,201.0,217.4,196.1,211.25,351529
26,ok,2017-01-18,211.95,217.4,202.0,204.45,142605
27,ok,2017-01-19,208.0,208.0,190.45,193.3,177730
28,ok,2017-01-22,193.95,200.0,193.2,195.65,54821
29,ok,2017-01-23,198.0,200.0,193.3,194.9,47320
30,ok,2017-01-24,195.0,197.0,188.6,190.7,65019
31,ok,2017-01-26,189.05,195.0,188.4,189.5,61864
32,ok,2017-01-29,190.05,192.0,184.7,185.7,33511
33,ok,2017-01-30,186.1,188.85,177.25,178.4,130446
34,ok,2017-01-31,179.55,181.8,167.0,178.3,109921
35,ok,2017-02-01,178.95,188.6,176.2,186.9,101700
36,ok,2017-02-02,186.15,190.0,182.5,185.1,20340
37,ok,2017-02-05,192.9,193.65,185.95,191.5,49935
38,ok,2017-02-06,191.95,192.0,186.35,187.55,27775
39,ok,2017-02-07,190.0,196.85,188.15,189.4,36733
40,ok,2017-02-08,192.0,195.0,187.6,188.2,35668
41,ok,2017-02-09,191.85,193.95,186.6,189.85,150218
42,ok,2017-02-12,188.0,192.4,186.3,191.55,73360
43,ok,2017-02-13,192.0,194.9,187.0,190.6,33433
44,ok,2017-02-14,190.1,194.2,185.5,186.05,36352
45,ok,2017-02-15,186.5,191.0,186.0,189.85,49602
46,ok,2017-02-16,188.05,190.0,185.05,186.35,31826
47,ok,2017-02-19,187.55,191.5,185.1,189.05,46525
48,ok,2017-02-20,189.1,190.5,188.55,189.05,30258
49,ok,2017-02-21,189.05,191.5,182.95,184.4,45277
50,ok,2017-02-22,188.8,190.0,185.0,187.05,56784
51,ok,2017-02-26,187.05,197.0,185.0,185.9,47949
52,ok,2017-02-27,187.15,190.7,185.6,185.95,34491
53,ok,2017-02-28,188.75,189.0,186.05,186.65,34326
54,ok,2017-03-01,184.75,188.1,184.75,186.45,26948
55,ok,2017-03-02,187.0,188.8,177.5,185.2,25742
56,ok,2017-03-05,182.3,186.3,178.1,179.15,70398
57,ok,2017-03-06,180.05,184.7,179.5,182.5,42388
58,ok,2017-03-07,183.0,192.0,182.0,190.6,79807
59,ok,2017-03-08,190.0,197.65,190.0,192.0,47829
60,ok,2017-03-09,193.5,196.0,192.05,193.55,44106
61,ok,2017-03-13,194.0,218.35,194.0,207.2,622987
62,ok,2017-03-14,207.95,226.5,202.55,222.2,697375
63,ok,2017-03-15,223.0,240.2,223.0,238.7,390972
64,ok,2017-03-16,242.0,246.3,225.1,242.15,221241
65,ok,2017-03-19,242.0,244.8,234.05,237.95,108042
66,ok,2017-03-20,239.6,241.9,216.3,221.2,229856
67,ok,2017-03-21,216.9,225.65,212.1,220.85,188809
68,ok,2017-03-22,218.25,222.35,216.1,217.35,34517
69,ok,2017-03-23,217.65,223.9,217.6,220.85,57269
70,ok,2017-03-26,224.65,225.0,215.6,216.65,27704
71,ok,2017-03-27,222.65,222.65,201.3,211.3,84553
72,ok,2017-03-28,213.0,220.0,212.1,213.45,249954
73,ok,2017-03-29,213.05,222.35,212.8,217.4,117275
74,ok,2017-03-30,218.3,223.0,212.6,214.75,42389
75,ok,2017-04-02,215.05,229.7,215.0,225.75,131274
