,s,t,o,h,l,c,v
0,ok,2021-03-04,900.0,945.0,796.55,812.6,16523452
1,ok,2021-03-07,826.0,836.95,736.0,749.5,4061558
2,ok,2021-03-08,756.05,798.0,731.2,788.0,2938791
3,ok,2021-03-09,789.0,801.95,770.25,789.75,1298178
4,ok,2021-03-11,800.0,804.0,758.1,761.75,652564
5,ok,2021-03-14,760.9,763.65,705.5,707.5,868864
6,ok,2021-03-15,714.8,724.8,695.35,699.85,525679
7,ok,2021-03-16,694.0,697.2,653.05,660.05,706047
8,ok,2021-03-17,662.8,672.0,627.05,634.85,791769
9,ok,2021-03-18,629.8,649.9,627.5,639.4,776461
10,ok,2021-03-21,640.0,668.65,633.05,642.05,474231
11,ok,2021-03-22,646.05,660.95,640.0,642.5,370317
12,ok,2021-03-23,635.0,647.0,631.65,633.35,369566
13,ok,2021-03-24,630.2,640.9,627.0,628.95,504307
14,ok,2021-03-25,638.0,641.0,628.2,630.35,293864
15,ok,2021-03-29,637.0,649.0,627.2,630.45,359233
16,ok,2021-03-30,631.75,645.0,630.0,631.2,425879
17,ok,2021-03-31,635.8,647.2,631.0,632.15,387094
18,ok,2021-04-04,632.0,636.2,620.1,624.6,333226
19,ok,2021-04-05,624.0,624.0,602.1,604.8,741336
20,ok,2021-04-06,606.0,689.0,606.0,663.25,1546227
21,ok,2021-04-07,664.65,683.25,661.0,665.35,474468
22,ok,2021-04-08,667.0,672.25,654.0,658.0,213971
23,ok,2021-04-11,640.0,657.4,627.1,637.75,416594
24,ok,2021-04-12,641.0,662.4,641.0,646.4,334959
25,ok,2021-04-14,645.95,647.9,632.65,639.3,178700
26,ok,2021-04-15,642.5,657.5,638.15,645.85,223288
27,ok,2021-04-18,627.1,636.95,620.1,625.0,349838
28,ok,2021-04-19,642.0,645.0,621.25,623.55,214109
29,ok,2021-04-21,625.0,703.0,620.05,668.5,1226176
30,ok,2021-04-22,672.0,694.0,653.2,659.65,857620
31,ok,2021-04-25,668.0,682.0,661.95,669.65,306250
32,ok,2021-04-26,670.0,692.0,670.0,682.7,381872
33,ok,2021-04-27,685.5,728.0,685.0,711.0,1100849
34,ok,2021-04-28,716.0,722.7,692.0,700.35,413373
35,ok,2021-04-29,696.5,727.7,691.85,715.1,727618
36,ok,2021-05-02,710.5,742.0,706.25,731.05,612106
37,ok,2021-05-03,736.0,738.0,706.25,710.0,314389
38,ok,2021-05-04,716.4,724.0,702.55,718.5,343350
39,ok,2021-05-05,721.05,734.0,705.0,706.9,238336
40,ok,2021-05-06,713.75,729.0,703.0,708.15,551134
41,ok,2021-05-09,714.9,725.4,708.0,709.75,263611
42,ok,2021-05-10,704.0,722.0,702.8,713.9,272085
43,ok,2021-05-11,716.0,719.8,703.0,706.75,272609
44,ok,2021-05-13,711.0,744.0,705.0,732.8,760162
45,ok,2021-05-16,740.0,769.8,737.1,756.65,938771
46,ok,2021-05-17,753.9,765.0,736.55,740.45,338631
47,ok,2021-05-18,740.0,767.0,736.65,750.65,361769
48,ok,2021-05-19,752.0,758.0,724.0,727.3,263407
49,ok,2021-05-20,730.0,738.1,716.35,724.2,420470
50,ok,2021-05-23,729.0,737.2,722.25,726.9,309099
51,ok,2021-05-24,727.0,744.7,727.0,735.85,319997
52,ok,2021-05-25,740.0,740.0,730.1,733.2,175280
53,ok,2021-05-26,733.05,736.75,719.2,723.5,159136
54,ok,2021-05-27,721.6,733.4,713.0,728.05,396129
55,ok,2021-05-30,735.0,744.0,727.0,729.3,294819
56,ok,2021-05-31,731.0,742.7,721.9,730.6,207149
57,ok,2021-06-01,731.4,777.9,728.55,772.9,1051516
58,ok,2021-06-02,782.0,789.8,752.1,758.0,601984
59,ok,2021-06-03,760.0,775.5,753.4,767.15,331758
60,ok,2021-06-06,774.0,787.85,765.1,780.7,531057
61,ok,2021-06-07,784.95,791.95,766.0,771.65,328595
62,ok,2021-06-08,777.9,799.0,765.1,772.25,642584
63,ok,2021-06-09,773.0,814.5,773.0,808.15,991712
64,ok,2021-06-10,816.0,822.9,760.0,768.95,1731440
65,ok,2021-06-13,775.15,789.8,751.45,779.3,583688
66,ok,2021-06-14,784.9,789.0,765.5,769.85,374714
67,ok,2021-06-15,772.0,773.75,750.0,752.35,294235
68,ok,2021-06-16,748.0,758.8,730.0,731.8,233230
69,ok,2021-06-17,735.0,740.0,687.65,712.9,344315
70,ok,2021-06-20,703.45,723.55,696.95,713.65,186725
71,ok,2021-06-21,720.15,729.0,706.65,708.5,199720
72,ok,2021-06-22,711.5,714.5,698.0,699.9,139446
73,ok,2021-06-23,702.25,705.0,686.2,688.0,148841
74,ok,2021-06-24,695.5,709.0,687.0,702.65,147268
75,ok,2021-06-27,704.95,709.8,687.05,690.15,173423
76,ok,2021-06-28,690.6,697.35,689.35,691.8,77061
77,ok,2021-06-29,695.85,703.7,692.0,694.6,169457
78,ok,2021-06-30,694.6,695.3,686.2,689.1,99053
79,ok,2021-07-01,692.85,707.9,690.0,702.95,190952
80,ok,2021-07-04,709.7,753.85,706.75,740.85,843829
81,ok,2021-07-05,743.0,751.95,720.05,725.3,237199
82,ok,2021-07-06,728.0,744.9,716.6,738.7,244310
83,ok,2021-07-07,738.7,738.7,718.0,722.95,124493
84,ok,2021-07-08,723.0,724.8,713.5,716.4,85642
85,ok,2021-07-11,716.5,736.0,716.5,727.9,124976
86,ok,2021-07-12,730.0,732.5,718.0,720.8,79689
87,ok,2021-07-13,723.65,730.5,713.0,716.3,85768
88,ok,2021-07-14,719.0,725.0,713.15,716.1,78192
89,ok,2021-07-15,719.0,739.9,717.0,724.3,161327
90,ok,2021-07-18,724.0,775.0,719.0,769.0,826093
91,ok,2021-07-19,771.0,805.0,756.0,799.1,1503855
92,ok,2021-07-21,805.0,810.45,785.0,789.95,537323
93,ok,2021-07-22,797.0,828.0,797.0,807.45,867440
94,ok,2021-07-25,813.0,839.1,810.55,824.6,731744
95,ok,2021-07-26,829.05,849.0,816.0,829.55,680000
96,ok,2021-07-27,832.55,836.1,797.15,813.0,314392
97,ok,2021-07-28,818.7,830.0,811.0,821.15,240295
98,ok,2021-07-29,823.4,823.4,807.05,809.9,163418
99,ok,2021-08-01,816.0,823.6,800.55,802.7,149935
100,ok,2021-08-02,803.0,823.3,803.0,806.5,191619
101,ok,2021-08-03,809.8,847.8,807.35,811.25,624617
102,ok,2021-08-04,815.55,819.8,786.2,811.0,301958
103,ok,2021-08-05,811.1,835.0,810.05,815.25,306362
104,ok,2021-08-08,818.9,832.0,810.0,815.55,265035
105,ok,2021-08-09,818.0,829.05,727.15,749.0,725012
106,ok,2021-08-10,775.0,808.75,752.0,796.55,817537
107,ok,2021-08-11,800.0,853.3,793.0,844.95,1270491
108,ok,2021-08-12,855.0,866.85,833.0,837.6,681782
109,ok,2021-08-15,838.0,840.05,814.6,829.2,332308
110,ok,2021-08-16,832.0,837.0,801.0,803.4,203320
111,ok,2021-08-17,805.1,815.0,787.0,797.75,203320
112,ok,2021-08-19,782.0,796.6,771.05,775.5,207445
113,ok,2021-08-22,782.55,798.75,750.0,764.45,315559
114,ok,2021-08-23,772.0,804.5,767.85,797.7,191504
115,ok,2021-08-24,803.0,809.8,781.1,783.85,133227
116,ok,2021-08-25,786.8,797.0,772.0,786.25,106363
117,ok,2021-08-26,790.0,829.7,789.95,819.3,520913
118,ok,2021-08-29,830.0,834.0,817.0,827.75,232523
119,ok,2021-08-30,828.4,835.6,807.25,810.4,197877
120,ok,2021-08-31,812.95,816.0,792.05,796.5,161907
121,ok,2021-09-01,796.9,821.8,796.85,801.45,226061
122,ok,2021-09-02,805.3,809.25,788.7,793.1,169344
123,ok,2021-09-05,795.0,801.5,779.5,781.1,158196
124,ok,2021-09-06,784.7,791.0,770.45,772.85,179946
125,ok,2021-09-07,775.0,786.85,775.0,777.35,93014
126,ok,2021-09-08,777.0,791.0,773.65,776.15,133057
127,ok,2021-09-12,776.5,785.0,765.85,769.3,131646
128,ok,2021-09-13,775.35,781.9,769.45,776.65,116349
129,ok,2021-09-14,776.65,804.0,772.9,797.7,290875
130,ok,2021-09-15,804.0,811.0,795.0,796.65,168790
131,ok,2021-09-16,797.05,800.95,771.0,780.15,257715
132,ok,2021-09-19,770.0,780.95,743.55,752.85,351998
133,ok,2021-09-20,752.0,764.5,739.25,761.0,115113
134,ok,2021-09-21,772.4,824.0,772.4,810.8,985093
135,ok,2021-09-22,819.0,835.6,806.2,808.4,532783
