,s,t,o,h,l,c,v
0,ok,2000-01-02,240.0,247.36,234.2,241.52,53155
1,ok,2000-01-03,240.0,244.0,235.2,239.97,99245
2,ok,2000-01-04,231.0,235.6,228.0,228.76,12625
3,ok,2000-01-05,236.6,237.99,230.05,232.28,21875
4,ok,2000-01-06,228.0,228.0,213.8,221.31,45465
5,ok,2000-01-09,221.01,227.0,220.0,225.27,55565
6,ok,2000-01-10,220.0,227.0,219.0,225.02,56665
7,ok,2000-01-11,235.2,239.6,230.0,234.99,21765
8,ok,2000-01-12,239.6,239.6,228.0,229.28,36105
9,ok,2000-01-13,238.8,239.6,231.5,238.06,64490
10,ok,2000-01-16,243.2,257.11,243.2,257.11,222750
11,ok,2000-01-17,267.8,273.0,254.0,258.93,86230
12,ok,2000-01-18,260.0,264.98,254.0,254.51,115285
13,ok,2000-01-19,255.0,255.0,247.26,250.58,19935
14,ok,2000-01-20,248.0,251.1,247.0,248.51,15625
15,ok,2000-01-23,240.2,252.05,240.2,242.42,13120
16,ok,2000-01-24,240.2,260.0,234.0,243.72,25280
17,ok,2000-01-26,244.2,247.4,236.6,237.46,15475
18,ok,2000-01-27,236.0,242.0,236.0,239.51,12135
19,ok,2000-01-30,237.4,239.0,234.22,235.06,7455
20,ok,2000-01-31,232.0,239.8,225.0,229.25,17580
21,ok,2000-02-01,229.0,233.8,212.4,213.79,106050
22,ok,2000-02-02,216.94,219.8,210.8,211.85,68805
23,ok,2000-02-03,212.0,215.8,201.6,203.62,74265
24,ok,2000-02-06,204.0,204.0,198.0,199.07,80390
25,ok,2000-02-07,206.0,206.0,190.0,192.5,101925
26,ok,2000-02-08,205.0,206.4,193.0,194.25,97625
27,ok,2000-02-09,196.0,197.2,190.0,191.08,46730
28,ok,2000-02-10,190.0,195.4,181.05,184.14,76025
29,ok,2000-02-13,179.0,180.8,173.2,179.09,119435
30,ok,2000-02-14,172.0,183.0,172.0,178.73,104085
31,ok,2000-02-15,178.4,183.8,177.21,178.37,30135
32,ok,2000-02-16,178.0,180.0,174.0,178.64,29120
33,ok,2000-02-17,179.1,180.0,164.4,167.57,79685
34,ok,2000-02-20,170.0,173.2,166.6,172.09,44315
35,ok,2000-02-21,168.6,171.6,167.0,169.56,49850
36,ok,2000-02-22,180.0,180.0,169.2,171.77,27370
37,ok,2000-02-23,168.0,172.0,164.02,167.72,13605
38,ok,2000-02-24,173.96,173.96,162.0,164.35,21080
39,ok,2000-02-27,169.8,169.8,163.8,165.33,16310
40,ok,2000-02-28,168.4,174.0,162.0,164.49,83790
41,ok,2000-02-29,172.0,172.0,160.0,165.16,96615
42,ok,2000-03-01,161.0,166.8,158.21,159.43,28000
43,ok,2000-03-02,163.8,172.0,150.0,159.53,127860
44,ok,2000-03-05,171.34,171.34,162.0,164.42,59655
45,ok,2000-03-06,165.0,165.0,155.6,162.31,62095
46,ok,2000-03-07,170.0,170.0,158.0,161.02,62015
47,ok,2000-03-08,164.0,173.91,162.0,173.91,96325
