,s,t,o,h,l,c,v
0,ok,2007-06-18,395.0,395.0,241.15,291.58,7908454
1,ok,2007-06-19,295.0,316.0,287.5,297.95,2861114
2,ok,2007-06-20,297.5,306.45,290.8,295.18,1031882
3,ok,2007-06-21,295.0,297.43,277.65,280.03,492156
4,ok,2007-06-24,279.43,284.7,270.83,271.83,414180
5,ok,2007-06-25,272.5,286.0,266.0,271.1,691652
6,ok,2007-06-26,272.3,276.0,267.5,268.6,281198
7,ok,2007-06-27,273.5,277.45,265.05,274.45,823832
8,ok,2007-06-28,277.0,280.25,270.5,276.35,635030
9,ok,2007-07-01,278.38,278.38,268.63,269.93,171740
10,ok,2007-07-02,274.85,274.85,267.0,267.88,149092
11,ok,2007-07-03,271.95,271.95,263.05,264.53,90914
12,ok,2007-07-04,288.35,288.35,250.1,252.55,218022
13,ok,2007-07-05,254.95,260.5,251.55,252.23,128902
14,ok,2007-07-08,255.0,263.0,252.23,256.3,247588
15,ok,2007-07-09,256.6,259.4,251.55,252.93,157130
16,ok,2007-07-10,247.5,254.85,245.05,247.33,227722
17,ok,2007-07-11,250.0,256.9,245.0,246.23,85866
18,ok,2007-07-12,245.05,251.48,231.0,234.3,147208
19,ok,2007-07-15,236.0,236.0,222.5,225.43,121904
20,ok,2007-07-16,226.55,232.45,223.5,225.18,107556
21,ok,2007-07-17,224.0,225.0,217.5,219.58,101616
22,ok,2007-07-18,220.0,220.0,212.0,213.38,183782
23,ok,2007-07-19,214.0,231.5,212.0,223.95,279238
24,ok,2007-07-22,220.15,222.45,215.75,218.2,144158
25,ok,2007-07-23,219.0,220.0,212.0,213.5,94328
26,ok,2007-07-24,201.5,215.0,201.5,210.88,189884
27,ok,2007-07-25,208.0,219.9,208.0,217.4,379152
28,ok,2007-07-26,175.28,214.9,175.28,205.48,247938
29,ok,2007-07-29,207.85,207.85,191.35,195.88,152920
30,ok,2007-07-30,210.5,210.5,195.6,198.25,170056
31,ok,2007-07-31,202.5,202.5,180.5,183.15,115704
32,ok,2007-08-01,184.0,189.5,179.0,182.9,101466
33,ok,2007-08-02,184.9,192.35,184.15,185.33,79522
34,ok,2007-08-05,175.25,184.0,175.25,179.65,38900
35,ok,2007-08-06,180.5,189.45,178.75,179.55,24970
36,ok,2007-08-07,182.5,202.0,182.5,197.93,596376
37,ok,2007-08-08,202.58,202.58,184.53,185.93,168862
38,ok,2007-08-09,175.0,185.0,175.0,183.33,55634
39,ok,2007-08-12,183.25,190.5,183.25,184.28,82906
40,ok,2007-08-13,185.0,185.0,180.03,180.85,21716
41,ok,2007-08-15,175.5,186.35,172.5,180.03,46982
42,ok,2007-08-16,173.45,184.0,165.5,168.98,165932
43,ok,2007-08-19,175.0,180.0,163.25,166.15,101888
44,ok,2007-08-20,166.5,167.5,155.0,157.2,38534
45,ok,2007-08-21,157.55,162.0,153.0,158.9,78072
46,ok,2007-08-22,162.5,163.0,143.0,149.65,288050
47,ok,2007-08-23,150.03,166.25,150.03,164.53,324138
48,ok,2007-08-26,167.5,181.45,163.5,178.53,417074
49,ok,2007-08-27,179.7,186.5,179.0,182.15,311220
50,ok,2007-08-28,176.5,187.0,176.5,185.05,341962
51,ok,2007-08-29,188.4,190.0,182.0,187.6,367222
52,ok,2007-08-30,191.5,198.9,187.5,193.38,207186
53,ok,2007-09-02,195.0,203.5,190.5,194.3,310414
54,ok,2007-09-03,196.5,201.2,193.5,197.73,235630
55,ok,2007-09-04,198.5,199.5,194.13,195.0,291882
56,ok,2007-09-05,193.95,200.98,192.03,198.45,191628
57,ok,2007-09-06,197.55,199.95,196.63,197.88,93988
58,ok,2007-09-09,198.98,200.7,195.28,199.0,81752
59,ok,2007-09-10,199.5,200.4,196.5,198.0,262456
60,ok,2007-09-11,199.5,213.5,197.78,210.78,363218
61,ok,2007-09-12,212.5,218.25,212.5,214.98,307376
62,ok,2007-09-13,216.0,218.25,212.5,214.03,201748
63,ok,2007-09-16,216.98,217.0,207.5,209.08,105112
64,ok,2007-09-17,210.0,211.85,207.5,210.23,52212
65,ok,2007-09-18,212.58,214.43,209.0,210.5,59640
66,ok,2007-09-19,206.08,212.45,206.0,207.45,131654
67,ok,2007-09-20,207.0,207.23,203.5,205.03,90104
68,ok,2007-09-23,206.0,215.0,202.5,206.58,210094
69,ok,2007-09-24,209.45,213.5,206.5,210.83,60018
70,ok,2007-09-25,211.5,220.5,210.0,217.78,77894
71,ok,2007-09-26,220.0,224.5,208.0,211.43,462660
72,ok,2007-09-27,212.5,217.5,212.5,215.05,49370
73,ok,2007-09-30,215.0,220.0,211.5,216.13,199132
74,ok,2007-10-02,220.0,229.0,218.25,225.18,125682
75,ok,2007-10-03,225.05,232.5,225.05,227.5,42702
76,ok,2007-10-04,227.5,231.45,227.5,229.75,47878
77,ok,2007-10-07,232.5,234.95,230.0,233.23,116756
78,ok,2007-10-08,233.0,238.0,227.5,235.15,49744
79,ok,2007-10-09,237.5,241.0,235.0,239.45,213430
80,ok,2007-10-10,240.0,249.0,235.05,246.33,19586
81,ok,2007-10-11,250.0,258.5,243.5,254.98,126380
82,ok,2007-10-14,255.73,277.0,255.73,274.38,133716
83,ok,2007-10-15,276.45,287.95,263.5,282.63,96232
84,ok,2007-10-16,243.05,285.0,243.05,283.45,27844
85,ok,2007-10-17,299.5,302.0,277.0,285.98,141242
86,ok,2007-10-18,289.45,289.45,270.0,285.53,39348
87,ok,2007-10-21,237.5,288.5,237.5,278.48,23004
88,ok,2007-10-22,287.0,289.0,281.5,285.1,14152
89,ok,2007-10-23,286.0,294.0,280.8,291.5,37624
90,ok,2007-10-24,282.5,299.0,282.5,291.65,217632
91,ok,2007-10-25,290.0,315.5,290.0,301.55,45030
92,ok,2007-10-28,302.5,311.9,288.08,290.3,20634
93,ok,2007-10-29,290.0,294.95,281.05,287.95,14800
94,ok,2007-10-30,290.0,299.0,285.0,287.15,22838
95,ok,2007-10-31,295.0,295.0,269.08,279.53,15050
96,ok,2007-11-01,270.0,280.0,267.5,268.08,6228
97,ok,2007-11-04,275.0,280.0,266.63,269.58,14260
98,ok,2007-11-05,270.0,275.9,255.5,258.98,12876
99,ok,2007-11-06,250.0,267.75,250.0,265.58,33334
100,ok,2007-11-07,250.5,282.5,250.5,279.83,24378
101,ok,2007-11-08,279.03,282.58,262.5,272.98,1624
102,ok,2007-11-11,261.78,272.75,255.0,267.7,19370
103,ok,2007-11-12,272.5,287.5,250.5,252.75,28548
104,ok,2007-11-13,259.03,259.03,240.0,248.0,15824
105,ok,2007-11-14,255.0,255.0,232.0,233.18,25952
106,ok,2007-11-15,222.5,267.5,211.0,258.43,153242
107,ok,2007-11-18,268.0,274.5,239.0,242.7,59136
108,ok,2007-11-19,245.0,255.4,237.5,252.93,94948
109,ok,2007-11-20,255.0,257.5,246.0,248.63,27228
110,ok,2007-11-21,243.0,247.5,225.0,233.2,74858
111,ok,2007-11-22,249.25,249.25,226.0,230.95,35866
112,ok,2007-11-25,235.0,241.0,233.0,235.63,6156
113,ok,2007-11-26,240.4,242.0,233.75,235.25,3730
114,ok,2007-11-27,240.0,240.38,236.05,236.33,57892
115,ok,2007-11-28,241.9,259.25,215.5,224.28,145506
116,ok,2007-11-29,228.5,250.5,224.5,242.43,67750
117,ok,2007-12-02,246.55,257.5,246.55,249.7,17480
118,ok,2007-12-03,250.0,252.0,246.25,248.68,13690
119,ok,2007-12-04,250.0,255.0,247.65,251.25,185866
120,ok,2007-12-05,253.7,285.0,253.5,271.0,113334
121,ok,2007-12-06,284.95,320.95,284.95,301.7,826780
122,ok,2007-12-09,305.0,312.0,300.0,302.3,249164
123,ok,2007-12-10,307.2,314.0,301.5,303.98,184782
124,ok,2007-12-11,299.95,304.95,287.5,292.38,125566
125,ok,2007-12-12,292.0,299.45,280.25,282.73,107724
126,ok,2007-12-13,283.5,297.4,283.5,286.68,32690
127,ok,2007-12-16,286.03,295.0,255.13,262.35,50992
128,ok,2007-12-17,269.75,269.75,251.18,257.23,23576
129,ok,2007-12-18,266.0,267.5,253.58,258.05,38000
130,ok,2007-12-19,255.63,259.45,242.5,246.5,56182
131,ok,2007-12-23,257.0,257.0,250.0,251.7,34822
132,ok,2007-12-25,254.5,260.5,251.75,257.95,58896
133,ok,2007-12-26,257.75,282.0,257.75,268.98,206320
134,ok,2007-12-27,270.0,280.0,269.5,278.0,46580
135,ok,2007-12-30,279.5,282.35,270.5,274.58,32186
136,ok,2007-12-31,275.0,289.5,271.0,276.55,65566
137,ok,2008-01-01,277.0,299.5,265.55,294.53,797976
138,ok,2008-01-02,309.5,319.4,290.53,292.95,547970
139,ok,2008-01-03,297.5,306.0,293.5,296.0,751984
140,ok,2008-01-06,293.85,302.5,285.08,288.15,319050
141,ok,2008-01-07,295.03,295.03,274.0,276.18,123294
142,ok,2008-01-08,262.53,277.5,258.5,265.05,52924
143,ok,2008-01-09,267.5,272.5,262.5,262.5,195300
144,ok,2008-01-10,260.05,261.75,241.25,249.45,71746
145,ok,2008-01-13,250.5,256.0,245.0,251.0,34424
146,ok,2008-01-14,252.5,252.5,242.0,244.05,25144
147,ok,2008-01-15,231.0,240.5,225.13,230.88,26796
148,ok,2008-01-16,231.05,240.0,227.5,232.03,25484
149,ok,2008-01-17,225.0,247.43,210.0,220.28,38288
150,ok,2008-01-20,220.28,220.28,160.0,165.1,160378
151,ok,2008-01-21,152.15,175.0,115.0,132.7,242886
152,ok,2008-01-22,150.0,182.45,106.18,168.33,150992
153,ok,2008-01-23,172.85,180.0,162.0,163.23,198960
154,ok,2008-01-24,165.0,170.5,150.0,167.1,73936
155,ok,2008-01-27,155.5,167.5,155.5,162.63,59720
156,ok,2008-01-28,173.75,175.5,167.13,172.78,41866
157,ok,2008-01-29,166.0,178.0,158.5,161.33,80122
158,ok,2008-01-30,161.0,177.5,142.5,149.28,529768
159,ok,2008-01-31,149.03,157.45,147.85,155.6,33398
