,s,t,o,h,l,c,v
0,ok,2000-01-02,41.0,41.0,40.0,41.0,2000
1,ok,2000-01-03,41.9,42.1,39.25,41.1,7500
2,ok,2000-01-04,38.5,40.95,38.5,40.95,600
3,ok,2000-01-05,38.5,40.5,38.5,39.25,2100
4,ok,2000-01-06,39.1,39.1,39.1,39.1,100
5,ok,2000-01-09,41.3,41.3,37.2,37.2,700
6,ok,2000-01-10,37.25,39.0,36.25,39.0,1200
7,ok,2000-01-11,40.0,40.9,40.0,40.85,500
8,ok,2000-01-12,40.0,40.0,39.05,39.05,300
9,ok,2000-01-16,38.5,38.6,38.0,38.0,1200
10,ok,2000-01-17,37.5,38.25,37.5,38.25,900
11,ok,2000-01-18,38.05,38.05,36.0,36.0,2800
12,ok,2000-01-19,38.0,38.75,33.25,33.8,7600
13,ok,2000-01-20,35.0,36.5,33.0,35.9,16500
14,ok,2000-01-23,36.15,36.15,34.7,34.7,200
15,ok,2000-01-24,34.45,34.45,32.9,33.0,8000
16,ok,2000-01-26,35.0,35.0,32.6,33.0,2600
17,ok,2000-01-27,32.55,32.55,31.0,31.0,900
18,ok,2000-01-30,31.0,31.95,30.2,30.2,1700
19,ok,2000-01-31,30.0,31.5,30.0,30.5,1200
20,ok,2000-02-01,32.2,32.2,31.05,31.05,200
21,ok,2000-02-02,31.5,32.0,31.25,31.35,800
22,ok,2000-02-03,32.0,32.0,31.5,31.5,1600
23,ok,2000-02-06,31.0,31.0,30.0,30.0,800
24,ok,2000-02-07,31.0,31.0,30.95,30.95,200
25,ok,2000-02-08,31.1,31.1,30.0,30.05,900
26,ok,2000-02-09,30.0,30.0,29.25,29.9,1800
27,ok,2000-02-10,28.15,28.15,28.0,28.05,600
28,ok,2000-02-13,29.0,29.45,28.1,29.45,1400
29,ok,2000-02-14,28.5,29.0,28.3,29.0,400
30,ok,2000-02-15,29.0,29.0,29.0,29.0,200
31,ok,2000-02-16,28.0,30.0,28.0,28.0,2700
32,ok,2000-02-20,28.0,29.5,27.0,27.0,2000
33,ok,2000-02-21,28.05,29.0,27.0,27.0,1100
34,ok,2000-02-22,27.0,27.2,27.0,27.2,500
35,ok,2000-02-23,29.0,29.0,25.2,25.2,2400
36,ok,2000-02-24,26.0,26.0,23.5,23.5,4500
37,ok,2000-02-27,24.8,24.85,22.7,24.45,8100
38,ok,2000-02-28,24.5,25.0,23.5,24.5,1500
39,ok,2000-02-29,24.5,25.0,24.05,25.0,1900
40,ok,2000-03-01,24.5,24.5,23.65,23.65,1400
41,ok,2000-03-02,23.05,25.0,23.05,25.0,900
42,ok,2000-03-05,26.0,26.0,23.6,24.0,2500
43,ok,2000-03-06,24.0,24.0,23.0,23.5,7000
44,ok,2000-03-07,25.35,25.35,25.35,25.35,2000
45,ok,2000-03-08,23.65,24.0,23.65,24.0,3700
46,ok,2000-03-09,24.0,24.0,23.25,23.25,2100
47,ok,2000-03-12,23.25,23.25,21.85,21.85,2300
48,ok,2000-03-13,23.0,23.0,22.9,22.9,200
49,ok,2000-03-14,24.0,24.0,23.25,24.0,400
50,ok,2000-03-15,24.0,24.0,22.25,22.25,1300
51,ok,2000-03-20,22.5,23.5,22.5,23.5,2500
52,ok,2000-03-21,24.1,24.1,22.85,24.0,1000
53,ok,2000-03-22,24.0,24.0,23.7,24.0,800
54,ok,2000-03-23,23.9,24.0,23.0,23.0,3700
55,ok,2000-03-26,23.95,23.95,22.65,22.65,200
56,ok,2000-03-27,22.65,23.5,22.6,23.4,900
57,ok,2000-03-28,23.5,23.5,23.5,23.5,100
58,ok,2000-03-29,23.5,23.9,23.5,23.9,400
59,ok,2000-03-30,24.1,24.5,24.1,24.25,1000
60,ok,2000-04-02,23.0,24.0,23.0,23.1,800
61,ok,2000-04-03,22.05,22.2,21.4,22.2,1300
62,ok,2000-04-04,23.9,24.0,23.9,24.0,200
63,ok,2000-04-05,24.5,24.5,22.55,24.0,300
64,ok,2000-04-06,24.45,24.5,24.45,24.45,200
65,ok,2000-04-11,24.0,24.0,24.0,24.0,100
66,ok,2000-04-16,23.0,23.1,23.0,23.1,2300
67,ok,2000-04-17,22.7,22.8,22.6,22.8,800
68,ok,2000-04-18,22.5,22.5,21.15,21.15,500
69,ok,2000-04-19,21.5,21.7,21.5,21.6,400
70,ok,2000-04-24,21.0,22.0,20.5,20.55,2900
71,ok,2000-04-25,22.0,22.0,22.0,22.0,200
72,ok,2000-04-26,22.1,22.1,22.1,22.1,500
73,ok,2000-04-27,22.4,22.5,22.4,22.5,300
74,ok,2000-05-04,22.9,23.0,22.9,23.0,200
75,ok,2000-05-08,22.0,22.0,21.5,22.0,900
76,ok,2000-05-09,21.5,21.5,20.35,21.5,700
77,ok,2000-05-10,21.9,21.9,21.9,21.9,300
78,ok,2000-05-11,22.0,22.0,22.0,22.0,500
79,ok,2000-05-14,21.95,23.75,21.95,23.75,400
80,ok,2000-05-15,25.65,25.65,22.1,22.1,1100
81,ok,2000-05-16,22.5,23.7,22.5,23.7,300
82,ok,2000-05-17,24.7,24.7,24.2,24.2,200
83,ok,2000-05-18,25.95,25.95,25.95,25.95,100
84,ok,2000-05-21,25.45,25.45,25.45,25.45,400
85,ok,2000-05-22,27.45,27.45,23.45,23.45,1800
86,ok,2000-05-23,23.05,24.2,21.65,22.7,1200
87,ok,2000-05-25,23.35,23.5,23.35,23.5,400
88,ok,2000-05-28,24.0,24.0,21.7,22.55,600
89,ok,2000-05-29,24.2,24.25,24.2,24.2,400
90,ok,2000-05-30,22.7,24.9,22.65,24.65,900
91,ok,2000-05-31,26.6,26.6,23.45,23.45,2100
92,ok,2000-06-01,23.0,24.0,22.5,23.9,1800
93,ok,2000-06-04,23.9,23.9,22.15,23.25,1900
94,ok,2000-06-05,23.95,23.95,21.6,22.65,1900
95,ok,2000-06-06,21.5,21.5,21.35,21.35,800
96,ok,2000-06-07,22.45,22.45,21.0,22.0,2000
97,ok,2000-06-08,21.0,21.0,20.5,20.5,2600
98,ok,2000-06-11,21.9,21.9,20.3,20.3,600
99,ok,2000-06-12,20.0,21.0,20.0,21.0,200
100,ok,2000-06-13,21.95,22.0,21.05,21.05,500
101,ok,2000-06-14,20.6,20.6,20.6,20.6,100
102,ok,2000-06-15,22.25,22.25,22.25,22.25,1500
103,ok,2000-06-18,22.0,22.5,22.0,22.5,200
104,ok,2000-06-19,22.25,22.95,20.7,20.7,2600
105,ok,2000-06-20,22.0,22.0,22.0,22.0,2000
106,ok,2000-06-21,21.6,21.6,20.4,20.4,1100
107,ok,2000-06-22,20.5,21.3,19.0,19.95,6500
108,ok,2000-06-25,19.65,19.65,19.65,19.65,100
109,ok,2000-06-26,19.55,19.55,17.6,18.4,2100
110,ok,2000-06-27,19.95,20.0,19.5,19.5,700
111,ok,2000-06-28,19.5,19.95,19.5,19.95,600
112,ok,2000-06-29,19.8,20.0,19.8,20.0,500
113,ok,2000-07-02,19.95,19.95,19.95,19.95,100
114,ok,2000-07-03,24.9,24.9,19.95,20.0,600
115,ok,2000-07-04,19.85,19.85,19.85,19.85,100
116,ok,2000-07-05,24.8,24.8,19.7,19.7,800
117,ok,2000-07-06,19.5,19.5,19.5,19.5,300
118,ok,2000-07-09,20.5,20.5,19.75,19.75,500
119,ok,2000-07-10,18.5,18.5,18.4,18.4,400
120,ok,2000-07-11,19.75,19.75,19.0,19.0,200
121,ok,2000-07-12,20.0,20.1,20.0,20.1,200
122,ok,2000-07-13,21.0,21.0,19.2,20.5,1100
123,ok,2000-07-16,19.5,19.5,19.5,19.5,500
124,ok,2000-07-17,19.0,19.25,19.0,19.25,300
125,ok,2000-07-18,20.0,20.0,19.95,19.95,200
126,ok,2000-07-19,20.0,20.0,19.8,19.8,1200
127,ok,2000-07-20,20.0,20.0,19.8,19.8,400
128,ok,2000-07-23,18.5,18.5,18.5,18.5,200
129,ok,2000-07-24,19.25,19.25,19.25,19.25,200
130,ok,2000-07-25,18.95,18.95,18.75,18.8,1000
131,ok,2000-07-26,18.9,23.45,18.9,22.95,3200
132,ok,2000-07-27,23.0,23.75,22.5,23.2,3000
133,ok,2000-08-02,21.75,22.0,21.75,22.0,200
134,ok,2000-08-03,20.5,20.5,20.5,20.5,1000
135,ok,2000-08-06,19.2,19.25,19.2,19.2,700
136,ok,2000-08-09,18.6,18.6,18.55,18.55,700
137,ok,2000-08-10,18.55,18.75,18.25,18.75,600
138,ok,2000-08-13,17.35,19.25,17.35,19.2,300
139,ok,2000-08-15,19.0,19.05,18.85,19.05,400
140,ok,2000-08-16,22.05,22.05,20.0,20.5,900
141,ok,2000-08-17,20.05,20.05,20.05,20.05,400
142,ok,2000-08-20,20.5,21.0,20.5,21.0,1100
143,ok,2000-08-21,20.5,20.5,20.5,20.5,200
144,ok,2000-08-24,20.25,20.25,20.25,20.25,100
145,ok,2000-08-27,21.5,21.5,20.5,20.5,300
146,ok,2000-08-29,19.05,19.05,19.0,19.0,800
147,ok,2000-08-30,20.5,21.0,20.5,20.5,700
148,ok,2000-09-03,21.0,21.0,19.65,19.65,2
149,ok,2000-09-04,21.25,21.25,19.15,20.9,2102
150,ok,2000-09-05,20.8,21.65,20.8,21.65,700
151,ok,2000-09-06,21.3,21.3,21.25,21.25,125
152,ok,2000-09-07,21.0,22.35,20.6,21.75,1027
153,ok,2000-09-10,21.0,21.0,21.0,21.0,200
154,ok,2000-09-11,22.5,22.5,22.5,22.5,1
155,ok,2000-09-12,22.95,23.0,21.0,21.0,402
156,ok,2000-09-13,21.8,21.8,21.15,21.15,200
157,ok,2000-09-17,21.9,22.3,21.9,22.3,1300
158,ok,2000-09-18,21.9,21.9,20.6,20.6,801
159,ok,2000-09-25,19.0,19.0,19.0,19.0,400
160,ok,2000-09-27,19.0,19.0,19.0,19.0,100
161,ok,2000-09-28,19.5,19.5,18.5,18.5,150
162,ok,2000-10-02,18.0,18.0,18.0,18.0,100
163,ok,2000-10-05,19.05,19.05,19.05,19.05,100
164,ok,2000-10-10,21.0,21.0,21.0,21.0,100
165,ok,2000-10-12,21.4,21.4,21.4,21.4,10
166,ok,2000-10-17,19.8,19.8,19.8,19.8,10
167,ok,2000-10-19,16.25,16.25,16.25,16.25,24
168,ok,2000-10-22,16.05,16.05,16.0,16.0,100
169,ok,2000-10-24,19.0,19.0,19.0,19.0,102
170,ok,2000-10-26,18.0,18.0,17.9,17.9,300
171,ok,2000-10-29,17.1,17.1,17.1,17.1,100
172,ok,2000-10-30,17.8,17.9,17.8,17.9,1019
173,ok,2000-10-31,18.0,18.0,16.75,16.75,125
174,ok,2000-11-01,19.8,19.8,16.5,16.5,69
175,ok,2000-11-02,16.25,17.95,16.25,17.95,200
176,ok,2000-11-05,17.0,17.0,16.6,16.6,348
177,ok,2000-11-06,17.5,17.5,17.5,17.5,76
178,ok,2000-11-07,16.25,18.75,16.25,18.75,1379
179,ok,2000-11-09,20.0,20.0,20.0,20.0,100
180,ok,2000-11-12,19.8,20.0,18.5,18.5,969
181,ok,2000-11-13,18.75,18.75,17.1,17.1,600
182,ok,2000-11-15,16.75,17.3,16.6,16.6,448
183,ok,2000-11-19,16.6,18.9,16.6,18.7,177
184,ok,2000-11-20,18.25,18.25,18.25,18.25,200
185,ok,2000-11-23,17.0,17.0,17.0,17.0,24
186,ok,2000-11-26,18.15,18.15,18.15,18.15,100
187,ok,2000-11-27,18.15,18.15,17.95,18.15,1200
188,ok,2000-11-28,19.5,19.95,19.4,19.5,610
189,ok,2000-11-29,19.7,19.9,19.2,19.2,145
190,ok,2000-11-30,15.8,21.25,15.8,21.25,301
191,ok,2000-12-03,19.95,19.95,19.95,19.95,1
192,ok,2000-12-04,18.5,19.85,18.5,19.85,345
193,ok,2000-12-05,19.0,19.0,18.0,18.9,300
194,ok,2000-12-06,19.7,19.7,19.7,19.7,200
195,ok,2000-12-07,19.0,19.0,18.65,18.65,124
196,ok,2000-12-10,19.0,19.7,19.0,19.7,500
197,ok,2000-12-11,18.25,20.0,18.25,19.25,400
198,ok,2000-12-12,20.0,20.0,20.0,20.0,300
199,ok,2000-12-13,19.0,19.0,19.0,19.0,1000
200,ok,2000-12-14,18.8,19.0,18.8,19.0,400
201,ok,2000-12-18,18.5,19.4,18.5,19.05,337
202,ok,2000-12-20,18.0,18.0,18.0,18.0,300
203,ok,2000-12-21,19.0,20.0,18.05,18.05,600
204,ok,2000-12-25,18.1,18.1,18.1,18.1,400
205,ok,2000-12-26,16.25,18.95,16.1,18.95,290
206,ok,2000-12-27,16.75,16.75,16.75,16.75,47
207,ok,2000-12-31,20.0,20.0,18.5,18.5,101
208,ok,2001-01-02,18.0,18.0,18.0,18.0,100
209,ok,2001-01-03,18.5,18.75,18.5,18.7,200
210,ok,2001-01-07,17.9,18.0,17.9,18.0,2150
211,ok,2001-01-09,17.25,17.25,16.1,17.0,4324
212,ok,2001-01-10,16.3,17.0,16.2,17.0,2500
