,s,t,o,h,l,c,v
0,ok,2000-01-02,60.06,63.5,60.06,63.25,25600
1,ok,2000-01-03,62.5,62.5,59.38,60.5,24800
2,ok,2000-01-04,60.5,61.25,59.5,59.73,27600
3,ok,2000-01-05,58.75,60.69,58.25,60.25,10400
4,ok,2000-01-06,58.88,60.25,56.75,57.28,15200
5,ok,2000-01-09,55.78,58.5,55.75,57.81,18800
6,ok,2000-01-10,59.75,59.75,54.38,57.54,43600
7,ok,2000-01-11,57.5,59.38,57.25,59.31,10000
8,ok,2000-01-12,58.31,59.24,58.0,59.24,11200
9,ok,2000-01-13,58.5,58.5,58.0,58.31,6000
10,ok,2000-01-16,58.75,62.83,58.75,62.83,18000
11,ok,2000-01-17,65.0,65.0,60.5,61.33,25200
12,ok,2000-01-18,62.5,64.75,61.5,64.53,23200
13,ok,2000-01-19,63.25,64.99,63.25,63.34,13200
14,ok,2000-01-20,63.75,63.75,62.5,62.5,8000
15,ok,2000-01-23,58.75,61.25,58.75,60.75,16000
16,ok,2000-01-24,60.63,60.63,59.5,60.0,18400
17,ok,2000-01-26,62.25,63.75,62.25,62.5,82800
18,ok,2000-01-27,62.5,62.5,61.5,61.5,9600
19,ok,2000-01-30,60.5,60.5,57.88,57.88,6800
20,ok,2000-01-31,57.51,58.99,57.5,58.83,22800
21,ok,2000-02-01,60.5,62.25,60.0,61.75,17600
22,ok,2000-02-02,63.74,66.7,63.25,66.7,63600
23,ok,2000-02-03,67.5,69.48,65.5,67.68,26400
24,ok,2000-02-06,68.75,68.75,62.5,64.05,30400
25,ok,2000-02-07,63.5,63.5,59.25,60.46,20800
26,ok,2000-02-08,60.0,63.0,60.0,62.55,30800
27,ok,2000-02-09,61.25,63.25,61.25,61.5,5200
28,ok,2000-02-10,60.25,60.86,60.0,60.86,10800
29,ok,2000-02-13,58.25,60.99,56.0,56.0,53600
30,ok,2000-02-14,54.75,57.5,54.75,55.99,42400
31,ok,2000-02-15,57.25,57.5,51.78,52.99,25600
32,ok,2000-02-16,54.23,55.61,53.75,55.61,10400
33,ok,2000-02-17,56.25,58.24,54.31,54.68,25200
34,ok,2000-02-20,55.5,55.56,54.03,54.03,6400
35,ok,2000-02-21,53.75,55.31,50.75,51.13,44800
36,ok,2000-02-22,52.5,54.99,50.0,50.94,27200
37,ok,2000-02-23,52.43,54.25,51.25,53.38,4800
38,ok,2000-02-24,50.25,53.5,50.25,53.1,5200
39,ok,2000-02-27,52.5,53.0,50.0,51.25,44800
40,ok,2000-02-28,52.0,52.0,48.0,48.0,20400
41,ok,2000-02-29,47.5,50.0,46.25,48.75,30000
42,ok,2000-03-01,47.75,47.75,45.0,45.54,12400
43,ok,2000-03-02,45.0,45.0,41.9,41.9,5600
44,ok,2000-03-05,42.53,44.88,41.29,43.75,25200
45,ok,2000-03-06,44.0,44.0,40.25,40.83,49600
46,ok,2000-03-07,41.75,43.74,40.5,41.65,12400
