,s,t,o,h,l,c,v
0,ok,2010-01-10,367.45,396.45,365.85,380.35,369961
1,ok,2010-01-11,383.4,386.6,365.4,369.65,109769
2,ok,2010-01-12,368.9,379.0,351.15,367.1,98337
3,ok,2010-01-13,369.5,379.0,361.5,364.45,39287
4,ok,2010-01-14,366.1,437.35,366.1,432.55,1016459
5,ok,2010-01-17,415.25,519.1,415.25,513.6,2742867
6,ok,2010-01-18,525.0,616.35,525.0,611.15,5642085
7,ok,2010-01-19,619.0,658.0,595.85,611.85,5605926
8,ok,2010-01-20,600.0,600.0,550.7,554.3,1928440
9,ok,2010-01-21,515.25,609.75,507.3,609.75,3376748
10,ok,2010-01-24,630.0,645.25,605.5,612.05,3428331
11,ok,2010-01-26,597.4,629.0,551.1,567.15,1678098
12,ok,2010-01-27,577.7,605.9,571.0,580.5,1816691
13,ok,2010-01-28,568.8,607.65,552.5,596.0,1593015
14,ok,2010-01-31,589.8,614.9,578.0,590.15,1507669
15,ok,2010-02-01,597.8,612.65,575.0,579.6,943512
16,ok,2010-02-02,590.0,601.0,580.2,583.45,619527
17,ok,2010-02-03,585.05,600.4,562.0,568.55,822232
18,ok,2010-02-04,551.75,554.0,532.5,535.5,431513
19,ok,2010-02-05,544.85,549.9,535.0,538.05,88382
20,ok,2010-02-07,544.65,553.3,523.15,528.0,376066
21,ok,2010-02-08,529.75,580.8,506.1,580.8,1722278
22,ok,2010-02-09,592.2,615.0,577.35,585.75,2858082
23,ok,2010-02-10,591.1,605.8,578.0,584.05,1530379
24,ok,2010-02-14,590.0,599.0,573.65,579.45,539013
25,ok,2010-02-15,585.0,591.0,573.0,581.95,546553
26,ok,2010-02-16,589.0,591.8,574.25,578.45,532894
27,ok,2010-02-17,579.8,582.8,555.0,558.2,329459
28,ok,2010-02-18,552.1,586.2,544.2,561.2,1234247
29,ok,2010-02-21,572.0,572.8,518.0,534.5,626170
30,ok,2010-02-22,532.5,557.0,520.0,533.1,708857
31,ok,2010-02-23,507.0,538.0,507.0,526.0,368266
32,ok,2010-02-24,531.0,541.8,523.0,527.25,423003
33,ok,2010-02-25,529.0,553.7,521.0,528.05,701515
34,ok,2010-03-01,537.0,541.65,529.0,532.95,269696
35,ok,2010-03-02,537.6,548.0,533.0,537.1,363083
36,ok,2010-03-03,538.0,546.5,535.0,537.1,221975
37,ok,2010-03-04,541.3,544.0,528.0,530.0,208791
38,ok,2010-03-07,530.0,543.7,527.2,529.85,189750
39,ok,2010-03-08,532.9,533.0,503.6,506.85,224549
40,ok,2010-03-09,506.85,520.0,492.0,509.7,443955
41,ok,2010-03-10,513.0,514.0,494.0,496.7,144541
42,ok,2010-03-11,499.0,506.4,482.25,484.9,286977
43,ok,2010-03-14,445.5,480.0,445.5,459.5,377127
44,ok,2010-03-15,450.5,463.3,442.05,446.2,287450
45,ok,2010-03-16,452.0,535.45,446.4,530.65,3457158
46,ok,2010-03-17,571.0,571.0,495.35,516.1,4846545
47,ok,2010-03-18,450.0,542.7,450.0,526.85,2007349
48,ok,2010-03-21,519.9,540.9,511.0,524.9,1133622
49,ok,2010-03-22,530.7,536.95,520.6,524.15,519647
50,ok,2010-03-24,525.0,528.0,510.85,514.9,425722
51,ok,2010-03-25,518.8,527.7,505.05,508.1,411368
52,ok,2010-03-28,508.0,515.4,484.0,488.85,432734
53,ok,2010-03-29,496.0,561.0,490.3,530.1,4337159
54,ok,2010-03-30,535.0,548.0,526.4,533.0,1904337
55,ok,2010-03-31,539.0,543.5,531.15,534.9,861282
