,s,t,o,h,l,c,v
0,ok,2000-01-02,11.85,11.85,10.85,11.55,112100
1,ok,2000-01-03,12.5,13.5,10.25,11.55,111200
2,ok,2000-01-04,11.7,12.0,10.8,11.15,80400
3,ok,2000-01-05,10.9,12.2,10.9,11.95,197800
4,ok,2000-01-06,12.9,13.0,12.05,12.3,262200
5,ok,2000-01-09,13.5,13.5,12.3,12.55,366900
6,ok,2000-01-10,12.0,12.45,11.5,11.7,413400
7,ok,2000-01-11,14.2,14.65,13.65,14.55,246118
8,ok,2000-01-12,16.5,16.5,14.2,14.4,129430
9,ok,2000-01-13,14.0,14.4,13.95,14.25,66256
10,ok,2000-01-16,14.1,14.45,13.55,13.65,62931
11,ok,2000-01-17,13.5,13.7,10.75,13.0,105102
12,ok,2000-01-18,13.5,13.5,12.2,12.65,135058
13,ok,2000-01-19,12.5,12.7,12.2,12.3,33297
14,ok,2000-01-20,12.2,12.6,12.15,12.5,15893
15,ok,2000-01-23,12.1,12.5,12.0,12.3,40377
16,ok,2000-01-24,11.7,12.7,11.05,11.15,54462
17,ok,2000-01-26,11.45,11.45,10.3,10.75,51871
18,ok,2000-01-27,10.55,11.0,10.25,10.45,38984
19,ok,2000-01-30,11.0,12.4,10.35,11.95,161517
20,ok,2000-01-31,12.1,12.5,11.5,11.85,84000
21,ok,2000-02-01,12.4,14.7,11.9,14.0,265375
22,ok,2000-02-02,14.0,14.5,13.5,13.9,230217
23,ok,2000-02-03,13.9,14.35,13.05,13.4,114909
24,ok,2000-02-06,13.5,14.85,13.15,14.5,374685
25,ok,2000-02-07,15.0,18.15,14.95,18.15,1000334
26,ok,2000-02-08,19.0,22.7,19.0,21.0,1506767
27,ok,2000-02-09,20.25,21.4,19.55,19.9,550908
28,ok,2000-02-10,21.1,22.0,19.55,20.95,444727
29,ok,2000-02-13,22.0,22.0,19.3,19.3,153645
30,ok,2000-02-14,18.5,18.9,16.5,18.25,384119
31,ok,2000-02-15,17.5,18.0,16.65,17.7,186307
32,ok,2000-02-16,17.5,18.5,17.4,17.65,116114
33,ok,2000-02-17,17.2,18.0,16.3,16.85,126869
34,ok,2000-02-20,17.05,18.45,15.0,15.15,187380
35,ok,2000-02-21,16.0,16.0,15.1,15.65,159543
36,ok,2000-02-22,16.0,16.0,15.0,15.45,61984
37,ok,2000-02-23,15.55,15.75,14.15,15.0,160455
38,ok,2000-02-24,14.3,16.5,14.3,15.75,104065
39,ok,2000-02-27,15.8,15.8,14.85,15.3,55847
40,ok,2000-02-28,15.05,16.0,14.0,14.2,179959
41,ok,2000-02-29,14.45,15.0,13.75,14.8,85925
42,ok,2000-03-01,15.0,15.5,14.1,14.9,143400
43,ok,2000-03-02,14.75,18.0,14.75,17.45,246128
44,ok,2000-03-05,17.0,17.45,13.75,14.75,277822
45,ok,2000-03-06,14.4,14.6,13.3,14.15,69309
46,ok,2000-03-07,13.85,14.05,12.5,13.25,40537
