,s,t,o,h,l,c,v
0,ok,2000-01-02,20.26,20.26,17.01,17.98,28890
1,ok,2000-01-03,17.54,18.17,16.72,17.06,54787
2,ok,2000-01-04,17.45,21.32,16.96,21.08,198927
3,ok,2000-01-05,22.19,22.19,19.87,20.6,153116
4,ok,2000-01-06,21.32,21.81,19.14,19.38,89249
5,ok,2000-01-09,19.38,20.21,18.51,18.71,43644
6,ok,2000-01-10,17.54,18.9,17.49,17.78,90797
7,ok,2000-01-11,17.93,18.32,17.49,17.93,31676
8,ok,2000-01-12,18.17,18.41,17.69,17.69,23421
9,ok,2000-01-13,17.78,17.78,16.86,17.2,25485
10,ok,2000-01-16,16.57,17.45,16.52,17.2,17437
11,ok,2000-01-17,17.11,17.4,16.57,16.77,43232
12,ok,2000-01-18,17.93,17.93,17.01,17.35,23525
13,ok,2000-01-19,17.59,17.69,17.15,17.15,22802
14,ok,2000-01-20,16.72,17.25,16.72,17.06,15889
15,ok,2000-01-23,16.38,17.3,16.38,16.57,47875
16,ok,2000-01-24,16.48,16.48,16.04,16.33,51073
17,ok,2000-01-26,16.86,16.86,15.85,16.62,25794
18,ok,2000-01-27,16.48,16.48,15.56,15.7,30644
19,ok,2000-01-30,15.99,15.99,15.07,15.12,21151
20,ok,2000-01-31,15.51,15.51,14.97,15.12,37454
21,ok,2000-02-01,17.45,18.85,16.14,16.91,68407
22,ok,2000-02-02,17.88,17.93,15.89,17.01,48494
23,ok,2000-02-03,17.2,17.64,16.67,16.96,37557
24,ok,2000-02-06,16.57,16.91,16.09,16.43,27858
25,ok,2000-02-07,16.48,16.62,15.31,15.7,66756
26,ok,2000-02-08,15.99,16.82,15.51,15.99,45914
27,ok,2000-02-09,15.8,15.99,15.36,15.65,28993
28,ok,2000-02-10,15.51,16.09,15.36,15.94,28271
29,ok,2000-02-13,14.78,15.7,14.68,15.02,19810
30,ok,2000-02-14,15.22,15.22,14.3,14.44,29096
31,ok,2000-02-15,15.12,15.17,14.44,14.54,22699
32,ok,2000-02-16,13.86,14.93,13.86,14.63,42716
33,ok,2000-02-17,14.97,14.97,14.15,14.39,13826
34,ok,2000-02-20,14.15,14.39,13.57,13.67,28580
35,ok,2000-02-21,13.37,13.81,13.08,13.42,48390
36,ok,2000-02-22,15.41,15.41,13.62,13.86,26826
37,ok,2000-02-23,13.67,13.96,13.33,13.81,21461
38,ok,2000-02-24,14.0,14.39,13.57,14.05,20945
39,ok,2000-02-27,13.71,15.46,13.57,15.07,49938
40,ok,2000-02-28,15.51,16.82,14.54,14.97,87804
41,ok,2000-02-29,14.15,16.48,13.57,15.75,43747
42,ok,2000-03-01,15.85,15.89,14.15,14.78,45605
43,ok,2000-03-02,15.02,15.02,13.37,13.52,28168
44,ok,2000-03-05,12.26,13.47,12.21,13.08,18675
45,ok,2000-03-06,12.31,12.94,10.66,12.26,47978
46,ok,2000-03-07,13.47,13.47,11.63,12.21,34565
47,ok,2000-03-08,12.6,12.6,11.15,11.73,16302
48,ok,2000-03-09,11.73,12.6,11.73,11.97,16612
49,ok,2000-03-12,12.5,13.28,11.92,12.74,32501
50,ok,2000-03-13,12.6,12.99,11.73,12.12,57161
51,ok,2000-03-14,12.89,14.05,12.79,13.47,26207
52,ok,2000-03-15,13.08,13.57,12.6,12.74,20326
53,ok,2000-03-20,12.6,12.6,11.73,11.97,34461
54,ok,2000-03-21,12.6,12.89,11.87,11.97,11143
55,ok,2000-03-22,12.02,12.6,11.92,12.45,10937
56,ok,2000-03-23,12.6,13.42,12.02,12.99,24453
57,ok,2000-03-26,12.79,13.57,12.6,12.94,19707
58,ok,2000-03-27,12.6,14.0,12.6,13.57,34668
59,ok,2000-03-28,11.39,13.57,11.39,13.18,7738
60,ok,2000-03-29,12.65,13.47,12.65,13.28,9080
61,ok,2000-03-30,13.18,13.57,12.65,13.08,17437
62,ok,2000-04-02,13.81,13.81,13.13,13.57,24969
63,ok,2000-04-03,13.57,13.62,12.41,12.45,45605
64,ok,2000-04-04,12.74,13.28,12.6,12.6,8461
65,ok,2000-04-05,12.79,13.08,12.6,12.99,8770
66,ok,2000-04-06,13.18,13.57,12.6,13.33,13207
67,ok,2000-04-09,13.18,14.05,12.84,13.62,22390
68,ok,2000-04-11,14.73,14.73,14.05,14.3,18469
69,ok,2000-04-12,13.81,13.86,13.08,13.76,23731
70,ok,2000-04-16,12.89,13.81,12.84,13.47,11969
71,ok,2000-04-17,13.18,13.76,13.08,13.42,40755
72,ok,2000-04-18,13.33,13.81,13.33,13.67,14135
73,ok,2000-04-19,13.23,13.37,12.6,13.08,12278
74,ok,2000-04-23,13.08,13.28,12.65,12.65,13619
75,ok,2000-04-24,12.65,12.65,11.49,11.78,12588
76,ok,2000-04-25,11.97,12.36,11.87,12.31,6191
77,ok,2000-04-26,11.73,12.31,11.68,11.73,8151
78,ok,2000-04-27,11.68,11.73,10.9,11.24,6191
79,ok,2000-05-01,10.76,10.9,9.93,10.23,18262
80,ok,2000-05-02,10.52,10.66,9.69,10.32,7429
81,ok,2000-05-03,10.95,10.95,10.42,10.61,10937
82,ok,2000-05-04,10.23,10.95,9.89,10.18,11040
83,ok,2000-05-07,10.18,10.18,9.69,9.93,11659
84,ok,2000-05-08,9.69,9.93,9.55,9.93,11865
85,ok,2000-05-09,9.01,9.79,9.01,9.6,18159
86,ok,2000-05-10,9.45,9.89,9.3,9.69,9802
87,ok,2000-05-11,9.69,9.93,9.69,9.74,5365
88,ok,2000-05-14,9.21,9.5,9.21,9.5,929
89,ok,2000-05-15,9.21,9.69,9.21,9.3,13000
90,ok,2000-05-16,9.35,9.93,9.35,9.79,3611
91,ok,2000-05-17,9.74,9.93,9.64,9.69,3508
