,s,t,o,h,l,c,v
0,ok,2000-01-02,42.0,43.11,41.29,42.84,665439
1,ok,2000-01-03,42.0,44.44,40.96,42.82,968638
2,ok,2000-01-04,41.36,43.08,40.0,42.66,986639
3,ok,2000-01-05,43.28,45.26,41.44,41.96,1164218
4,ok,2000-01-06,41.86,42.6,40.44,40.8,609745
5,ok,2000-01-09,40.78,41.66,38.92,39.86,1160873
6,ok,2000-01-10,39.78,40.0,36.66,37.22,1516585
7,ok,2000-01-11,38.89,39.76,38.0,38.84,980081
8,ok,2000-01-12,38.22,38.22,36.66,36.86,1508944
9,ok,2000-01-13,37.33,37.49,36.13,36.82,982737
10,ok,2000-01-16,37.66,37.66,35.56,35.78,3064599
11,ok,2000-01-17,36.23,38.64,35.62,37.43,2729166
12,ok,2000-01-18,39.54,39.78,37.04,37.52,3806759
13,ok,2000-01-19,37.78,38.11,37.28,37.38,1566582
14,ok,2000-01-20,37.22,37.6,36.91,37.1,1449127
15,ok,2000-01-23,37.78,38.44,37.19,38.16,2131050
16,ok,2000-01-24,37.62,38.83,36.68,37.76,1999513
17,ok,2000-01-26,38.39,38.66,36.92,38.22,3174261
18,ok,2000-01-27,38.22,38.31,37.5,37.7,1557600
19,ok,2000-01-30,37.78,37.99,36.94,37.76,1789154
20,ok,2000-01-31,37.78,38.28,37.34,38.06,1696108
21,ok,2000-02-01,38.22,41.11,38.22,41.11,5452977
22,ok,2000-02-02,43.29,44.4,43.11,44.4,4121846
23,ok,2000-02-03,47.51,47.51,40.89,43.44,3578697
24,ok,2000-02-06,42.44,42.89,39.98,40.48,816831
25,ok,2000-02-07,40.66,43.13,39.78,40.69,4147011
26,ok,2000-02-08,41.56,42.22,40.34,40.6,1930426
27,ok,2000-02-09,39.72,40.89,39.72,40.79,852356
28,ok,2000-02-10,40.66,41.11,38.89,39.39,1518974
29,ok,2000-02-13,38.89,40.0,36.49,36.78,999901
30,ok,2000-02-14,35.39,36.66,35.39,36.29,1032104
31,ok,2000-02-15,37.78,37.78,35.56,35.83,1425770
32,ok,2000-02-16,36.42,36.42,34.91,35.19,808659
33,ok,2000-02-17,35.56,35.56,33.78,34.26,748037
34,ok,2000-02-20,33.56,35.13,33.12,34.59,1298289
35,ok,2000-02-21,33.8,35.11,32.89,33.17,1060951
36,ok,2000-02-22,35.11,35.11,33.11,33.27,1630436
37,ok,2000-02-23,33.56,33.84,33.0,33.21,427608
38,ok,2000-02-24,33.34,33.54,31.33,32.03,251851
39,ok,2000-02-27,31.57,34.6,31.55,34.6,772869
40,ok,2000-02-28,35.52,36.71,31.83,31.83,1819810
41,ok,2000-02-29,32.21,33.53,32.0,32.7,908848
42,ok,2000-03-01,33.78,35.32,32.05,32.7,1169978
43,ok,2000-03-02,31.33,31.33,30.09,30.09,487171
44,ok,2000-03-05,30.09,30.67,27.69,27.69,1786612
45,ok,2000-03-06,28.2,28.22,25.47,25.47,1847833
46,ok,2000-03-07,25.57,25.77,23.44,23.52,1850906
47,ok,2000-03-08,23.33,25.41,21.67,24.8,3788524
48,ok,2000-03-09,25.11,26.42,23.55,24.44,2752568
49,ok,2000-03-12,25.09,25.55,24.02,24.42,1801732
50,ok,2000-03-13,24.44,26.37,23.37,26.31,2515302
51,ok,2000-03-14,26.67,28.42,26.33,28.42,2015340
52,ok,2000-03-15,28.47,28.77,26.9,27.47,713291
53,ok,2000-03-20,27.15,28.22,26.75,27.12,1542232
54,ok,2000-03-21,27.57,28.43,27.0,28.07,935344
55,ok,2000-03-22,29.1,29.9,28.22,29.6,1437719
56,ok,2000-03-23,30.22,31.8,29.33,31.2,1956373
57,ok,2000-03-26,30.7,31.0,29.33,30.27,653352
58,ok,2000-03-27,30.0,32.0,29.55,31.1,644257
59,ok,2000-03-28,31.44,31.44,29.35,29.87,2381749
60,ok,2000-03-29,30.21,30.21,27.47,27.57,2032314
61,ok,2000-03-30,26.47,29.79,25.37,29.4,4558715
62,ok,2000-04-02,29.33,31.75,29.33,31.75,2495694
63,ok,2000-04-03,31.11,32.44,29.23,30.29,2377384
64,ok,2000-04-04,30.22,30.22,28.22,28.57,1252178
65,ok,2000-04-05,29.31,29.91,26.89,27.81,1178632
66,ok,2000-04-06,28.89,30.04,28.89,30.04,1057062
67,ok,2000-04-09,31.11,32.33,30.71,31.32,1272610
68,ok,2000-04-11,32.0,32.0,29.79,30.02,1869057
69,ok,2000-04-12,29.44,30.54,29.02,29.69,1167165
70,ok,2000-04-16,28.02,29.77,28.01,29.49,661461
71,ok,2000-04-17,30.21,30.22,28.44,28.65,1198113
72,ok,2000-04-18,28.89,29.3,26.37,26.37,1443276
73,ok,2000-04-19,26.67,26.67,24.42,24.6,5339576
74,ok,2000-04-23,24.77,25.07,24.29,24.77,5349805
75,ok,2000-04-24,25.11,25.52,24.22,25.37,1231959
76,ok,2000-04-25,25.77,26.27,25.49,25.9,2025709
77,ok,2000-04-26,25.77,25.77,24.89,25.22,760480
78,ok,2000-04-27,25.52,25.52,24.59,24.85,713583
79,ok,2000-05-01,23.57,24.67,22.0,22.61,2486069
80,ok,2000-05-02,22.44,25.24,22.22,24.5,1188559
81,ok,2000-05-03,25.11,27.44,24.9,27.13,1506468
82,ok,2000-05-04,27.44,27.55,25.67,26.04,1267240
83,ok,2000-05-07,26.62,26.62,25.37,25.6,802056
84,ok,2000-05-08,25.12,25.4,24.47,25.2,1283280
